,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
2015-01-31,2.938688703579828e-05,3.626288889790885e-05,4.589145100908354e-05,1.9235374566051178e-05,2.9207737e-05,2.763352131296415e-05,6.8652065e-05,2.186010533478111e-05,7.089320570230484e-05,5.0199484e-05,5.353112283046357e-05,3.3544333e-05,9.756246e-06,3.782538260566071e-05,1.7502056e-05,4.7814665e-05,3.4699206e-05,3.0193247e-05,4.905884e-05,6.826907e-05,2.425538016363286e-05,2.7231437343289144e-05
2015-02-28,1.709521711745765e-05,2.8880294848931953e-05,5.068982136435807e-05,2.696818955882918e-05,1.5594887e-05,3.8552909245481715e-05,5.906999e-05,5.765106834587641e-05,2.260678775201086e-05,1.4307283e-05,1.9333749150973745e-05,5.4257725e-05,1.3253764e-05,3.4861674066632986e-05,1.0525954e-05,3.185149e-05,6.908463e-05,3.0957122e-05,5.0613064e-05,3.830625e-05,2.2121122874878868e-05,4.860162880504504e-05
2015-03-31,4.2961983126588166e-05,4.66600940853823e-05,2.556444269430358e-05,2.7689815397025086e-05,2.6880289e-05,4.0459617594024166e-05,1.5103445e-05,7.507835107389838e-05,3.8332163967425004e-05,4.8098136e-05,2.509030673536472e-05,1.1530984e-05,2.4683266e-05,1.1101747077191249e-05,5.2582356e-05,3.8189453e-05,2.4539742e-05,3.698977e-05,1.1413924e-05,6.457617e-05,4.387120753269376e-05,4.361321771284565e-05
2015-04-30,2.5767625629669055e-05,3.062531686737202e-05,6.955958087928593e-05,9.27271776163252e-06,3.3415396e-05,4.7121418901951984e-05,5.0302006e-05,4.203777280054055e-05,4.5788405259372666e-05,2.2858567e-05,3.622501390054822e-05,3.722369e-05,4.363232e-05,1.6712636352167465e-05,4.051319e-05,3.768921e-05,1.3438213e-05,3.0073033e-05,2.8022492e-05,8.07109e-05,3.1480227718046666e-05,1.966372292372398e-05
2015-05-31,3.521701364661567e-05,4.3038151488872245e-05,5.137556217960082e-05,5.902824705117382e-05,3.426491e-05,3.219076825189404e-05,9.841327e-06,2.882967055484187e-05,4.007614916190505e-05,5.4116404e-05,4.363825428299606e-05,2.7337297e-05,3.231097e-05,4.444694423000328e-05,2.8049753e-05,1.8430383e-05,4.0362833e-05,2.9278484e-05,3.1984837e-05,4.8421134e-05,2.3967122893253644e-05,2.5454191927565262e-05
2015-06-30,4.7219687985489145e-05,5.619994772132486e-05,3.761967673199251e-05,5.2461651648627594e-05,3.4475812e-05,4.2959145503118634e-05,4.6947498e-05,3.163301516906358e-05,2.9615050152642652e-05,4.2688724e-05,2.3275333660421893e-05,2.7184908e-05,3.8955957e-05,4.661319690058008e-05,4.313377e-05,6.002641e-05,4.4578064e-05,3.4781322e-05,5.6075518e-05,3.9731556e-05,3.375590525630893e-05,4.043976150569506e-05
2015-07-31,3.704121263581328e-05,3.257214120822027e-05,3.216087134205736e-05,3.338564783916809e-05,7.387496e-05,6.869956996524706e-05,5.353188e-05,3.7270008760970086e-05,4.690009154728614e-05,6.920422e-05,3.183250373695046e-05,4.065625e-05,3.634272e-05,5.029629755881615e-05,3.1524978e-05,7.548716e-05,2.7727743e-05,3.8923357e-05,6.1356805e-05,5.2819025e-05,9.18989300089379e-05,3.3945954783121124e-05
2015-08-31,4.415438888827339e-05,4.615298530552536e-05,5.163349851500243e-05,6.46162880002521e-05,4.443455e-05,5.520784907275811e-05,4.9682385e-05,3.0876806704327464e-05,3.869332795147784e-05,7.362803e-05,3.59505029337015e-05,2.6207632e-05,2.331517e-05,5.944851000094786e-05,3.8637285e-05,5.649121e-05,3.8134152e-05,3.884091e-05,3.925212e-05,6.338855e-05,3.713330578776208e-05,3.760789695661515e-05
2015-09-30,4.303437890484929e-05,2.5625880880397744e-05,2.5875748178805225e-05,6.669142021564767e-05,7.998469e-05,5.3007704991614446e-05,3.3499997e-05,3.960315007134341e-05,4.962148886988871e-05,5.517302e-05,4.6315723011502996e-05,4.326741e-05,3.7347312e-05,8.044730930123478e-05,5.4681685e-05,3.378999e-05,3.2150758e-05,3.0935225e-05,8.161702e-05,5.3072796e-05,6.764484482992827e-05,6.105954525992274e-05
2015-10-31,1.037662605085643e-05,5.6962868256960064e-05,8.304152288474143e-06,3.564494181773625e-05,5.788229e-05,3.184435990988277e-05,4.9685943e-05,1.4998026927059982e-05,2.6447287382325158e-05,8.97835e-06,5.279107062960975e-05,8.015105e-05,4.994807e-05,3.444496542215347e-05,6.159898e-05,2.9264851e-05,2.710904e-05,2.6269738e-05,1.934005e-05,3.9813982e-05,1.2818628615773875e-05,3.195362660335377e-05
