,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1950-12-31,4.039108753204346,3.884378671646118,4.069357395172119,3.906769275665283,4.1100316,3.890052556991577,4.0180273,3.770324468612671,3.930832862854004,3.9325616,4.040505409240723,3.8633194,3.9543474,3.8569650650024414,3.956171,3.9797518,3.831382,4.1529155,4.0847287,3.9279509,3.983915945671124,4.012256145477295
1951-12-31,4.02348518371582,3.925602674484253,4.01101016998291,3.876387596130371,4.1480026,3.8480939865112305,4.2403846,3.985119104385376,4.09821891784668,4.096134,3.9688098430633545,4.027888,3.970693,4.121842384338379,3.9332132,4.1681533,3.923065,4.0843744,3.786313,3.8251934,3.77022371045704,3.8169801235198975
1952-12-31,3.907326793017453,4.042952279195394,4.126987906514782,3.9859920539268074,4.0891848,3.9941861758493395,4.123247,4.0966329760747415,4.045836690354021,3.9011154,3.9060360268370746,4.062684,3.9362757,3.9854285220577292,3.8963633,3.9719422,3.8523035,4.0431447,4.164424,4.0661025,3.910736579416854,3.8976991441151867
1953-12-31,4.073219299316406,4.265814781188965,3.885092258453369,3.855825901031494,4.037195,3.881244659423828,4.2641797,3.9117448329925537,3.931102752685547,4.0883765,3.8590145111083984,4.196634,3.7213275,4.0298237800598145,3.8559031,4.1210303,3.8879766,3.7903283,4.0268316,3.9543526,3.840663450723254,3.896928071975708
1954-12-31,3.931601047515869,3.968567132949829,3.8981521129608154,3.791353702545166,4.159315,3.9114370346069336,4.1654453,3.9344282150268555,4.039097785949707,3.9084005,3.821194648742676,4.064708,3.776699,3.9911680221557617,3.8999178,3.9912815,3.7932043,3.9097369,4.0915103,3.7830606,3.8491560024256146,4.086881637573242
1955-12-31,3.982231616973877,3.892245054244995,3.8619909286499023,3.9402501583099365,3.9360948,3.7856943607330322,4.1853786,3.9457125663757324,3.899256467819214,3.9139435,4.048226356506348,4.1322017,4.090647,3.8889896869659424,3.7723382,3.897289,3.9375372,3.8455818,3.9269211,3.7470796,3.833453211704446,4.1416916847229
1956-12-31,3.8339291108797675,3.8023474552859997,4.153997921290463,3.7195859265654057,3.788576,3.863935565295285,4.0786858,3.867010537565571,4.002874843714989,3.9465632,3.8249763428348382,3.838822,3.811238,3.956036828642022,3.771751,3.9777105,3.869703,4.068323,3.8738067,3.9133048,3.9913877127562394,4.029053103433896
1957-12-31,4.0391764640808105,3.9744338989257812,3.9241726398468018,4.189448833465576,3.8622332,3.9295313358306885,4.1193395,3.8719234466552734,4.008958339691162,3.8982291,4.031838417053223,3.8860214,3.8049834,3.9811482429504395,3.9688904,4.121956,4.0346026,3.9719694,3.9977653,3.8847392,3.902022232389983,4.031384468078613
1958-12-31,3.9120943546295166,4.100379467010498,3.8471057415008545,3.95817232131958,3.972027,3.8853957653045654,3.960562,3.957843542098999,4.057180881500244,3.8118289,3.7764244079589844,3.987485,3.6706867,4.117459297180176,3.7456555,3.9714448,3.9390478,4.0753756,3.8742244,4.0149736,4.002737386932586,3.8380303382873535
1959-12-31,3.9062559604644775,3.744243621826172,4.063104629516602,3.6995394229888916,3.96876,4.0525736808776855,3.99367,3.763331413269043,3.753687858581543,3.797807,3.8321704864501953,3.939753,3.9300141,3.8664889335632324,4.0758705,3.810462,3.8988757,4.1774793,4.000708,4.046161,3.8434058690870274,3.8674309253692627
1960-12-31,3.836600473155714,4.029039118061327,4.053155139864308,4.019826085273533,3.837292,3.9026982906746537,3.8917763,3.9592262699179455,4.045201964737617,3.8740516,3.9390535766131256,3.8954835,3.9383059,3.8309173838732993,4.217486,3.914314,3.903045,3.759888,3.8768818,3.895114,3.9823185162291885,3.861522900241695
1961-12-31,3.853086471557617,3.8793246746063232,4.134911060333252,4.1869940757751465,3.914829,3.903148651123047,4.0645313,3.7625784873962402,4.0050201416015625,3.826518,3.695854902267456,3.8214781,3.777406,3.7412829399108887,3.861151,3.9098117,3.8792582,3.9041958,3.9666176,3.8222003,3.7794961046906157,3.844031572341919
1962-12-31,3.9498581886291504,3.828827381134033,4.136934280395508,3.873321056365967,3.949477,3.8184924125671387,3.8597772,3.9913437366485596,3.994285821914673,3.8129623,3.7856056690216064,4.0724587,3.9672654,3.9044580459594727,3.8196697,3.9418936,3.9420779,3.8634808,4.015453,3.7140837,3.8850108478322376,3.8847930431365967
1963-12-31,3.800788640975952,3.889031171798706,3.9605956077575684,3.8292152881622314,4.0717707,3.848222494125366,3.8596451,3.929155111312866,3.8836312294006348,3.9485214,3.970388412475586,3.9822447,3.9775858,3.673147201538086,3.8813252,3.8984082,3.9114792,3.8090425,4.110378,3.7225854,3.804722597479154,3.986424684524536
1964-12-31,3.972985071025483,3.7263018193310256,3.9245496073814286,4.0840815802143045,3.9128194,3.9479280043954716,3.9270947,3.9864005565643312,4.060768176104925,3.9213016,3.9447681577238316,4.024187,3.7262144,4.088228440937931,3.8259003,4.028197,4.166864,3.888849,3.8435676,3.7363656,3.8696045244636643,3.863969745538006
1965-12-31,3.8998260498046875,3.925997734069824,3.9691953659057617,3.884795665740967,3.8189292,4.052088260650635,4.0519414,3.8447530269622803,3.8171401023864746,3.8384836,3.9450957775115967,3.882081,3.9044778,4.008488178253174,3.8426604,3.9728281,3.8947718,4.125268,3.9241295,3.880719,3.8124287201705593,3.831792116165161
1966-12-31,4.254083156585693,3.913011312484741,3.9020490646362305,4.140415668487549,3.807103,3.8186633586883545,3.9058714,3.7058520317077637,3.9982261657714844,3.9083664,3.685516357421875,3.971554,3.8649933,4.149188995361328,3.9304638,3.9450111,3.9056427,3.8228853,3.9386475,3.9554305,4.027207170118833,3.846080780029297
1967-12-31,4.025789737701416,3.880021572113037,3.8949034214019775,3.855694532394409,3.8623588,3.925283908843994,3.9910996,3.9837687015533447,3.8482730388641357,3.9176605,3.9749293327331543,3.9272377,3.8614187,3.897970199584961,3.93768,3.9852378,3.8726773,4.0045733,3.9102736,4.001707,3.778830367260139,3.954371452331543
1968-12-31,4.003262157962747,3.97936453035433,3.8270662105246767,3.887265522512671,3.9992385,4.04124843943609,3.9560838,3.989001657211617,3.602911032389288,3.7750673,3.7750096644440743,3.8841286,3.746583,3.9396215509061943,3.8936331,4.0031934,4.0162234,3.9966488,3.9381247,4.0075245,3.9530239291177818,3.8395873402895995
1969-12-31,3.9290223121643066,3.9137518405914307,3.8829843997955322,3.9283297061920166,3.9257588,3.9869632720947266,4.0344753,3.8487389087677,3.880988836288452,3.9532588,3.9178664684295654,4.2346935,3.9996464,3.95279860496521,3.896036,4.020187,4.184323,3.9805462,4.0191026,3.8392808,3.739657355753403,3.8569295406341553
1970-12-31,3.830425977706909,3.935089588165283,3.9745936393737793,4.080787181854248,4.0889654,3.923261880874634,4.083114,3.6448726654052734,3.784067392349243,3.934074,3.8477418422698975,4.0092897,4.1143007,3.6805152893066406,3.8790882,3.9917972,3.926482,3.9380488,3.8175695,3.9674678,3.884733702050907,4.098995208740234
1971-12-31,3.957052707672119,3.9212560653686523,4.019189357757568,4.0544610023498535,4.0666566,3.8408799171447754,3.9134254,4.011926651000977,3.830815553665161,3.8233669,4.06098747253418,3.9217901,3.8851047,3.740833282470703,3.9721553,3.8440628,3.914145,3.8775458,3.8073173,3.7987585,3.7868292774568055,3.8202080726623535
1972-12-31,3.852280736622745,4.015595772168408,3.859680932515288,3.8478292680766484,3.9200902,4.00411516117723,3.8730175,3.948573126858228,3.842750846033227,3.8915246,3.9403087916439525,4.158387,3.8787622,3.7004707020031264,4.0331073,3.8949826,3.8751447,4.067706,3.9469872,3.9764318,4.014748890751916,3.958675143490099
1973-12-31,3.990084171295166,3.8838510513305664,3.8564014434814453,3.9770638942718506,3.8329332,3.996386766433716,4.0368676,4.148406028747559,3.7593941688537598,3.8882318,3.8220739364624023,3.9625652,3.8274763,3.9418137073516846,3.7323763,4.0088005,3.9167209,3.7616808,3.8519194,4.083717,3.8350434113481193,3.9402005672454834
1974-12-31,3.887878656387329,3.920596122741699,3.8499035835266113,3.7406961917877197,3.983673,3.9789140224456787,3.9268153,3.7999589443206787,3.9748973846435547,3.9551048,3.782759666442871,3.9944775,3.8541398,3.9011693000793457,3.9389975,3.8543162,3.9434392,3.9426255,3.9328482,3.8680143,3.810606074732775,3.8795971870422363
1975-12-31,4.123081207275391,3.9315412044525146,4.051893711090088,3.935617446899414,4.1188135,3.6700985431671143,3.942146,3.8553497791290283,3.7093749046325684,3.9102886,4.045113563537598,4.0974116,3.9599853,3.785703420639038,3.9642224,3.9672406,3.842332,3.8417614,3.955453,3.819747,3.984302077546466,3.8354201316833496
1976-12-31,3.8751903334709064,3.876713959484884,3.9943830444388193,4.0668673178921,3.90922,3.7603716298325423,3.9248414,3.8578610216101556,3.7379791308755745,3.7889488,3.940819075662796,3.8727558,3.950289,3.7891470634773987,3.7735813,3.8895583,3.7659671,4.1026106,3.9142592,3.8002896,3.881238367398137,3.902711770795796
1977-12-31,3.729158639907837,4.076375961303711,3.920642375946045,3.8592801094055176,3.8006752,3.885416030883789,3.7887323,3.9939286708831787,3.9116365909576416,3.927421,3.989778757095337,3.9810085,3.814621,3.869335174560547,3.919246,4.0283504,4.011906,3.8924768,3.8585107,4.035887,3.842917995745909,3.8597652912139893
