,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1950-12-31,3.336682129884139e-05,3.3049444027710706e-05,3.911992098437622e-05,3.650802682386711e-05,4.6441768e-05,4.333307879278436e-05,4.02831e-05,3.79020202672109e-05,3.750273390323855e-05,3.650046e-05,4.182154225418344e-05,4.131163e-05,4.2112464e-05,3.890717925969511e-05,3.7745034e-05,2.6654385e-05,3.6279354e-05,3.6097194e-05,3.85168e-05,3.7450907e-05,3.906107614518896e-05,4.1057748603634536e-05
1951-12-31,3.6942135920980945e-05,3.435246617300436e-05,4.096535485587083e-05,4.344711123849265e-05,4.07828e-05,3.524591738823801e-05,4.032931e-05,3.910679879481904e-05,3.7398691347334534e-05,4.3030544e-05,3.616946196416393e-05,3.767563e-05,3.9631304e-05,3.699491935549304e-05,3.451313e-05,3.482566e-05,3.1772794e-05,4.147306e-05,3.6938403e-05,3.2553708e-05,3.7209038283055e-05,4.687179171014577e-05
1952-12-31,3.5861719007050744e-05,3.992755874148355e-05,4.237808901086884e-05,3.788825412111023e-05,3.7410795e-05,3.412887581551808e-05,3.602503e-05,4.167109470830373e-05,3.7775693535293285e-05,3.472549e-05,4.029790427380606e-05,4.2850457e-05,3.1699816e-05,3.351226456910871e-05,3.6985588e-05,3.8809776e-05,3.7894155e-05,3.971886e-05,3.7419602e-05,3.368839e-05,3.895476945081788e-05,4.6230520048233165e-05
1953-12-31,3.727968578459695e-05,2.9885883122915402e-05,3.922158794011921e-05,3.6215700674802065e-05,3.580717e-05,4.322052336647175e-05,4.8426497e-05,3.693495091283694e-05,3.537663724273443e-05,2.6936252e-05,2.468853199388832e-05,4.269532e-05,2.8479935e-05,3.9992857637116686e-05,3.7565627e-05,3.6277e-05,3.4674034e-05,3.5266166e-05,3.3020253e-05,3.6144702e-05,3.185399455546714e-05,2.9562859708676115e-05
1954-12-31,4.147270738030784e-05,2.8457930966396816e-05,3.5607525205705315e-05,3.823278530035168e-05,3.2072163e-05,3.923030089936219e-05,4.1188792e-05,3.6384695704327896e-05,4.767783320858143e-05,3.3157005e-05,3.678905704873614e-05,4.406041e-05,3.948078e-05,3.611610009102151e-05,3.2583248e-05,3.8433922e-05,3.8623853e-05,3.7591682e-05,4.2547086e-05,3.343792e-05,3.171434354036333e-05,3.187662878190167e-05
1955-12-31,4.5784578105667606e-05,3.364105214131996e-05,3.638504495029338e-05,4.513549720286392e-05,4.1397616e-05,3.388454933883622e-05,3.890522e-05,4.159615491516888e-05,3.563076097634621e-05,4.0209732e-05,3.9593396650161594e-05,3.503782e-05,4.4864857e-05,3.9025409932946786e-05,3.4076857e-05,3.386554e-05,3.3522017e-05,3.3568416e-05,3.9093593e-05,3.578331e-05,3.997917648577824e-05,4.5794175093760714e-05
1956-12-31,3.552762157151543e-05,3.86468641113527e-05,4.0753999910558074e-05,3.3939637958994335e-05,2.9480096e-05,2.9870135421978133e-05,4.12124e-05,3.5314186375775206e-05,3.08861878405301e-05,4.1854324e-05,3.223570515775967e-05,3.8221388e-05,3.62072e-05,4.0372017735359845e-05,4.043242e-05,3.7950027e-05,3.7057776e-05,3.5830944e-05,3.77467e-05,3.274307e-05,3.804684245830097e-05,4.245168697843438e-05
1957-12-31,4.4443077058531344e-05,4.0398375858785585e-05,3.035022564290557e-05,3.9399143133778125e-05,3.496277e-05,3.4105079976143315e-05,4.5981276e-05,3.45555272360798e-05,3.9183989429147914e-05,4.251851e-05,4.9581776693230495e-05,3.83654e-05,2.9742727e-05,2.9201135475886986e-05,4.1977983e-05,4.447227e-05,3.5128993e-05,3.3965698e-05,4.716926e-05,3.502049e-05,3.493065482071819e-05,3.727954754140228e-05
1958-12-31,4.03763770009391e-05,4.0718517993809655e-05,3.888342689606361e-05,4.2551298975013196e-05,3.489632e-05,3.9444137655664235e-05,3.527513e-05,4.613548662746325e-05,3.712995021487586e-05,4.4308446e-05,3.3675896702334285e-05,2.9328758e-05,3.279878e-05,3.5529632441466674e-05,3.3112057e-05,4.0196897e-05,3.6362704e-05,3.629514e-05,4.342294e-05,4.007028e-05,3.791175557717643e-05,3.606565223890357e-05
1959-12-31,3.066169665544294e-05,3.097689841524698e-05,4.240271300659515e-05,3.4454569686204195e-05,3.745353e-05,4.091702794539742e-05,4.3481476e-05,3.8739945011911914e-05,3.9291877328651026e-05,4.475078e-05,3.878386996802874e-05,3.4779125e-05,3.7148522e-05,3.6229248507879674e-05,4.31202e-05,2.8860917e-05,3.9003055e-05,2.9996427e-05,3.8334736e-05,4.3684897e-05,4.0782291581270214e-05,4.0917024307418615e-05
