,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1950-01-31,2.3451137167285196e-05,2.9998287573107518e-05,2.050134753517341e-05,4.349280061433092e-05,4.04702e-05,4.182364500593394e-05,6.538855e-05,3.1413528631674126e-05,3.6214059946360067e-05,2.4827868e-05,4.466052268981002e-05,1.2351708e-05,5.4555592e-05,3.565622682799585e-05,3.7658745e-05,1.3585724e-05,1.9504912e-05,5.251806e-05,3.8298702e-05,5.758023e-05,4.481078330124492e-05,3.69668377970811e-05
1950-02-28,4.2300682252971455e-05,2.3004347895039245e-05,7.944127719383687e-05,2.0402154405019246e-05,1.3241299e-05,2.971222420455888e-05,4.5769848e-05,2.819084511429537e-05,3.955223291995935e-05,2.6782516e-05,4.719526259577833e-05,2.4190958e-05,3.5921006e-05,4.462727520149201e-05,2.2703533e-05,1.3289601e-05,4.038946e-05,1.8050836e-05,9.291856e-05,4.670933e-05,2.6145114407175436e-05,1.7402242519892752e-05
1950-03-31,3.7324687582440674e-05,3.767058296944015e-05,5.9325357142370194e-05,2.4078486603684723e-05,4.7739355e-05,4.113477552891709e-05,3.82092e-05,3.206097971997224e-05,4.153777990723029e-05,3.3863238e-05,3.057831054320559e-05,6.0068745e-05,2.3512892e-05,1.8376473235548474e-05,2.3403974e-05,2.5214882e-05,4.2418786e-05,5.6833884e-05,1.4847784e-05,4.7994898e-05,4.334886314962816e-05,3.149561598547734e-05
1950-04-30,5.698660606867634e-05,3.337555972393602e-05,4.639237522496842e-05,3.587970059015788e-05,3.3255055e-05,1.723909008433111e-05,2.7468428e-05,3.7765239540021867e-05,1.1720692782546394e-05,3.264214e-05,2.974837479996495e-05,1.3209501e-05,3.093825e-05,5.532001159735955e-05,2.9689903e-05,3.4163502e-05,8.742758e-06,2.9416507e-05,3.0319743e-05,8.554459e-06,4.0389259200897713e-05,4.956273551215418e-05
1950-05-31,1.5782827176735736e-05,3.343206481076777e-05,3.567068051779643e-05,1.911826439027209e-05,5.5555265e-05,4.166584767517634e-05,6.670577e-05,3.980367910116911e-05,6.849240162409842e-05,2.4411913e-05,3.582253702916205e-05,3.873773e-05,5.0315248e-05,2.7766516723204404e-05,5.444135e-05,2.7704144e-05,3.767424e-05,3.7815e-05,3.45618e-05,2.5510311e-05,2.123895864869496e-05,2.7012827558792196e-05
1950-06-30,3.3950807846849784e-05,4.160882963333279e-05,2.732527718762867e-05,5.4538631957257167e-05,3.5407138e-05,5.9232716012047604e-05,3.9437782e-05,5.760163185186684e-05,3.6830304452450946e-05,4.6646335e-05,4.3454863771330565e-05,2.3558521e-05,3.1079286e-05,2.9667464332305826e-05,4.4657172e-05,1.175962e-05,4.893847e-05,3.6069086e-05,4.3986303e-05,5.9394235e-05,5.576483168662586e-05,2.2759293642593548e-05
1950-07-31,2.5781733711482957e-05,6.35352116660215e-05,5.033242268837057e-05,3.7276928196661174e-05,5.6265704e-05,7.835219003027305e-05,3.5249985e-05,6.18954945821315e-05,5.931957275606692e-05,3.342253e-05,4.092047311132774e-05,6.0548697e-05,6.147932e-05,3.7859757867408916e-05,4.06699e-05,5.0762377e-05,4.6282308e-05,5.1111976e-05,5.1916795e-05,3.3727923e-05,5.5360065293067846e-05,5.531209535547532e-05
1950-08-31,3.9146849303506315e-05,2.9892324164393358e-05,3.839496275759302e-05,7.391483086394146e-05,5.743553e-05,4.9165664677275345e-05,4.1918604e-05,3.936798020731658e-05,3.455667319940403e-05,7.601535e-05,5.693101411452517e-05,7.21035e-05,6.5146596e-05,3.777120218728669e-05,4.1479063e-05,5.073017e-05,3.998633e-05,4.3589996e-05,3.260505e-05,5.342968e-05,5.900696236527854e-05,0.00013565992412623018
1950-09-30,1.126869574363809e-05,1.4719201317348052e-05,4.590950265992433e-05,3.67360444215592e-05,0.000117497664,8.469293970847502e-05,3.028545e-05,3.766264853766188e-05,6.671427399851382e-05,1.8830016e-05,5.213190888753161e-05,4.0757142e-05,4.923197e-05,8.368626731680706e-05,5.5040826e-05,2.1384432e-05,3.5794128e-05,3.1603937e-05,4.890156e-05,4.4577962e-05,8.730558952076232e-05,3.637723784777336e-05
1950-10-31,2.4001219571800902e-05,1.4497933079837821e-05,3.3588883525226265e-05,1.9273622456239536e-05,4.4033754e-05,3.0890365451341495e-05,1.7090273e-05,3.827695400104858e-05,1.9581244487199e-05,5.0250208e-05,4.6244625991676e-05,4.010443e-05,4.5394965e-05,4.4154279748909175e-05,2.4116818e-05,2.2311742e-05,5.8838166e-05,2.0895592e-05,5.646748e-06,5.8471956e-06,1.1092056928841317e-05,1.711793629510794e-05
1950-11-30,3.5592212952906266e-05,4.334296318120323e-05,1.7717378796078265e-05,3.552567432052456e-05,2.8152726e-05,2.8090389605495147e-05,4.2465115e-05,2.4746292183408514e-05,1.469948074372951e-05,1.939274e-05,2.0406596377142705e-05,3.5332327e-05,2.5386018e-05,3.1785733881406486e-05,3.7411686e-05,9.617705e-06,2.54839e-05,2.0102227e-05,1.883069e-05,3.769933e-05,9.300831099094224e-06,2.5253835701732896e-05
1950-12-31,5.5818694818299264e-05,3.057130015804432e-05,1.8124374037142843e-05,3.683758041006513e-05,2.5955414e-05,1.7192611267091706e-05,3.3246375e-05,2.5298128093709238e-05,2.0365761884022504e-05,4.9061156e-05,5.358906491892412e-05,7.1429466e-05,3.0762978e-05,2.2214655473362654e-05,4.0722138e-05,3.707754e-05,3.0852734e-05,3.2535478e-05,5.4244523e-05,2.9294943e-05,1.4108534025088677e-05,3.450645453995094e-05
1951-01-31,4.800925307790749e-05,3.495423879940063e-05,1.944251562235877e-05,3.6455974623095244e-05,3.6759862e-05,2.195588604081422e-05,2.0917132e-06,6.179385673021898e-05,4.4017368054483086e-05,3.3714245e-05,2.4982109607663006e-05,3.685283e-05,3.0799463e-05,2.476045847288333e-05,2.8565737e-05,3.6166322e-05,1.8421824e-05,1.6100052e-05,5.909417e-05,2.5342462e-05,2.3319464242395802e-05,1.7016558558680117e-05
1951-02-28,8.171443187166005e-05,1.1856840501422994e-05,5.614656038233079e-05,3.270717934356071e-05,3.742878e-05,3.750158430193551e-05,2.132197e-05,2.4728657081141137e-05,2.6772906494443305e-05,5.79561e-05,4.0934563003247604e-05,4.1278676e-05,3.704061e-05,3.0351016903296113e-05,2.9269688e-05,2.6756483e-05,1.44955e-05,3.5305035e-05,3.1773012e-05,4.379379e-05,2.4317087986146036e-05,4.4955631892662495e-05
1951-03-31,2.7338692234479822e-05,5.662750845658593e-05,4.803244155482389e-05,2.753139051492326e-05,4.1322306e-05,1.5017150872154161e-05,2.7899952e-05,2.446162216074299e-05,2.800020774884615e-05,4.6212426e-05,4.521331356954761e-05,2.6982789e-05,3.2908516e-05,4.3685253331204876e-05,1.4651375e-05,3.6115158e-05,9.411712e-06,2.6542662e-05,3.6003796e-05,3.1674517e-05,3.538541129681031e-05,2.5544160962454043e-05
1951-04-30,4.2146421037614346e-05,3.0552771931979805e-05,2.6076482754433528e-05,5.2012241212651134e-05,5.3265e-05,2.4928327547968365e-05,2.784198e-05,2.4785542336758226e-05,3.788980029639788e-05,2.4821793e-05,2.986930303450208e-05,4.858328e-05,5.09963e-05,3.0357563446159475e-05,1.8993223e-05,5.0817685e-05,5.2006082e-05,1.7739543e-05,3.866298e-05,3.6866222e-05,1.9999216757327076e-05,2.7256814064458013e-05
1951-05-31,1.435897866031155e-05,3.21748957503587e-05,2.694915747269988e-05,4.081330553162843e-05,3.3408505e-05,2.0056135326740332e-05,4.3910513e-05,3.65966152457986e-05,3.6743142118211836e-05,3.3826924e-05,1.453679669793928e-05,4.220017e-05,4.2610634e-05,5.870269887964241e-05,4.6229263e-05,3.060094e-05,4.2378055e-05,3.9926952e-05,3.49337e-05,6.0319977e-05,3.6317684940456727e-05,2.129563108610455e-05
1951-06-30,3.687042408273555e-05,2.256547668366693e-05,1.7131600543507375e-05,2.9704220651183277e-05,4.5149176e-05,1.6006380974431522e-05,4.9780545e-05,3.196562101948075e-05,4.4326316128717735e-05,3.0452058e-05,2.3225265977089293e-05,2.8521863e-05,2.911316e-05,4.148517837165855e-05,4.2223128e-05,4.18598e-05,3.0368437e-05,2.8164468e-05,1.6293123e-05,2.7478782e-05,4.9406001182224675e-05,3.5998695238959044e-05
1951-07-31,3.2604661100776866e-05,6.552787817781791e-05,5.2454168326221406e-05,4.32242413808126e-05,5.395373e-05,4.687414184445515e-05,4.921802e-05,4.629023533198051e-05,6.19232960161753e-05,6.22835e-05,3.295075293863192e-05,4.679335e-05,5.160524e-05,5.386449265643023e-05,3.6552297e-05,5.094127e-05,3.5559726e-05,4.319404e-05,3.170018e-05,4.954847e-05,7.769908683220213e-05,6.730431050527841e-05
1951-08-31,4.5625740312971175e-05,3.922692849300802e-05,3.131463745376095e-05,9.972073894459754e-05,5.622384e-05,6.35980031802319e-05,7.744462e-05,1.4198031749401707e-05,6.338134699035436e-05,5.537978e-05,3.1898529414320365e-05,4.8053593e-05,3.604131e-05,3.310294050606899e-05,4.3139997e-05,5.4225875e-05,2.4004083e-05,6.994261e-05,4.7798247e-05,3.2503107e-05,6.473867215769738e-05,4.75293563795276e-05
1951-09-30,4.144562262808904e-05,2.2894133508089e-05,7.356968853855506e-05,4.947758134221658e-05,5.1261788e-05,4.3930067477049306e-05,6.21991e-05,1.5784858987899497e-05,4.696632095146924e-05,6.282024e-05,5.704176874132827e-05,1.8090595e-05,6.609775e-05,3.430313154240139e-05,3.636291e-05,4.5532728e-05,3.852073e-05,6.1327264e-05,4.4146756e-05,2.858093e-05,6.514610953812413e-05,7.975902553880587e-05
1951-10-31,3.054345870623365e-05,3.1131537980400026e-05,2.357010635023471e-05,2.543565096857492e-05,3.1372918e-05,4.517978959484026e-05,5.095256e-05,3.7948386307107285e-05,1.2393411452649161e-05,3.937088e-05,5.196109850658104e-05,2.7602642e-05,2.1827318e-05,2.3188305931398645e-05,7.175074e-05,6.7182327e-06,5.338848e-05,6.1362625e-05,3.8765644e-05,9.339242e-06,9.96671911444059e-06,7.573274342576042e-05
1951-11-30,2.606715861475095e-05,2.9992426789249294e-05,3.506464418023825e-05,4.309363794163801e-05,3.7829483e-05,3.299989111837931e-05,2.7960956e-05,8.577047265134752e-05,1.4709334209328517e-05,3.9071256e-05,3.217647099518217e-05,3.405668e-05,3.5416742e-05,2.4169778043869883e-05,2.5433703e-05,1.789203e-05,1.5321364e-05,5.2257044e-05,4.3253676e-05,2.3333121e-05,2.310673481969172e-05,4.4980901293456554e-05
1951-12-31,2.0873632820439525e-05,3.15348879666999e-05,8.29137206892483e-05,4.0165919926948845e-05,1.18799e-05,5.437618165160529e-05,4.169893e-05,6.362688873196021e-05,3.0448569305008277e-05,3.1419284e-05,4.9628433771431446e-05,5.274781e-05,4.1613006e-05,4.4755452108802274e-05,1.999293e-05,2.0042458e-05,4.6019904e-05,4.501094e-05,2.0161575e-05,2.250143e-05,1.6246807176016158e-05,7.491861470043659e-05
1952-01-31,3.258488708173819e-05,4.665121095241474e-05,5.2220315447195916e-05,4.077766099289563e-05,1.8007984e-05,4.001543751790619e-05,4.088472e-05,4.449426253246954e-05,2.36162536506816e-05,6.148402e-05,4.033526359299218e-05,4.6555506e-05,3.2544925e-05,2.2976798156319532e-05,4.5092333e-05,3.4461784e-05,3.5102083e-05,5.287066e-05,7.058215e-05,3.2610562e-05,3.742826516900758e-05,4.145945153628682e-05
1952-02-29,3.2839355831727956e-05,4.471305834132165e-05,3.763100302725927e-05,3.412151900747792e-05,4.8162095e-05,3.0496886147091118e-05,3.393268e-05,6.420728935932509e-05,4.470078485576044e-05,2.8902956e-05,5.8911225484070684e-05,2.863143e-05,1.9756408e-05,3.130258595098111e-05,3.964148e-05,3.915611e-05,2.2795539e-05,5.0205042e-05,4.6548925e-05,4.2485914e-05,4.330534637409339e-05,4.520137042618444e-05
1952-03-31,4.000613409934019e-05,5.5344159589868383e-05,3.310809965390195e-05,3.801118334744921e-05,5.0106646e-05,4.177803771268013e-05,4.0696574e-05,2.4357876631643562e-05,2.0537422377555552e-05,4.7611982e-05,3.359987941939637e-05,2.9397268e-05,2.8240655e-05,4.162207806367124e-05,2.6706048e-05,2.6227175e-05,2.9088122e-05,3.480695e-05,3.8259222e-05,2.3803768e-05,4.256139281192025e-05,3.628006397647251e-05
1952-04-30,3.949600512213417e-05,3.623605159065087e-05,2.6828401621159514e-05,3.164341250704676e-05,2.6167323e-05,3.595386995470055e-05,2.8562621e-05,1.975055615449269e-05,4.541704169120919e-05,2.9628485e-05,2.5311043533248104e-05,3.49288e-05,3.0140473e-05,3.2883564653533406e-05,4.8427042e-05,1.32792875e-05,2.0451269e-05,2.800354e-05,1.9935604e-05,1.3463905e-05,2.054471519462216e-05,4.8990827923312e-05
1952-05-31,2.3843637242565263e-05,3.3908949572583705e-05,2.4624524282642362e-05,2.654110420828895e-05,3.094835e-05,2.585634947836712e-05,2.1918773e-05,3.2049161724314886e-05,2.561575162691875e-05,2.8702985e-05,3.175389646314203e-05,2.4608782e-05,4.062035e-05,2.2770962109388486e-05,5.3448915e-05,3.3430293e-05,2.9873467e-05,4.2940195e-05,2.3121345e-05,2.825084e-05,4.480732145601962e-05,3.363133172141012e-05
1952-06-30,2.20884843587991e-05,4.7862535653801314e-05,3.336690644270372e-05,3.157242253089739e-05,6.2367624e-05,2.0067760795150656e-05,3.232618e-05,3.551274173598055e-05,3.5654320019654996e-05,2.202335e-05,3.682356777815106e-05,3.3957313e-05,1.8493794e-05,1.507964957833489e-05,4.115676e-05,4.992446e-05,5.2049967e-05,3.6939495e-05,3.876416e-05,3.5786627e-05,3.709359707760503e-05,5.678888301072031e-05
1952-07-31,3.519594660734847e-05,3.480117765450946e-05,6.193876804023867e-05,5.5290135671912724e-05,5.6389763e-05,4.915304816356345e-05,7.421153e-05,6.542688288987157e-05,6.215738810697662e-05,3.6016398e-05,5.737240400827842e-05,4.818293e-05,6.432654e-05,1.3961732487323094e-05,4.608942e-05,5.9152888e-05,4.0872554e-05,2.9983205e-05,4.8136128e-05,1.7523615e-05,9.990412407508605e-05,4.227350320577223e-06
