,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
2015-12-31,3.274348273407668e-05,4.210882252664305e-05,3.9498791011283174e-05,3.972404738306068e-05,3.6012756e-05,3.6493187508312985e-05,4.6185633e-05,3.436678889556788e-05,4.3369640479795635e-05,3.8535523e-05,4.188739330857061e-05,3.130576e-05,3.7730304e-05,4.6075674617895856e-05,3.250189e-05,4.2937816e-05,4.095486e-05,3.8588067e-05,3.690366e-05,4.6931204e-05,2.8039623387073682e-05,3.7495661672437564e-05
2016-12-31,4.532248531468783e-05,3.277920290269858e-05,4.535595137638897e-05,4.075250389586018e-05,3.276226e-05,4.0952505209767816e-05,3.4073295e-05,3.5181567602562324e-05,4.125068170817345e-05,4.2872376e-05,4.862035426325231e-05,3.796388e-05,3.9619463e-05,3.814015937860504e-05,3.5021538e-05,4.8649254e-05,3.9396367e-05,4.1494233e-05,3.9171744e-05,3.2064767e-05,3.5216919208950536e-05,3.4160004187654006e-05
2017-12-31,3.1673978810431436e-05,3.0174549465300515e-05,3.403560913284309e-05,3.9538219425594434e-05,3.6550788e-05,4.3227424612268806e-05,3.3656077e-05,3.7445337511599064e-05,3.5963479604106396e-05,4.0717903e-05,4.5665306970477104e-05,4.6086e-05,4.090764e-05,4.627885209629312e-05,4.0408468e-05,3.744453e-05,4.314663e-05,3.513941e-05,3.543737e-05,3.4783723e-05,3.454535653788864e-05,3.475569246802479e-05
2018-12-31,3.562709389370866e-05,3.220520738977939e-05,3.929754893761128e-05,3.83279038942419e-05,4.868029e-05,4.059061757288873e-05,4.4944914e-05,4.192940832581371e-05,2.9725622880505398e-05,3.4695713e-05,3.489543087198399e-05,3.279493e-05,3.60685e-05,3.976918014814146e-05,3.8426093e-05,3.683846e-05,4.213827e-05,4.0353527e-05,5.072102e-05,4.880019e-05,4.144669316524393e-05,4.522564267972484e-05
2019-12-31,3.232128801755607e-05,3.790185655816458e-05,4.076421828358434e-05,4.2709412809927016e-05,3.5010504e-05,4.041599095216952e-05,4.9923965e-05,3.950676182284951e-05,3.7405356124509126e-05,3.4364195e-05,3.2130432373378426e-05,4.1150168e-05,4.8372374e-05,5.531170609174296e-05,4.2564785e-05,2.914075e-05,3.6568083e-05,4.3446347e-05,4.0328046e-05,3.7103295e-05,4.24111749236673e-05,4.280262146494351e-05
2020-12-31,3.6682162762204267e-05,4.225395412092384e-05,4.156440541256199e-05,4.0194719907283934e-05,3.8440412e-05,4.4576234223846076e-05,3.556459e-05,3.355239536251011e-05,3.842873191529034e-05,3.8078488e-05,3.926952258770323e-05,5.4011256e-05,3.6914415e-05,4.4147567339572744e-05,4.589686e-05,3.5543097e-05,4.0115032e-05,4.6335128e-05,4.0641236e-05,3.4297937e-05,3.9906816513668764e-05,4.160294315785465e-05
2021-12-31,4.155796705163084e-05,3.437778286752291e-05,2.917452366091311e-05,3.673083119792864e-05,3.3869866e-05,2.949386544059962e-05,4.058218e-05,4.088789864908904e-05,4.6364748413907364e-05,3.563885e-05,4.500376962823793e-05,4.3808333e-05,4.2662763e-05,3.311205000500195e-05,4.5799065e-05,4.4658696e-05,4.6333407e-05,4.5049797e-05,4.745063e-05,3.613148e-05,3.782908474669656e-05,3.463886241661385e-05
2022-12-31,4.075797551195137e-05,5.1216266001574695e-05,4.432708738022484e-05,4.7524932597298175e-05,4.0463696e-05,3.8718277210136876e-05,4.0559935e-05,3.976430889451876e-05,3.9005986764095724e-05,4.1007075e-05,3.2466363336425275e-05,4.2180876e-05,3.2567226e-05,4.353675831225701e-05,3.882354e-05,3.8580314e-05,3.063806e-05,3.5255307e-05,3.8226888e-05,3.460959e-05,4.330678817668928e-05,3.800850026891567e-05
2023-12-31,4.457272370927967e-05,4.1075400076806545e-05,3.3695549063850194e-05,3.9070444472599775e-05,4.5673285e-05,3.8120047975098714e-05,4.4826702e-05,4.157004150329158e-05,4.142069519730285e-05,3.600118e-05,4.51166633865796e-05,3.4502315e-05,4.1126135e-05,4.269168130122125e-05,4.2038224e-05,4.295071e-05,4.0852323e-05,4.2057058e-05,4.4767712e-05,3.8038823e-05,4.117214422373981e-05,4.31544249295257e-05
2024-12-31,4.127071580366834e-05,4.258882169122985e-05,4.390930393927676e-05,2.9376957736183493e-05,4.129845e-05,3.5502933137211835e-05,3.9122922e-05,4.1919291138397566e-05,3.645719113713245e-05,3.3701595e-05,4.051848708494237e-05,3.991164e-05,4.3605796e-05,3.5165193092701353e-05,4.2656204e-05,3.4288518e-05,4.0835e-05,4.1032174e-05,4.3551758e-05,3.2338394e-05,3.683489710570524e-05,5.226979584042529e-05
2025-12-31,4.532689126790501e-05,4.057970363646746e-05,3.672402453958057e-05,2.997482988575939e-05,3.982494e-05,3.690278026624583e-05,3.8863236e-05,3.57248900400009e-05,3.384701631148346e-05,3.2836393e-05,3.868698695441708e-05,3.8467708e-05,3.3484077e-05,3.9915539673529565e-05,3.7486887e-05,3.8520055e-05,4.50211e-05,4.0547035e-05,4.0749488e-05,3.4140427e-05,4.254217966825359e-05,3.425903560128063e-05
2026-12-31,3.8002312066964805e-05,4.127810097998008e-05,3.758834282052703e-05,3.997886597062461e-05,4.5421788e-05,4.4747845095116645e-05,4.1925996e-05,3.7987490941304713e-05,4.045452442369424e-05,3.3725406e-05,4.515204273047857e-05,2.8265398e-05,4.2724074e-05,3.8539223169209436e-05,3.2643216e-05,4.4036442e-05,3.184087e-05,3.6596215e-05,4.2972373e-05,3.763825e-05,3.7193393512541455e-05,4.577195068122819e-05
2027-12-31,4.056217585457489e-05,3.442105298745446e-05,4.574812555802055e-05,4.3639611249091104e-05,3.244438e-05,2.9886701668146998e-05,4.1948548e-05,4.3418825953267515e-05,4.03959202230908e-05,3.711948e-05,4.1371687984792516e-05,4.7162754e-05,3.66769e-05,4.2566425690893084e-05,3.978696e-05,4.560531e-05,4.097916e-05,4.3618904e-05,3.847087e-05,3.6868678e-05,3.52836497952147e-05,3.429751450312324e-05
2028-12-31,3.1582475411658e-05,4.132135590764892e-05,3.39811515890743e-05,4.69030674345506e-05,3.6203382e-05,4.6628244703059534e-05,4.29354e-05,4.763993130518115e-05,3.7656738409244164e-05,4.040045e-05,3.356884419289374e-05,3.331491e-05,3.4105586e-05,3.660005939357958e-05,3.329261e-05,4.3159693e-05,4.1125088e-05,3.967787e-05,3.0860898e-05,4.25164e-05,4.046135327176869e-05,4.829859835004277e-05
2029-12-31,2.754269189608749e-05,3.862724770442583e-05,2.969026354548987e-05,3.952169936383143e-05,3.7363625e-05,3.674129402497783e-05,3.961827e-05,4.199540489935316e-05,4.489732236834243e-05,3.7025628e-05,4.6785200538579375e-05,3.348201e-05,4.1181145e-05,4.0314465877600014e-05,3.4273155e-05,2.971569e-05,3.930517e-05,4.458635e-05,3.364851e-05,4.102951e-05,4.759489535119755e-05,4.756867201649584e-05
2030-12-31,4.3494441342772916e-05,4.538687062449753e-05,3.5822653444483876e-05,3.2667132472852245e-05,4.7195714e-05,4.506287586991675e-05,3.146745e-05,4.774209810420871e-05,3.369701880728826e-05,3.3414384e-05,3.455115802353248e-05,3.8321854e-05,4.213624e-05,4.7032292059157044e-05,3.6873327e-05,3.734304e-05,4.1496405e-05,3.9227005e-05,3.810348e-05,3.5547175e-05,4.0541870836392835e-05,4.277744665159844e-05
