,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1950-01-31,5.124994277954102,5.160846710205078,4.713646411895752,4.909784317016602,5.4781766,5.045837879180908,4.8110313,4.266874313354492,4.519199848175049,4.706811,4.928027629852295,4.554277,4.72404,5.1550774574279785,4.4591703,4.4561577,3.96795,4.913611,4.583032,4.3609295,4.240868488947551,4.39843225479126
1950-02-28,4.678650856018066,4.815213680267334,5.9412126541137695,4.585127353668213,4.463673,4.694950580596924,5.3182893,4.6116533279418945,4.114414215087891,4.4756556,4.471304416656494,5.085651,4.0553617,4.02899169921875,5.1425323,4.255456,4.377053,5.127891,5.1039925,4.667876,5.061639019421169,4.896549701690674
1950-03-31,4.936010837554932,4.81516695022583,5.429180145263672,4.257035255432129,5.3966784,4.838837623596191,4.302104,4.226317405700684,4.554226398468018,4.173425,4.932257175445557,4.398495,4.580506,4.600073337554932,5.0535808,4.969003,4.4876127,4.6646023,4.9951234,4.8671637,5.373428893089295,5.180327415466309
1950-04-30,3.8323862552642822,4.018890380859375,3.8973612785339355,3.8073911666870117,4.030119,3.9591054916381836,4.69029,4.445417881011963,4.1151123046875,4.4815235,4.484861850738525,3.8064477,4.5637603,4.368014335632324,4.394808,4.401171,4.196765,4.732117,4.331943,3.376309,5.303608512878418,4.087679386138916
1950-05-31,3.957568645477295,3.522794485092163,4.141226291656494,3.641927480697632,4.1685205,3.885305881500244,4.0002484,3.8503730297088623,4.410703182220459,4.1378217,3.3699495792388916,3.2150545,3.9409845,3.017765522003174,3.9831655,3.5788298,3.7526448,3.7951438,3.9149728,3.9689007,3.3462520321210225,4.101111888885498
1950-06-30,3.5105693340301514,3.4757492542266846,3.398810386657715,3.2632789611816406,3.4944067,3.284398078918457,3.467314,3.2395427227020264,3.6101396083831787,3.1979012,3.006636619567871,3.3916771,3.8559976,3.1216213703155518,2.9825385,3.4282324,3.6841393,3.7841113,3.2925591,3.4677408,3.229941205183665,3.0303192138671875
1950-07-31,3.084075450897217,3.063478469848633,3.007427453994751,2.805479049682617,3.1627448,3.066877841949463,3.113654,2.784484624862671,3.078075647354126,2.9059987,3.15910005569458,2.7954235,2.9235826,2.9118006229400635,2.3796427,3.0552468,2.9405885,3.282676,3.058566,3.1716723,2.76994069814682,3.3161561489105225
1950-08-31,2.7141430377960205,2.7730953693389893,2.7325098514556885,3.2844722270965576,3.1107285,2.1092569828033447,2.7339208,2.519443988800049,2.521415948867798,3.1636739,2.705862045288086,3.0165942,2.8405447,2.6602513790130615,2.8125675,3.0353591,2.6963494,3.1492307,3.2259614,2.8048503,3.0042399883270265,4.509607791900635
1950-09-30,3.5025839805603027,3.4805092811584473,3.2188637256622314,3.760446071624756,3.3167734,3.460083246231079,3.1344903,3.3598265647888184,3.279205083847046,3.3787076,3.313403844833374,3.560872,3.9306138,3.579517126083374,3.3974779,3.5281067,3.0302684,2.934067,4.1324353,3.0531867,3.6412455161412556,3.363722801208496
1950-10-31,3.6053290367126465,3.413539171218872,4.397045135498047,3.8965978622436523,3.8938794,3.3399739265441895,3.8237176,3.391627311706543,3.87972092628479,4.1465635,4.174496650695801,3.653566,3.5445447,3.9877161979675293,3.8308635,4.3314276,4.6383176,3.6912112,3.8187835,3.990536,3.432217562198639,3.401721239089966
1950-11-30,4.342888355255127,4.050999641418457,3.9487252235412598,4.013216018676758,4.327494,4.455571174621582,3.9248567,4.292630672454834,4.195790767669678,4.6299906,5.361948490142822,4.340199,4.1469135,4.461026191711426,4.0818763,3.8467116,4.133474,4.477419,4.278791,4.4046955,3.7714610576629637,3.6738085746765137
1950-12-31,5.210770130157471,4.095844745635986,4.128922462463379,4.69687557220459,4.4703946,4.605388641357422,4.994659,4.34538459777832,4.892885684967041,3.8438654,4.620060443878174,4.648446,4.377027,4.411673545837402,5.039413,4.8749413,4.115169,5.355197,4.3694453,5.0276747,4.703996578852336,4.212133884429932
1951-01-31,4.855867862701416,5.0031352043151855,5.016274452209473,4.527496814727783,4.664119,4.794357776641846,5.117148,4.669307708740234,4.668341159820557,6.0289826,5.037172317504883,5.5027976,4.584095,4.773814678192139,3.8045583,5.463428,4.374731,4.143552,4.5982203,4.9849906,5.0918261726697285,4.664177894592285
1951-02-28,5.736490726470947,4.570533752441406,5.823590278625488,4.967587471008301,5.1077847,4.213772773742676,4.79498,5.302687168121338,5.133743762969971,4.671852,5.110315799713135,4.6278043,4.998839,5.662230491638184,5.185368,4.692883,4.71864,4.5121202,4.994695,4.977755,4.274361414568765,5.096439361572266
1951-03-31,4.698001861572266,4.468972682952881,4.531562328338623,4.232030391693115,4.9447675,4.50020694732666,4.8478537,4.087745666503906,4.422913074493408,5.361286,4.249780178070068,5.1385646,4.7422695,4.965079307556152,5.172417,4.932103,4.25261,4.461963,4.1719136,3.909567,4.080742414792379,4.517682075500488
1951-04-30,4.897153377532959,3.9973785877227783,3.8335187435150146,4.460394382476807,5.349572,4.322787284851074,4.896477,4.474700450897217,3.9635510444641113,4.1661005,4.467642784118652,4.865825,4.222192,4.2249369621276855,3.4857013,4.761403,4.4717917,4.1937647,4.6124415,4.4634924,3.997682571411133,4.2957763671875
1951-05-31,3.817761182785034,2.9345431327819824,3.16595458984375,4.007664203643799,3.784636,4.083771228790283,3.8559945,3.7395474910736084,4.259413242340088,3.5722272,3.557248830795288,3.503504,4.160705,4.161489963531494,3.6222315,4.201864,3.7468975,4.667925,3.2277265,3.3186717,3.5956544995307924,3.4390175342559814
1951-06-30,3.7976725101470947,3.4242217540740967,3.311378240585327,3.0405545234680176,3.2562644,3.229257106781006,3.4231331,3.0909509658813477,3.5054848194122314,2.7392812,2.9881603717803955,2.8199096,3.3313005,3.310253381729126,3.2056487,3.6389601,3.4565387,3.8811464,3.625573,3.3832262,3.3505721847216288,3.3873744010925293
1951-07-31,3.0995490550994873,3.452657699584961,2.699894905090332,2.739957571029663,3.1993644,3.0157744884490967,3.8779306,3.006575345993042,3.2109923362731934,3.1407042,2.8365931510925293,2.932982,2.9940283,2.8940768241882324,3.1914346,2.928594,2.91694,2.8396397,2.8337185,2.8754117,2.9145439743995665,2.839453935623169
1951-08-31,2.784334659576416,2.9756157398223877,3.11017107963562,2.9396376609802246,3.2760367,2.7758915424346924,3.2271497,2.7852861881256104,3.2585978507995605,3.0928292,2.8811323642730713,3.2040243,2.5668557,2.9963538646698,3.3259878,3.1243505,3.088831,2.7829192,2.9283724,3.1841836,2.520826780796051,2.506176471710205
1951-09-30,2.699871778488159,2.7783689498901367,3.5053210258483887,3.3446199893951416,3.671595,3.3485193252563477,3.4674592,3.215510368347168,3.329503059387207,2.9297862,3.1681790351867676,3.0397327,3.6632147,3.245724678039551,3.4140084,3.2101636,3.443117,4.646934,2.6450207,2.6776445,2.7095654527346293,3.492516279220581
1951-10-31,4.6802077293396,4.107367038726807,4.117534637451172,3.401449680328369,3.6930327,3.3933827877044678,4.1071186,3.9912302494049072,3.84363055229187,3.8920212,4.013104438781738,3.5087466,3.7428758,3.715761184692383,4.173175,3.861565,3.9563012,4.115915,2.9713159,3.691772,3.4624636212984723,3.3813982009887695
1951-11-30,3.3174755573272705,4.406022071838379,4.309150218963623,4.540629863739014,4.1664143,4.019499778747559,4.9111147,4.485884666442871,4.972720623016357,4.8091216,4.864765644073486,4.467771,3.7363734,4.718595504760742,3.704262,3.9730008,3.8040226,4.2566504,4.117001,3.9926007,4.879809315999349,3.987994909286499
1951-12-31,4.018639087677002,5.0154595375061035,4.8481903076171875,4.416378974914551,4.750547,4.500059604644775,4.4034295,5.077785491943359,4.689895153045654,4.748995,4.549623966217041,4.7514253,4.975078,4.910994052886963,4.9729013,5.2451735,4.9066787,4.5720325,4.8220143,4.5292573,4.3982453028361,4.316209316253662
1952-01-31,4.092443631541345,5.47891374557249,5.987134721971327,5.03167442352541,5.173393,4.556869122289842,4.9523363,4.823492803881245,4.909726727393366,4.73171,4.743505500978039,5.084087,4.426217,4.510533179006269,4.6106615,4.536735,4.4928284,5.5932074,5.1247663,4.0780683,4.70793555577596,4.6018393347340245
1952-02-29,4.437866257769721,4.991331951958792,4.893917492457798,5.189542221171515,4.8047423,5.001108688967569,4.9819894,4.72807422706059,4.418995938130787,3.9431944,4.802458984511239,5.1259465,4.475134,4.329638012817928,5.109019,4.7950716,4.1514344,5.13735,5.0608335,5.1191974,5.2293153507956145,3.9635138383933475
1952-03-31,5.603029589499196,4.638902841075774,3.755627574459199,4.61416200284035,5.0008106,5.573184405603716,4.6271353,4.833899640267895,4.6670703849484845,4.52197,4.487982969130239,4.787261,4.731915,4.367531599537019,4.254542,4.886548,3.9515169,5.0074267,5.2354474,5.4518256,5.303978288173676,3.8978920021364765
1952-04-30,3.902772041161855,4.573745818932851,4.39232447942098,4.559442396958669,4.5598054,4.799720327059428,3.9949944,3.7728654623031614,5.296116717656454,4.3476377,4.368681065241495,4.1835313,4.450218,4.6683743317921955,4.7822137,3.8682718,4.0079517,4.2695856,4.638501,3.82418,4.017879867553711,3.8931147416432696
1952-05-31,3.400527427273412,3.5123296399270334,3.389192646549594,3.52487914792953,3.5785801,3.957400575760872,3.4940107,3.1810962346292313,3.6202421765173636,3.9486842,3.757779840500124,3.4954178,3.57839,3.910360074812366,3.5106394,3.5115004,3.893477,3.3304574,3.2667935,3.767067,3.7545947432518005,3.4160075841411466
1952-06-30,3.147238790988922,3.2298744599024456,3.282262682914734,3.2552966912587484,3.6464791,2.686922093232473,3.4995108,3.4242598255475363,3.023958118756612,3.4012523,3.1225884993871054,3.5016224,3.232223,3.3644479632377626,3.237786,3.644869,3.5010376,3.5660052,3.6156247,3.0034454,3.1196489930152893,3.458412563800812
1952-07-31,2.8664485639141453,3.6009067604618687,2.9465567546506084,2.7847039814918273,3.312057,3.26030174955245,3.5065837,3.318876585652751,3.4032203420515983,2.6771913,3.0285804579334874,2.7566824,2.6709523,2.8470647873417025,3.2628214,2.8286905,2.7351384,2.8920486,3.0442433,2.9506433,2.6943718751271564,2.8421892004628337
1952-08-31,3.1525788499462988,3.089741910657575,3.412160442721459,2.3985063472101764,3.219922,2.645330786705017,2.8067546,3.1204577645947857,2.970718164597788,3.1491194,3.049639513415675,3.0279605,3.34797,2.9662273391600578,2.2810576,3.0372615,3.5087593,3.0505872,2.555707,3.1991665,2.9641271114349363,3.020329806112474
1952-09-30,3.448977776368459,2.6221587578455607,3.429551696777344,2.9281278093655905,3.1713996,2.9294655164082846,3.1862872,3.5846573948860168,2.7491084297498065,3.052541,3.3108436862627664,2.6714716,3.7253036,3.6506504734357197,3.1524062,3.1553195,3.4968848,2.961552,3.3832974,2.9987283,3.003936592737834,3.755835807323456
1952-10-31,4.701682979060758,3.1549280766517884,4.788802419939349,4.382964411089497,3.7986274,3.3238191912251134,4.0330296,4.449583261243759,4.054710399719976,3.4765012,4.195856709634104,3.9745274,3.861066,3.87479583678707,3.7515404,4.0793924,3.7735615,3.522608,5.376157,3.9608958,3.6845736583073934,4.83917934279288
1952-11-30,4.197453820705414,4.452087831497193,4.480759680271149,4.442679552237193,3.9834573,4.254361844062805,4.8069863,4.433193151156107,4.857823244730631,5.1026483,4.133231155077616,4.7168717,4.0008936,4.962984228134156,4.025844,4.7450495,4.106379,4.9614124,4.1121764,4.9845138,4.552973135312398,4.203062947591146
1952-12-31,3.9581519057673793,5.2205441613351145,4.810007372210102,4.8119330406188965,4.8349915,4.997056022767098,5.612327,5.512454448207732,4.606192784924661,4.473314,3.935815203574396,5.457452,4.758938,4.428578676715974,4.843572,4.612402,4.6183925,4.282734,4.588077,5.4765544,3.939456407229106,4.878337514015936
1953-01-31,4.857395648956299,5.846926689147949,5.367453575134277,4.559870719909668,4.5702114,4.431300640106201,5.0956197,4.748819351196289,5.699890613555908,5.3215175,4.3524322509765625,5.1648407,4.8686047,4.674433708190918,4.5935516,5.4991784,4.7207236,4.686329,4.603944,4.7144303,4.854493677616119,5.172299385070801
