,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1950-12-31,288.9851379394531,288.1502685546875,288.8807067871094,288.9193420410156,287.18353,288.8493957519531,289.47278,288.31585693359375,288.5538024902344,288.5948,288.07244873046875,288.65518,288.65543,288.6357421875,288.08206,289.34723,288.6184,287.84256,287.34686,289.04132,287.83614882144184,287.26141357421875
1951-12-31,288.3896179199219,289.23565673828125,289.3666076660156,289.2394104003906,287.9714,289.60089111328125,287.69992,289.12432861328125,288.6072082519531,286.88766,288.92974853515625,289.00867,288.58676,287.47821044921875,287.58905,288.29163,287.88776,288.90094,289.41147,288.86087,289.67061977279917,288.2195739746094
1952-12-31,289.25645785397046,288.90837243485123,288.4402861294681,287.21768221920485,286.8929,288.78919184436535,287.8256,287.5199322426156,287.9090249257545,287.18112,288.03486236154214,288.84927,287.48398,288.55807411507385,288.24265,288.5619,288.9515,288.45312,287.85797,287.51422,288.31546547552335,289.5933756789116
1953-12-31,289.267822265625,287.0043640136719,289.0433654785156,287.6770324707031,287.835,288.0741271972656,287.66928,287.60357666015625,287.6004638671875,288.28613,289.4095153808594,287.78766,288.43234,288.6415100097656,289.56857,288.5703,287.36035,288.7699,287.77393,288.35263,288.9575927563886,288.310302734375
1954-12-31,289.1571960449219,289.388916015625,288.1076965332031,288.6988525390625,288.5653,288.8107604980469,287.28604,287.597412109375,288.0067138671875,289.69302,288.8488464355469,287.49728,289.0227,287.79815673828125,287.19254,288.37628,287.84665,288.68216,287.32507,288.2154,288.51521045535634,287.2642822265625
1955-12-31,287.97412109375,288.4164123535156,288.3639831542969,288.8390808105469,288.15707,288.9237365722656,287.65793,289.2315979003906,287.9156799316406,288.1028,288.4525451660156,287.17316,288.34277,286.8884582519531,288.80817,289.21014,288.0978,289.78058,288.24554,287.25098,288.28346252441406,288.2458801269531
1956-12-31,287.9806640625,287.910367699192,288.24513232087435,288.9839224201359,290.26205,289.88188250816034,288.6791,288.3626425547142,288.8519236943493,288.5695,288.5767364083904,288.76807,288.9742,287.44095952282214,288.0566,288.47632,289.80237,287.37134,288.13937,287.51477,288.07865612486944,287.8160993184129
1957-12-31,289.01043701171875,289.740478515625,287.68060302734375,288.38116455078125,289.5629,289.22161865234375,288.94693,287.56890869140625,288.0367126464844,288.72638,288.6822204589844,288.50125,288.8849,288.8583984375,288.99213,288.12915,288.51135,287.7893,287.84402,288.07037,288.25405031342746,288.1222839355469
1958-12-31,289.18310546875,289.01287841796875,287.91766357421875,288.8013000488281,289.64963,287.7908935546875,288.1521,288.7056884765625,287.43670654296875,289.94418,288.0065002441406,288.9113,288.69855,288.56060791015625,289.08212,288.9255,288.23294,287.75464,288.40134,288.0757,287.61957375297334,288.2662353515625
1959-12-31,288.2354736328125,288.1390686035156,287.7804260253906,289.28997802734375,288.98154,288.3701477050781,287.70074,289.83758544921875,287.1570129394531,288.9823,287.3546447753906,288.61194,288.32825,289.4513244628906,287.47617,289.0994,288.33954,288.03455,288.72998,289.04825,288.34426359890557,288.7406311035156
