,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
2015-01-31,277.2471923828125,283.29156494140625,278.4896240234375,280.09149169921875,279.9084,272.5581970214844,277.99207,279.1888122558594,276.1670837402344,278.40515,276.7823181152344,276.20728,276.1583,280.6350402832031,276.474,284.0131,278.65213,280.98914,273.84134,277.04672,280.94715270996096,275.37957763671875
2015-02-28,284.289794921875,288.45672607421875,281.0933532714844,286.0022888183594,280.39603,278.64166259765625,279.63666,280.91204833984375,279.972900390625,279.81116,277.9766540527344,279.71255,279.35934,278.9996337890625,280.51562,282.40674,278.0476,280.93607,279.02533,274.67188,277.54480525425504,278.59173583984375
2015-03-31,282.7659912109375,286.31256103515625,283.5225830078125,283.555908203125,282.54514,284.74969482421875,280.93546,286.19989013671875,280.4703674316406,284.50662,284.94439697265625,285.2386,287.53876,283.9957580566406,284.824,282.15225,281.28397,284.01083,282.48862,282.0626,284.3018269856771,284.1127014160156
2015-04-30,286.3263854980469,291.2897033691406,289.1176452636719,287.137451171875,289.74515,288.99053955078125,288.05466,287.3402404785156,288.57867431640625,290.53082,289.27630615234375,289.66666,289.575,290.9637451171875,290.73752,290.1265,290.7338,290.3784,285.5343,290.10577,287.73036397298176,288.1455383300781
2015-05-31,294.3345642089844,295.43701171875,293.2033996582031,292.91357421875,293.2661,292.6949768066406,293.6065,293.87286376953125,290.3663635253906,292.85773,291.5584716796875,292.44647,293.61115,292.9715576171875,293.76938,291.5821,292.3707,295.75708,292.26743,294.96414,294.55907389322914,293.4495849609375
2015-06-30,297.05718994140625,299.0548095703125,297.86431884765625,298.5854797363281,297.36154,297.49359130859375,298.4589,295.8323669433594,297.3026428222656,297.82352,297.76422119140625,298.8302,297.3682,297.0910949707031,297.87115,297.73703,296.53802,299.52756,297.3311,297.4218,299.5101084391276,297.0794677734375
2015-07-31,299.7842102050781,299.2978820800781,299.6146240234375,299.5559997558594,299.71176,300.7027282714844,300.15933,300.5440368652344,299.80657958984375,299.54474,300.6441345214844,301.36456,299.569,299.3373718261719,300.75305,299.70914,299.23254,301.09955,299.6847,300.43115,300.65911966959635,298.8874816894531
2015-08-31,297.8006896972656,298.4788818359375,300.14300537109375,299.57672119140625,299.00397,300.1805419921875,299.0537,299.7789611816406,298.1951599121094,298.71878,300.65283203125,300.9109,299.55707,299.4397277832031,299.31934,299.31113,299.19894,300.11124,298.66687,298.68906,300.3137725830078,299.1656188964844
2015-09-30,294.8114013671875,295.74786376953125,295.62054443359375,296.6588439941406,295.08154,295.3241271972656,297.24457,295.92193603515625,296.9985046386719,294.56818,295.8053283691406,296.30844,294.8721,295.91241455078125,298.0853,298.5649,295.513,296.2376,296.65506,295.18054,297.2212341308594,295.8647766113281
2015-10-31,293.1647033691406,292.3111877441406,287.8435363769531,290.96624755859375,289.95135,289.77532958984375,290.80716,289.43096923828125,290.7475891113281,291.82944,288.4303894042969,291.6916,287.91852,290.1040344238281,287.3566,292.11096,291.93494,289.62112,291.0484,289.88275,293.01868489583336,291.0523986816406
2015-11-30,285.53485107421875,287.8018493652344,285.6305236816406,287.5203857421875,282.97693,287.3670349121094,284.27783,287.3807678222656,283.0730285644531,284.51974,285.07574462890625,284.1021,286.33133,284.7481994628906,287.69098,284.46817,285.5756,286.24246,286.72833,283.83347,287.1733103434245,286.2202453613281
2015-12-31,284.1961364746094,278.726806640625,276.5668640136719,279.3685302734375,279.0705,282.23779296875,284.78735,278.1523742675781,276.8094177246094,279.98044,281.596923828125,280.83188,279.92218,279.36920166015625,278.2545,278.8639,274.75653,281.22235,278.87442,282.5076,280.6874064127604,276.82220458984375
2016-01-31,277.95389581495715,271.41810460244454,282.2570111674647,276.1717017389113,277.70395,282.33604775705646,276.6104,281.37129555979084,276.65033549647177,279.37134,273.27796099262855,277.46774,279.04208,277.89924966135334,276.88742,281.4058,279.4858,278.28745,281.57654,282.9024,283.1595428466797,277.9912690193422
2016-02-29,279.40013122558594,273.72395978655135,280.95882633754184,281.2890951974051,277.61548,281.34097072056363,277.79092,282.8042308262416,279.77374594552174,279.3826,278.35376521519254,276.7815,280.576,274.76322174072266,280.3171,279.18463,279.67337,280.76447,277.8992,280.13333,276.5847641517376,278.398683820452
2016-03-31,281.9947342411164,282.2866959110383,288.3272203014743,284.2147512128276,283.77188,282.01653658959174,286.11432,284.3624247889365,285.1023342993952,288.9281,281.29209850680445,286.0388,284.56192,280.0894499747984,286.2694,284.92892,285.28964,285.83627,283.7041,282.1401,280.9077545166016,282.0168850806452
2016-04-30,287.67052001953124,289.09173278808595,291.23728535970054,290.4922302246094,289.48495,288.9254221598307,290.45493,291.41559041341145,288.3974853515625,289.9084,287.88067626953125,289.82,288.30615,288.66168009440105,287.9764,290.47568,290.62555,291.6577,289.98386,288.57025,288.16456298828126,288.33250223795574
2016-05-31,292.1677905667213,293.30592198525704,293.2001185263357,293.0837175923009,292.16824,293.35746223695816,293.1169,296.54565134356096,293.60039692540323,295.02957,292.2824244345388,293.50714,292.0612,292.179435483871,295.72842,294.8955,294.36194,294.47876,294.78915,292.32126,295.161659749349,291.61424403036796
2016-06-30,299.2543701171875,298.22227986653644,297.9689697265625,298.6486053466797,297.37183,297.7499043782552,298.77643,299.778520711263,297.5706807454427,297.01837,296.61871236165365,297.32877,298.60904,297.0480489095052,297.2637,297.30435,297.07794,298.95096,296.87738,299.67258,297.63499857584634,298.0484191894531
2016-07-31,300.9081755607359,299.8118384576613,301.08190425749746,301.1513219033518,299.0212,300.17716635427166,300.23526,300.2839621267011,300.19311621881303,299.07266,299.0934812484249,300.45288,301.0193,300.1337664204259,300.58636,298.97098,300.49216,301.58954,301.58987,302.1323,300.4641540527344,300.1220397949219
2016-08-31,300.56164058562246,298.9315845120338,298.6308406706779,299.5001821210307,298.1868,300.4913969962828,298.64578,301.2364797284526,299.43497196320567,298.15005,299.6959248204385,298.42838,300.82935,298.9534725066154,299.25192,299.8911,300.97397,299.1097,300.78696,299.37042,299.5143513997396,298.5262825258317
2016-09-30,293.21278788248696,295.42039693196614,296.13079833984375,296.5582509358724,294.03812,296.2510508219401,295.69846,296.50896911621095,295.5738077799479,296.31284,295.3835469563802,296.32944,297.81003,298.3778920491537,295.91516,297.22083,296.0172,297.44168,296.4279,298.54276,296.5089396158854,294.7560587565104
2016-10-31,288.7195296748992,292.8779985981603,291.4982703424269,288.95352763514364,290.18216,292.1336423812374,290.52936,289.4066929971018,291.58275087418093,291.0597,287.34195733839465,290.80862,288.97412,290.9552376039567,293.867,291.97543,290.32837,293.3158,290.6516,294.50912,293.066796875,286.54676277406753
2016-11-30,286.9358632405599,284.7390421549479,284.5569620768229,284.1737314860026,286.41068,284.08250325520834,287.34488,286.6305308024088,284.7170176188151,280.93066,285.1063924153646,287.12393,284.7053,285.3826395670573,290.92688,287.96277,283.034,286.6623,283.70767,284.75046,284.4653299967448,285.4423797607422
2016-12-31,275.90855752268146,280.96980827085434,278.7605768019153,279.37625417401716,279.33734,277.96605559318294,284.78842,277.5088038290701,280.60836299773183,283.54532,283.83231772145916,283.6785,278.4548,278.59332669165826,282.65536,279.79678,277.6483,283.10382,280.11832,280.5336,281.65468241373696,280.76782325006303
2017-01-31,275.8085021972656,277.9267578125,279.255615234375,276.0631103515625,279.25983,277.02783203125,276.34964,277.9505310058594,282.9104919433594,284.225,276.0413513183594,277.34576,275.88947,281.9992980957031,279.40936,280.19543,273.62973,279.82922,277.06772,280.51614,276.6052978515625,281.2212219238281
2017-02-28,279.4987487792969,280.4610290527344,277.4183044433594,279.3683776855469,284.92926,276.5877990722656,278.96738,279.72467041015625,277.0521545410156,280.3337,281.8277587890625,282.61945,277.2418,279.1742248535156,279.30777,282.1241,277.80984,279.38007,276.1811,275.71167,280.54322814941406,277.4851379394531
2017-03-31,283.7311706542969,281.5661315917969,284.4347839355469,287.333740234375,282.1357,286.4962463378906,283.5459,283.5019226074219,284.8998107910156,285.6641,283.2105407714844,282.41956,284.14594,280.77166748046875,282.10873,285.5502,282.3313,280.76782,284.1395,282.00415,281.66124165852864,283.0560607910156
2017-04-30,288.6863098144531,284.61541748046875,289.51513671875,291.2820129394531,288.36566,290.84368896484375,288.30966,287.8041687011719,291.78802490234375,289.97668,289.0795593261719,286.9662,290.92966,288.3109130859375,288.7,288.58868,290.18057,288.00537,289.81345,287.8339,285.43796895345054,289.181884765625
2017-05-31,293.34375,288.91534423828125,293.8843994140625,291.994140625,292.8215,294.7591857910156,292.49182,292.47760009765625,294.5024108886719,293.4791,291.75799560546875,294.35303,293.16107,293.8133239746094,294.5738,292.4383,292.52124,293.55023,292.9233,292.08728,293.90306091308594,293.95367431640625
2017-06-30,296.3540954589844,296.124755859375,297.4954528808594,298.5690002441406,297.72943,298.8282470703125,297.41586,297.71209716796875,298.6778259277344,298.8757,296.9762878417969,297.7934,297.61105,298.5384826660156,297.39648,298.1488,296.9594,297.38876,299.54974,297.90298,298.3390126546224,298.6412048339844
2017-07-31,301.47357177734375,299.7410583496094,299.8008728027344,300.629150390625,298.28693,300.9710388183594,300.6534,301.6706848144531,299.8912048339844,300.94617,300.6816711425781,299.6649,301.22812,298.6261291503906,299.93866,300.52838,301.11902,299.89725,299.8913,298.42227,300.5979777018229,299.2879638671875
2017-08-31,299.4033203125,300.3039855957031,298.44677734375,298.9859313964844,298.94934,299.09539794921875,300.55963,301.41864013671875,299.6535339355469,300.72113,300.31689453125,300.04486,300.6953,300.7703857421875,299.9048,299.46912,300.13715,299.63275,298.97296,297.1866,301.4393585205078,299.16595458984375
2017-09-30,297.1139221191406,294.87481689453125,295.2748107910156,296.154296875,296.1216,296.1648864746094,298.05673,299.35211181640625,297.8218078613281,296.81543,295.7823486328125,299.26315,296.54025,297.0714111328125,295.85297,296.0452,297.30862,297.51086,297.92606,294.0044,297.5194488525391,295.8736572265625
2017-10-31,287.6107482910156,292.8305969238281,294.1785888671875,290.6546630859375,291.0173,289.09368896484375,292.079,289.3372802734375,290.0993957519531,290.15723,292.9353332519531,290.36438,287.32715,288.1513366699219,292.33914,292.3342,292.40848,293.7563,291.53488,291.63077,293.11683349609376,290.2723083496094
2017-11-30,282.7914733886719,285.7229919433594,286.02166748046875,285.0111083984375,281.9633,285.8647766113281,284.6193,285.2134704589844,286.2056579589844,285.3768,290.339111328125,284.27374,285.20206,286.25274658203125,285.71527,283.89984,286.73163,287.4507,285.60028,283.46375,284.03379923502604,283.8765869140625
2017-12-31,282.50982666015625,280.3372802734375,281.6936950683594,279.4143981933594,277.9073,282.4736633300781,276.56384,278.26202392578125,279.7115478515625,281.3225,281.5132751464844,282.20914,280.74408,280.15728759765625,281.94983,281.18573,281.33667,285.4502,280.7306,281.5928,280.46567993164064,281.1964416503906
2018-01-31,280.48980712890625,279.70941162109375,278.495849609375,278.43902587890625,274.83954,280.85089111328125,274.6114,275.87139892578125,278.900634765625,276.366,277.279296875,277.66156,278.39435,277.2242126464844,278.91553,277.8047,274.96948,281.1991,278.82663,280.46225,276.50121256510414,283.4501953125
2018-02-28,279.4574279785156,277.5833740234375,280.4262390136719,279.5860595703125,278.99365,277.7190856933594,275.92496,277.7146301269531,282.0562744140625,279.43845,282.4332275390625,278.0041,274.6307,278.1579284667969,280.28748,282.2964,279.1186,276.34305,281.7245,277.886,281.6853801182338,280.7314758300781
2018-03-31,281.6728210449219,282.4211120605469,285.7884521484375,282.4601745605469,283.7701,282.56231689453125,281.89465,284.36114501953125,284.33233642578125,279.89395,282.3550720214844,288.04178,282.50186,282.67266845703125,284.44824,284.89847,282.8563,284.54697,283.00903,283.87173,285.1568878173828,284.7969970703125
