,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
2015-12-31,288.7165222167969,290.97613525390625,289.2413635253906,290.0666198730469,290.20728,289.73284912109375,291.00085,289.0703430175781,289.88543701171875,289.36337,289.9276428222656,288.76706,290.06165,289.59161376953125,289.90015,290.1634,289.8969,291.74973,291.39117,289.7648,289.46346304270145,287.8802185058594
2016-12-31,290.10018051356485,291.13107968683113,289.14582377394584,290.772542457058,289.11627,289.4126566011612,291.15692,290.4660535002408,289.97748831134953,289.61615,289.791455496174,288.40955,289.40182,288.84493383120184,289.90582,290.2364,290.5145,291.38278,288.9584,289.5708,290.0389888837809,288.6153458268675
2017-12-31,288.48345947265625,290.2567138671875,289.408203125,289.8860778808594,289.09915,290.33148193359375,290.08804,289.453125,289.6120910644531,289.38385,290.6225280761719,289.616,290.48907,288.5888671875,289.53775,291.12164,289.6762,291.41412,290.74707,288.43814,290.57017142013467,288.7484436035156
2018-12-31,289.5526428222656,290.7479553222656,289.9179382324219,289.5276794433594,289.57184,291.0589599609375,291.05502,289.3997802734375,289.18560791015625,289.47772,288.9375,288.29727,290.66928,290.0889587402344,289.99655,289.8539,290.88647,291.51654,290.7883,290.05725,290.20752345250304,288.4709167480469
2019-12-31,288.9597473144531,289.7265319824219,290.2908020019531,289.7137756347656,289.7751,289.1625061035156,289.8455,289.7242126464844,290.4471435546875,289.83484,290.1019592285156,290.13223,289.9099,289.7167663574219,289.75757,289.38535,289.87064,289.70148,288.783,289.7583,290.1788818529864,288.638671875
2020-12-31,289.4761887641802,289.1613621541899,290.2486869916524,290.9078906751659,290.12384,288.71310291029005,289.8574,290.6773909059289,289.2411756541631,291.17017,289.5082482742937,289.93335,290.09702,290.05614264501287,291.0106,289.97223,289.5739,289.91324,290.1203,290.6932,290.1132011732351,289.36023166604235
2021-12-31,289.7336730957031,289.7717590332031,289.8544921875,290.07611083984375,291.6005,289.6012268066406,289.8234,290.13995361328125,291.0178527832031,291.13605,289.6103210449219,290.083,289.37552,287.73931884765625,289.58978,290.47034,288.95065,290.23004,289.86075,290.13486,291.4064898783934,289.1205749511719
2022-12-31,289.3624572753906,290.6754455566406,290.3498840332031,290.7254333496094,290.2906,289.0575256347656,289.83917,289.916748046875,289.7716369628906,289.93295,289.79443359375,289.96536,289.7445,289.6207580566406,290.4894,290.0672,290.47983,290.66394,289.6749,290.35922,291.1025365904057,289.3788146972656
2023-12-31,288.4600830078125,289.5680236816406,289.58447265625,290.2927551269531,291.0678,290.1606140136719,290.42154,290.2752685546875,289.01123046875,288.9657,290.1142883300781,289.458,291.10397,288.68560791015625,290.24753,291.09143,291.1526,290.5448,291.21487,290.62927,289.7004784951663,288.5459289550781
2024-12-31,289.1955187653842,289.507771740221,290.2479931138966,291.07124984950235,289.9316,289.9286041677815,290.42664,290.76641854064104,290.5349718903842,289.9457,289.5093664718001,289.88147,290.50778,289.36355950342465,290.62006,289.188,290.27435,289.70007,290.55634,290.86078,290.95384543586243,289.18389608304796
2025-12-31,289.3905944824219,287.736328125,291.68829345703125,291.2218017578125,289.4997,289.8281555175781,290.5721,290.0018615722656,289.833251953125,289.07187,289.03900146484375,290.17245,290.65585,290.7139892578125,289.78683,289.81534,291.06757,290.62436,290.74188,290.85974,292.13751391192386,288.4430847167969
2026-12-31,290.44970703125,290.39453125,289.66229248046875,290.17449951171875,290.36087,290.3520202636719,290.13312,289.1636047363281,288.91448974609375,290.62634,289.69219970703125,290.26056,290.2851,290.2815856933594,290.72482,290.77127,290.0085,291.71417,290.83698,290.67377,291.2024014435667,289.42034912109375
2027-12-31,289.15936279296875,290.16339111328125,289.3326110839844,290.5545959472656,290.99338,289.5203552246094,290.51758,288.59857177734375,292.140380859375,290.7609,290.4430847167969,290.24503,290.48483,288.8834533691406,289.8508,290.60443,290.50482,290.2377,289.95218,290.21472,291.2073308848802,289.70440673828125
2028-12-31,289.3464898096372,289.4931946636879,289.2134944549979,290.56560451559824,290.8747,290.22310523464256,291.29364,289.8096595241599,289.4535911246522,288.7117,289.77973666256423,289.46774,290.61176,290.3364579710242,289.9704,292.0272,290.3205,291.47595,289.683,290.80255,291.47673497957106,289.8364744421554
2029-12-31,289.6676025390625,291.5298767089844,290.17138671875,289.65093994140625,289.21283,290.770263671875,290.0959,290.7352600097656,290.20111083984375,289.7464,289.9424743652344,290.15707,290.41373,290.990966796875,290.8718,292.7201,291.91003,291.35037,291.2772,290.00293,290.72760086485795,289.8003234863281
2030-12-31,290.021240234375,291.0769958496094,291.0248718261719,290.92230224609375,289.67252,289.9993896484375,288.88974,290.046142578125,290.0899353027344,290.13837,290.4149475097656,290.3918,290.69073,289.49285888671875,290.47763,289.8934,292.13675,290.89737,289.79193,291.01566,291.1941119998527,289.35821533203125
2031-12-31,288.7148132324219,291.8591613769531,289.97894287109375,289.906005859375,289.9775,289.9990539550781,289.78452,290.6621398925781,290.1544189453125,291.11276,290.8374328613281,290.37674,291.0482,289.73065185546875,289.60367,289.9085,291.15295,291.10068,291.15213,289.97092,291.80091116281864,291.12957763671875
2032-12-31,290.68629576800623,291.13385427814643,290.7045806466717,290.18301843094497,290.62207,289.748355562393,290.55078,290.8346028367134,290.7899082131582,289.83017,289.8567855207887,290.97568,290.1451,290.0237062219071,290.92752,291.37314,290.89288,291.34073,289.37225,290.69498,291.7788130991306,290.44635553229347
2033-12-31,289.34002685546875,291.6234436035156,290.171142578125,291.3634338378906,290.95773,290.62896728515625,291.309,290.0930480957031,289.4810485839844,289.10083,289.9142150878906,290.4458,290.59363,289.88140869140625,290.30927,290.2012,291.44342,290.84534,291.41898,290.26743,292.4145090113805,289.5871276855469
2034-12-31,290.9452209472656,290.2896423339844,290.26806640625,291.559814453125,290.2911,290.1209716796875,290.83945,290.6397399902344,289.53619384765625,290.9059,289.75,290.33105,290.34595,289.21185302734375,290.82892,291.30762,291.333,290.8528,289.9203,289.43994,292.1671400869359,290.3328552246094
2035-12-31,290.9037780761719,288.8252868652344,290.56658935546875,290.6842041015625,289.1477,290.726806640625,290.50128,289.7486877441406,289.9491882324219,290.21,289.9620056152344,289.06848,289.27942,290.2095031738281,291.15958,292.6661,290.5511,291.4964,290.3401,290.46915,291.0082423034327,290.111328125
2036-12-31,290.5776776875535,291.5789575864191,290.5036337656517,291.38409131193816,289.57904,288.7596593569403,291.3212,291.7372281845302,291.15341111274614,290.4647,290.14330711887305,290.02054,291.82944,289.6237979418611,290.2453,291.95697,291.47754,289.43423,289.10428,289.26367,292.76620950937934,289.6972823469606
2037-12-31,289.35784912109375,291.28375244140625,291.2982177734375,291.80194091796875,290.58188,291.34051513671875,291.2528,291.66412353515625,289.932373046875,289.98492,290.5609436035156,290.61957,291.2882,289.87103271484375,291.04956,291.4664,291.2298,291.73477,291.14355,290.8513,292.1056133248953,290.1792297363281
2038-12-31,289.55523681640625,291.0043640136719,289.9742431640625,291.2020263671875,291.65417,289.83929443359375,290.9861,290.7698059082031,290.2837219238281,290.10083,291.08892822265625,291.6992,290.51166,291.5769348144531,290.33542,291.61975,291.2687,291.58286,289.4075,290.39874,291.173518260764,289.63653564453125
2039-12-31,289.6513977050781,290.7578430175781,290.7578125,290.6386413574219,289.79807,290.02301025390625,289.52945,291.2572937011719,290.23870849609375,289.2023,290.90155029296875,290.4636,290.03235,291.3002624511719,290.60403,290.65588,291.35226,291.4293,290.24396,291.29282,290.8683351484757,289.0771789550781
2040-12-31,289.0936637146832,290.88648965913956,290.2698269778735,290.8711550359857,291.0817,290.15666620959973,290.5517,290.9902469164705,290.86141666778144,291.0613,291.0804175808005,290.64273,290.38855,290.22892715245075,291.45142,291.49417,292.321,290.65588,290.58807,290.91602,291.7938434738967,290.58854345034246
2041-12-31,291.78717041015625,290.5476989746094,291.1015930175781,291.6557312011719,290.4752,289.41546630859375,290.68762,291.1828918457031,289.4183044433594,291.20404,289.98602294921875,289.36627,290.60828,290.3232116699219,290.26526,291.123,290.58612,291.4626,290.68692,291.23865,291.47344399564093,290.10272216796875
2042-12-31,290.6963806152344,290.4083251953125,291.15435791015625,291.3743896484375,291.27646,291.0921325683594,291.05624,289.60137939453125,291.37518310546875,291.07587,289.992919921875,289.59793,291.31836,291.14105224609375,289.3858,291.07214,291.46997,291.30984,290.3913,289.94986,292.201181592888,290.3753356933594
2043-12-31,290.44207763671875,291.6283874511719,291.2466735839844,291.8082580566406,290.6303,290.7901611328125,292.57565,291.1161804199219,290.2645568847656,290.8358,290.87371826171875,290.5157,291.1824,289.9227600097656,291.42886,291.375,291.21124,291.28183,290.8237,289.45325,292.205672621061,289.5816650390625
2044-12-31,289.6350427078874,292.15324598338503,291.47708957619864,291.2806145654966,290.92603,291.55908002461473,291.15756,290.3281519223566,291.81546279698205,289.19244,290.06141365782855,290.4275,291.24487,290.71004672115794,291.1884,292.34644,291.5758,291.91254,291.0415,291.23703,292.4054091089615,289.8158604452055
2045-12-31,289.4235534667969,291.7568359375,290.76519775390625,291.48773193359375,290.71124,290.7220764160156,290.80173,290.5452880859375,290.71240234375,290.89758,291.9308776855469,290.25516,290.8925,291.3168640136719,289.74323,291.77444,291.66818,291.03503,290.51276,290.67078,293.19340293500676,287.9198303222656
2046-12-31,290.98492431640625,291.05279541015625,290.4296569824219,290.6567687988281,292.12012,289.771240234375,290.4106,291.1199645996094,289.9136657714844,291.11255,290.0352478027344,290.34744,291.04843,292.0868225097656,290.79926,291.75693,291.46875,291.6842,290.9915,290.2806,293.0762177366118,290.1173400878906
2047-12-31,289.70074462890625,291.3665466308594,290.74835205078125,289.9294128417969,291.36053,290.6512145996094,291.4053,291.04229736328125,291.9613037109375,290.68115,290.7801513671875,290.23227,291.27722,291.01092529296875,291.07104,291.2237,291.99042,291.9522,290.69135,290.11523,292.57600309062934,290.7258605957031
2048-12-31,291.1083766153414,291.1771727679527,290.8316484007117,291.1486490328018,291.78186,291.51301637414383,290.4525,290.277214238415,291.073779714924,290.87244,291.0518099014073,291.29156,292.01788,289.1628371983358,291.21497,291.7637,292.3205,292.83463,290.4151,290.82965,293.05999713355783,290.4393788794949
2049-12-31,291.8067321777344,291.00860595703125,291.2803955078125,291.10955810546875,290.887,290.0655212402344,291.45154,291.56787109375,292.3089904785156,293.54297,291.67578125,290.71136,291.0149,291.4225769042969,290.70346,290.91898,290.55002,292.95517,290.4569,292.33594,292.76914577377573,289.43756103515625
2050-12-31,290.1866760253906,291.31500244140625,290.2654724121094,290.22198486328125,291.28207,291.1468200683594,291.4149,291.33697509765625,290.9440612792969,290.45978,291.2843017578125,290.68967,291.28445,291.3616638183594,290.83566,291.24728,292.0566,291.54227,290.68213,292.10284,293.5836739992962,290.57940673828125
2051-12-31,290.00653076171875,291.0533752441406,291.59027099609375,291.8957824707031,291.10654,291.1288146972656,291.91785,291.711669921875,291.65557861328125,291.4774,291.2290954589844,291.30936,291.01083,291.052490234375,290.90222,292.0679,291.54984,292.239,290.90173,290.349,291.10591841543186,290.08258056640625
2052-12-31,290.6339676530394,291.12764591582834,291.05586021109804,291.082932229238,291.70135,291.6014154303564,290.02264,290.90502996575344,291.7560631320901,291.82892,290.653310530153,291.59406,291.55426,291.50514476201306,289.09,290.58273,291.93256,291.8342,291.30743,290.16183,293.45457811275895,290.1612273751873
2053-12-31,289.619873046875,291.3416442871094,291.8104553222656,290.2572937011719,291.71503,290.3398742675781,291.07236,291.9140625,291.26226806640625,291.21417,292.0291748046875,291.04355,290.32315,291.4082336425781,291.15897,292.11514,291.66083,291.67603,290.7236,291.4642,294.08879566725403,290.937744140625
2054-12-31,290.7012939453125,291.17755126953125,291.5412292480469,290.6642150878906,290.76987,290.9277648925781,290.09128,291.2314147949219,289.9066467285156,290.7996,291.3908996582031,290.40515,291.20023,291.5520324707031,292.06042,292.3557,292.8276,292.36768,289.68185,291.58505,293.29283764375657,290.7714538574219
2055-12-31,289.88623046875,292.201171875,290.75775146484375,291.3480529785156,291.6305,292.2181091308594,292.30002,291.9271240234375,290.57720947265625,289.88208,291.432861328125,290.3229,291.53677,290.4111328125,290.78925,292.355,292.23557,291.52814,290.62946,292.36108,292.9452975821895,289.5449523925781
