,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
1950-01-31,288.0812072753906,282.25042724609375,280.4655456542969,283.8829040527344,275.20416,278.25701904296875,288.0389,282.2141418457031,282.5187072753906,280.9443,283.1553649902344,282.78107,282.93893,282.93792724609375,285.3052,279.7985,285.4324,283.6815,283.22363,286.69095,282.2728973388672
1950-02-28,284.6931457519531,279.69268798828125,282.3055114746094,284.23260498046875,283.16898,285.7474060058594,283.1293,284.1044921875,288.2612609863281,285.21954,283.1639404296875,286.14395,285.96564,287.21429443359375,289.30316,285.47543,285.18576,285.50262,283.27,286.78607,276.6767381940569
1950-03-31,289.27996826171875,287.0361022949219,287.2674255371094,288.3070373535156,290.44058,284.8227844238281,290.03452,290.2041931152344,289.0771789550781,291.05902,291.6346130371094,290.28152,288.9833,286.6370544433594,287.8248,292.63455,285.578,288.35748,284.7639,288.89285,288.6829335530599
1950-04-30,295.0404968261719,294.2973937988281,294.7317199707031,295.0101318359375,295.16672,294.17047119140625,295.65167,294.7470703125,294.8097229003906,294.56268,291.72027587890625,294.2399,293.77383,292.7916259765625,294.8687,296.15826,296.6776,294.74854,291.2979,299.79736,289.2593058268229
1950-05-31,297.6556701660156,300.0427551269531,298.50762939453125,299.35198974609375,297.3472,299.91192626953125,297.6298,297.4108581542969,296.7654724121094,300.15195,298.65997314453125,300.2086,295.36353,297.8568115234375,297.85034,300.453,297.3858,297.1456,297.77542,296.16565,299.08550516764325
1950-06-30,303.75921630859375,302.1944580078125,301.9664306640625,301.7702941894531,302.2162,301.95660400390625,302.12213,300.43896484375,301.84783935546875,302.89697,300.7569885253906,301.85596,301.86783,302.35113525390625,302.1841,305.30783,301.76614,301.7515,300.58463,301.17532,301.2857147216797
1950-07-31,306.3203430175781,304.936279296875,303.6949157714844,306.0144958496094,303.681,304.49517822265625,305.0207,302.0384216308594,303.528564453125,306.39517,304.9169006347656,303.31226,304.2119,304.59881591796875,304.78958,303.64807,303.67307,302.8874,302.54367,303.17282,305.9840596516927
1950-08-31,304.3918151855469,304.28863525390625,304.21795654296875,303.1868896484375,301.7947,303.50152587890625,303.6744,303.0118713378906,304.5273132324219,302.44568,303.2864990234375,303.89578,302.748,302.8031005859375,303.31668,302.48715,304.96414,302.42917,303.69604,302.66296,304.1371785481771
1950-09-30,303.92498779296875,300.6021728515625,302.6474609375,299.30230712890625,298.66623,301.3561706542969,301.13104,299.05999755859375,299.6471862792969,301.33987,300.1510009765625,299.50748,300.58658,301.4533386230469,299.0041,301.9395,299.84207,301.49545,299.59192,300.02725,298.1096506754557
1950-10-31,295.65997314453125,297.1652526855469,294.6930847167969,294.8265686035156,292.89062,295.3042907714844,296.4883,296.2909851074219,293.00762939453125,294.65854,294.4300842285156,295.45505,295.81723,295.4870300292969,292.74866,295.10962,295.5032,294.2394,294.7996,295.10388,295.27556762695315
