,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2015-12-31,293.79791259765625,295.2351379394531,295.9460144042969,294.9388427734375,295.78598,295.9079284667969,294.6489,296.0602722167969,294.9886474609375,295.63687,295.1819152832031,295.25198,295.24854,294.60589599609375,295.4978,296.42825,294.86975,296.04175,295.35782,295.86893,295.9974978995723
2016-12-31,294.9887318232288,296.0662922062286,294.2432507658658,295.6207567188838,296.53552,295.15295836566247,295.52032,294.6128234863281,295.5350434603756,296.22247,295.307590014314,294.27936,295.78015,294.02878560105415,295.12476,295.46136,295.32635,295.67868,294.4289,294.98648,295.77979816234875
2017-12-31,295.4931640625,293.1675109863281,296.9811706542969,295.5325622558594,296.11502,295.475830078125,295.3013,296.1462707519531,294.60345458984375,294.11398,294.5273132324219,294.982,294.37766,294.8130798339844,295.1698,295.96686,296.2565,295.82373,295.565,295.40182,296.4392614950681
2018-12-31,295.19140625,294.47039794921875,295.4786376953125,295.3016662597656,294.9695,296.7363586425781,296.6094,295.1292724609375,294.8683776855469,296.22717,294.61248779296875,295.167,295.1544,294.39739990234375,295.91678,294.3431,295.23297,296.4363,295.15073,294.58133,295.96888170295585
2019-12-31,293.88922119140625,296.6868591308594,295.8058776855469,295.5839538574219,295.75635,294.6697692871094,295.77444,294.07049560546875,295.07379150390625,296.50095,294.9972839355469,295.22702,296.33032,293.82269287109375,294.04245,296.68176,295.53967,295.7096,295.54324,295.72278,296.6217638580493
2020-12-31,294.4793078278842,295.8558341248395,295.46970591087864,294.97672336526114,294.57428,295.05844960669947,295.82452,293.776866923293,294.45971462302015,296.6252,294.48326976201304,295.3117,294.38647,294.90524501016694,294.97443,296.92178,295.35986,295.3633,295.08124,296.86533,296.39195502236026
2021-12-31,294.4299011230469,295.3255615234375,295.920654296875,295.6155700683594,295.94183,295.4779357910156,295.15134,294.7574768066406,294.62310791015625,295.20847,296.51416015625,293.70193,295.64316,294.8620910644531,295.49902,295.7961,295.97714,295.39948,294.70746,296.17627,295.8258903972263
2022-12-31,294.9273986816406,296.04296875,296.7952575683594,295.7323913574219,295.31757,295.686279296875,296.19205,296.0920104980469,294.76995849609375,295.6502,295.97515869140625,293.77563,295.65335,295.80621337890625,296.72137,295.741,295.62732,294.91052,294.82285,297.47302,295.37303059327536
2023-12-31,294.3907470703125,295.02362060546875,295.3213195800781,295.0640869140625,295.61438,295.6031188964844,295.6975,295.1138610839844,294.81878662109375,295.2259,296.2059631347656,294.99014,295.07394,294.1905822753906,295.9946,294.31525,296.30923,296.01868,295.83035,294.90085,297.1485789208439
2024-12-31,295.20527101281573,293.7032642939319,294.58764531383775,296.211848261585,295.93454,295.9915720482395,296.53607,295.20356620893085,294.83119364699274,296.2178,295.9767301376552,295.14523,295.8955,294.40899691647047,295.76035,296.52667,294.8046,294.92673,294.89835,295.4726,297.0731084712036
2025-12-31,293.7760925292969,295.5259704589844,295.4534912109375,295.2769775390625,295.17004,295.5396728515625,297.05103,296.51043701171875,296.4840393066406,296.25677,296.41461181640625,295.08282,294.67126,294.8997802734375,295.9521,295.95383,295.74066,295.40552,295.57092,295.94247,296.98770286517436
2026-12-31,294.0616149902344,296.790283203125,295.8870849609375,295.1929016113281,294.3979,294.5893249511719,294.97223,295.0465393066406,295.73895263671875,295.80988,295.9781188964844,295.9601,295.55872,294.398193359375,295.5814,295.164,295.44385,296.95023,295.38788,296.18408,296.7091361104443
