,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2015-01-31,284.5504455566406,289.493408203125,283.3853759765625,285.37445068359375,284.22995,279.4617004394531,285.63553,282.50750732421875,281.8689880371094,280.42566,283.1000671386719,280.30154,281.54312,284.3492736816406,283.70996,287.78714,283.46188,288.4245,282.6764,286.87454,286.0367848714193
2015-02-28,283.0534362792969,284.97857666015625,282.9620361328125,283.6726989746094,292.06027,286.2729797363281,284.93784,284.67626953125,281.7109680175781,280.36252,285.4521484375,284.89273,285.90717,286.11956787109375,285.20877,286.6048,284.32407,290.94547,286.81256,281.8177,282.12842559814453
2015-03-31,285.9790954589844,291.6905822753906,286.406982421875,288.3646240234375,292.4167,289.3121643066406,290.3536,287.2666015625,289.1755065917969,289.58542,289.41021728515625,291.61908,291.394,289.2008972167969,290.392,287.66183,290.01877,290.83362,290.9052,291.5038,287.24335327148435
2015-04-30,293.3748474121094,296.74505615234375,294.5385437011719,293.4855041503906,294.47934,299.6091613769531,293.90274,293.2791442871094,293.6220397949219,295.2784,295.7596435546875,292.51358,296.50784,295.7070007324219,294.891,295.1663,294.78622,297.58093,293.5898,293.74203,295.67919006347654
2015-05-31,297.5567321777344,301.019775390625,299.04461669921875,301.9385681152344,299.64368,299.8492736816406,301.4875,297.885498046875,298.9107971191406,299.13913,297.8521728515625,297.96216,299.74017,298.7970886230469,299.5918,299.46042,298.5462,301.774,302.4783,298.37598,301.90015462239586
2015-06-30,302.08544921875,305.1949768066406,302.61395263671875,302.7599182128906,301.9782,305.8108215332031,303.10648,303.8435974121094,306.17828369140625,302.79834,301.9242248535156,302.0675,302.99603,302.7513427734375,302.5756,303.04187,302.58286,302.98914,305.82755,304.18173,302.9256968180338
2015-07-31,306.2348327636719,303.1582336425781,305.0164489746094,308.5514221191406,305.39716,305.0643615722656,305.23947,305.40753173828125,305.6437683105469,305.50662,307.4811096191406,304.58176,305.1638,303.8686828613281,305.29785,305.71985,303.81436,305.5195,308.1531,303.72717,304.88501993815106
2015-08-31,302.9728698730469,304.92706298828125,305.45892333984375,303.4956359863281,304.05368,307.0108337402344,304.19266,304.9931640625,304.7434387207031,305.8151,305.4465026855469,302.89603,305.04816,302.9540710449219,303.43457,303.1492,304.6597,305.03897,305.9521,305.64835,304.4258646647135
2015-09-30,300.9984436035156,303.38824462890625,301.2969055175781,303.53192138671875,301.18094,302.5831604003906,302.60648,300.9197082519531,301.7115478515625,302.99094,301.1275939941406,300.8798,300.8413,301.02276611328125,300.12628,300.10464,301.53845,301.5703,301.3747,303.31818,300.81061197916665
2015-10-31,295.0915222167969,295.7732849121094,296.8756408691406,296.2801818847656,297.20822,298.1210021972656,297.1407,296.2686767578125,295.6102294921875,297.8643,297.913330078125,297.79428,296.05472,295.6727600097656,297.13626,296.16403,298.4826,297.34085,297.65158,296.80536,295.9085764567057
2015-11-30,289.78515625,290.1045227050781,287.17681884765625,288.3724060058594,287.07974,287.8045654296875,293.56256,290.2955322265625,292.3201599121094,289.71133,290.03253173828125,288.14655,292.58344,290.4143981933594,292.09625,294.6238,290.7303,293.0467,294.61017,292.72055,288.77716776529945
2015-12-31,286.6380310058594,288.7024230957031,285.6778869628906,287.6051940917969,286.11887,279.492919921875,291.06723,286.3258361816406,288.76141357421875,286.77805,288.2507019042969,282.2726,287.16763,285.920654296875,285.85638,284.29544,287.1527,289.06586,288.2114,283.42184,281.0084248860677
2016-01-31,283.20931416173136,285.41200502457156,284.3845707062752,283.2455296670237,288.09885,280.8354974562122,288.75482,285.83267999464465,281.69449836977066,282.03458,281.6442162298387,280.06165,282.63242,282.7358900500882,282.0056,282.80634,282.57547,287.03198,282.36407,282.36392,276.40504557291666
