threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,10,2,11,0,5,28,0,20,6,23,26,11,7,26,12,0,111,14,8,0,10,2,11,0,5,28,0,20,6,23,26,11,7,26,12,0,111,14,8,0,2,1,2,0,1,4,0,4,1,3,4,2,1,5,2,0,2,2,2,0,6,2,6,0,5,11,0,7,6,9,8,6,7,7,10,0,107,8,6,0,5.0,2.0,5.5,0.0,5.0,7.0,0.0,5.0,6.0,7.67,6.5,5.5,7.0,5.2,6.0,0.0,55.5,7.0,4.0,0.0,16.0,10.5,0.0,26.200000000000003,16.0,10.5,0.0,26.200000000000003,1.9,2.0,0.0,4.0,10.55,6.0,0.0,10.100000000000001,6.9935,5.35,0.0,7.067000000000001
rzsm>0.7_pr>50,ssp245,2016,13,0,9,18,0,0,0,40,0,14,28,30,14,29,6,7,92,12,5,11,13,0,9,18,0,0,0,40,0,14,28,30,14,29,6,7,92,12,5,11,2,0,2,4,0,0,0,5,0,2,3,5,2,4,1,1,1,2,1,1,8,0,7,7,0,0,0,14,0,9,10,8,7,10,6,7,92,7,5,11,6.5,0.0,4.5,4.5,0.0,0.0,0.0,8.0,0.0,7.0,9.33,6.0,7.0,7.25,6.0,7.0,92.0,6.0,5.0,11.0,16.4,11.5,0.0,31.000000000000014,16.4,11.5,0.0,31.000000000000014,1.8,1.5,0.0,4.100000000000001,10.4,7.0,0.0,11.300000000000004,9.354,6.0,0.0,9.497000000000002
rzsm>0.7_pr>50,ssp245,2017,0,5,6,14,0,7,11,38,7,6,5,18,10,33,2,43,95,12,4,6,0,5,6,14,0,7,11,37,7,6,3,18,10,33,2,43,95,12,4,6,0,1,1,2,0,2,2,5,1,1,1,4,1,4,1,4,3,1,1,1,0,5,6,7,0,5,7,11,7,6,3,6,10,11,2,24,58,12,4,6,0.0,5.0,6.0,7.0,0.0,3.5,5.5,7.4,7.0,6.0,3.0,4.5,10.0,8.25,2.0,10.75,31.67,12.0,4.0,6.0,16.1,7.0,1.8000000000000003,38.50000000000001,15.95,7.0,1.8000000000000003,37.60000000000001,1.8,1.0,0.9000000000000001,4.0,9.5,6.0,1.8000000000000003,13.200000000000017,6.9784999999999995,6.0,1.8000000000000003,10.875000000000002
rzsm>0.7_pr>50,ssp245,2018,43,17,7,6,8,19,19,21,9,6,7,10,8,12,12,29,129,7,4,25,42,17,7,5,8,18,19,21,8,6,7,10,7,12,12,29,129,7,4,25,8,3,1,1,1,2,3,2,1,1,1,2,1,2,3,3,1,1,1,3,12,7,7,5,8,11,8,16,8,6,7,7,7,7,6,14,129,7,4,12,5.25,5.67,7.0,5.0,8.0,9.0,6.33,10.5,8.0,6.0,7.0,5.0,7.0,6.0,4.0,9.67,129.0,7.0,4.0,8.33,19.9,11.0,6.0,30.40000000000002,19.65,11.0,5.9,30.30000000000002,2.05,1.5,1.0,3.0,14.4,7.0,5.9,14.200000000000003,12.8875,7.0,4.9,9.753000000000002
rzsm>0.7_pr>50,ssp245,2019,42,16,0,0,0,22,16,9,25,17,21,14,0,32,51,0,88,21,10,4,42,16,0,0,0,22,16,9,25,17,21,14,0,32,51,0,88,20,10,4,5,3,0,0,0,3,2,1,3,2,3,2,0,5,8,0,1,3,2,1,20,7,0,0,0,13,10,9,11,10,7,9,0,10,12,0,88,8,5,4,8.4,5.33,0.0,0.0,0.0,7.33,8.0,9.0,8.33,8.5,7.0,7.0,0.0,6.4,6.38,0.0,88.0,6.67,5.0,4.0,19.4,16.0,0.0,42.90000000000001,19.35,16.0,0.0,42.90000000000001,2.2,2.0,0.0,5.0,11.15,8.5,0.0,13.70000000000001,9.267,6.535,0.0,8.55
rzsm>0.7_pr>50,ssp245,2020,0,10,20,10,0,0,0,0,7,0,17,0,12,11,26,0,57,9,2,20,0,10,20,10,0,0,0,0,7,0,16,0,12,10,26,0,57,7,2,19,0,2,3,2,0,0,0,0,1,0,3,0,2,2,4,0,1,2,1,2,0,5,9,8,0,0,0,0,7,0,8,0,7,8,8,0,57,5,2,16,0.0,5.0,6.67,5.0,0.0,0.0,0.0,0.0,7.0,0.0,5.33,0.0,6.0,5.0,6.5,0.0,57.0,3.5,2.0,9.5,10.05,8.0,0.0,20.60000000000001,9.8,7.0,0.0,20.60000000000001,1.25,1.0,0.0,3.0,7.0,5.0,0.0,9.70000000000001,5.925,4.25,0.0,7.2500000000000036
rzsm>0.7_pr>50,ssp245,2021,13,20,10,4,0,9,6,16,4,0,8,8,28,39,31,17,93,18,0,0,13,20,10,4,0,9,5,16,4,0,8,8,28,39,30,17,93,18,0,0,2,3,2,2,0,2,1,3,1,0,2,2,6,6,4,4,1,3,0,0,7,8,7,2,0,6,5,6,4,0,5,6,8,9,15,6,93,7,0,0,6.5,6.67,5.0,2.0,0.0,4.5,5.0,5.33,4.0,0.0,4.0,4.0,4.67,6.5,7.5,4.25,93.0,6.0,0.0,0.0,16.2,9.5,0.0,31.80000000000001,16.1,9.5,0.0,30.900000000000013,2.2,2.0,0.0,4.200000000000003,9.7,6.0,0.0,9.600000000000009,8.446000000000002,4.585,0.0,6.753000000000001
rzsm>0.7_pr>50,ssp245,2022,22,19,25,32,4,9,12,9,6,33,21,18,7,19,27,24,63,14,0,10,22,18,25,32,3,9,12,9,6,33,21,18,7,19,27,24,63,13,0,10,3,3,5,5,1,1,2,2,1,5,3,2,1,2,4,4,1,2,0,2,11,7,8,17,3,9,7,7,6,8,9,13,7,12,9,7,63,7,0,6,7.33,6.0,5.0,6.4,3.0,9.0,6.0,4.5,6.0,6.6,7.0,9.0,7.0,9.5,6.75,6.0,63.0,6.5,0.0,5.0,18.7,18.5,5.800000000000001,32.1,18.55,18.0,5.7,32.1,2.45,2.0,1.0,5.0,10.8,7.5,5.7,13.400000000000006,8.979,6.45,4.3500000000000005,9.05
rzsm>0.7_pr>50,ssp245,2023,15,19,10,25,20,14,12,5,15,13,11,2,8,0,11,17,110,40,4,0,15,19,10,24,20,14,12,5,15,13,11,2,8,0,11,17,110,38,4,0,3,3,2,4,3,2,2,1,3,2,2,1,1,0,2,2,2,4,1,0,6,8,7,7,10,7,7,5,6,7,7,2,8,0,7,10,87,15,4,0,5.0,6.33,5.0,6.0,6.67,7.0,6.0,5.0,5.0,6.5,5.5,2.0,8.0,0.0,5.5,8.5,55.0,9.5,4.0,0.0,17.55,12.5,1.8000000000000003,26.50000000000002,17.4,12.5,1.8000000000000003,25.40000000000002,2.0,2.0,0.9000000000000001,3.1000000000000014,10.5,7.0,1.8000000000000003,10.500000000000007,7.825,5.75,1.8000000000000003,8.600000000000001
rzsm>0.7_pr>50,ssp245,2024,7,5,6,12,23,18,13,20,10,18,28,16,15,15,18,7,115,8,0,7,7,5,6,12,22,18,12,20,10,17,28,16,15,15,18,7,115,8,0,7,1,1,1,2,3,2,3,3,1,2,4,2,1,2,4,1,1,1,0,1,7,5,6,6,10,11,5,9,10,10,9,9,15,8,7,7,115,8,0,7,7.0,5.0,6.0,6.0,7.33,9.0,4.0,6.67,10.0,8.5,7.0,8.0,15.0,7.5,4.5,7.0,115.0,8.0,0.0,7.0,18.05,14.0,5.9,23.500000000000007,17.9,13.5,5.9,22.60000000000001,1.8,1.5,1.0,3.1000000000000014,13.2,8.0,5.0,11.400000000000006,12.425,7.0,4.45,10.500000000000007
