threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-1_tasmax>32.22,ssp126,2021,2,0,41,1,0,14,1,6,1,6,0,5,4,0,9,0,2,9,27,1,0,2,0,39,0,0,13,0,5,0,5,0,5,3,0,9,0,2,7,26,0,0,1,0,5,0,0,6,0,1,0,1,0,1,1,0,2,0,1,3,3,0,0,2,0,22,0,0,3,0,5,0,5,0,5,3,0,6,0,2,3,17,0,0,2.0,0.0,7.8,0.0,0.0,2.17,0.0,5.0,0.0,5.0,0.0,5.0,3.0,0.0,4.5,0.0,2.0,2.33,8.67,0.0,0.0,6.142857142857143,2.0,0.0,14.0,5.523809523809524,2.0,0.0,13.0,1.1904761904761905,1.0,0.0,3.0,3.4761904761904763,2.0,0.0,6.0,2.2604761904761905,2.0,0.0,5.0
spi<-1_tasmax>32.22,ssp126,2022,0,0,0,2,0,1,0,7,0,0,1,0,5,0,14,1,0,2,7,4,0,0,0,0,2,0,0,0,6,0,0,0,0,5,0,13,0,0,2,7,4,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,1,3,1,0,0,0,0,2,0,0,0,3,0,0,0,0,5,0,9,0,0,2,3,4,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,6.5,0.0,0.0,2.0,2.33,4.0,0.0,2.0952380952380953,0.0,0.0,7.0,1.8571428571428572,0.0,0.0,6.0,0.5238095238095238,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,4.0,1.1823809523809523,0.0,0.0,4.0
spi<-1_tasmax>32.22,ssp126,2023,7,9,0,2,4,0,5,16,0,4,4,6,4,3,7,4,0,8,0,18,4,7,8,0,2,3,0,5,16,0,2,3,6,0,3,7,4,0,6,0,15,4,3,1,0,1,1,0,2,4,0,1,1,2,0,1,1,1,0,2,0,4,1,3,8,0,2,3,0,3,4,0,2,3,4,0,3,7,4,0,4,0,6,4,2.33,8.0,0.0,2.0,3.0,0.0,2.5,4.0,0.0,2.0,3.0,3.0,0.0,3.0,7.0,4.0,0.0,3.0,0.0,3.75,4.0,5.0,4.0,0.0,9.0,4.333333333333333,3.0,0.0,8.0,1.2380952380952381,1.0,0.0,3.0,2.857142857142857,3.0,0.0,6.0,2.599047619047619,3.0,0.0,4.0
spi<-1_tasmax>32.22,ssp126,2024,1,11,0,2,9,0,4,14,7,13,4,0,7,7,2,5,0,23,27,3,5,0,11,0,0,6,0,3,13,7,12,2,0,7,6,0,4,0,19,26,2,2,0,2,0,0,2,0,1,3,2,3,1,0,3,2,0,2,0,3,3,1,1,0,9,0,0,4,0,3,5,5,6,2,0,3,4,0,2,0,9,15,2,2,0.0,5.5,0.0,0.0,3.0,0.0,3.0,4.33,3.5,4.0,2.0,0.0,2.33,3.0,0.0,2.0,0.0,6.33,8.67,2.0,2.0,6.857142857142857,5.0,0.0,14.0,5.714285714285714,3.0,0.0,13.0,1.380952380952381,1.0,0.0,3.0,3.380952380952381,2.0,0.0,9.0,2.46,2.0,0.0,5.5
spi<-1_tasmax>32.22,ssp126,2025,2,0,15,5,2,0,0,5,8,3,0,6,0,9,0,9,2,23,18,0,4,2,0,11,4,0,0,0,4,6,0,0,4,0,8,0,8,0,21,18,0,4,1,0,2,2,0,0,0,1,1,0,0,2,0,3,0,3,0,2,4,0,1,2,0,8,2,0,0,0,4,6,0,0,2,0,4,0,3,0,13,7,0,4,2.0,0.0,5.5,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,2.67,0.0,2.67,0.0,10.5,4.5,0.0,4.0,5.285714285714286,3.0,0.0,15.0,4.285714285714286,2.0,0.0,11.0,1.0476190476190477,1.0,0.0,3.0,2.619047619047619,2.0,0.0,7.0,2.182857142857143,2.0,0.0,5.5
spi<-1_tasmax>32.22,ssp126,2026,2,0,19,16,5,30,1,13,8,0,8,5,20,8,8,0,0,0,0,4,4,2,0,18,15,4,30,0,10,8,0,7,5,20,8,7,0,0,0,0,3,4,1,0,3,6,1,6,0,3,2,0,1,1,5,2,3,0,0,0,0,1,2,2,0,7,5,4,9,0,5,6,0,7,5,7,6,3,0,0,0,0,3,2,2.0,0.0,6.0,2.5,4.0,5.0,0.0,3.33,4.0,0.0,7.0,5.0,4.0,4.0,2.33,0.0,0.0,0.0,0.0,3.0,2.0,7.190476190476191,5.0,0.0,19.0,6.714285714285714,4.0,0.0,18.0,1.7619047619047619,1.0,0.0,5.0,3.380952380952381,3.0,0.0,7.0,2.579047619047619,2.5,0.0,5.0
spi<-1_tasmax>32.22,ssp126,2027,2,6,0,5,8,1,0,20,12,5,4,4,0,2,0,0,14,4,8,0,1,2,5,0,4,6,0,0,19,11,4,3,2,0,2,0,0,11,2,8,0,0,1,1,0,1,1,0,0,4,2,2,1,1,0,1,0,0,3,1,2,0,0,2,5,0,4,6,0,0,9,8,2,3,2,0,2,0,0,6,2,6,0,0,2.0,5.0,0.0,4.0,6.0,0.0,0.0,4.75,5.5,2.0,3.0,2.0,0.0,2.0,0.0,0.0,3.67,2.0,4.0,0.0,0.0,4.571428571428571,4.0,0.0,12.0,3.761904761904762,2.0,0.0,11.0,1.0,1.0,0.0,2.0,2.7142857142857144,2.0,0.0,6.0,2.1866666666666665,2.0,0.0,5.0
spi<-1_tasmax>32.22,ssp126,2028,1,3,0,18,11,0,7,4,8,7,3,0,0,0,15,0,0,1,0,0,0,0,2,0,16,9,0,5,4,8,6,2,0,0,0,13,0,0,0,0,0,0,0,1,0,6,3,0,1,1,3,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,4,5,0,5,4,3,6,2,0,0,0,5,0,0,0,0,0,0,0.0,2.0,0.0,2.67,3.0,0.0,5.0,4.0,2.67,6.0,2.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,1.0,0.0,11.0,3.0952380952380953,0.0,0.0,9.0,1.0,0.0,0.0,3.0,1.7142857142857142,0.0,0.0,5.0,1.4566666666666668,0.0,0.0,4.0
spi<-1_tasmax>32.22,ssp126,2029,0,0,10,14,0,0,10,1,5,9,0,2,11,0,6,4,5,27,0,0,4,0,0,10,14,0,0,10,0,5,9,0,0,9,0,5,3,2,27,0,0,3,0,0,4,4,0,0,2,0,2,2,0,0,2,0,1,1,1,5,0,0,1,0,0,4,6,0,0,5,0,3,6,0,0,5,0,5,3,2,9,0,0,3,0.0,0.0,2.5,3.5,0.0,0.0,5.0,0.0,2.5,4.5,0.0,0.0,4.5,0.0,5.0,3.0,2.0,5.4,0.0,0.0,3.0,5.142857142857143,4.0,0.0,11.0,4.619047619047619,2.0,0.0,10.0,1.1904761904761905,1.0,0.0,4.0,2.4285714285714284,2.0,0.0,6.0,1.9476190476190476,2.0,0.0,5.0
spi<-1_tasmax>32.22,ssp126,2030,2,0,0,4,0,3,3,0,6,0,0,13,0,13,1,0,8,1,0,0,0,2,0,0,2,0,2,3,0,5,0,0,13,0,12,0,0,7,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,0,3,0,0,2,0,0,0,0,2,0,0,2,0,2,3,0,5,0,0,11,0,5,0,0,4,0,0,0,0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,6.5,0.0,4.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,8.0,2.1904761904761907,0.0,0.0,7.0,0.5714285714285714,0.0,0.0,2.0,1.619047619047619,0.0,0.0,5.0,1.3333333333333333,0.0,0.0,4.0
