threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,7,5,64,0,43,6,2,0,8,0,24,43,8,27,23,25,56,10,18,16,7,5,64,0,43,6,2,0,7,0,23,42,8,26,20,25,56,6,18,16,2,1,11,0,7,3,1,0,2,0,4,8,1,6,5,5,3,1,3,3,5,5,10,0,15,2,2,0,5,0,12,9,8,7,7,7,49,6,7,6,3.5,5.0,5.82,0.0,6.14,2.0,2.0,0.0,3.5,0.0,5.75,5.25,8.0,4.33,4.0,5.0,18.67,6.0,6.0,5.33,19.25,13.0,0.0,44.30000000000002,18.7,12.0,0.0,44.30000000000002,3.3,3.0,0.0,7.100000000000001,8.1,6.5,0.0,12.300000000000004,4.814500000000001,5.0,0.0,6.326000000000002
rzsm>0.7_pr>50,ssp245,2016,18,10,34,0,14,23,0,12,3,3,34,38,16,0,17,45,64,20,24,19,17,9,32,0,10,22,0,12,3,2,33,38,15,0,17,39,64,19,23,17,2,3,6,0,3,4,0,4,1,1,8,8,4,0,4,8,8,4,5,4,11,3,7,0,5,9,0,5,3,2,7,7,5,0,6,9,18,7,7,6,8.5,3.0,5.33,0.0,3.33,5.5,0.0,3.0,3.0,2.0,4.12,4.75,3.75,0.0,4.25,4.88,8.0,4.75,4.6,4.25,19.7,17.5,0.0,38.70000000000001,18.6,17.0,0.0,38.1,3.85,4.0,0.0,8.0,5.85,6.0,0.0,9.200000000000003,3.8504999999999994,4.1850000000000005,0.0,5.7500000000000036
rzsm>0.7_pr>50,ssp245,2017,36,25,36,25,38,0,10,22,6,3,10,38,13,10,6,64,65,13,3,47,35,25,35,24,37,0,10,20,6,3,9,36,13,10,6,62,65,11,3,45,8,4,7,3,8,0,2,7,1,1,2,7,2,3,1,12,5,3,1,8,9,8,8,12,7,0,6,5,6,3,6,8,10,4,6,13,38,5,3,11,4.38,6.25,5.0,8.0,4.62,0.0,5.0,2.86,6.0,3.0,4.5,5.14,6.5,3.33,6.0,5.17,13.0,3.67,3.0,5.62,23.5,17.5,3.0,48.700000000000024,22.75,16.5,3.0,46.700000000000024,4.25,3.0,1.0,8.0,8.4,6.5,3.0,12.100000000000001,5.0520000000000005,5.0,2.986,6.650000000000002
rzsm>0.7_pr>50,ssp245,2018,52,16,19,5,31,21,42,18,22,10,40,37,10,6,20,26,88,6,25,29,52,16,19,5,30,20,42,16,21,10,38,35,10,5,19,26,85,6,23,29,11,2,4,2,5,3,8,4,5,2,6,5,3,1,5,6,10,1,6,6,7,8,8,3,9,15,7,6,8,5,9,13,4,5,9,7,19,6,7,7,4.73,8.0,4.75,2.5,6.0,6.67,5.25,4.0,4.2,5.0,6.33,7.0,3.33,5.0,3.8,4.33,8.5,6.0,3.83,4.83,26.15,21.5,6.0,43.000000000000014,25.35,20.5,5.9,43.000000000000014,4.75,5.0,1.9000000000000001,8.200000000000003,8.1,7.0,4.9,13.200000000000003,5.2025,4.915,3.753,7.100000000000001
rzsm>0.7_pr>50,ssp245,2019,28,21,6,1,21,36,26,29,37,12,19,38,26,25,34,29,153,20,25,16,25,21,4,0,20,33,26,28,36,12,17,37,25,24,33,27,152,16,25,15,4,5,2,0,4,6,5,4,6,3,4,8,4,4,6,4,7,3,5,2,11,6,2,0,7,10,7,10,9,5,10,7,7,7,6,8,97,7,8,10,6.25,4.2,2.0,0.0,5.0,5.5,5.2,7.0,6.0,4.0,4.25,4.62,6.25,6.0,5.5,6.75,21.71,5.33,5.0,7.5,30.1,25.5,11.4,37.1,28.8,25.0,11.200000000000001,36.1,4.3,4.0,2.0,6.100000000000001,11.7,7.0,4.7,10.100000000000001,5.903,5.415,3.8000000000000003,7.050000000000001
rzsm>0.7_pr>50,ssp245,2020,5,46,20,0,18,31,18,3,28,17,6,30,16,38,34,10,178,7,25,3,5,41,18,0,15,28,17,0,28,16,6,29,16,36,33,9,178,7,22,3,1,8,4,0,3,6,2,0,4,3,1,5,4,6,7,3,2,1,5,1,5,10,6,0,7,8,11,0,9,8,6,11,5,7,7,5,175,7,7,3,5.0,5.12,4.5,0.0,5.0,4.67,8.5,0.0,7.0,5.33,6.0,5.8,4.0,6.0,4.71,3.0,89.0,7.0,4.4,3.0,26.65,18.0,3.0,38.80000000000001,25.35,16.5,2.7,36.50000000000001,3.3,3.0,0.9000000000000001,6.100000000000001,14.85,7.0,2.7,11.0,8.9015,5.0,2.7,7.150000000000002
rzsm>0.7_pr>50,ssp245,2021,0,39,7,0,37,13,13,12,15,0,0,9,31,20,12,0,186,9,24,20,0,34,7,0,35,12,10,11,15,0,0,8,30,19,12,0,184,8,23,19,0,7,2,0,6,3,2,3,3,0,0,2,6,3,2,0,5,2,4,4,0,10,5,0,7,6,7,6,7,0,0,6,6,7,6,0,120,6,11,6,0.0,4.86,3.5,0.0,5.83,4.0,5.0,3.67,5.0,0.0,0.0,4.0,5.0,6.33,6.0,0.0,36.8,4.0,5.75,4.75,22.35,12.5,0.0,37.2,21.35,11.5,0.0,34.1,2.7,2.5,0.0,6.0,10.8,6.0,0.0,10.100000000000001,5.2245,4.375,0.0,6.033
rzsm>0.7_pr>50,ssp245,2022,15,28,7,13,19,21,29,6,12,6,9,24,7,0,39,9,87,17,22,45,13,26,7,11,16,21,28,6,12,5,9,24,4,0,39,8,86,15,22,45,4,5,1,2,2,4,5,1,2,1,2,5,1,0,7,2,5,4,3,9,5,7,7,8,13,6,12,6,7,5,7,6,4,0,9,5,37,6,10,7,3.25,5.2,7.0,5.5,8.0,5.25,5.6,6.0,6.0,5.0,4.5,4.8,4.0,0.0,5.57,4.0,17.2,3.75,7.33,5.0,20.75,16.0,6.0,39.60000000000001,19.85,14.0,4.9,39.60000000000001,3.25,2.5,1.0,5.200000000000003,8.35,7.0,4.9,12.100000000000001,5.647500000000001,5.225,3.7,7.397000000000001
rzsm>0.7_pr>50,ssp245,2023,35,56,2,0,2,19,38,1,20,16,27,8,12,0,23,6,188,47,41,16,33,54,2,0,0,18,34,0,18,14,27,7,11,0,21,5,187,45,41,13,6,11,1,0,0,2,5,0,5,3,7,2,3,0,4,1,6,9,7,4,7,7,2,0,0,12,8,0,6,6,7,4,5,0,7,5,143,7,9,6,5.5,4.91,2.0,0.0,0.0,9.0,6.8,0.0,3.6,4.67,3.86,3.5,3.67,0.0,5.25,5.0,31.17,5.0,5.86,3.25,27.85,17.5,0.9000000000000001,47.90000000000001,26.5,16.0,0.0,45.90000000000001,3.8,3.5,0.0,7.200000000000003,12.05,6.0,0.0,9.300000000000004,5.152,4.265,0.0,7.020000000000003
rzsm>0.7_pr>50,ssp245,2024,25,27,0,12,13,8,35,21,18,27,17,46,33,5,39,4,220,21,21,14,25,26,0,10,12,8,34,19,18,24,15,45,32,4,37,4,218,19,19,14,5,5,0,3,4,2,7,4,3,5,5,6,8,1,8,1,5,5,7,2,8,9,0,5,5,4,9,6,7,7,5,14,6,4,7,4,137,6,4,7,5.0,5.2,0.0,3.33,3.0,4.0,4.86,4.75,6.0,4.8,3.0,7.5,4.0,4.0,4.62,4.0,43.6,3.8,2.71,7.0,30.3,21.0,4.9,39.70000000000001,29.15,19.0,4.0,37.80000000000001,4.3,5.0,1.0,7.100000000000001,12.7,6.0,4.0,9.500000000000007,6.2585,4.3100000000000005,2.971,7.050000000000001
