threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,0,45,21,30,8,6,0,55,10,0,43,68,55,80,6,39,92,11,3,24,0,44,20,30,8,6,0,55,10,0,43,66,54,80,6,39,92,11,2,23,0,7,5,4,1,2,0,9,3,0,8,11,9,14,1,6,3,2,1,3,0,13,6,11,8,4,0,11,5,0,10,9,8,12,6,11,72,6,2,14,0.0,6.29,4.0,7.5,8.0,3.0,0.0,6.11,3.33,0.0,5.38,6.0,6.0,5.71,6.0,6.5,30.67,5.5,2.0,7.67,29.8,22.5,0.0,69.20000000000002,29.45,21.5,0.0,67.40000000000002,4.45,3.0,0.0,9.200000000000003,10.4,8.0,0.0,13.100000000000001,5.983,5.855,0.0,7.703
rzsm>0.7_pr>50,ssp245,2016,36,29,8,22,2,17,37,25,11,29,58,43,62,70,25,46,65,25,42,11,35,28,7,21,2,17,36,25,10,29,58,43,61,68,24,45,65,25,42,11,4,6,1,4,1,3,6,4,2,4,10,8,8,8,4,6,5,4,6,2,13,11,7,8,2,10,8,8,8,14,11,11,14,18,7,13,29,9,15,6,8.75,4.67,7.0,5.25,2.0,5.67,6.0,6.25,5.0,7.25,5.8,5.38,7.62,8.5,6.0,7.5,13.0,6.25,7.0,5.5,33.15,29.0,10.700000000000001,62.300000000000004,32.6,28.5,9.700000000000001,61.400000000000006,4.8,4.0,1.9000000000000001,8.0,11.1,10.5,6.9,15.300000000000004,6.519499999999999,6.125,4.967,8.525
rzsm>0.7_pr>50,ssp245,2017,38,19,7,7,11,4,37,12,0,22,52,0,23,23,33,20,6,42,30,45,38,19,7,6,11,4,36,11,0,20,50,0,23,23,33,18,6,42,30,44,6,4,1,1,2,1,7,2,0,4,10,0,3,5,5,4,1,5,6,6,11,9,7,6,9,4,7,6,0,6,9,0,12,6,9,8,6,20,8,10,6.33,4.75,7.0,6.0,5.5,4.0,5.14,5.5,0.0,5.0,5.0,0.0,7.67,4.6,6.6,4.5,6.0,8.4,5.0,7.33,21.55,21.0,3.6000000000000005,42.300000000000004,21.05,19.5,3.6000000000000005,42.2,3.65,4.0,0.9000000000000001,6.100000000000001,7.65,7.5,3.6000000000000005,11.100000000000001,5.215999999999999,5.32,3.6000000000000005,7.364000000000001
rzsm>0.7_pr>50,ssp245,2018,53,34,0,6,8,5,4,22,0,0,6,26,19,38,13,37,9,50,12,10,51,34,0,6,8,5,3,22,0,0,6,26,19,38,13,37,9,47,12,10,8,4,0,1,2,1,1,4,0,0,1,5,4,8,3,7,1,7,2,2,13,11,0,6,6,5,3,8,0,0,6,7,7,6,6,7,9,14,6,7,6.38,8.5,0.0,6.0,4.0,5.0,3.0,5.5,0.0,0.0,6.0,5.2,4.75,4.75,4.33,5.29,9.0,6.71,6.0,5.0,17.6,11.0,0.0,39.20000000000002,17.3,11.0,0.0,38.90000000000001,3.05,2.0,0.0,7.100000000000001,6.35,6.0,0.0,11.200000000000003,4.7705,5.1,0.0,6.889000000000003
rzsm>0.7_pr>50,ssp245,2019,25,47,0,35,12,29,2,38,50,5,18,0,7,10,13,0,117,48,22,32,24,46,0,34,12,29,2,38,50,5,18,0,7,10,13,0,117,47,22,32,3,6,0,5,1,5,1,5,6,1,2,0,1,2,2,0,3,6,3,5,9,15,0,10,12,8,2,15,18,5,12,0,7,5,7,0,91,19,9,11,8.0,7.67,0.0,6.8,12.0,5.8,2.0,7.6,8.33,5.0,9.0,0.0,7.0,5.0,6.5,0.0,39.0,7.83,7.33,6.4,25.5,20.0,0.0,48.2,25.3,20.0,0.0,47.300000000000004,2.85,2.5,0.0,6.0,12.75,9.0,0.0,18.1,7.563000000000001,6.9,0.0,9.300000000000004
rzsm>0.7_pr>50,ssp245,2020,56,39,0,68,0,26,10,73,14,7,0,0,67,63,86,0,42,55,35,9,55,39,0,65,0,25,10,73,14,7,0,0,64,59,86,0,42,53,34,9,7,5,0,7,0,7,3,10,2,1,0,0,7,10,11,0,3,9,4,1,12,15,0,24,0,6,4,12,7,7,0,0,27,24,25,0,25,10,14,9,7.86,7.8,0.0,9.29,0.0,3.57,3.33,7.3,7.0,7.0,0.0,0.0,9.14,5.9,7.82,0.0,14.0,5.89,8.5,9.0,32.5,30.5,0.0,68.5,31.75,29.5,0.0,65.80000000000001,4.35,3.5,0.0,10.0,11.05,9.5,0.0,25.0,5.67,7.0,0.0,9.155000000000001
rzsm>0.7_pr>50,ssp245,2021,15,24,28,85,0,10,0,58,7,64,17,10,85,51,10,47,0,54,29,35,15,22,28,85,0,10,0,58,7,64,17,9,84,50,10,47,0,54,27,35,3,3,3,10,0,2,0,10,2,8,3,2,12,7,2,8,0,10,5,4,6,13,15,15,0,5,0,11,5,15,8,7,9,14,6,9,0,9,9,11,5.0,7.33,9.33,8.5,0.0,5.0,0.0,5.8,3.5,8.0,5.67,4.5,7.0,7.14,5.0,5.88,0.0,5.4,5.4,8.75,31.45,26.0,0.0,66.10000000000002,31.1,24.5,0.0,66.00000000000003,4.7,3.0,0.0,10.0,8.35,9.0,0.0,15.0,5.36,5.535,0.0,8.525
rzsm>0.7_pr>50,ssp245,2022,50,6,0,30,7,20,30,33,3,15,8,39,78,76,53,64,131,32,10,0,49,5,0,27,7,20,30,33,3,15,8,38,77,74,52,62,131,31,10,0,6,1,0,6,2,4,4,7,1,3,2,6,9,10,9,10,4,6,2,0,11,5,0,7,5,7,9,7,3,7,6,11,24,17,12,10,79,8,5,0,8.17,5.0,0.0,4.5,3.5,5.0,7.5,4.71,3.0,5.0,4.0,6.33,8.56,7.4,5.78,6.2,32.75,5.17,5.0,0.0,34.25,30.0,2.7,76.2,33.6,28.5,2.7,74.30000000000001,4.6,4.0,0.9000000000000001,9.100000000000001,11.65,7.0,2.7,17.70000000000001,6.378500000000001,5.0,2.7,8.209000000000001
rzsm>0.7_pr>50,ssp245,2023,64,41,5,23,7,57,5,19,30,28,0,7,93,36,5,59,134,50,32,79,63,40,3,23,5,56,5,19,30,28,0,7,92,36,5,59,134,49,30,78,13,7,1,4,1,8,1,4,5,2,0,1,12,5,2,7,9,9,6,9,7,9,3,6,5,10,5,7,12,15,0,7,14,9,3,17,47,8,9,24,4.85,5.71,3.0,5.75,5.0,7.0,5.0,4.75,6.0,14.0,0.0,7.0,7.67,7.2,2.5,8.43,14.89,5.44,5.0,8.67,38.7,31.0,5.0,80.40000000000002,38.1,30.0,4.800000000000001,79.40000000000002,5.3,5.0,1.0,9.300000000000004,10.85,8.5,3.0,17.70000000000001,6.393000000000001,5.73,2.95,9.203000000000008
rzsm>0.7_pr>50,ssp245,2024,56,14,12,0,10,86,0,35,2,1,6,68,66,10,58,37,29,11,32,61,54,13,12,0,10,83,0,35,2,0,5,67,64,9,57,34,29,10,32,60,8,2,1,0,2,14,0,5,1,0,1,9,8,2,8,7,3,3,5,10,17,7,12,0,7,16,0,9,2,0,5,22,15,5,12,6,24,5,9,8,6.75,6.5,12.0,0.0,5.0,5.93,0.0,7.0,2.0,0.0,5.0,7.44,8.0,4.5,7.12,4.86,9.67,3.33,6.4,6.0,29.7,21.5,0.9000000000000001,66.2,28.8,21.0,0.0,64.30000000000001,4.45,3.0,0.0,9.100000000000001,9.05,7.5,0.0,17.500000000000007,5.375000000000001,5.965,0.0,8.167000000000002
