threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-1_tasmax>32.22,ssp126,2021,78,4,12,6,16,5,12,0,3,1,0,0,48,8,42,1,26,29,9,22,2,78,4,11,6,16,4,11,0,3,0,0,0,45,8,41,0,26,29,9,22,2,3,1,3,1,3,1,1,0,1,0,0,0,3,2,4,0,3,3,1,2,1,46,4,4,6,12,4,11,0,3,0,0,0,32,6,26,0,19,19,9,18,2,26.0,4.0,3.67,6.0,5.33,4.0,11.0,0.0,3.0,0.0,0.0,0.0,15.0,4.0,10.25,0.0,8.67,9.67,9.0,11.0,2.0,15.428571428571429,8.0,0.0,42.0,15.0,8.0,0.0,41.0,1.5714285714285714,1.0,0.0,3.0,10.523809523809524,6.0,0.0,26.0,6.313809523809524,4.0,0.0,11.0
spi<-1_tasmax>32.22,ssp126,2022,0,0,0,4,9,13,21,29,6,0,4,5,0,0,8,19,33,30,35,23,14,0,0,0,4,9,13,21,28,5,0,4,5,0,0,8,19,32,29,35,23,14,0,0,0,2,2,3,1,3,1,0,1,1,0,0,3,1,5,2,4,2,2,0,0,0,2,6,9,21,18,5,0,4,5,0,0,4,19,9,17,22,13,9,0.0,0.0,0.0,2.0,4.5,4.33,21.0,9.33,5.0,0.0,4.0,5.0,0.0,0.0,2.67,19.0,6.4,14.5,8.75,11.5,7.0,12.047619047619047,8.0,0.0,30.0,11.857142857142858,8.0,0.0,29.0,1.5714285714285714,1.0,0.0,3.0,7.761904761904762,5.0,0.0,19.0,5.951428571428572,4.5,0.0,14.5
spi<-1_tasmax>32.22,ssp126,2023,7,0,0,15,0,0,7,12,0,26,0,18,0,4,0,0,2,10,16,0,19,7,0,0,14,0,0,7,12,0,26,0,17,0,4,0,0,2,10,16,0,19,1,0,0,1,0,0,2,2,0,3,0,2,0,1,0,0,1,2,1,0,2,7,0,0,14,0,0,4,10,0,12,0,14,0,4,0,0,2,6,16,0,12,7.0,0.0,0.0,14.0,0.0,0.0,3.5,6.0,0.0,8.67,0.0,8.5,0.0,4.0,0.0,0.0,2.0,5.0,16.0,0.0,9.5,6.476190476190476,2.0,0.0,18.0,6.380952380952381,2.0,0.0,17.0,0.8571428571428571,1.0,0.0,2.0,4.809523809523809,2.0,0.0,14.0,4.008095238095239,2.0,0.0,9.5
spi<-1_tasmax>32.22,ssp126,2024,34,14,0,0,39,17,0,3,25,0,6,0,25,42,8,11,60,2,17,37,0,34,14,0,0,39,16,0,2,23,0,5,0,25,42,7,11,60,2,17,34,0,3,1,0,0,3,2,0,1,1,0,2,0,4,3,2,2,2,1,3,3,0,18,14,0,0,19,10,0,2,23,0,3,0,10,22,4,6,55,2,9,23,0,11.33,14.0,0.0,0.0,13.0,8.0,0.0,2.0,23.0,0.0,2.5,0.0,6.25,14.0,3.5,5.5,30.0,2.0,5.67,11.33,0.0,16.19047619047619,11.0,0.0,39.0,15.761904761904763,11.0,0.0,39.0,1.5714285714285714,2.0,0.0,3.0,10.476190476190476,6.0,0.0,23.0,7.241904761904761,5.5,0.0,14.0
spi<-1_tasmax>32.22,ssp126,2025,20,17,10,0,0,19,0,0,8,0,6,0,0,0,0,30,26,24,9,0,17,17,17,9,0,0,19,0,0,8,0,6,0,0,0,0,29,26,24,9,0,16,1,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,2,4,2,0,2,17,13,6,0,0,19,0,0,8,0,6,0,0,0,0,29,20,9,5,0,14,17.0,8.5,4.5,0.0,0.0,19.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,13.0,6.0,4.5,0.0,8.0,8.857142857142858,6.0,0.0,24.0,8.571428571428571,6.0,0.0,24.0,0.9047619047619048,1.0,0.0,2.0,6.9523809523809526,5.0,0.0,19.0,5.880952380952381,4.5,0.0,17.0
spi<-1_tasmax>32.22,ssp126,2026,0,15,2,35,11,60,5,0,25,17,7,0,18,0,27,0,5,4,30,0,34,0,15,2,35,11,59,4,0,25,17,7,0,16,0,27,0,5,4,30,0,33,0,1,1,4,2,1,1,0,1,2,2,0,3,0,2,0,1,2,3,0,2,0,15,2,14,6,59,4,0,25,10,4,0,7,0,21,0,5,2,17,0,20,0.0,15.0,2.0,8.75,5.5,59.0,4.0,0.0,25.0,8.5,3.5,0.0,5.33,0.0,13.5,0.0,5.0,2.0,10.0,0.0,16.5,14.047619047619047,7.0,0.0,34.0,13.80952380952381,7.0,0.0,33.0,1.3333333333333333,1.0,0.0,3.0,10.047619047619047,5.0,0.0,21.0,8.741904761904763,5.0,0.0,16.5
spi<-1_tasmax>32.22,ssp126,2027,26,0,22,18,11,0,10,11,0,16,0,31,5,0,0,12,0,31,34,1,0,26,0,22,18,10,0,10,11,0,16,0,30,4,0,0,12,0,30,34,0,0,3,0,3,2,2,0,1,1,0,3,0,4,1,0,0,1,0,1,3,0,0,12,0,10,11,6,0,10,11,0,7,0,11,4,0,0,12,0,30,21,0,0,8.67,0.0,7.33,9.0,5.0,0.0,10.0,11.0,0.0,5.33,0.0,7.5,4.0,0.0,0.0,12.0,0.0,30.0,11.33,0.0,0.0,10.857142857142858,10.0,0.0,31.0,10.619047619047619,10.0,0.0,30.0,1.1904761904761905,1.0,0.0,3.0,6.904761904761905,6.0,0.0,12.0,5.769523809523809,5.0,0.0,11.33
spi<-1_tasmax>32.22,ssp126,2028,0,0,0,17,10,38,17,0,1,10,88,18,1,6,17,0,28,8,9,27,19,0,0,0,17,10,37,17,0,0,9,87,18,0,6,17,0,28,8,9,27,19,0,0,0,3,2,1,2,0,0,1,1,1,0,1,1,0,5,1,1,2,1,0,0,0,9,8,37,11,0,0,9,87,18,0,6,17,0,19,8,9,24,19,0.0,0.0,0.0,5.67,5.0,37.0,8.5,0.0,0.0,9.0,87.0,18.0,0.0,6.0,17.0,0.0,5.6,8.0,9.0,13.5,19.0,14.952380952380953,10.0,0.0,28.0,14.714285714285714,9.0,0.0,28.0,1.0952380952380953,1.0,0.0,2.0,13.380952380952381,9.0,0.0,24.0,11.822380952380954,6.0,0.0,19.0
spi<-1_tasmax>32.22,ssp126,2029,48,40,19,22,9,0,9,0,3,38,8,0,4,16,7,40,0,15,2,11,11,48,40,19,22,9,0,9,0,3,38,8,0,3,16,7,40,0,14,2,11,11,1,2,2,5,1,0,2,0,1,6,1,0,1,1,1,1,0,2,1,1,1,48,25,16,9,9,0,5,0,3,9,8,0,3,16,7,40,0,8,2,11,11,48.0,20.0,9.5,4.4,9.0,0.0,4.5,0.0,3.0,6.33,8.0,0.0,3.0,16.0,7.0,40.0,0.0,7.0,2.0,11.0,11.0,14.380952380952381,9.0,0.0,40.0,14.285714285714286,9.0,0.0,40.0,1.4285714285714286,1.0,0.0,2.0,10.952380952380953,8.0,0.0,25.0,9.987142857142858,7.0,0.0,20.0
spi<-1_tasmax>32.22,ssp126,2030,9,28,0,45,1,24,10,0,0,19,0,1,0,18,8,0,9,5,0,15,0,9,28,0,45,0,24,10,0,0,19,0,0,0,18,7,0,8,5,0,14,0,1,2,0,3,0,3,2,0,0,3,0,0,0,2,2,0,2,1,0,1,0,9,24,0,26,0,15,7,0,0,12,0,0,0,14,5,0,6,5,0,14,0,9.0,14.0,0.0,15.0,0.0,8.0,5.0,0.0,0.0,6.33,0.0,0.0,0.0,9.0,3.5,0.0,4.0,5.0,0.0,14.0,0.0,9.142857142857142,5.0,0.0,24.0,8.904761904761905,5.0,0.0,24.0,1.0476190476190477,1.0,0.0,3.0,6.523809523809524,5.0,0.0,15.0,4.42047619047619,3.5,0.0,14.0
