threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,58,99,107,8,29,38,51,51,36,47,90,26,63,104,40,67,147,71,21,44,58,99,105,7,26,37,51,50,35,46,89,25,61,102,40,67,147,70,21,41,7,14,14,1,5,7,10,8,6,8,12,5,10,17,7,10,8,10,4,10,29,19,14,7,9,9,8,14,8,10,16,9,10,13,11,11,47,11,6,6,8.29,7.07,7.5,7.0,5.2,5.29,5.1,6.25,5.83,5.75,7.42,5.0,6.1,6.0,5.71,6.7,18.38,7.0,5.25,4.1,59.85,51.0,25.5,104.30000000000001,58.85,50.5,24.6,102.30000000000001,8.65,8.0,4.9,14.0,13.35,10.5,6.9,20.000000000000014,6.746999999999998,6.05,5.09,7.579000000000001
rzsm>0.7_pr>50,ssp245,2016,10,48,77,32,50,43,32,35,22,48,46,54,44,130,82,54,175,48,70,33,8,47,76,29,46,42,32,33,22,44,46,52,42,130,82,51,175,48,68,31,3,8,10,4,12,6,5,6,5,8,7,8,8,17,14,9,20,6,8,6,3,12,18,16,8,15,16,12,6,7,13,15,10,18,11,9,25,23,25,8,2.67,5.88,7.6,7.25,3.83,7.0,6.4,5.5,4.4,5.5,6.57,6.5,5.25,7.65,5.86,5.67,8.75,8.0,8.5,5.17,56.65,48.0,31.0,86.80000000000007,55.2,46.0,28.3,86.80000000000007,8.5,8.0,4.9,14.300000000000004,13.5,12.5,6.9,23.200000000000003,6.1975,6.140000000000001,4.343,8.05
rzsm>0.7_pr>50,ssp245,2017,31,56,24,10,126,45,68,84,10,49,59,56,69,46,22,87,87,49,8,62,30,55,23,8,126,44,67,84,10,48,57,55,67,46,22,87,86,47,7,62,5,10,6,2,11,7,12,9,4,5,9,10,14,7,6,15,15,7,2,8,11,8,7,6,27,10,12,13,3,23,12,10,18,17,10,9,15,19,5,20,6.0,5.5,3.83,4.0,11.45,6.29,5.58,9.33,2.5,9.6,6.33,5.5,4.79,6.57,3.67,5.8,5.73,6.71,3.5,7.75,52.4,52.5,10.0,87.0,51.55,51.5,9.8,86.1,8.2,7.5,3.8000000000000003,14.100000000000001,12.75,11.5,5.9,20.300000000000004,6.0215000000000005,5.765000000000001,3.653,9.357000000000001
rzsm>0.7_pr>50,ssp245,2018,116,35,59,8,4,19,72,79,56,23,40,60,75,37,40,92,85,69,12,20,116,33,56,7,4,19,71,79,55,22,38,59,75,35,40,92,82,69,12,19,15,5,9,1,2,5,12,8,11,4,7,9,13,9,7,10,7,11,3,3,17,12,9,7,2,6,10,20,9,7,7,21,9,6,11,15,27,16,5,9,7.73,6.6,6.22,7.0,2.0,3.8,5.92,9.88,5.0,5.5,5.43,6.56,5.77,3.89,5.71,9.2,11.71,6.27,4.0,6.33,50.05,48.0,11.600000000000001,85.70000000000002,49.15,47.5,11.5,83.00000000000001,7.55,7.5,2.9000000000000004,12.100000000000001,11.25,9.0,5.9,20.1,6.226000000000001,6.07,3.8810000000000002,9.268
rzsm>0.7_pr>50,ssp245,2019,72,72,70,19,30,79,39,50,49,25,42,36,31,82,26,15,98,59,31,22,68,72,69,14,30,77,39,48,47,25,40,36,30,82,26,15,98,57,28,22,10,12,8,3,4,11,7,8,8,4,8,8,4,15,7,3,12,9,5,5,15,11,36,7,13,18,7,14,7,10,8,7,9,12,7,6,26,8,11,7,6.8,6.0,8.62,4.67,7.5,7.0,5.57,6.0,5.88,6.25,5.0,4.5,7.5,5.47,3.71,5.0,8.17,6.33,5.6,4.4,47.35,40.5,21.7,79.30000000000001,46.15,39.5,21.3,77.5,7.55,8.0,3.9000000000000004,12.0,11.95,9.5,7.0,18.80000000000001,5.9985,5.9399999999999995,4.49,7.567000000000001
rzsm>0.7_pr>50,ssp245,2020,54,120,70,6,38,43,46,61,34,44,51,45,92,82,60,19,123,63,57,51,54,120,69,6,35,38,44,59,34,43,49,44,90,81,59,19,123,63,57,48,7,13,9,1,8,8,7,10,7,7,9,9,16,10,12,4,9,9,7,9,15,34,17,6,7,8,9,11,7,7,10,6,13,21,8,8,43,16,13,8,7.71,9.23,7.67,6.0,4.38,4.75,6.29,5.9,4.86,6.14,5.44,4.89,5.62,8.1,4.92,4.75,13.67,7.0,8.14,5.33,57.95,52.5,32.5,94.80000000000004,56.75,51.5,32.5,93.00000000000004,8.55,9.0,6.7,12.100000000000001,13.35,9.5,6.9,22.30000000000002,6.539500000000001,5.95,4.75,8.249000000000002
rzsm>0.7_pr>50,ssp245,2021,21,104,95,1,41,14,29,80,31,88,52,87,134,46,21,95,27,66,7,67,20,102,94,0,40,14,29,78,30,86,52,84,132,44,19,94,26,65,6,67,3,17,13,0,8,3,5,12,8,16,12,15,16,8,3,14,2,11,2,9,7,14,16,0,7,7,8,19,9,11,7,13,24,14,9,14,24,11,4,19,6.67,6.0,7.23,0.0,5.0,4.67,5.8,6.5,3.75,5.38,4.33,5.6,8.25,5.5,6.33,6.71,13.0,5.91,3.0,7.44,55.3,49.0,13.3,95.9,54.1,48.0,13.200000000000001,94.80000000000001,8.85,8.5,2.0,16.0,11.85,11.0,6.7,19.500000000000007,5.8534999999999995,5.855,3.6750000000000003,7.521000000000002
rzsm>0.7_pr>50,ssp245,2022,43,20,26,3,63,65,32,48,49,10,74,71,99,89,77,87,81,94,23,96,41,18,24,3,61,65,32,46,48,8,72,68,99,88,75,85,79,89,22,96,9,4,6,1,8,9,6,6,9,2,10,9,11,16,6,12,11,12,4,10,7,6,8,3,13,13,8,14,16,6,17,16,20,9,49,12,27,14,7,35,4.56,4.5,4.0,3.0,7.62,7.22,5.33,7.67,5.33,4.0,7.2,7.56,9.0,5.5,12.5,7.08,7.18,7.42,5.5,9.6,57.5,64.0,19.0,94.2,55.95,63.0,17.0,89.70000000000002,8.05,9.0,3.8000000000000003,12.0,15.0,13.0,6.0,27.80000000000001,6.588500000000001,7.13,4.0,9.06
rzsm>0.7_pr>50,ssp245,2023,36,59,48,53,65,62,47,22,68,75,89,66,99,70,23,51,85,100,48,60,35,58,48,49,64,62,46,21,68,75,86,66,96,67,23,50,84,97,47,59,7,9,6,10,10,13,9,5,8,8,10,10,17,12,5,6,7,13,7,9,7,12,14,13,12,13,7,6,17,22,22,14,13,13,6,11,35,26,16,18,5.0,6.44,8.0,4.9,6.4,4.77,5.11,4.2,8.5,9.38,8.6,6.6,5.65,5.58,4.6,8.33,12.0,7.46,6.71,6.56,61.3,61.0,34.7,90.00000000000001,60.05,60.5,33.800000000000004,87.00000000000001,9.05,9.0,5.9,13.0,14.85,13.0,6.9,22.400000000000006,6.7395,6.5,4.752999999999999,8.678
rzsm>0.7_pr>50,ssp245,2024,72,30,60,12,65,56,36,70,21,23,107,47,63,41,88,25,88,19,69,50,69,28,58,11,65,56,35,68,21,23,107,47,62,40,88,24,87,18,69,50,12,5,8,3,15,13,9,9,4,5,10,8,10,8,11,5,11,5,8,8,11,10,15,5,7,11,6,22,6,7,38,12,13,8,17,7,43,6,18,21,5.75,5.6,7.25,3.67,4.33,4.31,3.89,7.56,5.25,4.6,10.7,5.88,6.2,5.0,8.0,4.8,7.91,3.6,8.62,6.25,52.1,53.0,20.8,88.0,51.3,53.0,20.7,87.1,8.35,8.0,4.9,12.100000000000001,14.15,11.0,6.0,23.600000000000023,5.958499999999999,5.675,3.8680000000000003,8.062000000000001
