threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,0,6,0,20,0,12,0,0,10,0,5,0,0,5,0,0,238,0,0,0,0,6,0,20,0,12,0,0,10,0,5,0,0,5,0,0,238,0,0,0,0,1,0,4,0,2,0,0,2,0,1,0,0,1,0,0,3,0,0,0,0,6,0,7,0,7,0,0,6,0,5,0,0,5,0,0,133,0,0,0,0.0,6.0,0.0,5.0,0.0,6.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,79.33,0.0,0.0,0.0,14.8,0.0,0.0,12.800000000000011,14.8,0.0,0.0,12.800000000000011,0.7,0.0,0.0,2.1000000000000014,8.45,0.0,0.0,7.0,5.5665,0.0,0.0,6.0
rzsm>0.7_pr>50,ssp245,2016,0,0,5,0,13,0,2,2,2,1,0,21,4,1,5,9,62,5,0,0,0,0,5,0,13,0,2,2,2,0,0,20,4,0,5,9,62,4,0,0,0,0,1,0,2,0,1,1,1,0,0,3,1,0,1,2,1,1,0,0,0,0,5,0,8,0,2,2,2,0,0,8,4,0,5,7,62,4,0,0,0.0,0.0,5.0,0.0,6.5,0.0,2.0,2.0,2.0,0.0,0.0,6.67,4.0,0.0,5.0,4.5,62.0,4.0,0.0,0.0,6.6,2.0,0.0,13.800000000000011,6.4,2.0,0.0,13.70000000000001,0.75,1.0,0.0,2.0,5.45,2.0,0.0,8.0,5.1835,2.0,0.0,6.517
rzsm>0.7_pr>50,ssp245,2017,14,0,0,0,0,6,8,0,0,5,2,23,2,9,6,0,96,0,5,3,14,0,0,0,0,6,8,0,0,5,2,23,2,9,6,0,96,0,5,2,2,0,0,0,0,1,2,0,0,2,1,3,1,2,1,0,1,0,1,1,9,0,0,0,0,6,5,0,0,3,2,10,2,6,6,0,96,0,5,2,7.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,2.5,2.0,7.67,2.0,4.5,6.0,0.0,96.0,0.0,5.0,2.0,8.95,2.5,0.0,14.900000000000013,8.9,2.0,0.0,14.900000000000013,0.9,1.0,0.0,2.0,7.6,2.0,0.0,9.100000000000001,7.233500000000001,2.0,0.0,7.067000000000001
rzsm>0.7_pr>50,ssp245,2018,0,0,0,1,0,0,0,0,0,17,15,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,3,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,2.05,0.0,0.0,6.000000000000014,2.0,0.0,0.0,6.000000000000014,0.25,0.0,0.0,1.0,1.85,0.0,0.0,5.70000000000001,1.625,0.0,0.0,5.2500000000000036
rzsm>0.7_pr>50,ssp245,2019,0,5,5,1,0,6,5,7,4,6,0,0,18,0,0,0,173,3,8,9,0,4,4,0,0,6,5,7,4,6,0,0,18,0,0,0,172,3,8,8,0,1,1,0,0,1,1,2,1,1,0,0,2,0,0,0,4,1,1,1,0,4,4,0,0,6,5,5,4,6,0,0,12,0,0,0,79,3,8,8,0.0,4.0,4.0,0.0,0.0,6.0,5.0,3.5,4.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,43.0,3.0,8.0,8.0,12.5,4.5,0.0,9.900000000000013,12.25,4.0,0.0,9.000000000000014,0.85,1.0,0.0,2.0,7.2,4.0,0.0,8.400000000000006,5.175,3.75,0.0,8.100000000000001
rzsm>0.7_pr>50,ssp245,2020,0,6,4,0,0,5,7,0,0,0,0,3,12,0,3,0,75,5,6,0,0,6,4,0,0,5,7,0,0,0,0,3,12,0,3,0,75,5,6,0,0,1,1,0,0,1,1,0,0,0,0,1,2,0,1,0,1,1,1,0,0,6,4,0,0,5,7,0,0,0,0,3,6,0,3,0,75,5,6,0,0.0,6.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,0.0,75.0,5.0,6.0,0.0,6.3,1.5,0.0,7.500000000000007,6.3,1.5,0.0,7.500000000000007,0.55,0.5,0.0,1.0,6.0,1.5,0.0,6.100000000000001,6.0,1.5,0.0,6.100000000000001
rzsm>0.7_pr>50,ssp245,2021,5,6,0,5,0,4,3,0,0,0,12,3,0,0,5,0,157,4,0,0,5,6,0,5,0,4,3,0,0,0,11,3,0,0,5,0,157,4,0,0,1,1,0,1,0,1,1,0,0,0,3,1,0,0,1,0,2,1,0,0,5,6,0,5,0,4,3,0,0,0,7,3,0,0,5,0,151,4,0,0,5.0,6.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,3.67,3.0,0.0,0.0,5.0,0.0,78.5,4.0,0.0,0.0,10.2,1.5,0.0,6.6000000000000085,10.15,1.5,0.0,6.500000000000007,0.65,0.5,0.0,1.1000000000000014,9.65,1.5,0.0,6.100000000000001,5.8585,1.5,0.0,5.100000000000001
rzsm>0.7_pr>50,ssp245,2022,1,2,0,7,4,0,7,0,0,3,0,10,4,9,3,5,99,8,11,0,0,2,0,7,4,0,7,0,0,3,0,10,2,8,3,4,99,8,11,0,0,1,0,2,1,0,1,0,0,1,0,2,1,2,1,1,1,2,1,0,0,2,0,4,4,0,7,0,0,3,0,7,2,5,3,4,99,6,11,0,0.0,2.0,0.0,3.5,4.0,0.0,7.0,0.0,0.0,3.0,0.0,5.0,2.0,4.0,3.0,4.0,99.0,4.0,11.0,0.0,8.65,3.5,0.0,10.100000000000001,8.4,3.0,0.0,10.100000000000001,0.85,1.0,0.0,2.0,7.85,3.0,0.0,7.400000000000006,7.575,3.0,0.0,7.400000000000006
rzsm>0.7_pr>50,ssp245,2023,6,6,0,0,0,0,0,0,0,5,4,0,5,0,0,0,18,0,0,4,6,6,0,0,0,0,0,0,0,5,4,0,5,0,0,0,17,0,0,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,5,4,0,5,0,0,0,17,0,0,4,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,2.4,0.0,0.0,6.0,2.35,0.0,0.0,6.0,0.35,0.0,0.0,1.0,2.35,0.0,0.0,6.0,2.35,0.0,0.0,6.0
rzsm>0.7_pr>50,ssp245,2024,0,8,0,9,0,4,0,0,0,0,15,6,4,2,0,8,102,11,0,4,0,8,0,9,0,4,0,0,0,0,15,6,4,2,0,7,102,11,0,4,0,2,0,2,0,1,0,0,0,0,2,1,1,1,0,1,1,1,0,1,0,6,0,7,0,4,0,0,0,0,9,6,4,2,0,7,102,11,0,4,0.0,4.0,0.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,7.5,6.0,4.0,2.0,0.0,7.0,102.0,11.0,0.0,4.0,8.65,3.0,0.0,11.400000000000006,8.6,3.0,0.0,11.400000000000006,0.7,1.0,0.0,2.0,8.1,3.0,0.0,9.200000000000003,7.8,3.0,0.0,7.850000000000005
