center,variable,base,ssp,percentile,months,access-cm2,access-esm1-5,bcc-csm2-mr,cesm2,cesm2-waccm,cmcc-cm2-sr5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,fgoals-g3,gfdl-cm4,gfdl-cm4_gr2,gfdl-esm4,giss-e2-1-g,iitm-esm,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc-es2l,miroc6,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,noresm2-lm,noresm2-mm,taiesm1
AFRC,rzsm,"[1950, 2014]",ssp245,0.02,,0.0975658,0.09821679999999999,,0.0977798,0.0978888,0.097664,0.0977794,0.0967794,0.0976898,0.0973168,0.0978228,0.0980602,0.0976576,0.0975844,0.0978426,0.098163,0.0977594,0.097959,,0.0981818,0.0975534,,0.097705,0.0976086,0.09766179999999999,0.0976266,0.09724,0.0977282
AFRC,rzsm,"[1950, 2014]",ssp245,0.05,,0.099654,0.100303,,0.100217,0.100021,0.10015,0.099884,0.09929,0.099496,0.09922,0.09959,0.100462,0.099251,0.099551,0.099697,0.099866,0.09963,0.099552,,0.100922,0.099606,,0.099489,0.099109,0.09974,0.09937,0.099129,0.099681
AFRC,rzsm,"[1950, 2014]",ssp245,0.1,,0.102237,0.102964,,0.102853,0.103104,0.102962,0.103602,0.102026,0.102302,0.102872,0.102167,0.103171,0.101676,0.101996,0.102221,0.102689,0.102112,0.101909,,0.105343,0.102412,,0.101816,0.10148,0.10271,0.101874,0.102186,0.102222
AFRC,rzsm,"[1950, 2014]",ssp245,0.2,,0.108148,0.109117,,0.11026,0.110422,0.108864,0.112173,0.108024,0.108612,0.110361,0.107685,0.110196,0.107889,0.10899,0.107857,0.108758,0.107567,0.107826,,0.11515,0.109376,,0.108688,0.108116,0.110018,0.108226,0.109747,0.107921
AFRC,rzsm,"[1950, 2014]",ssp245,0.3,,0.117482,0.117624,,0.121321,0.122249,0.115135,0.121786,0.116977,0.118136,0.121921,0.116125,0.119909,0.116684,0.117346,0.114835,0.118405,0.117056,0.117055,,0.125012,0.121067,,0.119195,0.117104,0.118841,0.115609,0.119481,0.1162
AFRC,rzsm,"[1950, 2014]",ssp245,0.7,,0.193462,0.194438,,0.192475,0.191009,0.179732,0.181425,0.193567,0.191351,0.190458,0.1892,0.194602,0.189873,0.195037,0.191729,0.195005,0.192375,0.19476,,0.162279,0.18507,,0.191678,0.192413,0.193643,0.190885,0.187568,0.182999
AFRC,rzsm,"[1950, 2014]",ssp245,0.8,,0.228356,0.223643,,0.221801,0.221638,0.21494,0.21588,0.224399,0.225342,0.217869,0.219718,0.223079,0.221687,0.223438,0.22141,0.225801,0.221991,0.219792,,0.180428,0.218609,,0.220668,0.226053,0.222894,0.220987,0.220404,0.213018
AFRC,rzsm,"[1950, 2014]",ssp245,0.9,,0.257174,0.252934,,0.254357,0.254837,0.250103,0.253086,0.254655,0.25653,0.253581,0.252038,0.253324,0.251745,0.250546,0.253342,0.254176,0.256501,0.252371,,0.211424,0.255321,,0.252805,0.256517,0.256108,0.252301,0.254232,0.247821
AFRC,rzsm,"[1950, 2014]",ssp245,0.95,,0.276009,0.273832,,0.274495,0.275432,0.274936,0.276245,0.275954,0.273949,0.275404,0.270871,0.272605,0.271122,0.271461,0.273364,0.273344,0.274725,0.272841,,0.23096,0.278755,,0.271354,0.274532,0.277803,0.271529,0.277189,0.275043
AFRC,rzsm,"[1950, 2014]",ssp245,0.98,,0.29245620000000006,0.2928354000000001,,0.295034,0.2969712,0.2994064000000001,0.29744760000000003,0.2961488,0.29151180000000004,0.29324459999999997,0.29185800000000006,0.292472,0.2910282,0.293833,0.293202,0.29117,0.29379380000000005,0.2932576,,0.2494674,0.2984212,,0.2912878,0.2921386,0.2972648,0.2915208,0.299605,0.29758540000000006
