Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,205.0,196.0,257.0,213.0,241.0,267.0,254.0,273.0,160.0,231.0,166.0,191.0,206.0,250.0,191.0,275.0,156.0,207.0,201.0,240.0,223.0,202.0,218.4090909090909,210.0,197.25,247.75,160.3,272.7
1951.0,204.0,195.0,258.0,206.0,245.0,229.0,234.0,263.0,167.0,257.0,201.0,206.0,238.0,202.0,209.0,247.0,178.0,221.0,187.0,244.0,229.0,238.0,220.8181818181818,225.0,202.5,242.5,178.45,257.95
1952.0,224.0,186.0,243.0,242.0,242.0,254.0,221.0,263.0,195.0,254.0,201.0,205.0,202.0,267.0,205.0,274.0,172.0,232.0,196.0,251.0,227.0,223.0,226.3181818181818,225.5,202.75,249.0,186.45,266.8
1953.0,222.0,200.0,235.0,215.0,238.0,224.0,231.0,247.0,185.0,258.0,200.0,215.0,220.0,246.0,205.0,260.0,127.0,229.0,195.0,277.0,238.0,234.0,222.77272727272728,226.5,207.5,238.0,185.5,259.9
1954.0,220.0,196.0,236.0,229.0,226.0,257.0,260.0,258.0,176.0,258.0,189.0,222.0,210.0,258.0,187.0,254.0,173.0,251.0,197.0,260.0,209.0,230.0,225.27272727272728,227.5,200.0,256.25,176.55,259.9
1955.0,220.0,200.0,232.0,252.0,248.0,258.0,275.0,273.0,150.0,261.0,195.0,192.0,218.0,223.0,189.0,230.0,188.0,262.0,180.0,223.0,205.0,237.0,223.22727272727272,223.0,196.25,251.0,180.4,272.45
1956.0,214.0,177.0,224.0,249.0,244.0,231.0,257.0,262.0,155.0,235.0,180.0,210.0,199.0,249.0,206.0,216.0,159.0,215.0,196.0,253.0,241.0,222.0,217.9090909090909,219.0,200.75,243.25,159.9,256.8
1957.0,198.0,207.0,231.0,223.0,234.0,236.0,254.0,272.0,144.0,243.0,156.0,207.0,189.0,242.0,218.0,257.0,195.0,265.0,215.0,260.0,219.0,238.0,222.86363636363637,227.0,207.0,242.75,157.65,264.75
1958.0,231.0,152.0,248.0,232.0,224.0,215.0,238.0,255.0,193.0,237.0,168.0,223.0,207.0,216.0,198.0,237.0,203.0,228.0,180.0,236.0,189.0,206.0,214.36363636363637,219.5,199.25,235.0,168.6,247.5
1959.0,243.0,193.0,258.0,222.0,241.0,223.0,245.0,292.0,195.0,221.0,177.0,235.0,198.0,250.0,219.0,242.0,172.0,238.0,184.0,263.0,191.0,202.0,222.9090909090909,222.5,195.75,242.75,177.35,262.75
