years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,-5.029266357421875,-3.586212158203125,-4.071441650390625,nan,-4.30352783203125,-5.560272216796875,-4.473114013671875,-4.79669189453125,-4.001861572265625,-2.60986328125,-3.94354248046875,-1.06439208984375,-9.644500732421875,-8.576751708984375,-8.336883544921875,-3.24462890625,-3.193389892578125,-6.622161865234375,-2.963287353515625,-6.044342041015625,-10.108062744140625,-0.510040283203125,-4.889725458054316,-4.30352783203125,-6.044342041015625,-3.24462890625
1951.0,-4.240966796875,-4.28515625,-2.20648193359375,nan,-5.6114501953125,-2.246490478515625,-2.157867431640625,-4.9998779296875,-11.18377685546875,-7.9075927734375,-7.692901611328125,0.3856201171875,-3.671539306640625,-7.72021484375,-3.876007080078125,-5.977569580078125,-4.0589599609375,-5.798980712890625,-2.2628173828125,-10.90594482421875,-3.886566162109375,-0.714263916015625,-4.8104669480096724,-4.240966796875,-5.977569580078125,-2.2628173828125
1952.0,-1.868988037109375,-3.664825439453125,-10.332061767578125,nan,-3.388946533203125,-2.122894287109375,-6.653594970703125,-16.256927490234375,-10.074737548828125,-5.212799072265625,-0.470367431640625,-3.3184814453125,-10.95037841796875,-10.878875732421875,-5.5806884765625,-6.159027099609375,-2.6129150390625,-8.567474365234375,-2.740570068359375,-2.4761962890625,-2.338134765625,-3.064361572265625,-5.653964088076637,-3.664825439453125,-8.567474365234375,-2.6129150390625
1953.0,-1.37554931640625,-2.767730712890625,-7.3221435546875,nan,-1.944488525390625,-2.609161376953125,-3.287261962890625,-4.71978759765625,-12.423858642578125,-3.603729248046875,-4.753326416015625,-4.24383544921875,-4.73974609375,-13.29681396484375,-4.460357666015625,-6.72906494140625,-8.9931640625,-3.793060302734375,-4.39886474609375,-2.34857177734375,-2.281005859375,-5.721527099609375,-5.038716634114583,-4.39886474609375,-5.721527099609375,-2.767730712890625
1954.0,-3.6053466796875,-2.209869384765625,-2.379058837890625,nan,-3.78936767578125,-4.59564208984375,-4.3248291015625,-6.3834228515625,-11.257904052734375,-2.769256591796875,-7.92669677734375,-4.99359130859375,-7.105499267578125,-5.2630615234375,-6.247283935546875,-6.5830078125,-4.006500244140625,-5.402008056640625,-5.452789306640625,-1.58050537109375,-3.88525390625,-1.804931640625,-4.8364679245721724,-4.59564208984375,-6.247283935546875,-3.6053466796875
1955.0,-4.13446044921875,-3.87969970703125,-2.753173828125,nan,-3.7587890625,-12.30645751953125,-6.067962646484375,-24.4901123046875,-3.75909423828125,-5.442596435546875,-3.23345947265625,-2.427398681640625,-13.16851806640625,-7.955657958984375,-2.52471923828125,-6.061859130859375,-1.89227294921875,-6.85406494140625,-5.684234619140625,-2.918487548828125,-4.25531005859375,-2.559906005859375,-6.006106422061012,-4.13446044921875,-6.067962646484375,-2.918487548828125
1956.0,-4.755096435546875,-2.264373779296875,-4.06634521484375,nan,-7.439056396484375,-1.82720947265625,-6.052032470703125,-8.068023681640625,-0.805084228515625,-12.1795654296875,-8.03436279296875,-3.99786376953125,0.54376220703125,-7.281890869140625,-5.701446533203125,-3.04534912109375,-5.29815673828125,-4.977752685546875,-5.39794921875,-16.666046142578125,-3.1429443359375,-9.1871337890625,-5.697329566592262,-5.29815673828125,-7.439056396484375,-3.1429443359375
1957.0,-2.5599365234375,-4.435028076171875,-0.233612060546875,nan,-4.515777587890625,-2.441619873046875,-5.148590087890625,-4.871246337890625,-6.697784423828125,-6.99078369140625,-2.725799560546875,-6.01397705078125,0.002960205078125,-4.350860595703125,-0.883148193359375,-3.557769775390625,-6.88861083984375,-5.878204345703125,-6.892730712890625,-1.391815185546875,-1.778533935546875,-4.3914794921875,-3.9354451497395835,-4.3914794921875,-5.878204345703125,-2.441619873046875
1958.0,-4.367523193359375,-0.471099853515625,-1.784454345703125,nan,-3.849456787109375,-0.678131103515625,-3.298736572265625,-2.777587890625,-5.692169189453125,-3.500701904296875,-2.1099853515625,-10.619537353515625,-3.549041748046875,-5.989715576171875,-2.238677978515625,-4.955169677734375,-4.280242919921875,-5.685089111328125,-4.45416259765625,-2.4163818359375,-3.68658447265625,-5.101959228515625,-3.881257556733631,-3.68658447265625,-4.955169677734375,-2.4163818359375
1959.0,-5.6671142578125,-5.948333740234375,-2.452545166015625,nan,-3.40814208984375,-9.718109130859375,-1.817108154296875,-2.505462646484375,-4.76763916015625,-6.62310791015625,-9.224029541015625,-4.472564697265625,-9.7017822265625,-3.592071533203125,-4.14837646484375,-7.928466796875,-2.63494873046875,-6.61895751953125,-8.889129638671875,-10.613037109375,-3.131988525390625,-0.625946044921875,-5.45185052780878,-4.76763916015625,-7.928466796875,-3.131988525390625
1960.0,-4.075714111328125,-3.127471923828125,-7.600341796875,nan,-5.190216064453125,-3.448089599609375,-4.489105224609375,-12.733551025390625,-3.918182373046875,-3.596588134765625,-8.099639892578125,-2.041717529296875,-2.73065185546875,-8.665802001953125,-2.32354736328125,-6.442626953125,-0.092742919921875,-8.45440673828125,-2.44207763671875,-18.883316040039062,-2.817657470703125,-0.67156982421875,-5.3259531656901045,-3.918182373046875,-7.600341796875,-2.73065185546875
1961.0,-4.45849609375,-1.746124267578125,-14.533111572265625,nan,-6.902923583984375,-7.4906005859375,-2.32867431640625,-8.120849609375,-7.303253173828125,-3.811187744140625,-4.057464599609375,-3.56585693359375,-2.717803955078125,-3.96881103515625,-1.44091796875,-3.99432373046875,-6.02215576171875,-7.61602783203125,-3.888671875,-11.04052734375,-6.788055419921875,-3.041595458984375,-5.468449183872768,-4.057464599609375,-7.303253173828125,-3.56585693359375
1962.0,-0.795318603515625,-1.455474853515625,-4.95025634765625,nan,-1.952972412109375,-3.93408203125,-4.655059814453125,-3.2186279296875,-7.393585205078125,-3.13226318359375,-7.625640869140625,-7.0072021484375,-1.3634033203125,-9.427276611328125,-6.246307373046875,-4.644256591796875,-9.00152587890625,-8.048583984375,-9.165374755859375,-18.867538452148438,-1.451385498046875,-1.76385498046875,-5.528570992606027,-4.655059814453125,-7.625640869140625,-1.952972412109375
1963.0,-4.8389892578125,-2.77093505859375,-5.978240966796875,nan,-4.65191650390625,-2.000457763671875,-1.932403564453125,-15.451812744140625,-13.098480224609375,-3.620361328125,-6.83349609375,-4.220855712890625,-4.3414306640625,-5.579833984375,-2.750579833984375,-6.7879638671875,-5.365509033203125,-3.23455810546875,-6.763427734375,-9.72772216796875,-5.009765625,-1.074127197265625,-5.525374639601934,-4.8389892578125,-6.763427734375,-3.23455810546875
1964.0,-2.19061279296875,-6.66156005859375,-5.96405029296875,nan,-8.39202880859375,-2.952850341796875,-5.70233154296875,-18.0789794921875,-8.68597412109375,-3.514312744140625,-2.36968994140625,-5.948272705078125,-4.099273681640625,-5.631683349609375,-4.659759521484375,-8.26513671875,-13.17010498046875,-3.54498291015625,-3.37945556640625,-3.90869140625,-4.1212158203125,-3.246307373046875,-5.927965436662946,-4.659759521484375,-6.66156005859375,-3.514312744140625
1965.0,-2.970245361328125,-6.6656494140625,-3.675628662109375,nan,-3.618133544921875,-7.019378662109375,-2.70416259765625,-3.82098388671875,-9.7509765625,-5.656829833984375,-4.68597412109375,-3.433868408203125,-1.727447509765625,-8.83636474609375,-8.751953125,-10.401702880859375,-1.53643798828125,-7.486724853515625,-1.586456298828125,-6.638824462890625,-5.894439697265625,-4.209503173828125,-5.289127894810268,-4.68597412109375,-7.019378662109375,-3.433868408203125
1966.0,-1.7291259765625,-4.979217529296875,-18.678024291992188,nan,-2.80902099609375,-3.9129638671875,-1.938385009765625,-2.470977783203125,-1.677337646484375,-1.8831787109375,-1.918212890625,-4.0931396484375,-4.505523681640625,-7.9442138671875,-1.7923583984375,-5.7427978515625,-2.609100341796875,-5.656524658203125,-6.581268310546875,-5.547393798828125,-4.823699951171875,-4.035675048828125,-4.539435250418527,-4.035675048828125,-5.547393798828125,-1.938385009765625
1967.0,-2.737548828125,-2.635833740234375,-3.35546875,nan,-1.736572265625,-6.63623046875,-1.70587158203125,-6.377838134765625,-4.78961181640625,-3.990478515625,-6.2061767578125,-7.274078369140625,-3.475311279296875,-6.64373779296875,-2.559173583984375,-6.216217041015625,-6.13055419921875,-7.1771240234375,-4.71728515625,-3.627227783203125,-4.462188720703125,-6.8670654296875,-4.729599725632441,-4.71728515625,-6.377838134765625,-3.35546875
1968.0,-3.2515869140625,-2.472686767578125,-2.646697998046875,nan,-2.31597900390625,-3.1044921875,-7.920806884765625,-4.782318115234375,-7.0479736328125,-5.663909912109375,-6.373504638671875,-8.212921142578125,-6.4403076171875,-5.75244140625,-5.717071533203125,-2.91571044921875,-5.701995849609375,-6.874176025390625,-4.3641357421875,-5.69769287109375,-4.206329345703125,-9.957733154296875,-5.3057367234002974,-5.69769287109375,-6.4403076171875,-3.2515869140625
1969.0,-6.511199951171875,-3.555328369140625,-0.004302978515625,nan,-4.698089599609375,-4.11322021484375,-4.69683837890625,-5.283050537109375,-4.782318115234375,-5.792327880859375,-3.785888671875,-3.172882080078125,-4.372161865234375,-6.2554931640625,0.98748779296875,-6.30450439453125,-4.512298583984375,-8.673065185546875,-7.94598388671875,-3.19793701171875,-4.5501708984375,-5.317413330078125,-4.596999395461309,-4.69683837890625,-5.792327880859375,-3.785888671875
1970.0,-4.216064453125,-1.583984375,-5.2066650390625,nan,-8.491302490234375,-0.916839599609375,-3.66534423828125,-5.368316650390625,-4.8907470703125,-5.73760986328125,-9.413116455078125,-4.926422119140625,-6.5914306640625,-2.66851806640625,-3.474212646484375,-6.44305419921875,-3.54949951171875,-5.2396240234375,-4.837493896484375,-12.461181640625,-1.361846923828125,-5.699615478515625,-5.082994733537946,-4.926422119140625,-5.73760986328125,-3.54949951171875
1971.0,-3.395294189453125,-3.900115966796875,-6.23114013671875,nan,-4.115875244140625,-1.77459716796875,-1.680755615234375,-8.362884521484375,-5.279327392578125,-3.58001708984375,-5.506195068359375,-6.09442138671875,-5.9793701171875,-4.681488037109375,-3.06640625,-5.126800537109375,-7.0145263671875,-10.5928955078125,-6.10369873046875,-3.567169189453125,-3.416046142578125,-6.43316650390625,-5.04296148390997,-5.126800537109375,-6.10369873046875,-3.567169189453125
