years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,-20.28485107421875,-22.737045288085938,-25.520751953125,nan,-27.411834716796875,-20.7576904296875,-25.454635620117188,-23.86602783203125,-16.42218017578125,-19.114837646484375,-11.593231201171875,-16.7845458984375,-14.759002685546875,-18.856643676757812,-18.496246337890625,-20.41033935546875,-14.037445068359375,-17.29791259765625,-16.03997802734375,-14.474517822265625,-19.499053955078125,-20.965240478515625,-19.275429135277157,-19.114837646484375,-20.965240478515625,-16.42218017578125
1951.0,-17.905059814453125,-23.546127319335938,-18.585403442382812,nan,-21.520584106445312,-18.71343994140625,-21.366958618164062,-23.632125854492188,-20.336685180664062,-17.575424194335938,-17.254470825195312,-16.7320556640625,-23.044952392578125,-18.620010375976562,-16.24957275390625,-16.21551513671875,-17.763992309570312,-18.752838134765625,-13.7720947265625,-15.027557373046875,-22.260818481445312,-15.556884765625,-18.782503400530135,-18.585403442382812,-21.366958618164062,-16.7320556640625
1952.0,-14.998992919921875,-16.693511962890625,-18.857574462890625,nan,-22.593704223632812,-18.960372924804688,-17.11395263671875,-21.027130126953125,-16.1270751953125,-19.688201904296875,-20.77923583984375,-7.869598388671875,-20.848602294921875,-16.334991455078125,-17.756011962890625,-20.061065673828125,-12.551177978515625,-19.029830932617188,-15.41015625,-21.495712280273438,-23.733871459960938,-19.916854858398438,-18.18322027297247,-18.960372924804688,-20.77923583984375,-16.334991455078125
1953.0,-14.09637451171875,-15.85174560546875,-19.038650512695312,nan,-16.62103271484375,-23.564071655273438,-23.226760864257812,-26.543136596679688,-17.672439575195312,-17.778961181640625,-15.25604248046875,-7.6387939453125,-28.989501953125,-22.044296264648438,-17.954010009765625,-23.93341064453125,-15.077545166015625,-18.62353515625,-15.00836181640625,-21.339508056640625,-20.926055908203125,-16.507843017578125,-18.937717982700892,-17.954010009765625,-22.044296264648438,-15.85174560546875
1954.0,-16.707733154296875,-28.460601806640625,-19.201797485351562,nan,-21.0963134765625,-14.777862548828125,-22.811904907226562,-16.66162109375,-16.39434814453125,-16.761505126953125,-15.3515625,-25.1151123046875,-20.604263305664062,-14.729827880859375,-16.118896484375,-18.345840454101562,-19.478179931640625,-13.422149658203125,-13.9222412109375,-21.423248291015625,-21.585693359375,-19.480117797851562,-18.688134329659597,-18.345840454101562,-21.0963134765625,-16.118896484375
1955.0,-12.67333984375,-14.923919677734375,-17.819747924804688,nan,-25.846954345703125,-19.398406982421875,-18.930099487304688,-19.854965209960938,-16.790191650390625,-19.128326416015625,-13.155517578125,-10.36614990234375,-21.142059326171875,-11.89178466796875,-20.268890380859375,-18.7821044921875,-21.888626098632812,-19.845016479492188,-16.862701416015625,-16.162811279296875,-14.600677490234375,-15.603607177734375,-17.425518944149925,-17.819747924804688,-19.845016479492188,-14.923919677734375
1956.0,-13.4254150390625,-18.551849365234375,-18.423370361328125,nan,-26.932022094726562,-21.859085083007812,-22.455856323242188,-26.5743408203125,-15.553192138671875,-14.825225830078125,-16.127716064453125,-22.707489013671875,-22.636322021484375,-17.589630126953125,-16.136444091796875,-13.87158203125,-16.507781982421875,-19.160919189453125,-15.642913818359375,-21.520050048828125,-17.072723388671875,-21.953628540039062,-19.0251217796689,-18.423370361328125,-21.953628540039062,-16.127716064453125
1957.0,-17.397964477539062,-18.19842529296875,-16.0379638671875,nan,-14.837921142578125,-26.583297729492188,-19.39508056640625,-21.762420654296875,-14.442291259765625,-16.058563232421875,-21.224594116210938,-24.47650146484375,-18.82183837890625,-23.509552001953125,-19.578994750976562,-14.36962890625,-16.940277099609375,-18.44439697265625,-13.153961181640625,-13.351165771484375,-21.89031982421875,-21.744583129882812,-18.677130562918528,-18.44439697265625,-21.744583129882812,-16.0379638671875
1958.0,-17.911972045898438,-14.44781494140625,-19.196014404296875,nan,-20.959747314453125,-23.930694580078125,-27.036697387695312,-17.683380126953125,-20.93255615234375,-25.961441040039062,-21.852508544921875,-20.514678955078125,-13.110687255859375,-14.64996337890625,-21.9034423828125,-11.403076171875,-13.304656982421875,-18.23968505859375,-14.994598388671875,-18.687347412109375,-12.3460693359375,-20.86309814453125,-18.568101428803942,-18.687347412109375,-20.959747314453125,-14.64996337890625
1959.0,-15.4998779296875,-21.663360595703125,-21.67486572265625,nan,-12.416961669921875,-15.2783203125,-16.825439453125,-16.307891845703125,-19.7022705078125,-17.979507446289062,-13.213287353515625,-16.570709228515625,-25.677978515625,-17.316741943359375,-18.298416137695312,-11.564239501953125,-14.066253662109375,-17.514312744140625,-17.031280517578125,-22.19415283203125,-11.7274169921875,-22.0869140625,-17.36239042736235,-17.031280517578125,-19.7022705078125,-15.2783203125
1960.0,-23.204132080078125,-15.5108642578125,-21.485855102539062,nan,-15.328094482421875,-12.439422607421875,-19.612030029296875,-12.589263916015625,-18.809173583984375,-20.316757202148438,-16.500579833984375,-23.226486206054688,-12.017608642578125,-19.579681396484375,-21.8482666015625,-12.905059814453125,-17.339752197265625,-13.648773193359375,-18.688827514648438,-16.479217529296875,-14.602569580078125,-16.468902587890625,-17.266729445684526,-16.500579833984375,-19.612030029296875,-14.602569580078125
1961.0,-17.544326782226562,-23.333282470703125,-15.680816650390625,nan,-13.88739013671875,-17.652725219726562,-19.299072265625,-22.960678100585938,-17.08538818359375,-18.412277221679688,-17.695785522460938,-23.746139526367188,-21.238861083984375,-17.657623291015625,-13.75201416015625,-19.645004272460938,-13.04052734375,-18.515213012695312,-13.492340087890625,-16.05523681640625,-24.020828247070312,-17.691070556640625,-18.209838140578498,-17.691070556640625,-19.645004272460938,-16.05523681640625
1962.0,-17.254150390625,-21.41107177734375,-23.165252685546875,nan,-15.8895263671875,-24.588409423828125,-22.220916748046875,-20.673416137695312,-15.05169677734375,-18.604110717773438,-15.01153564453125,-22.107162475585938,-15.752410888671875,-18.36566162109375,-18.018310546875,-23.173538208007812,-10.1927490234375,-12.889007568359375,-15.111541748046875,-24.57720947265625,-22.525711059570312,-11.6962890625,-18.489508492606028,-18.36566162109375,-22.220916748046875,-15.111541748046875
1963.0,-22.77239990234375,-19.664901733398438,-21.669540405273438,nan,-19.172592163085938,-20.728317260742188,-12.62847900390625,-21.97637939453125,-16.023468017578125,-12.271636962890625,-22.433074951171875,-19.761032104492188,-16.62261962890625,-13.400390625,-14.486328125,-17.905563354492188,-15.9898681640625,-17.470565795898438,-12.9072265625,-13.19525146484375,-16.77264404296875,-16.703155517578125,-17.35978262765067,-16.77264404296875,-19.761032104492188,-14.486328125
1964.0,-14.565948486328125,-13.4267578125,-21.37445068359375,nan,-18.490447998046875,-11.48358154296875,-18.383895874023438,-24.110061645507812,-15.427001953125,-21.595489501953125,-18.095458984375,-18.748001098632812,-20.1478271484375,-13.75445556640625,-19.018341064453125,-17.058258056640625,-15.246246337890625,-22.01629638671875,-15.341583251953125,-17.18316650390625,-15.90545654296875,-22.514694213867188,-17.80416288829985,-18.095458984375,-20.1478271484375,-15.341583251953125
1965.0,-18.824600219726562,-22.693374633789062,-22.469329833984375,nan,-21.683929443359375,-21.942276000976562,-16.450469970703125,-34.38554382324219,-19.02203369140625,-19.84527587890625,-18.401336669921875,-20.930770874023438,-26.748291015625,-11.924560546875,-17.318466186523438,-13.214141845703125,-16.68707275390625,-17.12506103515625,-17.2413330078125,-17.428848266601562,-17.854949951171875,-15.910552978515625,-19.433438982282365,-18.401336669921875,-21.683929443359375,-17.12506103515625
1966.0,-17.437881469726562,-21.09930419921875,-12.257476806640625,nan,-21.779342651367188,-21.419891357421875,-22.35662841796875,-24.5760498046875,-18.156036376953125,-17.512252807617188,-15.0107421875,-30.462371826171875,-22.06683349609375,-16.85723876953125,-19.538711547851562,-19.9727783203125,-18.454376220703125,-17.996383666992188,-14.96307373046875,-21.475753784179688,-8.5445556640625,-19.25164794921875,-19.104253859747026,-19.25164794921875,-21.475753784179688,-17.437881469726562
1967.0,-18.9691162109375,-16.770416259765625,-16.014251708984375,nan,-18.3919677734375,-17.295120239257812,-22.2109375,-34.54631042480469,-16.077301025390625,-21.525192260742188,-16.662750244140625,-20.959259033203125,-25.680130004882812,-13.42620849609375,-19.549087524414062,-16.7720947265625,-15.40570068359375,-12.6737060546875,-14.48822021484375,-21.239944458007812,-14.026611328125,-17.427291870117188,-18.576743716285343,-17.295120239257812,-20.959259033203125,-16.014251708984375
1968.0,-15.7310791015625,-23.934371948242188,-17.048980712890625,nan,-23.793548583984375,-20.300643920898438,-26.65557861328125,-26.666656494140625,-14.667144775390625,-13.842071533203125,-16.648681640625,-23.581268310546875,-28.393157958984375,-18.902313232421875,-18.174652099609375,-25.52777099609375,-16.302093505859375,-13.971710205078125,-14.605072021484375,-21.250335693359375,-19.414596557617188,-23.173126220703125,-20.12308829171317,-19.414596557617188,-23.793548583984375,-16.302093505859375
1969.0,-17.310562133789062,-28.724594116210938,-21.075515747070312,nan,-20.627761840820312,-20.809280395507812,-19.324264526367188,-19.198104858398438,-24.329147338867188,-17.7630615234375,-14.27313232421875,-30.749710083007812,-21.4990234375,-16.02349853515625,-16.310150146484375,-29.736724853515625,-16.537139892578125,-19.824127197265625,-14.787200927734375,-15.305450439453125,-19.76544189453125,-17.7529296875,-20.082229614257812,-19.324264526367188,-21.075515747070312,-16.537139892578125
