Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,27.0,10.0,25.0,NaN,19.0,19.0,17.0,22.0,13.0,46.0,29.0,44.0,26.0,12.0,31.0,17.0,35.0,15.0,9.0,13.0,27.0,25.0,22.904761904761905,22.0,15.0,27.0,10.0,44.0
1951.0,21.0,12.0,42.0,NaN,12.0,14.0,10.0,15.0,13.0,48.0,33.0,5.0,35.0,21.0,7.0,22.0,7.0,31.0,17.0,54.0,24.0,20.0,22.047619047619047,20.0,12.0,31.0,7.0,48.0
1952.0,17.0,24.0,34.0,NaN,36.0,64.0,47.0,23.0,32.0,36.0,41.0,23.0,27.0,25.0,14.0,20.0,28.0,34.0,25.0,22.0,19.0,23.0,29.238095238095237,25.0,23.0,34.0,17.0,47.0
1953.0,28.0,35.0,29.0,NaN,7.0,34.0,19.0,9.0,31.0,18.0,9.0,53.0,50.0,21.0,37.0,13.0,25.0,15.0,23.0,34.0,19.0,35.0,25.904761904761905,25.0,18.0,34.0,9.0,50.0
1954.0,25.0,24.0,22.0,NaN,14.0,13.0,15.0,53.0,29.0,16.0,39.0,15.0,32.0,37.0,36.0,20.0,19.0,59.0,18.0,35.0,12.0,21.0,26.38095238095238,22.0,16.0,35.0,13.0,53.0
1955.0,37.0,38.0,31.0,NaN,9.0,18.0,24.0,49.0,14.0,49.0,13.0,15.0,53.0,8.0,12.0,18.0,38.0,25.0,18.0,23.0,27.0,25.0,25.904761904761905,24.0,15.0,37.0,9.0,49.0
1956.0,32.0,29.0,25.0,NaN,16.0,29.0,24.0,34.0,27.0,53.0,29.0,19.0,12.0,11.0,18.0,29.0,23.0,40.0,25.0,33.0,30.0,39.0,27.476190476190474,29.0,23.0,32.0,12.0,40.0
1957.0,31.0,22.0,35.0,NaN,47.0,24.0,12.0,40.0,26.0,49.0,30.0,20.0,8.0,12.0,45.0,29.0,57.0,34.0,15.0,57.0,24.0,24.0,30.523809523809526,29.0,22.0,40.0,12.0,57.0
1958.0,39.0,37.0,29.0,NaN,30.0,14.0,40.0,28.0,24.0,21.0,16.0,29.0,25.0,4.0,18.0,30.0,38.0,9.0,15.0,34.0,18.0,15.0,24.428571428571427,25.0,16.0,30.0,9.0,39.0
1959.0,13.0,13.0,25.0,NaN,23.0,16.0,3.0,50.0,28.0,27.0,30.0,51.0,46.0,22.0,9.0,19.0,17.0,23.0,15.0,20.0,33.0,9.0,23.428571428571427,22.0,15.0,28.0,9.0,50.0
