years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,5.0,1.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,10.0,3.0,3.227272727272727,0.5,0.0,5.0
1951.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,10.0,16.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,5.0,13.0,2.0,4.0,3.3181818181818183,1.0,0.0,4.75
1952.0,2.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,20.0,15.0,4.0,8.0,3.0,0.0,1.0,1.0,5.0,9.0,4.0,5.0,1.0,4.2727272727272725,2.5,1.0,5.75
1953.0,4.0,11.0,0.0,1.0,9.0,3.0,1.0,3.0,0.0,7.0,2.0,9.0,11.0,0.0,0.0,1.0,0.0,4.0,9.0,13.0,1.0,2.0,4.136363636363637,2.5,1.0,8.5
1954.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,7.0,11.0,4.0,2.0,2.0,2.0,0.0,0.0,15.0,6.0,6.0,0.0,5.0,3.5,2.0,1.0,5.75
1955.0,10.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,14.0,5.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,7.0,8.0,1.0,0.0,3.3636363636363638,1.5,0.0,6.0
1956.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,24.0,12.0,2.0,0.0,0.0,0.0,4.0,3.0,3.0,10.0,11.0,4.0,5.0,4.136363636363637,3.0,0.0,4.75
1957.0,6.0,6.0,0.0,0.0,17.0,6.0,2.0,14.0,1.0,12.0,3.0,4.0,1.0,0.0,2.0,5.0,2.0,4.0,5.0,16.0,4.0,1.0,5.045454545454546,4.0,1.25,6.0
1958.0,11.0,16.0,0.0,0.0,14.0,1.0,1.0,9.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,3.0,3.0,1.0,0.0,3.8181818181818183,1.0,0.0,7.5
1959.0,2.0,1.0,0.0,2.0,5.0,1.0,0.0,9.0,1.0,9.0,5.0,4.0,4.0,7.0,0.0,2.0,0.0,7.0,6.0,8.0,4.0,0.0,3.5,3.0,1.0,5.75
