Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,2.0,3.0,4.0,8.0,3.0,7.0,6.0,5.0,4.0,7.0,4.0,10.0,6.0,0.0,2.0,3.0,6.0,12.0,8.0,6.0,5.0,7.0,5.363636363636363,5.5,3.25,7.0,2.0,9.899999999999999
1951.0,8.0,3.0,2.0,8.0,4.0,5.0,8.0,1.0,1.0,6.0,2.0,4.0,9.0,7.0,0.0,6.0,2.0,6.0,7.0,9.0,5.0,14.0,5.318181818181818,5.5,2.25,7.75,1.0,9.0
1952.0,14.0,3.0,5.0,8.0,6.0,7.0,6.0,9.0,2.0,6.0,6.0,6.0,7.0,7.0,0.0,6.0,5.0,4.0,9.0,10.0,7.0,4.0,6.2272727272727275,6.0,5.0,7.0,2.05,9.95
1953.0,4.0,8.0,10.0,4.0,4.0,12.0,2.0,11.0,1.0,2.0,12.0,14.0,6.0,4.0,2.0,5.0,8.0,8.0,10.0,3.0,2.0,9.0,6.409090909090909,5.5,3.25,9.75,2.0,12.0
1954.0,8.0,4.0,8.0,4.0,3.0,5.0,8.0,10.0,3.0,8.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,1.0,7.0,10.0,6.0,8.0,5.0,5.0,3.0,8.0,0.050000000000000044,9.899999999999999
1955.0,6.0,3.0,3.0,2.0,9.0,8.0,3.0,4.0,6.0,1.0,3.0,7.0,3.0,6.0,0.0,9.0,6.0,0.0,1.0,10.0,5.0,8.0,4.681818181818182,4.5,3.0,6.75,0.050000000000000044,9.0
1956.0,3.0,3.0,11.0,2.0,4.0,5.0,3.0,6.0,10.0,4.0,5.0,8.0,16.0,6.0,1.0,5.0,15.0,7.0,0.0,5.0,3.0,3.0,5.681818181818182,5.0,3.0,6.75,1.05,14.799999999999997
1957.0,4.0,1.0,10.0,9.0,9.0,6.0,6.0,9.0,6.0,4.0,4.0,8.0,8.0,3.0,0.0,3.0,9.0,1.0,5.0,6.0,6.0,7.0,5.636363636363637,6.0,4.0,8.0,1.0,9.0
1958.0,4.0,10.0,9.0,6.0,6.0,10.0,6.0,1.0,2.0,5.0,11.0,0.0,7.0,8.0,2.0,14.0,1.0,2.0,8.0,9.0,10.0,6.0,6.2272727272727275,6.0,2.5,9.0,1.0,10.95
1959.0,1.0,4.0,3.0,15.0,5.0,3.0,0.0,1.0,7.0,22.0,13.0,5.0,7.0,3.0,1.0,2.0,8.0,2.0,3.0,5.0,5.0,13.0,5.818181818181818,4.5,2.25,7.0,1.0,14.899999999999999
1960.0,6.0,6.0,7.0,6.0,2.0,14.0,11.0,5.0,4.0,3.0,1.0,11.0,5.0,3.0,2.0,4.0,12.0,5.0,12.0,8.0,7.0,12.0,6.636363636363637,6.0,4.0,10.25,2.0,12.0
1961.0,5.0,4.0,5.0,4.0,7.0,6.0,10.0,2.0,8.0,3.0,2.0,3.0,11.0,2.0,0.0,5.0,7.0,2.0,9.0,1.0,0.0,11.0,4.863636363636363,4.5,2.0,7.0,0.050000000000000044,10.95
1962.0,9.0,12.0,7.0,1.0,13.0,10.0,3.0,9.0,6.0,5.0,3.0,15.0,7.0,4.0,2.0,5.0,3.0,14.0,4.0,7.0,10.0,20.0,7.681818181818182,7.0,4.0,10.0,2.05,14.95
1963.0,7.0,6.0,4.0,4.0,4.0,8.0,6.0,4.0,4.0,9.0,5.0,9.0,7.0,9.0,6.0,8.0,0.0,4.0,8.0,9.0,2.0,15.0,6.2727272727272725,6.0,4.0,8.0,2.1,9.0
1964.0,7.0,4.0,5.0,9.0,3.0,16.0,7.0,10.0,6.0,6.0,3.0,6.0,4.0,7.0,0.0,3.0,5.0,8.0,8.0,8.0,6.0,9.0,6.363636363636363,6.0,4.25,8.0,3.0,9.95
1965.0,6.0,2.0,3.0,6.0,8.0,5.0,8.0,6.0,4.0,3.0,5.0,8.0,2.0,6.0,0.0,1.0,9.0,1.0,2.0,6.0,11.0,2.0,4.7272727272727275,5.0,2.0,6.0,1.0,8.95
1966.0,5.0,5.0,7.0,7.0,8.0,5.0,6.0,5.0,1.0,7.0,2.0,6.0,5.0,4.0,0.0,4.0,8.0,1.0,14.0,9.0,7.0,1.0,5.318181818181818,5.0,4.0,7.0,1.0,8.95
1967.0,4.0,4.0,5.0,0.0,9.0,5.0,8.0,5.0,2.0,8.0,12.0,8.0,5.0,7.0,0.0,7.0,1.0,0.0,3.0,6.0,4.0,3.0,4.818181818181818,5.0,3.0,7.0,0.0,8.95
1968.0,5.0,4.0,9.0,2.0,9.0,2.0,10.0,8.0,7.0,4.0,6.0,7.0,8.0,1.0,1.0,14.0,3.0,2.0,7.0,6.0,4.0,0.0,5.409090909090909,5.5,2.25,7.75,1.0,9.95
1969.0,2.0,10.0,11.0,3.0,2.0,7.0,3.0,2.0,2.0,0.0,6.0,10.0,0.0,5.0,0.0,3.0,5.0,4.0,11.0,1.0,4.0,0.0,4.136363636363637,3.0,2.0,5.75,0.0,10.95
1970.0,1.0,3.0,9.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,6.0,4.0,6.0,2.0,0.0,7.0,7.0,7.0,10.0,2.0,15.0,0.0,4.909090909090909,5.0,2.25,6.75,0.050000000000000044,9.95
1971.0,5.0,4.0,9.0,12.0,1.0,11.0,11.0,3.0,5.0,3.0,4.0,9.0,8.0,10.0,0.0,5.0,1.0,8.0,1.0,11.0,4.0,2.0,5.7727272727272725,5.0,3.0,9.0,1.0,11.0
1972.0,11.0,8.0,4.0,4.0,3.0,9.0,8.0,6.0,0.0,5.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,8.0,5.0,3.0,5.0,5.0,4.590909090909091,4.0,3.0,5.75,1.0,8.95
1973.0,11.0,6.0,3.0,10.0,12.0,4.0,11.0,4.0,2.0,4.0,5.0,5.0,5.0,10.0,0.0,3.0,4.0,6.0,8.0,2.0,7.0,6.0,5.818181818181818,5.0,4.0,7.75,2.0,11.0
