Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,22.0,36.0,23.0,9.0,1.0,27.0,15.0,15.0,22.0,22.0,28.0,17.0,45.0,24.0,21.0,26.0,11.0,18.0,26.0,17.0,13.0,24.0,21.0,22.0,15.5,25.5,9.1,35.599999999999994
1951.0,18.0,29.0,23.0,22.0,10.0,22.0,15.0,10.0,25.0,14.0,28.0,23.0,36.0,22.0,25.0,30.0,20.0,16.0,24.0,15.0,41.0,22.0,22.272727272727273,22.0,16.5,25.0,10.2,35.699999999999996
1952.0,25.0,38.0,25.0,26.0,19.0,19.0,14.0,9.0,15.0,18.0,37.0,31.0,30.0,33.0,26.0,28.0,17.0,5.0,32.0,25.0,11.0,17.0,22.727272727272727,25.0,17.0,29.5,9.1,36.8
1953.0,27.0,27.0,13.0,17.0,14.0,23.0,28.0,14.0,26.0,23.0,29.0,20.0,17.0,34.0,18.0,17.0,17.0,14.0,30.0,8.0,15.0,16.0,20.318181818181817,17.5,15.25,26.75,13.05,29.95
1954.0,18.0,17.0,29.0,21.0,20.0,27.0,20.0,12.0,21.0,19.0,26.0,20.0,17.0,15.0,26.0,27.0,20.0,11.0,19.0,22.0,23.0,27.0,20.772727272727273,20.0,18.25,25.25,12.15,27.0
1955.0,20.0,27.0,15.0,12.0,16.0,22.0,16.0,13.0,21.0,8.0,25.0,12.0,51.0,35.0,26.0,27.0,40.0,13.0,20.0,25.0,28.0,27.0,22.681818181818183,21.5,15.25,27.0,12.0,39.75
1956.0,26.0,15.0,11.0,33.0,14.0,17.0,15.0,10.0,31.0,6.0,28.0,13.0,24.0,12.0,15.0,32.0,26.0,13.0,22.0,17.0,22.0,10.0,18.727272727272727,16.0,13.0,25.5,10.0,31.95
1957.0,22.0,21.0,28.0,12.0,12.0,16.0,20.0,19.0,18.0,8.0,26.0,15.0,25.0,28.0,19.0,30.0,41.0,8.0,9.0,14.0,13.0,9.0,18.772727272727273,18.5,12.25,24.25,8.05,29.9
1958.0,24.0,25.0,22.0,17.0,9.0,19.0,27.0,7.0,5.0,18.0,33.0,29.0,24.0,28.0,19.0,22.0,15.0,12.0,15.0,34.0,25.0,13.0,20.09090909090909,20.5,15.0,25.0,7.1,32.8
1959.0,12.0,27.0,33.0,24.0,11.0,14.0,21.0,10.0,19.0,12.0,35.0,24.0,28.0,19.0,16.0,17.0,34.0,12.0,25.0,16.0,22.0,13.0,20.181818181818183,19.0,13.25,24.75,11.05,33.95
