Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,7.0,11.0,8.0,5.0,1.0,8.0,7.0,10.0,6.0,13.0,6.0,5.0,17.0,11.0,3.0,8.0,2.0,10.0,9.0,9.0,4.0,15.0,7.954545454545454,8.0,5.25,10.0,2.05,14.899999999999999
1951.0,5.0,4.0,9.0,15.0,8.0,3.0,7.0,5.0,5.0,6.0,9.0,8.0,13.0,5.0,4.0,12.0,2.0,4.0,5.0,6.0,18.0,12.0,7.5,6.0,5.0,9.0,3.05,14.899999999999999
1952.0,9.0,19.0,13.0,17.0,11.0,8.0,4.0,7.0,3.0,5.0,8.0,9.0,7.0,11.0,4.0,13.0,2.0,4.0,10.0,11.0,9.0,11.0,8.863636363636363,9.0,5.5,11.0,3.05,16.799999999999997
1953.0,7.0,8.0,3.0,8.0,7.0,9.0,5.0,12.0,7.0,11.0,7.0,3.0,4.0,11.0,6.0,4.0,3.0,5.0,8.0,4.0,5.0,7.0,6.545454545454546,7.0,4.25,8.0,3.0,11.0
1954.0,7.0,4.0,14.0,13.0,11.0,11.0,5.0,9.0,8.0,13.0,4.0,6.0,6.0,4.0,4.0,11.0,4.0,5.0,3.0,10.0,7.0,17.0,8.0,7.0,4.25,11.0,4.0,13.95
1955.0,7.0,3.0,6.0,9.0,10.0,8.0,5.0,8.0,2.0,4.0,9.0,8.0,18.0,6.0,4.0,11.0,5.0,9.0,1.0,23.0,7.0,19.0,8.272727272727273,7.5,5.0,9.0,2.05,18.95
1956.0,6.0,2.0,4.0,22.0,7.0,6.0,3.0,5.0,9.0,3.0,7.0,4.0,10.0,4.0,2.0,12.0,3.0,7.0,2.0,6.0,5.0,4.0,6.045454545454546,5.0,3.25,7.0,2.0,11.899999999999999
1957.0,9.0,2.0,12.0,5.0,7.0,5.0,8.0,11.0,2.0,4.0,7.0,3.0,9.0,7.0,2.0,11.0,15.0,6.0,3.0,5.0,6.0,6.0,6.590909090909091,6.0,4.25,8.75,2.0,11.95
1958.0,6.0,5.0,7.0,7.0,4.0,6.0,6.0,7.0,0.0,14.0,9.0,6.0,10.0,5.0,1.0,7.0,3.0,6.0,2.0,16.0,10.0,9.0,6.636363636363637,6.0,5.0,8.5,1.05,13.799999999999997
1959.0,3.0,6.0,20.0,14.0,8.0,5.0,9.0,6.0,5.0,7.0,9.0,6.0,2.0,5.0,4.0,7.0,8.0,9.0,3.0,11.0,6.0,7.0,7.2727272727272725,6.5,5.0,8.75,3.0,13.849999999999998
1960.0,16.0,5.0,9.0,9.0,10.0,5.0,8.0,17.0,2.0,10.0,4.0,6.0,2.0,8.0,2.0,11.0,6.0,11.0,8.0,6.0,8.0,7.0,7.7272727272727275,8.0,5.25,9.75,2.0,15.749999999999996
1961.0,6.0,6.0,7.0,9.0,11.0,9.0,3.0,9.0,5.0,7.0,3.0,1.0,5.0,6.0,0.0,14.0,8.0,6.0,6.0,6.0,5.0,18.0,6.818181818181818,6.0,5.0,8.75,1.1,13.849999999999998
1962.0,12.0,9.0,10.0,14.0,18.0,5.0,11.0,9.0,3.0,9.0,10.0,3.0,9.0,5.0,2.0,7.0,4.0,13.0,4.0,4.0,5.0,14.0,8.181818181818182,9.0,4.25,10.75,3.0,14.0
1963.0,11.0,8.0,8.0,13.0,11.0,5.0,6.0,8.0,5.0,12.0,5.0,5.0,5.0,6.0,2.0,5.0,6.0,9.0,4.0,3.0,11.0,9.0,7.136363636363637,6.0,5.0,9.0,3.05,11.95
1964.0,6.0,12.0,16.0,16.0,8.0,9.0,9.0,9.0,8.0,7.0,4.0,2.0,4.0,12.0,4.0,6.0,6.0,9.0,7.0,11.0,8.0,3.0,8.0,8.0,6.0,9.0,3.05,15.799999999999997
1965.0,2.0,11.0,3.0,9.0,2.0,6.0,6.0,8.0,5.0,7.0,5.0,3.0,7.0,9.0,1.0,6.0,3.0,14.0,4.0,7.0,5.0,14.0,6.2272727272727275,6.0,3.25,7.75,2.0,13.849999999999998
1966.0,11.0,9.0,6.0,9.0,9.0,3.0,3.0,13.0,7.0,9.0,6.0,7.0,3.0,8.0,6.0,9.0,12.0,10.0,7.0,10.0,14.0,13.0,8.363636363636363,9.0,6.25,10.0,3.0,13.0
1967.0,5.0,4.0,8.0,6.0,11.0,10.0,13.0,12.0,3.0,7.0,9.0,5.0,4.0,6.0,0.0,7.0,12.0,3.0,7.0,10.0,12.0,3.0,7.136363636363637,7.0,4.25,10.0,3.0,12.0
1968.0,10.0,8.0,14.0,7.0,9.0,9.0,14.0,7.0,2.0,12.0,11.0,8.0,8.0,5.0,4.0,16.0,4.0,4.0,12.0,4.0,6.0,12.0,8.454545454545455,8.0,5.25,11.75,4.0,14.0
1969.0,7.0,15.0,10.0,7.0,12.0,8.0,5.0,5.0,13.0,7.0,4.0,9.0,4.0,7.0,0.0,12.0,8.0,14.0,6.0,5.0,20.0,6.0,8.363636363636363,7.0,5.25,11.5,4.0,14.95
1970.0,10.0,9.0,12.0,12.0,4.0,8.0,16.0,9.0,4.0,5.0,0.0,7.0,10.0,6.0,5.0,9.0,7.0,8.0,6.0,10.0,16.0,6.0,8.136363636363637,8.0,6.0,10.0,4.0,15.799999999999997
1971.0,3.0,5.0,6.0,13.0,13.0,11.0,8.0,10.0,7.0,9.0,8.0,10.0,5.0,15.0,7.0,11.0,5.0,12.0,3.0,3.0,15.0,10.0,8.590909090909092,8.5,5.25,11.0,3.0,14.899999999999999
1972.0,10.0,5.0,10.0,8.0,8.0,2.0,10.0,9.0,5.0,14.0,10.0,7.0,3.0,5.0,0.0,7.0,4.0,5.0,11.0,16.0,9.0,14.0,7.818181818181818,8.0,5.0,10.0,2.05,14.0
1973.0,8.0,13.0,2.0,13.0,17.0,9.0,8.0,5.0,5.0,8.0,4.0,4.0,11.0,7.0,0.0,7.0,8.0,4.0,11.0,10.0,13.0,4.0,7.7727272727272725,8.0,4.25,10.75,2.1,13.0
1974.0,10.0,6.0,13.0,13.0,14.0,8.0,9.0,11.0,7.0,5.0,7.0,6.0,3.0,4.0,2.0,9.0,5.0,7.0,7.0,18.0,4.0,13.0,8.227272727272727,7.0,5.25,10.75,3.05,13.95
1975.0,6.0,5.0,4.0,15.0,6.0,4.0,7.0,10.0,8.0,13.0,3.0,14.0,8.0,6.0,2.0,2.0,4.0,5.0,7.0,8.0,4.0,18.0,7.2272727272727275,6.0,4.0,8.0,2.05,14.95
1976.0,7.0,6.0,13.0,8.0,6.0,4.0,3.0,10.0,7.0,6.0,7.0,7.0,10.0,9.0,5.0,10.0,8.0,14.0,5.0,8.0,10.0,12.0,7.954545454545454,7.5,6.0,10.0,4.05,12.95
1977.0,4.0,12.0,7.0,7.0,7.0,3.0,7.0,14.0,6.0,6.0,7.0,6.0,7.0,5.0,7.0,9.0,5.0,8.0,7.0,11.0,9.0,10.0,7.454545454545454,7.0,6.0,8.75,4.05,11.95
1978.0,9.0,6.0,7.0,11.0,5.0,8.0,6.0,6.0,1.0,13.0,2.0,9.0,16.0,5.0,5.0,5.0,5.0,6.0,2.0,17.0,4.0,13.0,7.318181818181818,6.0,5.0,9.0,2.0,15.849999999999998
1979.0,8.0,4.0,5.0,10.0,11.0,7.0,6.0,12.0,11.0,7.0,6.0,7.0,3.0,3.0,5.0,12.0,5.0,5.0,2.0,6.0,10.0,17.0,7.363636363636363,6.5,5.0,10.0,3.0,12.0
1980.0,7.0,5.0,10.0,9.0,9.0,13.0,9.0,9.0,4.0,1.0,6.0,11.0,9.0,13.0,1.0,4.0,3.0,9.0,7.0,13.0,18.0,8.0,8.090909090909092,9.0,5.25,9.75,1.1,13.0
1981.0,6.0,8.0,13.0,17.0,10.0,17.0,6.0,12.0,3.0,7.0,5.0,4.0,6.0,8.0,6.0,6.0,5.0,5.0,8.0,8.0,9.0,9.0,8.090909090909092,7.5,6.0,9.0,4.05,16.799999999999997
1982.0,8.0,6.0,6.0,8.0,9.0,9.0,13.0,9.0,7.0,5.0,1.0,3.0,13.0,3.0,1.0,11.0,5.0,3.0,11.0,11.0,8.0,10.0,7.2727272727272725,8.0,5.0,9.75,1.1,12.899999999999999
1983.0,2.0,5.0,14.0,13.0,8.0,6.0,7.0,17.0,1.0,9.0,7.0,4.0,6.0,16.0,2.0,7.0,3.0,6.0,5.0,9.0,5.0,6.0,7.181818181818182,6.0,5.0,8.75,2.0,15.899999999999999
1984.0,7.0,4.0,8.0,4.0,7.0,7.0,8.0,7.0,4.0,12.0,5.0,9.0,0.0,3.0,2.0,10.0,4.0,6.0,5.0,6.0,8.0,5.0,5.954545454545454,6.0,4.0,7.75,2.05,9.95
1985.0,13.0,4.0,9.0,12.0,4.0,10.0,7.0,7.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,11.0,13.0,8.0,10.0,12.0,10.0,3.0,7.2727272727272725,7.0,4.0,10.0,3.0,12.95
1986.0,2.0,7.0,4.0,16.0,10.0,10.0,7.0,7.0,8.0,11.0,7.0,7.0,9.0,4.0,4.0,8.0,6.0,10.0,8.0,5.0,12.0,6.0,7.636363636363637,7.0,6.0,9.75,4.0,11.95
1987.0,5.0,12.0,5.0,19.0,15.0,4.0,10.0,17.0,4.0,5.0,2.0,10.0,2.0,5.0,3.0,9.0,12.0,19.0,0.0,8.0,6.0,4.0,8.0,5.5,4.0,11.5,2.0,18.9
1988.0,9.0,7.0,4.0,8.0,14.0,3.0,7.0,15.0,12.0,16.0,5.0,2.0,8.0,11.0,2.0,10.0,1.0,4.0,9.0,14.0,5.0,16.0,8.272727272727273,8.0,4.25,11.75,2.0,15.95
1989.0,10.0,6.0,11.0,9.0,12.0,7.0,2.0,3.0,4.0,10.0,11.0,8.0,3.0,8.0,1.0,3.0,9.0,10.0,6.0,11.0,11.0,8.0,7.409090909090909,8.0,4.5,10.0,2.05,11.0
1990.0,5.0,6.0,9.0,7.0,9.0,11.0,12.0,8.0,8.0,11.0,5.0,12.0,8.0,3.0,1.0,6.0,9.0,5.0,9.0,9.0,11.0,16.0,8.181818181818182,8.5,6.0,10.5,3.1,12.0
1991.0,14.0,7.0,8.0,12.0,4.0,9.0,6.0,15.0,3.0,12.0,3.0,11.0,8.0,7.0,4.0,6.0,11.0,8.0,5.0,9.0,6.0,10.0,8.090909090909092,8.0,6.0,10.75,3.05,13.899999999999999
1992.0,10.0,8.0,7.0,10.0,12.0,14.0,6.0,10.0,9.0,12.0,2.0,3.0,10.0,9.0,11.0,5.0,5.0,9.0,7.0,11.0,5.0,8.0,8.318181818181818,9.0,6.25,10.0,3.1,12.0
1993.0,6.0,11.0,4.0,8.0,16.0,4.0,5.0,10.0,7.0,7.0,10.0,5.0,8.0,7.0,2.0,11.0,1.0,13.0,9.0,10.0,3.0,9.0,7.545454545454546,7.5,5.0,10.0,2.05,12.899999999999999
1994.0,7.0,1.0,8.0,14.0,11.0,9.0,7.0,10.0,12.0,10.0,3.0,3.0,6.0,6.0,1.0,14.0,5.0,11.0,1.0,12.0,3.0,19.0,7.863636363636363,7.5,3.5,11.0,1.0,14.0
1995.0,2.0,7.0,9.0,13.0,5.0,5.0,1.0,11.0,6.0,6.0,2.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,5.0,12.0,5.0,16.0,5.7727272727272725,5.0,3.0,6.75,1.05,12.95
1996.0,7.0,6.0,14.0,2.0,6.0,8.0,7.0,10.0,3.0,15.0,4.0,3.0,1.0,3.0,3.0,3.0,15.0,6.0,8.0,7.0,10.0,16.0,7.136363636363637,6.5,3.0,9.5,2.05,15.0
1997.0,1.0,6.0,8.0,13.0,10.0,13.0,9.0,13.0,1.0,7.0,10.0,2.0,6.0,4.0,12.0,7.0,1.0,4.0,9.0,11.0,12.0,10.0,7.681818181818182,8.5,4.5,10.75,1.0,13.0
1998.0,5.0,2.0,5.0,10.0,13.0,10.0,11.0,15.0,7.0,15.0,3.0,4.0,1.0,5.0,5.0,13.0,6.0,4.0,11.0,18.0,7.0,3.0,7.863636363636363,6.5,4.25,11.0,2.05,15.0
1999.0,7.0,5.0,6.0,5.0,6.0,11.0,9.0,4.0,9.0,9.0,1.0,8.0,11.0,6.0,3.0,7.0,2.0,14.0,8.0,9.0,4.0,7.0,6.863636363636363,7.0,5.0,9.0,2.05,11.0
2000.0,4.0,6.0,14.0,11.0,10.0,9.0,11.0,13.0,9.0,7.0,4.0,7.0,4.0,9.0,7.0,6.0,6.0,18.0,2.0,15.0,4.0,7.0,8.318181818181818,7.0,6.0,10.75,4.0,14.95
2001.0,6.0,13.0,5.0,10.0,8.0,5.0,11.0,10.0,6.0,10.0,3.0,8.0,11.0,5.0,7.0,7.0,14.0,14.0,4.0,8.0,13.0,9.0,8.5,8.0,6.0,10.75,4.05,13.95
2002.0,5.0,10.0,7.0,9.0,20.0,5.0,5.0,6.0,7.0,9.0,9.0,5.0,3.0,6.0,5.0,9.0,4.0,8.0,6.0,2.0,8.0,8.0,7.090909090909091,6.5,5.0,8.75,3.05,9.95
2003.0,9.0,5.0,6.0,8.0,15.0,18.0,5.0,8.0,9.0,15.0,5.0,9.0,13.0,7.0,5.0,15.0,4.0,5.0,7.0,9.0,4.0,13.0,8.818181818181818,8.0,5.0,12.0,4.05,15.0
2004.0,10.0,7.0,7.0,9.0,15.0,8.0,10.0,11.0,6.0,9.0,6.0,2.0,11.0,4.0,9.0,7.0,13.0,3.0,6.0,15.0,6.0,11.0,8.409090909090908,8.5,6.0,10.75,3.05,14.899999999999999
2005.0,6.0,7.0,9.0,18.0,10.0,4.0,10.0,12.0,9.0,5.0,6.0,5.0,13.0,5.0,3.0,2.0,7.0,8.0,2.0,5.0,3.0,10.0,7.2272727272727275,6.5,5.0,9.75,2.05,12.95
2006.0,5.0,9.0,8.0,10.0,21.0,6.0,1.0,5.0,7.0,10.0,7.0,6.0,18.0,9.0,7.0,4.0,7.0,5.0,3.0,12.0,3.0,7.0,7.7272727272727275,7.0,5.0,9.0,3.0,17.699999999999996
2007.0,5.0,7.0,10.0,8.0,11.0,7.0,13.0,16.0,6.0,8.0,5.0,2.0,4.0,8.0,1.0,7.0,3.0,9.0,11.0,10.0,8.0,9.0,7.636363636363637,8.0,5.25,9.75,2.05,12.899999999999999
2008.0,9.0,7.0,11.0,5.0,11.0,9.0,10.0,10.0,5.0,10.0,3.0,8.0,4.0,1.0,3.0,16.0,4.0,12.0,8.0,21.0,1.0,4.0,7.818181818181818,8.0,4.0,10.0,1.1,15.799999999999997
2009.0,5.0,10.0,7.0,10.0,5.0,8.0,8.0,7.0,2.0,13.0,3.0,7.0,7.0,3.0,6.0,17.0,9.0,10.0,5.0,13.0,10.0,7.0,7.818181818181818,7.0,5.25,10.0,3.0,13.0
2010.0,14.0,9.0,12.0,11.0,13.0,6.0,5.0,9.0,7.0,11.0,4.0,15.0,3.0,3.0,2.0,4.0,9.0,12.0,4.0,6.0,12.0,7.0,8.090909090909092,8.0,4.25,11.75,3.0,13.95
2011.0,12.0,11.0,8.0,5.0,12.0,5.0,6.0,5.0,5.0,7.0,6.0,9.0,5.0,8.0,3.0,8.0,7.0,12.0,6.0,8.0,9.0,11.0,7.636363636363637,7.5,5.25,9.0,5.0,12.0
2012.0,8.0,10.0,8.0,7.0,6.0,6.0,4.0,14.0,16.0,12.0,12.0,2.0,13.0,8.0,1.0,6.0,5.0,11.0,7.0,2.0,4.0,10.0,7.818181818181818,7.5,5.25,10.75,2.0,13.95
2013.0,5.0,12.0,8.0,11.0,5.0,11.0,8.0,8.0,6.0,7.0,3.0,9.0,3.0,3.0,6.0,10.0,8.0,11.0,4.0,8.0,9.0,15.0,7.7272727272727275,8.0,5.25,9.75,3.0,11.95
2014.0,10.0,6.0,7.0,8.0,7.0,7.0,13.0,13.0,9.0,3.0,3.0,9.0,6.0,3.0,2.0,7.0,6.0,7.0,9.0,10.0,4.0,12.0,7.318181818181818,7.0,6.0,9.0,3.0,12.95
2015.0,4.0,4.0,10.0,16.0,9.0,13.0,6.0,14.0,5.0,9.0,7.0,5.0,6.0,5.0,0.0,9.0,5.0,7.0,9.0,10.0,5.0,18.0,8.0,7.0,5.0,9.75,4.0,15.899999999999999
2016.0,8.0,8.0,16.0,1.0,16.0,6.0,11.0,13.0,4.0,17.0,2.0,10.0,7.0,4.0,5.0,4.0,6.0,13.0,3.0,7.0,9.0,18.0,8.545454545454545,7.5,4.25,12.5,2.05,16.95
2017.0,5.0,10.0,7.0,9.0,5.0,5.0,12.0,5.0,6.0,11.0,2.0,9.0,6.0,9.0,3.0,5.0,6.0,7.0,7.0,9.0,6.0,6.0,6.818181818181818,6.0,5.0,9.0,3.1,10.95
