Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,0.0,6.0,0.0,NaN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0952380952380953,0.0,0.0,1.0,0.0,6.0
1951.0,2.0,0.0,2.0,NaN,8.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,1.7619047619047619,0.0,0.0,2.0,0.0,8.0
1952.0,0.0,5.0,2.0,NaN,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,3.0,1.2857142857142858,1.0,0.0,1.0,0.0,5.0
1953.0,1.0,7.0,3.0,NaN,11.0,0.0,2.0,0.0,1.0,0.0,17.0,0.0,6.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9047619047619047,1.0,0.0,5.0,0.0,11.0
1954.0,2.0,7.0,0.0,NaN,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,0.0,0.0,1.7142857142857142,0.0,0.0,3.0,0.0,4.0
1955.0,2.0,6.0,1.0,NaN,0.0,3.0,0.0,0.0,9.0,3.0,1.0,4.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,3.0,2.0,0.0,2.142857142857143,1.0,0.0,3.0,0.0,7.0
1956.0,0.0,0.0,1.0,NaN,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,4.0,3.0,8.0,4.0,1.0,7.0,0.0,4.0,3.0,2.0952380952380953,1.0,0.0,4.0,0.0,7.0
1957.0,0.0,0.0,1.0,NaN,7.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2380952380952381,0.0,0.0,2.0,0.0,6.0
1958.0,0.0,0.0,0.0,NaN,3.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0
1959.0,4.0,4.0,0.0,NaN,6.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,10.0,0.0,2.0,9.0,8.0,0.0,0.0,1.0,6.0,3.0,3.0476190476190474,2.0,0.0,6.0,0.0,9.0
