Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,26.0,26.0,21.0,19.0,20.0,22.0,21.0,10.0,28.0,25.0,29.0,22.0,17.0,32.0,25.0,27.0,33.0,21.0,36.0,29.0,24.0,24.0,24.40909090909091,24.5,21.0,27.75,17.1,32.95
1951.0,27.0,17.0,18.0,27.0,24.0,19.0,23.0,11.0,28.0,22.0,26.0,27.0,22.0,32.0,26.0,21.0,29.0,31.0,27.0,23.0,42.0,22.0,24.727272727272727,25.0,22.0,27.0,17.05,31.95
1952.0,28.0,26.0,21.0,29.0,20.0,19.0,23.0,16.0,27.0,20.0,28.0,28.0,29.0,35.0,34.0,22.0,29.0,22.0,36.0,17.0,26.0,22.0,25.318181818181817,26.0,21.25,28.75,17.1,34.95
1953.0,24.0,28.0,10.0,14.0,20.0,16.0,15.0,17.0,24.0,28.0,25.0,19.0,18.0,23.0,23.0,15.0,38.0,14.0,30.0,15.0,27.0,24.0,21.227272727272727,21.5,15.25,24.75,14.0,29.9
1954.0,29.0,24.0,24.0,20.0,21.0,15.0,25.0,22.0,40.0,25.0,26.0,23.0,18.0,30.0,17.0,14.0,28.0,21.0,38.0,22.0,29.0,20.0,24.136363636363637,23.5,20.25,27.5,15.1,37.599999999999994
1955.0,16.0,25.0,29.0,24.0,19.0,21.0,22.0,13.0,24.0,19.0,31.0,28.0,21.0,21.0,30.0,20.0,26.0,19.0,29.0,30.0,38.0,22.0,23.954545454545453,23.0,20.25,28.75,16.15,30.95
1956.0,25.0,26.0,17.0,26.0,19.0,17.0,16.0,19.0,21.0,13.0,25.0,30.0,26.0,24.0,33.0,14.0,23.0,24.0,34.0,20.0,25.0,24.0,22.772727272727273,24.0,19.0,25.75,14.1,32.849999999999994
1957.0,16.0,32.0,33.0,14.0,10.0,24.0,27.0,30.0,27.0,16.0,25.0,25.0,29.0,25.0,24.0,14.0,34.0,21.0,32.0,17.0,25.0,11.0,23.227272727272727,25.0,16.25,28.5,11.15,32.95
1958.0,22.0,16.0,17.0,22.0,20.0,26.0,27.0,26.0,28.0,28.0,33.0,34.0,30.0,25.0,29.0,20.0,29.0,24.0,22.0,22.0,36.0,23.0,25.40909090909091,25.5,22.0,28.75,17.15,33.95
1959.0,26.0,32.0,21.0,23.0,18.0,24.0,19.0,12.0,31.0,24.0,28.0,20.0,18.0,15.0,32.0,22.0,35.0,22.0,20.0,17.0,23.0,22.0,22.90909090909091,22.0,19.25,25.5,15.1,32.0
1960.0,29.0,27.0,17.0,17.0,14.0,20.0,23.0,16.0,23.0,26.0,31.0,24.0,19.0,23.0,20.0,24.0,28.0,23.0,36.0,16.0,26.0,26.0,23.09090909090909,23.0,19.25,26.0,16.0,30.9
1961.0,17.0,34.0,22.0,24.0,19.0,17.0,24.0,19.0,25.0,19.0,32.0,18.0,12.0,24.0,22.0,20.0,24.0,24.0,26.0,19.0,25.0,23.0,22.227272727272727,22.5,19.0,24.0,17.0,31.699999999999996
1962.0,34.0,25.0,20.0,24.0,21.0,18.0,20.0,14.0,25.0,20.0,21.0,17.0,22.0,27.0,33.0,23.0,27.0,22.0,26.0,36.0,36.0,31.0,24.636363636363637,23.5,20.25,27.0,17.05,35.9
1963.0,30.0,30.0,22.0,26.0,21.0,12.0,19.0,17.0,30.0,24.0,25.0,15.0,36.0,24.0,28.0,24.0,32.0,27.0,25.0,21.0,33.0,26.0,24.863636363636363,25.0,21.25,29.5,15.1,32.95
1964.0,29.0,23.0,25.0,17.0,17.0,10.0,20.0,15.0,27.0,26.0,28.0,30.0,16.0,29.0,26.0,27.0,25.0,23.0,30.0,23.0,29.0,13.0,23.09090909090909,25.0,17.75,27.75,13.1,29.95
1965.0,29.0,28.0,20.0,17.0,23.0,25.0,21.0,13.0,26.0,25.0,20.0,18.0,22.0,24.0,22.0,19.0,26.0,19.0,16.0,22.0,31.0,15.0,21.863636363636363,22.0,19.0,25.0,15.05,28.95
1966.0,23.0,35.0,27.0,20.0,12.0,27.0,21.0,19.0,25.0,24.0,26.0,26.0,28.0,31.0,24.0,23.0,23.0,18.0,39.0,25.0,28.0,18.0,24.636363636363637,24.5,21.5,27.0,18.0,34.8
1967.0,27.0,13.0,28.0,21.0,20.0,14.0,16.0,16.0,30.0,24.0,30.0,29.0,16.0,19.0,31.0,19.0,23.0,17.0,31.0,25.0,24.0,21.0,22.454545454545453,22.0,17.5,27.75,14.1,30.95
1968.0,20.0,33.0,19.0,8.0,20.0,23.0,19.0,12.0,25.0,23.0,37.0,27.0,29.0,37.0,33.0,21.0,23.0,20.0,26.0,16.0,24.0,17.0,23.272727272727273,23.0,19.25,26.75,12.2,36.8
1969.0,24.0,32.0,26.0,26.0,26.0,20.0,23.0,14.0,25.0,19.0,31.0,28.0,42.0,27.0,23.0,27.0,24.0,25.0,26.0,19.0,22.0,18.0,24.863636363636363,25.0,22.25,26.75,18.05,31.95
1970.0,24.0,28.0,10.0,24.0,20.0,23.0,17.0,19.0,27.0,21.0,19.0,21.0,23.0,25.0,28.0,20.0,26.0,17.0,33.0,16.0,32.0,22.0,22.5,22.5,19.25,25.75,16.05,31.799999999999997
1971.0,34.0,20.0,17.0,22.0,14.0,23.0,18.0,21.0,23.0,22.0,29.0,26.0,27.0,34.0,41.0,21.0,26.0,17.0,23.0,25.0,33.0,12.0,24.0,23.0,20.25,26.75,14.15,34.0
1972.0,32.0,17.0,20.0,14.0,26.0,20.0,27.0,20.0,21.0,21.0,27.0,20.0,25.0,27.0,25.0,17.0,23.0,13.0,39.0,23.0,21.0,25.0,22.863636363636363,22.0,20.0,25.75,14.15,31.749999999999996
1973.0,20.0,28.0,20.0,25.0,16.0,17.0,25.0,10.0,33.0,23.0,24.0,37.0,30.0,25.0,25.0,17.0,24.0,13.0,25.0,21.0,33.0,17.0,23.09090909090909,24.0,17.75,25.0,13.15,33.0
1974.0,38.0,22.0,20.0,23.0,13.0,22.0,21.0,12.0,37.0,22.0,39.0,32.0,25.0,38.0,31.0,21.0,36.0,25.0,25.0,21.0,18.0,19.0,25.454545454545453,22.5,21.0,31.75,13.25,38.0
1975.0,27.0,20.0,24.0,13.0,21.0,18.0,20.0,13.0,28.0,24.0,15.0,25.0,21.0,23.0,14.0,22.0,35.0,26.0,21.0,24.0,30.0,20.0,22.0,21.5,20.0,24.75,13.05,29.9
1976.0,24.0,18.0,23.0,17.0,22.0,19.0,23.0,22.0,31.0,15.0,22.0,24.0,23.0,30.0,37.0,29.0,29.0,18.0,25.0,22.0,25.0,13.0,23.227272727272727,23.0,19.75,25.0,15.1,30.95
1977.0,27.0,28.0,20.0,19.0,21.0,34.0,21.0,24.0,31.0,20.0,42.0,28.0,33.0,25.0,16.0,18.0,29.0,10.0,27.0,17.0,25.0,25.0,24.545454545454547,25.0,20.0,28.0,16.05,33.95
1978.0,32.0,20.0,23.0,24.0,27.0,18.0,21.0,15.0,33.0,22.0,30.0,22.0,29.0,26.0,24.0,17.0,25.0,26.0,27.0,23.0,33.0,18.0,24.318181818181817,24.0,21.25,27.0,17.05,32.95
1979.0,19.0,18.0,18.0,18.0,17.0,27.0,16.0,21.0,35.0,22.0,26.0,26.0,12.0,24.0,33.0,17.0,38.0,26.0,29.0,26.0,23.0,27.0,23.545454545454547,23.5,18.0,26.75,16.05,34.9
1980.0,30.0,29.0,21.0,17.0,11.0,14.0,14.0,16.0,32.0,22.0,26.0,28.0,22.0,38.0,22.0,19.0,36.0,17.0,23.0,22.0,32.0,17.0,23.09090909090909,22.0,17.0,28.75,14.0,35.8
1981.0,27.0,24.0,14.0,12.0,23.0,19.0,15.0,23.0,31.0,27.0,40.0,39.0,24.0,28.0,40.0,24.0,27.0,20.0,29.0,17.0,44.0,17.0,25.636363636363637,24.0,19.25,28.75,14.05,40.0
1982.0,24.0,18.0,22.0,25.0,26.0,24.0,22.0,24.0,34.0,26.0,35.0,30.0,29.0,27.0,19.0,15.0,26.0,14.0,15.0,26.0,39.0,23.0,24.681818181818183,24.5,22.0,26.75,15.0,34.95
1983.0,25.0,21.0,22.0,12.0,20.0,24.0,16.0,18.0,22.0,21.0,30.0,30.0,26.0,34.0,24.0,25.0,22.0,15.0,29.0,28.0,30.0,22.0,23.454545454545453,23.0,21.0,27.5,15.05,30.0
1984.0,24.0,25.0,15.0,18.0,21.0,16.0,29.0,23.0,32.0,16.0,18.0,19.0,20.0,30.0,22.0,32.0,26.0,27.0,25.0,20.0,27.0,19.0,22.90909090909091,22.5,19.0,26.75,16.0,31.9
1985.0,34.0,19.0,15.0,25.0,16.0,18.0,21.0,19.0,28.0,28.0,21.0,25.0,24.0,32.0,31.0,23.0,22.0,22.0,29.0,26.0,23.0,22.0,23.772727272727273,23.0,21.0,27.5,16.1,31.95
1986.0,31.0,32.0,16.0,17.0,23.0,19.0,31.0,16.0,25.0,20.0,22.0,21.0,18.0,33.0,32.0,24.0,26.0,17.0,31.0,20.0,34.0,26.0,24.272727272727273,23.5,19.25,31.0,16.05,32.95
1987.0,28.0,25.0,22.0,27.0,12.0,16.0,28.0,23.0,19.0,24.0,35.0,24.0,27.0,24.0,28.0,22.0,26.0,13.0,23.0,23.0,26.0,19.0,23.363636363636363,24.0,22.0,26.75,13.15,28.0
1988.0,17.0,24.0,19.0,22.0,17.0,20.0,23.0,19.0,36.0,17.0,15.0,26.0,23.0,26.0,33.0,13.0,25.0,18.0,28.0,30.0,25.0,14.0,22.272727272727273,22.5,17.25,25.75,14.05,32.849999999999994
1989.0,27.0,31.0,19.0,11.0,25.0,24.0,17.0,20.0,30.0,23.0,29.0,20.0,22.0,28.0,16.0,19.0,30.0,21.0,20.0,15.0,40.0,23.0,23.181818181818183,22.5,19.25,27.75,15.05,30.95
1990.0,30.0,22.0,13.0,18.0,20.0,18.0,19.0,22.0,31.0,22.0,33.0,30.0,22.0,31.0,44.0,22.0,28.0,18.0,35.0,23.0,30.0,19.0,25.0,22.0,19.25,30.0,18.0,34.9
1991.0,35.0,25.0,14.0,24.0,21.0,18.0,13.0,24.0,35.0,17.0,24.0,25.0,28.0,29.0,34.0,26.0,36.0,29.0,28.0,26.0,26.0,22.0,25.40909090909091,25.5,22.5,28.75,14.15,35.0
1992.0,27.0,28.0,16.0,23.0,18.0,27.0,22.0,19.0,27.0,11.0,30.0,32.0,44.0,36.0,19.0,23.0,25.0,16.0,35.0,18.0,31.0,15.0,24.636363636363637,24.0,18.25,29.5,15.05,35.95
1993.0,26.0,24.0,24.0,20.0,21.0,22.0,42.0,22.0,30.0,24.0,37.0,23.0,25.0,35.0,21.0,17.0,13.0,20.0,32.0,24.0,25.0,22.0,24.954545454545453,24.0,21.25,25.75,17.15,36.9
1994.0,26.0,21.0,23.0,31.0,17.0,23.0,26.0,18.0,26.0,20.0,37.0,23.0,15.0,31.0,24.0,20.0,29.0,22.0,23.0,19.0,28.0,18.0,23.636363636363637,23.0,20.0,26.0,17.05,31.0
1995.0,25.0,30.0,30.0,27.0,19.0,29.0,19.0,17.0,26.0,22.0,25.0,22.0,25.0,27.0,25.0,20.0,37.0,30.0,38.0,31.0,31.0,18.0,26.045454545454547,25.5,22.0,30.0,18.05,36.699999999999996
1996.0,26.0,29.0,28.0,16.0,16.0,22.0,18.0,26.0,34.0,22.0,30.0,21.0,14.0,23.0,26.0,17.0,36.0,22.0,29.0,19.0,30.0,25.0,24.045454545454547,24.0,19.5,28.75,16.0,33.8
1997.0,20.0,27.0,25.0,16.0,28.0,22.0,17.0,13.0,23.0,21.0,24.0,25.0,27.0,19.0,24.0,21.0,25.0,12.0,33.0,22.0,34.0,22.0,22.727272727272727,22.5,20.25,25.0,13.15,32.75
1998.0,24.0,39.0,24.0,28.0,13.0,25.0,27.0,26.0,26.0,14.0,24.0,30.0,27.0,24.0,40.0,19.0,18.0,20.0,27.0,18.0,22.0,20.0,24.318181818181817,24.0,20.0,27.0,14.2,38.55
1999.0,29.0,18.0,19.0,12.0,16.0,22.0,19.0,21.0,30.0,22.0,24.0,29.0,30.0,35.0,25.0,24.0,20.0,21.0,22.0,21.0,18.0,17.0,22.454545454545453,21.5,19.0,24.75,16.05,30.0
2000.0,20.0,30.0,23.0,16.0,29.0,15.0,27.0,11.0,27.0,23.0,33.0,28.0,31.0,21.0,27.0,14.0,22.0,25.0,21.0,16.0,36.0,11.0,23.0,23.0,17.0,27.75,11.15,32.9
2001.0,21.0,28.0,22.0,20.0,25.0,26.0,17.0,25.0,29.0,33.0,26.0,34.0,25.0,29.0,32.0,19.0,33.0,25.0,37.0,28.0,31.0,13.0,26.272727272727273,26.0,22.75,30.5,17.1,33.95
2002.0,23.0,38.0,32.0,31.0,28.0,14.0,26.0,25.0,29.0,21.0,25.0,21.0,21.0,30.0,30.0,22.0,28.0,25.0,31.0,23.0,17.0,20.0,25.454545454545453,25.0,21.25,29.75,17.15,31.95
2003.0,27.0,22.0,9.0,13.0,25.0,22.0,30.0,17.0,32.0,29.0,33.0,21.0,35.0,26.0,30.0,30.0,43.0,22.0,33.0,21.0,31.0,31.0,26.454545454545453,28.0,22.0,31.0,13.2,34.9
2004.0,30.0,27.0,20.0,19.0,21.0,20.0,22.0,19.0,31.0,10.0,18.0,17.0,21.0,22.0,33.0,28.0,49.0,24.0,38.0,25.0,33.0,22.0,24.954545454545453,22.0,20.0,29.5,17.05,37.75
2005.0,25.0,34.0,15.0,25.0,22.0,15.0,22.0,26.0,23.0,32.0,19.0,26.0,26.0,20.0,28.0,16.0,33.0,20.0,27.0,28.0,19.0,30.0,24.136363636363637,25.0,20.0,27.75,15.05,32.95
2006.0,30.0,29.0,23.0,13.0,20.0,14.0,24.0,21.0,35.0,24.0,37.0,24.0,24.0,22.0,19.0,26.0,20.0,25.0,27.0,29.0,27.0,20.0,24.227272727272727,24.0,20.25,27.0,14.25,34.75
2007.0,22.0,26.0,24.0,16.0,24.0,32.0,17.0,27.0,34.0,16.0,30.0,32.0,27.0,22.0,35.0,23.0,23.0,22.0,27.0,36.0,30.0,17.0,25.545454545454547,25.0,22.0,30.0,16.05,34.95
2008.0,29.0,41.0,24.0,21.0,16.0,22.0,28.0,18.0,28.0,24.0,26.0,26.0,27.0,23.0,30.0,31.0,26.0,16.0,17.0,25.0,26.0,25.0,24.954545454545453,25.5,22.25,27.75,16.05,30.95
2009.0,20.0,28.0,19.0,24.0,20.0,27.0,27.0,22.0,30.0,17.0,22.0,25.0,27.0,30.0,28.0,27.0,33.0,26.0,28.0,25.0,24.0,17.0,24.818181818181817,25.5,22.0,27.75,17.1,30.0
2010.0,21.0,33.0,24.0,24.0,24.0,22.0,23.0,24.0,36.0,24.0,29.0,25.0,17.0,31.0,21.0,14.0,47.0,20.0,24.0,21.0,26.0,22.0,25.09090909090909,24.0,21.25,25.75,17.15,35.849999999999994
2011.0,28.0,23.0,26.0,21.0,19.0,32.0,28.0,19.0,31.0,30.0,29.0,27.0,20.0,26.0,33.0,24.0,28.0,27.0,29.0,19.0,21.0,15.0,25.227272727272727,26.5,21.0,28.75,19.0,31.95
2012.0,35.0,22.0,24.0,27.0,17.0,18.0,15.0,18.0,24.0,27.0,27.0,31.0,25.0,28.0,35.0,19.0,23.0,20.0,42.0,17.0,36.0,12.0,24.636363636363637,24.0,18.25,27.75,15.1,35.95
2013.0,38.0,33.0,25.0,21.0,25.0,19.0,22.0,18.0,22.0,19.0,23.0,18.0,32.0,29.0,29.0,19.0,27.0,15.0,25.0,23.0,37.0,19.0,24.454545454545453,23.0,19.0,28.5,18.0,36.8
2014.0,32.0,25.0,30.0,26.0,22.0,24.0,13.0,13.0,20.0,20.0,21.0,25.0,32.0,21.0,19.0,20.0,35.0,25.0,25.0,23.0,26.0,36.0,24.227272727272727,24.5,20.25,26.0,13.3,34.849999999999994
2015.0,28.0,26.0,25.0,20.0,27.0,29.0,16.0,23.0,36.0,22.0,22.0,20.0,26.0,32.0,17.0,21.0,34.0,22.0,20.0,26.0,29.0,20.0,24.59090909090909,24.0,20.25,27.75,17.15,33.9
2016.0,33.0,22.0,29.0,18.0,21.0,17.0,20.0,23.0,28.0,23.0,26.0,28.0,21.0,34.0,26.0,13.0,26.0,29.0,38.0,25.0,31.0,29.0,25.454545454545453,26.0,21.25,29.0,17.05,33.95
2017.0,39.0,33.0,25.0,20.0,29.0,19.0,19.0,13.0,22.0,27.0,31.0,18.0,15.0,23.0,24.0,24.0,26.0,23.0,36.0,29.0,31.0,15.0,24.59090909090909,24.0,19.25,29.0,15.0,35.849999999999994
2018.0,32.0,30.0,21.0,22.0,25.0,32.0,30.0,21.0,18.0,19.0,29.0,26.0,15.0,31.0,30.0,28.0,29.0,16.0,22.0,24.0,28.0,20.0,24.90909090909091,25.5,21.0,29.75,16.1,31.95
