Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,16.0,10.0,12.0,9.0,6.0,11.0,9.0,10.0,15.0,11.0,13.0,18.0,19.0,18.0,7.0,11.0,22.0,9.0,16.0,7.0,9.0,14.0,12.363636363636363,11.0,9.0,15.75,7.0,18.95
1951.0,14.0,18.0,12.0,12.0,9.0,15.0,11.0,9.0,10.0,4.0,19.0,15.0,17.0,13.0,7.0,8.0,8.0,9.0,15.0,11.0,31.0,19.0,13.0,12.0,9.0,15.0,7.05,19.0
1952.0,20.0,9.0,13.0,9.0,13.0,5.0,4.0,6.0,20.0,6.0,13.0,5.0,11.0,19.0,11.0,10.0,8.0,7.0,18.0,9.0,8.0,14.0,10.818181818181818,9.5,7.25,13.0,5.0,19.95
1953.0,16.0,15.0,6.0,7.0,8.0,11.0,12.0,11.0,11.0,12.0,15.0,12.0,12.0,21.0,16.0,4.0,12.0,16.0,19.0,2.0,10.0,11.0,11.772727272727273,12.0,10.25,15.0,4.1,18.849999999999998
1954.0,10.0,6.0,18.0,14.0,13.0,9.0,10.0,14.0,15.0,9.0,13.0,21.0,5.0,16.0,18.0,14.0,14.0,11.0,8.0,7.0,12.0,10.0,12.136363636363637,12.5,9.25,14.0,6.05,18.0
1955.0,17.0,10.0,9.0,8.0,14.0,18.0,9.0,7.0,9.0,4.0,15.0,20.0,23.0,22.0,22.0,6.0,8.0,9.0,11.0,14.0,20.0,11.0,13.0,11.0,9.0,17.75,6.05,22.0
1956.0,10.0,6.0,7.0,14.0,6.0,9.0,6.0,10.0,14.0,4.0,21.0,6.0,21.0,12.0,12.0,15.0,14.0,6.0,7.0,6.0,9.0,13.0,10.363636363636363,9.5,6.0,13.75,6.0,20.699999999999996
1957.0,7.0,10.0,16.0,4.0,6.0,8.0,8.0,14.0,11.0,4.0,13.0,10.0,18.0,20.0,6.0,12.0,17.0,6.0,15.0,10.0,14.0,7.0,10.727272727272727,10.0,7.0,14.0,4.1,17.95
1958.0,13.0,13.0,12.0,8.0,6.0,8.0,15.0,7.0,7.0,10.0,16.0,9.0,8.0,28.0,12.0,8.0,7.0,10.0,14.0,20.0,10.0,3.0,11.090909090909092,10.0,8.0,13.0,6.05,19.799999999999997
1959.0,16.0,13.0,8.0,16.0,6.0,5.0,9.0,7.0,4.0,10.0,19.0,10.0,10.0,7.0,11.0,8.0,18.0,7.0,8.0,17.0,12.0,8.0,10.409090909090908,9.5,7.25,12.75,5.05,17.95
1960.0,8.0,9.0,13.0,11.0,7.0,10.0,8.0,11.0,16.0,7.0,7.0,11.0,4.0,12.0,11.0,10.0,14.0,11.0,22.0,4.0,5.0,9.0,10.0,10.0,7.25,11.0,4.05,15.899999999999999
1961.0,13.0,10.0,6.0,15.0,12.0,13.0,10.0,6.0,8.0,7.0,10.0,10.0,10.0,19.0,7.0,13.0,22.0,7.0,14.0,13.0,4.0,9.0,10.818181818181818,10.0,7.25,13.0,6.0,18.799999999999997
1962.0,16.0,19.0,12.0,12.0,11.0,9.0,7.0,12.0,15.0,7.0,13.0,18.0,16.0,25.0,15.0,9.0,6.0,8.0,17.0,12.0,9.0,16.0,12.909090909090908,12.0,9.0,16.0,7.0,18.95
1963.0,15.0,17.0,5.0,10.0,12.0,9.0,10.0,3.0,14.0,13.0,20.0,14.0,6.0,23.0,8.0,14.0,17.0,11.0,2.0,11.0,14.0,11.0,11.772727272727273,11.5,9.25,14.0,3.1,19.849999999999998
1964.0,16.0,9.0,13.0,15.0,9.0,14.0,10.0,4.0,13.0,5.0,11.0,8.0,5.0,17.0,16.0,12.0,14.0,8.0,19.0,9.0,11.0,13.0,11.409090909090908,11.5,9.0,14.0,5.0,16.95
1965.0,14.0,13.0,6.0,5.0,6.0,10.0,5.0,12.0,16.0,8.0,8.0,15.0,13.0,24.0,14.0,10.0,10.0,12.0,11.0,4.0,18.0,12.0,11.181818181818182,11.5,8.0,13.75,5.0,17.9
1966.0,20.0,12.0,19.0,9.0,6.0,9.0,7.0,7.0,20.0,11.0,7.0,14.0,7.0,17.0,14.0,9.0,17.0,12.0,20.0,9.0,24.0,7.0,12.590909090909092,11.5,7.5,17.0,7.0,20.0
