Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,10.0,10.0,12.0,9.0,9.0,13.0,10.0,11.0,12.0,15.0,9.0,17.0,12.0,10.0,5.0,15.0,14.0,9.0,11.0,11.0,8.0,15.0,11.227272727272727,11.0,9.25,12.75,8.05,15.0
1951.0,10.0,19.0,11.0,16.0,10.0,17.0,13.0,11.0,8.0,6.0,14.0,10.0,11.0,8.0,4.0,11.0,7.0,9.0,11.0,12.0,27.0,21.0,12.090909090909092,11.0,9.25,13.75,6.05,20.9
1952.0,12.0,9.0,11.0,10.0,16.0,5.0,6.0,8.0,14.0,8.0,9.0,5.0,10.0,14.0,4.0,12.0,7.0,7.0,12.0,13.0,7.0,14.0,9.681818181818182,9.5,7.0,12.0,5.0,14.0
1953.0,9.0,16.0,6.0,8.0,10.0,13.0,18.0,17.0,5.0,14.0,12.0,8.0,6.0,13.0,9.0,5.0,11.0,16.0,14.0,2.0,8.0,11.0,10.5,10.5,8.0,13.75,5.0,16.95
1954.0,7.0,6.0,17.0,14.0,16.0,13.0,14.0,20.0,10.0,12.0,10.0,17.0,5.0,9.0,7.0,19.0,9.0,11.0,7.0,9.0,6.0,10.0,11.272727272727273,10.0,7.5,14.0,6.0,18.9
1955.0,12.0,10.0,9.0,9.0,18.0,19.0,13.0,8.0,6.0,5.0,12.0,15.0,19.0,10.0,11.0,9.0,6.0,9.0,5.0,14.0,17.0,14.0,11.363636363636363,10.5,9.0,14.0,5.05,18.95
1956.0,5.0,6.0,7.0,15.0,6.0,10.0,10.0,11.0,8.0,5.0,15.0,4.0,18.0,7.0,3.0,18.0,9.0,6.0,5.0,8.0,8.0,13.0,8.954545454545455,8.0,6.0,10.75,4.05,17.849999999999998
1957.0,4.0,10.0,16.0,4.0,7.0,9.0,10.0,17.0,10.0,6.0,8.0,4.0,14.0,14.0,2.0,12.0,12.0,7.0,7.0,11.0,11.0,7.0,9.181818181818182,9.5,7.0,11.75,4.0,15.899999999999999
1958.0,9.0,14.0,12.0,9.0,6.0,9.0,18.0,9.0,6.0,13.0,11.0,6.0,5.0,16.0,9.0,10.0,6.0,11.0,7.0,21.0,9.0,5.0,10.045454545454545,9.0,6.25,11.75,5.05,17.9
1959.0,12.0,13.0,8.0,19.0,7.0,5.0,13.0,12.0,3.0,11.0,12.0,8.0,10.0,6.0,5.0,9.0,10.0,7.0,8.0,19.0,11.0,11.0,9.954545454545455,10.0,7.25,12.0,5.0,18.699999999999996
1960.0,7.0,9.0,13.0,13.0,12.0,11.0,8.0,18.0,10.0,13.0,4.0,6.0,2.0,8.0,5.0,11.0,7.0,11.0,20.0,4.0,4.0,14.0,9.545454545454545,9.5,6.25,12.75,4.0,17.799999999999997
1961.0,11.0,11.0,6.0,17.0,14.0,15.0,12.0,8.0,6.0,10.0,6.0,4.0,7.0,9.0,2.0,14.0,15.0,7.0,8.0,14.0,4.0,11.0,9.590909090909092,9.5,6.25,13.5,4.0,15.0
1962.0,12.0,21.0,12.0,14.0,13.0,11.0,12.0,16.0,11.0,9.0,7.0,12.0,8.0,16.0,6.0,9.0,3.0,8.0,13.0,14.0,8.0,16.0,11.409090909090908,12.0,8.25,13.75,6.05,16.0
1963.0,11.0,17.0,5.0,13.0,13.0,10.0,12.0,6.0,8.0,16.0,13.0,13.0,4.0,12.0,4.0,15.0,7.0,12.0,1.0,11.0,11.0,14.0,10.363636363636363,11.5,7.25,13.0,4.0,15.95
1964.0,12.0,9.0,13.0,16.0,11.0,16.0,14.0,10.0,8.0,7.0,5.0,4.0,4.0,12.0,7.0,14.0,11.0,8.0,11.0,10.0,9.0,13.0,10.181818181818182,10.5,8.0,12.75,4.05,15.899999999999999
1965.0,8.0,14.0,5.0,5.0,9.0,13.0,8.0,14.0,13.0,10.0,6.0,11.0,7.0,15.0,6.0,11.0,8.0,12.0,6.0,7.0,15.0,13.0,9.818181818181818,9.5,7.0,13.0,5.05,14.95
1966.0,16.0,12.0,19.0,9.0,8.0,10.0,13.0,10.0,13.0,13.0,6.0,13.0,7.0,11.0,6.0,9.0,11.0,12.0,12.0,11.0,23.0,11.0,11.590909090909092,11.0,9.25,13.0,6.05,18.849999999999998
1967.0,8.0,3.0,15.0,8.0,15.0,18.0,8.0,13.0,11.0,12.0,13.0,10.0,13.0,10.0,7.0,12.0,7.0,4.0,8.0,11.0,9.0,6.0,10.045454545454545,10.0,8.0,12.75,4.1,15.0
1968.0,10.0,13.0,6.0,5.0,14.0,15.0,16.0,8.0,8.0,14.0,15.0,11.0,12.0,11.0,11.0,11.0,5.0,4.0,22.0,4.0,5.0,9.0,10.409090909090908,11.0,6.5,13.75,4.05,15.95
1969.0,9.0,17.0,9.0,12.0,8.0,16.0,15.0,2.0,8.0,6.0,8.0,13.0,11.0,6.0,6.0,16.0,9.0,8.0,6.0,17.0,12.0,13.0,10.318181818181818,9.0,8.0,13.0,6.0,16.95
1970.0,7.0,12.0,21.0,14.0,5.0,11.0,17.0,9.0,12.0,9.0,3.0,7.0,5.0,6.0,6.0,13.0,13.0,17.0,5.0,9.0,13.0,12.0,10.272727272727273,10.0,6.25,13.0,5.0,17.0
1971.0,4.0,5.0,10.0,16.0,8.0,15.0,8.0,10.0,6.0,13.0,9.0,3.0,13.0,17.0,4.0,8.0,1.0,19.0,8.0,10.0,12.0,3.0,9.181818181818182,8.5,5.25,12.75,3.0,16.95
1972.0,13.0,7.0,13.0,15.0,11.0,14.0,11.0,8.0,13.0,12.0,10.0,11.0,9.0,17.0,6.0,8.0,8.0,8.0,12.0,21.0,8.0,12.0,11.227272727272727,11.0,8.0,13.0,7.05,16.9
1973.0,12.0,20.0,13.0,9.0,20.0,17.0,9.0,7.0,12.0,10.0,16.0,12.0,10.0,6.0,1.0,15.0,9.0,8.0,12.0,16.0,16.0,11.0,11.863636363636363,12.0,9.0,15.75,6.05,19.849999999999998
1974.0,10.0,10.0,13.0,13.0,8.0,9.0,15.0,8.0,7.0,6.0,12.0,9.0,3.0,10.0,5.0,15.0,9.0,7.0,8.0,16.0,10.0,16.0,9.954545454545455,9.5,8.0,12.75,5.05,15.95
1975.0,5.0,16.0,8.0,8.0,11.0,5.0,11.0,20.0,7.0,6.0,5.0,7.0,14.0,13.0,3.0,14.0,13.0,11.0,7.0,15.0,7.0,21.0,10.318181818181818,9.5,7.0,13.75,5.0,19.799999999999997
1976.0,12.0,8.0,13.0,15.0,7.0,10.0,13.0,7.0,10.0,8.0,12.0,7.0,13.0,11.0,3.0,9.0,16.0,11.0,8.0,13.0,9.0,15.0,10.454545454545455,10.5,8.0,13.0,7.0,15.0
1977.0,8.0,6.0,8.0,14.0,8.0,9.0,18.0,16.0,13.0,10.0,9.0,6.0,17.0,6.0,3.0,18.0,4.0,9.0,7.0,8.0,14.0,15.0,10.272727272727273,9.0,7.25,14.0,4.1,17.95
1978.0,9.0,7.0,13.0,12.0,13.0,9.0,11.0,8.0,13.0,9.0,6.0,6.0,14.0,9.0,6.0,16.0,8.0,13.0,10.0,8.0,10.0,14.0,10.181818181818182,9.5,8.0,13.0,6.0,14.0
1979.0,6.0,10.0,13.0,14.0,8.0,11.0,18.0,14.0,17.0,12.0,7.0,9.0,8.0,13.0,6.0,7.0,10.0,8.0,5.0,10.0,8.0,16.0,10.454545454545455,10.0,8.0,13.0,6.0,16.95
1980.0,10.0,13.0,8.0,16.0,9.0,14.0,12.0,12.0,7.0,4.0,7.0,12.0,14.0,13.0,2.0,9.0,10.0,10.0,9.0,14.0,12.0,8.0,10.227272727272727,10.0,8.25,12.75,4.15,14.0
1981.0,12.0,8.0,18.0,6.0,10.0,16.0,9.0,12.0,8.0,9.0,16.0,9.0,9.0,17.0,8.0,3.0,8.0,14.0,10.0,8.0,10.0,10.0,10.454545454545455,9.5,8.0,12.0,6.1,16.95
1982.0,12.0,8.0,6.0,11.0,10.0,7.0,11.0,16.0,6.0,14.0,2.0,13.0,18.0,7.0,5.0,16.0,5.0,7.0,6.0,17.0,11.0,14.0,10.090909090909092,10.5,6.25,13.75,5.0,16.95
1983.0,9.0,7.0,13.0,12.0,16.0,12.0,9.0,19.0,8.0,6.0,7.0,9.0,11.0,15.0,6.0,17.0,4.0,16.0,3.0,16.0,13.0,9.0,10.772727272727273,10.0,7.25,14.5,4.1,16.95
1984.0,9.0,7.0,10.0,7.0,12.0,8.0,11.0,5.0,11.0,10.0,10.0,10.0,2.0,6.0,6.0,16.0,4.0,7.0,11.0,17.0,10.0,9.0,9.0,9.5,7.0,10.75,4.05,15.799999999999997
1985.0,8.0,3.0,7.0,8.0,13.0,10.0,11.0,9.0,11.0,12.0,8.0,16.0,6.0,1.0,6.0,17.0,11.0,14.0,7.0,14.0,6.0,7.0,9.318181818181818,8.5,7.0,11.75,3.1500000000000004,15.899999999999999
1986.0,11.0,18.0,6.0,22.0,11.0,16.0,12.0,13.0,18.0,8.0,14.0,9.0,14.0,9.0,5.0,11.0,8.0,14.0,13.0,5.0,11.0,7.0,11.590909090909092,11.0,8.25,14.0,5.05,18.0
1987.0,6.0,21.0,16.0,16.0,13.0,8.0,14.0,14.0,6.0,9.0,6.0,15.0,6.0,16.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,4.0,10.409090909090908,9.0,7.25,14.0,6.0,16.0
1988.0,10.0,9.0,19.0,18.0,10.0,9.0,18.0,10.0,12.0,8.0,6.0,3.0,8.0,10.0,6.0,10.0,1.0,10.0,4.0,13.0,12.0,14.0,10.0,10.0,8.0,12.0,3.05,18.0
1989.0,5.0,6.0,12.0,5.0,21.0,17.0,5.0,13.0,12.0,9.0,6.0,8.0,3.0,12.0,2.0,7.0,11.0,10.0,10.0,7.0,14.0,15.0,9.545454545454545,9.5,6.0,12.0,3.1,16.9
1990.0,11.0,11.0,9.0,11.0,15.0,17.0,17.0,27.0,12.0,15.0,10.0,7.0,15.0,6.0,2.0,13.0,13.0,8.0,17.0,8.0,10.0,12.0,12.090909090909092,11.5,9.25,15.0,6.05,17.0
1991.0,12.0,12.0,10.0,13.0,7.0,10.0,11.0,16.0,12.0,10.0,5.0,19.0,9.0,12.0,6.0,8.0,11.0,14.0,9.0,11.0,13.0,17.0,11.227272727272727,11.0,9.25,12.75,6.05,16.95
1992.0,7.0,9.0,13.0,14.0,9.0,16.0,6.0,5.0,10.0,5.0,2.0,7.0,17.0,14.0,6.0,15.0,9.0,9.0,11.0,8.0,7.0,3.0,9.181818181818182,9.0,6.25,12.5,3.1,15.95
1993.0,15.0,8.0,15.0,5.0,11.0,13.0,9.0,18.0,9.0,10.0,9.0,13.0,9.0,7.0,8.0,16.0,5.0,13.0,10.0,12.0,3.0,8.0,10.272727272727273,9.5,8.0,13.0,5.0,15.95
1994.0,9.0,9.0,13.0,12.0,11.0,13.0,7.0,7.0,14.0,16.0,7.0,5.0,12.0,10.0,9.0,11.0,7.0,19.0,7.0,11.0,2.0,18.0,10.409090909090908,10.5,7.0,12.75,5.1,17.9
1995.0,8.0,13.0,12.0,19.0,4.0,13.0,23.0,7.0,11.0,16.0,6.0,9.0,4.0,3.0,8.0,5.0,15.0,11.0,7.0,17.0,10.0,8.0,10.409090909090908,9.5,7.0,13.0,4.0,18.9
1996.0,8.0,28.0,14.0,4.0,13.0,3.0,13.0,16.0,10.0,14.0,6.0,10.0,2.0,6.0,7.0,5.0,12.0,9.0,13.0,8.0,11.0,23.0,10.681818181818182,10.0,6.25,13.0,3.05,22.649999999999995
1997.0,10.0,13.0,9.0,11.0,17.0,20.0,15.0,15.0,5.0,3.0,13.0,10.0,8.0,5.0,11.0,12.0,8.0,5.0,12.0,19.0,7.0,16.0,11.090909090909092,11.0,8.0,14.5,5.0,18.9
1998.0,8.0,17.0,17.0,18.0,17.0,10.0,10.0,11.0,13.0,11.0,9.0,8.0,9.0,9.0,2.0,18.0,5.0,9.0,15.0,7.0,11.0,8.0,11.0,10.0,8.25,14.5,5.1,17.95
1999.0,9.0,11.0,12.0,4.0,10.0,11.0,9.0,13.0,2.0,14.0,6.0,15.0,9.0,10.0,3.0,11.0,3.0,13.0,7.0,12.0,5.0,11.0,9.090909090909092,10.0,6.25,11.75,3.0,13.95
2000.0,4.0,3.0,14.0,14.0,15.0,11.0,11.0,13.0,11.0,14.0,17.0,8.0,10.0,8.0,12.0,13.0,9.0,19.0,5.0,10.0,14.0,7.0,11.0,11.0,8.25,14.0,4.05,16.9
2001.0,2.0,12.0,8.0,12.0,13.0,12.0,15.0,13.0,8.0,16.0,12.0,15.0,21.0,5.0,5.0,7.0,14.0,23.0,7.0,13.0,22.0,10.0,12.045454545454545,12.0,8.0,14.75,5.0,21.95
2002.0,6.0,18.0,9.0,12.0,23.0,10.0,14.0,10.0,15.0,12.0,13.0,9.0,3.0,14.0,12.0,8.0,8.0,11.0,9.0,12.0,5.0,7.0,10.909090909090908,10.5,8.25,12.75,5.05,17.849999999999998
2003.0,8.0,9.0,9.0,9.0,13.0,22.0,16.0,11.0,8.0,16.0,10.0,12.0,13.0,8.0,4.0,25.0,6.0,15.0,9.0,8.0,13.0,13.0,11.681818181818182,10.5,8.25,13.0,6.1,21.699999999999996
2004.0,13.0,10.0,10.0,9.0,10.0,6.0,10.0,13.0,12.0,19.0,8.0,11.0,17.0,6.0,6.0,9.0,14.0,12.0,11.0,10.0,14.0,15.0,11.136363636363637,10.5,9.25,13.0,6.0,16.9
2005.0,10.0,10.0,7.0,16.0,4.0,13.0,10.0,15.0,7.0,22.0,7.0,6.0,16.0,8.0,4.0,8.0,16.0,7.0,4.0,16.0,6.0,10.0,10.090909090909092,9.0,7.0,14.5,4.0,16.0
2006.0,14.0,10.0,9.0,14.0,16.0,12.0,10.0,13.0,11.0,10.0,10.0,10.0,11.0,8.0,4.0,6.0,4.0,8.0,3.0,16.0,8.0,17.0,10.181818181818182,10.0,8.0,12.75,4.0,16.0
