Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,15.0,20.0,9.0,15.0,15.0,21.0,15.0,12.0,21.0,16.0,23.0,21.0,25.0,21.0,26.0,18.0,37.0,13.0,20.0,22.0,18.0,22.0,19.318181818181817,20.0,15.0,21.75,12.05,25.95
1951.0,21.0,24.0,12.0,19.0,19.0,22.0,20.0,15.0,25.0,16.0,23.0,26.0,19.0,27.0,29.0,24.0,22.0,17.0,28.0,20.0,29.0,20.0,21.681818181818183,21.5,19.0,24.75,15.05,28.95
1952.0,13.0,20.0,13.0,23.0,18.0,12.0,16.0,10.0,24.0,24.0,18.0,22.0,21.0,29.0,27.0,20.0,27.0,13.0,27.0,12.0,25.0,10.0,19.272727272727273,20.0,13.0,24.0,10.1,27.0
1953.0,20.0,20.0,12.0,12.0,12.0,13.0,17.0,22.0,16.0,21.0,21.0,24.0,17.0,26.0,16.0,19.0,23.0,10.0,26.0,8.0,18.0,18.0,17.772727272727273,18.0,13.75,21.0,10.1,25.9
1954.0,16.0,20.0,18.0,22.0,16.0,24.0,26.0,15.0,19.0,14.0,17.0,30.0,14.0,23.0,17.0,16.0,25.0,12.0,25.0,16.0,27.0,14.0,19.363636363636363,17.5,16.0,23.75,14.0,26.95
1955.0,23.0,20.0,13.0,18.0,17.0,21.0,25.0,10.0,27.0,11.0,23.0,20.0,20.0,27.0,30.0,23.0,27.0,18.0,21.0,23.0,19.0,15.0,20.5,20.5,18.0,23.0,11.1,27.0
1956.0,17.0,14.0,11.0,27.0,18.0,16.0,24.0,15.0,24.0,15.0,17.0,10.0,28.0,22.0,25.0,29.0,19.0,14.0,23.0,7.0,14.0,9.0,18.09090909090909,17.0,14.0,23.75,9.05,27.95
1957.0,21.0,17.0,18.0,17.0,16.0,21.0,22.0,13.0,25.0,8.0,22.0,28.0,27.0,19.0,16.0,21.0,30.0,20.0,19.0,8.0,19.0,12.0,19.045454545454547,19.0,16.25,21.75,8.2,27.95
1958.0,20.0,24.0,18.0,14.0,12.0,13.0,24.0,9.0,14.0,16.0,33.0,26.0,37.0,27.0,28.0,22.0,16.0,18.0,12.0,17.0,22.0,18.0,20.0,18.0,14.5,24.0,12.0,32.75
1959.0,22.0,33.0,11.0,23.0,13.0,19.0,21.0,10.0,28.0,15.0,31.0,15.0,23.0,16.0,15.0,15.0,20.0,19.0,29.0,16.0,17.0,19.0,19.545454545454547,19.0,15.0,22.75,11.1,30.9
1960.0,9.0,25.0,15.0,18.0,10.0,24.0,22.0,14.0,29.0,9.0,21.0,24.0,15.0,18.0,20.0,24.0,27.0,16.0,29.0,18.0,17.0,21.0,19.318181818181817,19.0,15.25,24.0,9.05,28.9
