Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,47.0,84.0,60.0,NaN,76.0,54.0,87.0,64.0,51.0,60.0,60.0,62.0,69.0,77.0,59.0,73.0,62.0,64.0,60.0,53.0,68.0,52.0,63.904761904761905,62.0,59.0,69.0,51.0,84.0
1951.0,55.0,96.0,56.0,NaN,93.0,52.0,57.0,70.0,47.0,59.0,61.0,75.0,65.0,47.0,50.0,46.0,67.0,84.0,73.0,66.0,70.0,48.0,63.666666666666664,61.0,52.0,70.0,47.0,93.0
1952.0,33.0,60.0,54.0,NaN,63.0,92.0,76.0,66.0,73.0,56.0,92.0,57.0,80.0,75.0,58.0,83.0,74.0,81.0,74.0,70.0,78.0,68.0,69.66666666666667,73.0,60.0,78.0,54.0,92.0
1953.0,46.0,67.0,38.0,NaN,72.0,73.0,73.0,61.0,63.0,41.0,76.0,55.0,94.0,73.0,45.0,65.0,86.0,74.0,75.0,62.0,69.0,62.0,65.23809523809524,67.0,61.0,73.0,41.0,86.0
1954.0,67.0,87.0,40.0,NaN,85.0,72.0,86.0,78.0,76.0,60.0,86.0,59.0,54.0,68.0,49.0,58.0,72.0,71.0,71.0,58.0,52.0,77.0,67.9047619047619,71.0,58.0,77.0,49.0,86.0
1955.0,57.0,90.0,51.0,NaN,83.0,85.0,80.0,66.0,78.0,69.0,53.0,72.0,79.0,42.0,54.0,63.0,72.0,70.0,80.0,54.0,71.0,70.0,68.52380952380952,70.0,57.0,79.0,51.0,85.0
1956.0,44.0,80.0,52.0,NaN,84.0,74.0,74.0,50.0,56.0,51.0,64.0,74.0,71.0,68.0,62.0,35.0,59.0,74.0,50.0,67.0,68.0,76.0,63.476190476190474,67.0,52.0,74.0,44.0,80.0
1957.0,50.0,74.0,43.0,NaN,62.0,68.0,72.0,87.0,70.0,60.0,77.0,61.0,60.0,79.0,70.0,49.0,69.0,69.0,64.0,63.0,89.0,71.0,67.0,69.0,61.0,72.0,49.0,87.0
1958.0,55.0,53.0,72.0,NaN,78.0,61.0,60.0,52.0,77.0,65.0,49.0,69.0,53.0,81.0,56.0,44.0,52.0,43.0,55.0,63.0,60.0,72.0,60.476190476190474,60.0,53.0,69.0,44.0,78.0
1959.0,53.0,92.0,56.0,NaN,64.0,70.0,78.0,65.0,67.0,63.0,46.0,66.0,73.0,77.0,57.0,58.0,68.0,57.0,69.0,75.0,63.0,64.0,65.76190476190476,65.0,58.0,70.0,53.0,78.0
1960.0,56.0,49.0,70.0,NaN,77.0,66.0,50.0,54.0,81.0,67.0,82.0,74.0,52.0,47.0,53.0,58.0,55.0,74.0,48.0,57.0,71.0,79.0,62.857142857142854,58.0,53.0,74.0,48.0,81.0
1961.0,38.0,79.0,55.0,NaN,71.0,66.0,59.0,58.0,71.0,66.0,58.0,55.0,46.0,58.0,50.0,58.0,74.0,70.0,65.0,68.0,99.0,60.0,63.04761904761905,60.0,58.0,70.0,46.0,79.0
1962.0,52.0,71.0,51.0,NaN,68.0,66.0,71.0,41.0,72.0,60.0,57.0,67.0,70.0,83.0,46.0,79.0,43.0,73.0,69.0,63.0,63.0,88.0,64.42857142857143,67.0,57.0,71.0,43.0,83.0
1963.0,55.0,79.0,51.0,NaN,67.0,59.0,71.0,68.0,57.0,55.0,74.0,72.0,90.0,49.0,50.0,90.0,53.0,65.0,64.0,63.0,85.0,79.0,66.47619047619048,65.0,55.0,74.0,50.0,90.0
1964.0,42.0,67.0,68.0,NaN,89.0,56.0,73.0,80.0,79.0,60.0,97.0,66.0,65.0,60.0,92.0,71.0,84.0,61.0,69.0,64.0,87.0,62.0,71.04761904761905,68.0,62.0,80.0,56.0,92.0
1965.0,48.0,77.0,67.0,NaN,64.0,68.0,71.0,78.0,60.0,71.0,66.0,84.0,100.0,49.0,46.0,81.0,75.0,63.0,77.0,62.0,77.0,56.0,68.57142857142857,68.0,62.0,77.0,48.0,84.0
1966.0,54.0,84.0,35.0,NaN,82.0,71.0,73.0,81.0,88.0,60.0,71.0,78.0,68.0,63.0,64.0,63.0,80.0,76.0,57.0,54.0,55.0,63.0,67.61904761904762,68.0,60.0,78.0,54.0,84.0
1967.0,48.0,82.0,64.0,NaN,78.0,70.0,75.0,59.0,64.0,56.0,77.0,85.0,59.0,79.0,45.0,69.0,81.0,64.0,88.0,62.0,69.0,64.0,68.47619047619048,69.0,62.0,78.0,48.0,85.0
1968.0,53.0,75.0,46.0,NaN,88.0,82.0,88.0,57.0,49.0,50.0,80.0,79.0,75.0,52.0,72.0,80.0,74.0,59.0,44.0,87.0,58.0,79.0,67.95238095238095,74.0,53.0,80.0,46.0,88.0
