Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,30.0,30.0,27.0,17.0,13.0,24.0,19.0,16.0,21.0,23.0,32.0,27.0,35.0,29.0,29.0,24.0,36.0,23.0,31.0,25.0,26.0,31.0,25.818181818181817,26.5,23.0,30.0,16.05,34.849999999999994
1951.0,27.0,35.0,24.0,27.0,16.0,29.0,19.0,16.0,25.0,13.0,28.0,25.0,32.0,29.0,14.0,18.0,21.0,18.0,27.0,22.0,50.0,31.0,24.818181818181817,25.0,18.25,28.75,14.1,34.849999999999994
1952.0,34.0,16.0,27.0,17.0,24.0,15.0,15.0,13.0,37.0,17.0,30.0,15.0,22.0,30.0,22.0,17.0,24.0,15.0,36.0,21.0,21.0,21.0,22.227272727272727,21.0,16.25,26.25,15.0,35.9
1953.0,22.0,26.0,17.0,18.0,15.0,19.0,28.0,26.0,23.0,21.0,22.0,29.0,22.0,39.0,31.0,10.0,23.0,26.0,33.0,10.0,21.0,29.0,23.181818181818183,22.5,19.5,27.5,10.25,32.9
1954.0,19.0,12.0,33.0,30.0,22.0,27.0,30.0,29.0,25.0,18.0,30.0,36.0,10.0,26.0,29.0,24.0,27.0,18.0,22.0,19.0,26.0,24.0,24.363636363636363,25.5,19.75,29.0,12.3,32.849999999999994
1955.0,30.0,23.0,11.0,16.0,23.0,30.0,25.0,12.0,20.0,13.0,30.0,34.0,37.0,33.0,42.0,25.0,19.0,23.0,19.0,23.0,32.0,23.0,24.681818181818183,23.0,19.25,30.0,12.05,36.849999999999994
1956.0,29.0,11.0,13.0,27.0,10.0,15.0,19.0,17.0,30.0,8.0,33.0,18.0,41.0,24.0,25.0,32.0,33.0,12.0,20.0,16.0,24.0,19.0,21.636363636363637,19.5,15.25,28.5,10.05,33.0
1957.0,16.0,23.0,30.0,9.0,10.0,24.0,22.0,26.0,22.0,14.0,26.0,19.0,36.0,38.0,21.0,23.0,28.0,16.0,25.0,24.0,20.0,14.0,22.09090909090909,22.5,16.75,25.75,10.2,35.699999999999996
1958.0,27.0,26.0,21.0,18.0,11.0,13.0,26.0,16.0,17.0,23.0,34.0,22.0,19.0,40.0,22.0,16.0,12.0,20.0,26.0,31.0,22.0,13.0,21.59090909090909,21.5,16.25,26.0,12.05,33.849999999999994
1959.0,27.0,22.0,23.0,28.0,18.0,18.0,19.0,18.0,28.0,17.0,36.0,21.0,22.0,17.0,21.0,16.0,37.0,22.0,26.0,28.0,29.0,18.0,23.227272727272727,22.0,18.0,27.75,17.0,35.64999999999999
1960.0,26.0,15.0,27.0,22.0,22.0,20.0,15.0,28.0,32.0,16.0,16.0,29.0,8.0,26.0,27.0,23.0,29.0,19.0,35.0,11.0,14.0,25.0,22.045454545454547,22.5,16.0,27.0,11.15,31.849999999999998
1961.0,28.0,21.0,18.0,25.0,22.0,22.0,23.0,11.0,18.0,15.0,30.0,19.0,26.0,26.0,20.0,22.0,42.0,15.0,23.0,23.0,21.0,27.0,22.59090909090909,22.0,19.25,25.75,15.0,29.9
1962.0,21.0,31.0,29.0,24.0,25.0,21.0,19.0,24.0,25.0,17.0,30.0,33.0,40.0,39.0,28.0,21.0,18.0,21.0,38.0,20.0,26.0,25.0,26.136363636363637,25.0,21.0,29.75,18.05,38.95
1963.0,26.0,28.0,14.0,18.0,19.0,20.0,20.0,11.0,24.0,27.0,37.0,30.0,26.0,38.0,23.0,28.0,26.0,21.0,9.0,22.0,27.0,24.0,23.545454545454547,24.0,20.0,27.0,11.15,36.64999999999999
1964.0,28.0,13.0,22.0,26.0,19.0,19.0,21.0,17.0,32.0,13.0,22.0,11.0,20.0,31.0,27.0,21.0,27.0,19.0,33.0,19.0,22.0,23.0,22.045454545454547,21.5,19.0,26.75,13.0,31.95
1965.0,26.0,32.0,13.0,12.0,18.0,22.0,16.0,22.0,21.0,17.0,28.0,24.0,23.0,38.0,32.0,20.0,22.0,25.0,20.0,20.0,29.0,27.0,23.045454545454547,22.0,20.0,26.75,13.15,32.0
1966.0,40.0,30.0,32.0,19.0,14.0,19.0,20.0,18.0,32.0,20.0,21.0,25.0,17.0,30.0,22.0,17.0,32.0,17.0,36.0,21.0,40.0,21.0,24.681818181818183,21.0,19.0,31.5,17.0,39.8
1967.0,25.0,10.0,28.0,11.0,22.0,30.0,19.0,18.0,24.0,22.0,31.0,27.0,33.0,32.0,21.0,26.0,18.0,12.0,20.0,18.0,14.0,17.0,21.727272727272727,21.5,18.0,26.75,11.05,31.95
1968.0,27.0,23.0,16.0,8.0,22.0,34.0,29.0,17.0,25.0,24.0,31.0,29.0,27.0,32.0,33.0,22.0,29.0,10.0,35.0,10.0,21.0,16.0,23.636363636363637,24.5,18.0,29.0,10.0,33.95
1969.0,28.0,32.0,22.0,17.0,17.0,23.0,25.0,8.0,31.0,17.0,31.0,23.0,31.0,23.0,29.0,23.0,34.0,18.0,27.0,20.0,25.0,22.0,23.90909090909091,23.0,20.5,28.75,17.0,31.95
1970.0,32.0,27.0,29.0,32.0,9.0,25.0,32.0,13.0,39.0,15.0,18.0,22.0,26.0,26.0,29.0,22.0,44.0,24.0,11.0,21.0,34.0,20.0,25.0,25.5,20.25,31.25,11.1,38.75
1971.0,27.0,12.0,23.0,26.0,10.0,30.0,20.0,15.0,25.0,20.0,21.0,13.0,32.0,33.0,27.0,17.0,12.0,27.0,26.0,22.0,32.0,12.0,21.90909090909091,22.5,15.5,27.0,12.0,32.0
1972.0,26.0,20.0,18.0,18.0,21.0,21.0,19.0,15.0,37.0,15.0,34.0,33.0,30.0,35.0,27.0,28.0,17.0,17.0,37.0,37.0,32.0,25.0,25.545454545454547,25.5,18.25,32.75,15.1,37.0
1973.0,33.0,31.0,22.0,16.0,30.0,28.0,19.0,14.0,24.0,19.0,30.0,25.0,23.0,22.0,21.0,23.0,30.0,19.0,28.0,29.0,33.0,19.0,24.454545454545453,23.5,19.5,29.75,16.15,32.9
1974.0,26.0,16.0,31.0,26.0,14.0,22.0,22.0,10.0,27.0,14.0,28.0,20.0,20.0,26.0,21.0,20.0,27.0,19.0,25.0,27.0,21.0,27.0,22.227272727272727,22.0,20.0,26.75,14.0,27.95
1975.0,21.0,20.0,17.0,14.0,21.0,15.0,18.0,23.0,28.0,16.0,17.0,27.0,31.0,31.0,27.0,18.0,34.0,22.0,25.0,22.0,25.0,23.0,22.5,22.0,18.0,26.5,15.05,31.0
1976.0,34.0,18.0,26.0,22.0,18.0,21.0,17.0,10.0,29.0,15.0,30.0,24.0,34.0,35.0,21.0,19.0,35.0,21.0,19.0,19.0,29.0,21.0,23.5,21.0,19.0,29.0,15.1,34.95
1977.0,18.0,27.0,22.0,20.0,20.0,15.0,27.0,24.0,37.0,24.0,22.0,19.0,37.0,19.0,25.0,22.0,25.0,19.0,30.0,14.0,27.0,24.0,23.5,23.0,19.25,26.5,15.15,36.64999999999999
1978.0,28.0,19.0,24.0,19.0,21.0,19.0,22.0,14.0,37.0,22.0,13.0,19.0,36.0,26.0,22.0,25.0,27.0,20.0,26.0,18.0,26.0,21.0,22.90909090909091,22.0,19.0,26.0,14.2,35.599999999999994
1979.0,19.0,15.0,20.0,26.0,16.0,20.0,21.0,23.0,40.0,14.0,26.0,23.0,27.0,27.0,25.0,15.0,28.0,20.0,15.0,25.0,22.0,25.0,22.363636363636363,22.5,19.25,25.75,15.0,27.95
1980.0,23.0,26.0,17.0,24.0,16.0,26.0,26.0,18.0,26.0,9.0,31.0,34.0,36.0,40.0,33.0,16.0,29.0,20.0,26.0,25.0,33.0,13.0,24.863636363636363,26.0,18.5,30.5,13.15,35.9
1981.0,21.0,23.0,32.0,10.0,18.0,31.0,19.0,22.0,31.0,14.0,35.0,22.0,26.0,35.0,24.0,13.0,18.0,22.0,25.0,16.0,30.0,17.0,22.90909090909091,22.0,18.0,29.0,13.05,34.849999999999994
1982.0,27.0,17.0,14.0,17.0,17.0,19.0,17.0,29.0,40.0,17.0,15.0,24.0,45.0,16.0,28.0,24.0,13.0,14.0,23.0,21.0,30.0,25.0,22.363636363636363,20.0,17.0,26.5,14.0,39.49999999999999
1983.0,31.0,20.0,27.0,19.0,22.0,19.0,18.0,26.0,32.0,8.0,22.0,24.0,37.0,38.0,23.0,30.0,12.0,24.0,22.0,23.0,32.0,25.0,24.272727272727273,23.5,20.5,29.25,12.3,36.75
1984.0,33.0,24.0,27.0,14.0,19.0,18.0,18.0,11.0,28.0,18.0,21.0,19.0,10.0,18.0,39.0,30.0,21.0,12.0,26.0,24.0,21.0,18.0,21.318181818181817,20.0,18.0,25.5,11.05,32.849999999999994
1985.0,37.0,11.0,17.0,15.0,23.0,21.0,20.0,16.0,33.0,20.0,28.0,38.0,16.0,15.0,30.0,25.0,37.0,20.0,22.0,25.0,18.0,12.0,22.681818181818183,20.5,16.25,27.25,12.15,37.0
