Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,9.0,25.0,15.0,NaN,16.0,13.0,31.0,25.0,8.0,23.0,18.0,20.0,28.0,26.0,11.0,26.0,9.0,15.0,18.0,16.0,24.0,17.0,18.714285714285715,18.0,15.0,25.0,9.0,28.0
1951.0,13.0,22.0,21.0,NaN,20.0,11.0,19.0,25.0,11.0,10.0,16.0,18.0,15.0,14.0,18.0,12.0,22.0,27.0,14.0,27.0,20.0,19.0,17.80952380952381,18.0,14.0,21.0,11.0,27.0
1952.0,2.0,11.0,18.0,NaN,21.0,45.0,24.0,20.0,13.0,21.0,36.0,32.0,30.0,15.0,10.0,37.0,16.0,25.0,21.0,25.0,23.0,28.0,22.523809523809526,21.0,16.0,28.0,10.0,37.0
1953.0,12.0,16.0,9.0,NaN,19.0,18.0,27.0,19.0,20.0,12.0,26.0,12.0,28.0,14.0,15.0,22.0,21.0,20.0,25.0,18.0,17.0,21.0,18.61904761904762,19.0,15.0,21.0,12.0,27.0
1954.0,13.0,20.0,11.0,NaN,24.0,11.0,32.0,25.0,19.0,10.0,22.0,20.0,21.0,13.0,2.0,15.0,18.0,25.0,17.0,14.0,13.0,14.0,17.095238095238095,17.0,13.0,21.0,10.0,25.0
1955.0,9.0,24.0,5.0,NaN,22.0,21.0,24.0,25.0,20.0,16.0,13.0,16.0,38.0,19.0,5.0,7.0,12.0,26.0,26.0,16.0,19.0,18.0,18.142857142857142,19.0,13.0,24.0,5.0,26.0
1956.0,6.0,18.0,10.0,NaN,29.0,17.0,16.0,10.0,17.0,10.0,10.0,33.0,21.0,27.0,10.0,2.0,8.0,26.0,12.0,28.0,20.0,33.0,17.285714285714285,17.0,10.0,26.0,6.0,33.0
1957.0,13.0,14.0,23.0,NaN,14.0,30.0,18.0,39.0,15.0,14.0,17.0,19.0,10.0,16.0,26.0,4.0,22.0,18.0,16.0,14.0,25.0,27.0,18.761904761904763,17.0,14.0,23.0,10.0,30.0
1958.0,16.0,13.0,24.0,NaN,22.0,17.0,18.0,13.0,22.0,24.0,8.0,14.0,16.0,22.0,13.0,13.0,5.0,14.0,8.0,17.0,17.0,27.0,16.333333333333332,16.0,13.0,22.0,8.0,24.0
1959.0,12.0,18.0,13.0,NaN,12.0,21.0,18.0,18.0,12.0,20.0,7.0,24.0,16.0,23.0,10.0,8.0,11.0,10.0,25.0,26.0,13.0,14.0,15.761904761904763,14.0,12.0,20.0,8.0,25.0
1960.0,14.0,16.0,20.0,NaN,18.0,19.0,19.0,20.0,18.0,26.0,24.0,16.0,19.0,12.0,16.0,16.0,10.0,29.0,10.0,21.0,25.0,23.0,18.61904761904762,19.0,16.0,21.0,10.0,26.0
1961.0,3.0,24.0,21.0,NaN,14.0,8.0,22.0,10.0,24.0,26.0,14.0,17.0,6.0,17.0,11.0,16.0,18.0,14.0,20.0,16.0,42.0,7.0,16.666666666666668,16.0,11.0,21.0,6.0,26.0
1962.0,11.0,16.0,13.0,NaN,9.0,20.0,28.0,13.0,23.0,21.0,10.0,16.0,23.0,25.0,8.0,12.0,9.0,21.0,13.0,23.0,14.0,28.0,16.952380952380953,16.0,12.0,23.0,9.0,28.0
1963.0,10.0,17.0,14.0,NaN,15.0,14.0,15.0,29.0,15.0,16.0,15.0,19.0,36.0,8.0,12.0,20.0,3.0,13.0,21.0,19.0,18.0,39.0,17.523809523809526,15.0,14.0,19.0,8.0,36.0
1964.0,7.0,21.0,24.0,NaN,28.0,10.0,17.0,26.0,19.0,24.0,28.0,23.0,21.0,20.0,28.0,20.0,10.0,19.0,20.0,12.0,20.0,19.0,19.80952380952381,20.0,19.0,24.0,10.0,28.0
1965.0,7.0,22.0,20.0,NaN,15.0,13.0,15.0,31.0,13.0,20.0,17.0,24.0,23.0,13.0,10.0,22.0,17.0,16.0,12.0,14.0,26.0,13.0,17.285714285714285,16.0,13.0,22.0,10.0,26.0
1966.0,12.0,20.0,6.0,NaN,14.0,15.0,19.0,26.0,13.0,20.0,19.0,18.0,31.0,21.0,23.0,22.0,20.0,12.0,16.0,22.0,10.0,19.0,18.0,19.0,14.0,21.0,10.0,26.0
1967.0,12.0,17.0,18.0,NaN,17.0,18.0,26.0,16.0,22.0,11.0,34.0,28.0,16.0,17.0,11.0,14.0,8.0,24.0,21.0,15.0,21.0,22.0,18.476190476190474,17.0,15.0,22.0,11.0,28.0
1968.0,11.0,19.0,11.0,NaN,25.0,23.0,32.0,27.0,14.0,20.0,25.0,20.0,19.0,23.0,22.0,27.0,19.0,15.0,9.0,21.0,12.0,32.0,20.285714285714285,20.0,15.0,25.0,11.0,32.0
1969.0,16.0,21.0,21.0,NaN,4.0,17.0,28.0,28.0,17.0,29.0,24.0,20.0,24.0,23.0,13.0,22.0,11.0,19.0,27.0,29.0,35.0,11.0,20.904761904761905,21.0,17.0,27.0,11.0,29.0
1970.0,5.0,12.0,6.0,NaN,18.0,13.0,24.0,16.0,16.0,14.0,5.0,29.0,22.0,14.0,6.0,25.0,20.0,25.0,12.0,26.0,9.0,22.0,16.142857142857142,16.0,12.0,22.0,5.0,26.0
1971.0,8.0,15.0,13.0,NaN,15.0,8.0,12.0,16.0,15.0,13.0,12.0,33.0,10.0,17.0,10.0,16.0,10.0,16.0,20.0,16.0,23.0,22.0,15.238095238095237,15.0,12.0,16.0,8.0,23.0
1972.0,2.0,26.0,12.0,NaN,21.0,23.0,20.0,17.0,16.0,22.0,17.0,20.0,21.0,19.0,12.0,16.0,11.0,14.0,18.0,27.0,12.0,12.0,17.047619047619047,17.0,12.0,21.0,11.0,26.0
1973.0,10.0,20.0,21.0,NaN,16.0,16.0,23.0,40.0,22.0,14.0,25.0,23.0,24.0,12.0,9.0,7.0,17.0,21.0,14.0,15.0,10.0,25.0,18.285714285714285,17.0,14.0,23.0,9.0,25.0
1974.0,13.0,17.0,24.0,NaN,17.0,30.0,21.0,13.0,16.0,22.0,15.0,20.0,17.0,25.0,16.0,25.0,15.0,35.0,24.0,9.0,25.0,24.0,20.142857142857142,20.0,16.0,24.0,13.0,30.0
1975.0,19.0,17.0,9.0,NaN,15.0,19.0,27.0,16.0,9.0,20.0,11.0,38.0,18.0,23.0,21.0,10.0,13.0,10.0,15.0,21.0,13.0,30.0,17.80952380952381,17.0,13.0,21.0,9.0,30.0
1976.0,6.0,20.0,17.0,NaN,28.0,17.0,21.0,15.0,13.0,20.0,14.0,18.0,17.0,21.0,13.0,20.0,12.0,10.0,16.0,28.0,15.0,26.0,17.476190476190474,17.0,14.0,20.0,10.0,28.0
1977.0,16.0,18.0,19.0,NaN,15.0,21.0,16.0,28.0,16.0,24.0,20.0,17.0,20.0,37.0,13.0,11.0,18.0,19.0,25.0,17.0,19.0,26.0,19.761904761904763,19.0,16.0,21.0,13.0,28.0
1978.0,11.0,23.0,9.0,NaN,23.0,15.0,27.0,26.0,12.0,10.0,27.0,25.0,20.0,20.0,23.0,11.0,11.0,38.0,16.0,28.0,27.0,14.0,19.80952380952381,20.0,12.0,26.0,10.0,28.0
1979.0,10.0,24.0,3.0,NaN,43.0,15.0,9.0,15.0,8.0,10.0,11.0,20.0,22.0,19.0,19.0,16.0,10.0,10.0,22.0,25.0,19.0,25.0,16.904761904761905,16.0,10.0,22.0,8.0,25.0
1980.0,19.0,25.0,21.0,NaN,26.0,14.0,10.0,23.0,14.0,15.0,6.0,25.0,13.0,16.0,13.0,13.0,17.0,16.0,7.0,30.0,24.0,19.0,17.428571428571427,16.0,13.0,23.0,7.0,26.0
1981.0,15.0,13.0,6.0,NaN,30.0,16.0,15.0,10.0,19.0,22.0,24.0,23.0,18.0,17.0,19.0,20.0,6.0,17.0,5.0,28.0,19.0,20.0,17.238095238095237,18.0,15.0,20.0,6.0,28.0
1982.0,15.0,31.0,20.0,NaN,22.0,20.0,33.0,29.0,12.0,19.0,18.0,14.0,24.0,15.0,9.0,4.0,9.0,9.0,7.0,16.0,16.0,22.0,17.333333333333332,16.0,12.0,22.0,7.0,31.0
1983.0,11.0,25.0,12.0,NaN,27.0,12.0,24.0,20.0,19.0,23.0,16.0,36.0,19.0,10.0,3.0,8.0,14.0,13.0,13.0,6.0,18.0,26.0,16.904761904761905,16.0,12.0,23.0,6.0,27.0
1984.0,5.0,23.0,23.0,NaN,15.0,19.0,33.0,37.0,19.0,11.0,1.0,17.0,37.0,24.0,12.0,16.0,13.0,14.0,7.0,24.0,17.0,39.0,19.333333333333332,17.0,13.0,24.0,5.0,37.0
1985.0,11.0,15.0,23.0,NaN,37.0,7.0,16.0,31.0,13.0,14.0,13.0,9.0,15.0,20.0,8.0,14.0,16.0,6.0,14.0,7.0,11.0,32.0,15.80952380952381,14.0,11.0,16.0,7.0,32.0
1986.0,19.0,19.0,24.0,NaN,14.0,19.0,9.0,26.0,14.0,22.0,15.0,21.0,12.0,15.0,5.0,22.0,10.0,11.0,7.0,17.0,13.0,25.0,16.142857142857142,15.0,12.0,21.0,7.0,25.0
1987.0,10.0,16.0,11.0,NaN,20.0,7.0,17.0,26.0,4.0,19.0,17.0,16.0,24.0,20.0,4.0,8.0,8.0,29.0,18.0,22.0,25.0,21.0,16.285714285714285,17.0,10.0,21.0,4.0,26.0
