Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,4.0,7.0,5.0,6.0,6.0,8.0,8.0,3.0,5.0,7.0,5.0,4.0,3.0,6.0,2.0,6.0,7.0,8.0,4.0,7.0,6.0,7.0,5.636363636363637,6.0,4.25,7.0,3.0,8.0
1951.0,4.0,3.0,5.0,7.0,5.0,6.0,6.0,4.0,2.0,6.0,9.0,4.0,5.0,8.0,0.0,9.0,5.0,8.0,8.0,7.0,3.0,7.0,5.5,5.5,4.0,7.0,2.05,8.95
1952.0,7.0,1.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,5.0,7.0,4.0,10.0,6.0,1.0,6.0,4.0,8.0,6.0,5.0,5.0,10.0,6.5,6.5,5.0,8.75,1.1500000000000001,9.95
1953.0,4.0,7.0,2.0,2.0,7.0,3.0,4.0,4.0,2.0,12.0,6.0,5.0,3.0,7.0,2.0,1.0,12.0,8.0,10.0,3.0,2.0,6.0,5.090909090909091,4.0,2.25,7.0,2.0,11.899999999999999
1954.0,7.0,4.0,4.0,5.0,8.0,4.0,7.0,9.0,7.0,4.0,8.0,6.0,5.0,2.0,4.0,2.0,7.0,7.0,4.0,5.0,2.0,6.0,5.318181818181818,5.0,4.0,7.0,2.0,8.0
1955.0,3.0,4.0,10.0,15.0,4.0,4.0,8.0,1.0,2.0,5.0,3.0,9.0,3.0,5.0,2.0,9.0,8.0,6.0,5.0,10.0,7.0,1.0,5.636363636363637,5.0,3.0,8.0,1.05,10.0
1956.0,6.0,9.0,4.0,9.0,6.0,1.0,5.0,7.0,1.0,3.0,2.0,5.0,6.0,3.0,1.0,3.0,11.0,8.0,4.0,7.0,6.0,9.0,5.2727272727272725,5.5,3.0,7.0,1.0,9.0
1957.0,7.0,5.0,11.0,6.0,2.0,0.0,13.0,11.0,8.0,2.0,1.0,7.0,4.0,6.0,5.0,5.0,8.0,12.0,4.0,4.0,8.0,1.0,5.909090909090909,5.5,4.0,8.0,1.0,11.95
1958.0,5.0,4.0,5.0,7.0,6.0,3.0,10.0,9.0,5.0,7.0,8.0,7.0,4.0,5.0,3.0,5.0,1.0,6.0,1.0,2.0,9.0,9.0,5.5,5.0,4.0,7.0,1.05,9.0
1959.0,5.0,8.0,4.0,9.0,6.0,9.0,7.0,4.0,4.0,8.0,7.0,1.0,1.0,4.0,3.0,8.0,4.0,5.0,3.0,8.0,5.0,10.0,5.590909090909091,5.0,4.0,8.0,1.1,9.0
1960.0,8.0,4.0,6.0,5.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,6.0,11.0,6.0,5.0,5.0,8.0,5.181818181818182,5.0,4.0,6.0,3.0,8.0
1961.0,2.0,9.0,8.0,6.0,7.0,4.0,11.0,10.0,1.0,7.0,2.0,4.0,4.0,4.0,0.0,4.0,5.0,11.0,1.0,8.0,5.0,8.0,5.5,5.0,4.0,8.0,1.0,10.95
1962.0,2.0,6.0,9.0,6.0,8.0,3.0,6.0,5.0,2.0,10.0,2.0,3.0,6.0,1.0,2.0,5.0,5.0,6.0,5.0,11.0,7.0,11.0,5.5,5.5,3.0,6.75,2.0,10.95
1963.0,5.0,4.0,7.0,9.0,3.0,3.0,1.0,5.0,4.0,7.0,4.0,6.0,9.0,4.0,2.0,7.0,2.0,8.0,2.0,5.0,3.0,9.0,4.954545454545454,4.5,3.0,7.0,2.0,9.0
1964.0,5.0,3.0,11.0,9.0,5.0,8.0,4.0,7.0,4.0,6.0,8.0,3.0,3.0,5.0,2.0,6.0,3.0,5.0,8.0,6.0,6.0,4.0,5.5,5.0,4.0,6.75,3.0,8.95
1965.0,5.0,5.0,9.0,4.0,10.0,2.0,6.0,4.0,3.0,6.0,3.0,3.0,6.0,5.0,3.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,4.636363636363637,4.0,3.0,5.75,3.0,8.849999999999998
1966.0,6.0,9.0,6.0,8.0,1.0,7.0,3.0,3.0,6.0,8.0,7.0,7.0,6.0,5.0,2.0,4.0,5.0,6.0,8.0,6.0,6.0,6.0,5.681818181818182,6.0,5.0,7.0,2.05,8.0
1967.0,6.0,3.0,7.0,5.0,9.0,3.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,4.0,5.0,4.0,7.0,6.0,5.0,5.090909090909091,5.0,4.25,6.0,3.0,7.0
1968.0,3.0,6.0,6.0,2.0,5.0,8.0,5.0,4.0,4.0,8.0,5.0,5.0,6.0,3.0,4.0,8.0,1.0,3.0,5.0,1.0,2.0,7.0,4.590909090909091,5.0,3.0,6.0,1.05,8.0
1969.0,4.0,6.0,10.0,9.0,9.0,5.0,10.0,5.0,4.0,4.0,5.0,9.0,8.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,7.0,4.0,5.681818181818182,5.0,4.0,7.75,3.0,9.95
1970.0,3.0,5.0,3.0,7.0,7.0,8.0,2.0,7.0,3.0,3.0,5.0,6.0,6.0,6.0,0.0,4.0,7.0,5.0,5.0,7.0,5.0,5.0,4.954545454545454,5.0,3.25,6.75,2.05,7.0
1971.0,6.0,3.0,1.0,11.0,3.0,6.0,4.0,5.0,5.0,5.0,7.0,4.0,7.0,9.0,3.0,10.0,3.0,7.0,5.0,7.0,3.0,3.0,5.318181818181818,5.0,3.0,7.0,3.0,9.95
1972.0,10.0,2.0,1.0,6.0,6.0,6.0,5.0,5.0,0.0,8.0,6.0,4.0,1.0,5.0,1.0,3.0,5.0,5.0,8.0,5.0,5.0,10.0,4.863636363636363,5.0,3.25,6.0,1.0,9.899999999999999
1973.0,3.0,5.0,0.0,8.0,8.0,4.0,6.0,4.0,1.0,6.0,4.0,4.0,4.0,5.0,1.0,9.0,3.0,4.0,10.0,5.0,5.0,2.0,4.590909090909091,4.0,3.25,5.75,1.0,8.95
1974.0,6.0,4.0,6.0,8.0,6.0,8.0,5.0,2.0,5.0,5.0,4.0,3.0,7.0,8.0,1.0,4.0,13.0,10.0,5.0,5.0,3.0,10.0,5.818181818181818,5.0,4.0,7.75,2.05,10.0
1975.0,4.0,5.0,11.0,4.0,2.0,5.0,4.0,6.0,8.0,5.0,1.0,4.0,4.0,6.0,2.0,8.0,7.0,9.0,4.0,9.0,2.0,7.0,5.318181818181818,5.0,4.0,7.0,2.0,9.0
1976.0,5.0,3.0,9.0,4.0,5.0,2.0,2.0,6.0,6.0,1.0,3.0,6.0,3.0,4.0,0.0,6.0,2.0,4.0,8.0,10.0,7.0,6.0,4.636363636363637,4.5,3.0,6.0,1.05,8.95
1977.0,3.0,3.0,6.0,7.0,8.0,8.0,9.0,11.0,2.0,5.0,6.0,9.0,9.0,3.0,0.0,6.0,3.0,3.0,4.0,8.0,6.0,6.0,5.681818181818182,6.0,3.0,8.0,2.05,9.0
1978.0,11.0,5.0,6.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,1.0,6.0,7.0,2.0,5.0,5.0,9.0,3.0,3.0,7.0,3.0,5.318181818181818,5.0,4.25,6.0,2.05,8.899999999999999
1979.0,2.0,2.0,6.0,10.0,6.0,5.0,3.0,10.0,3.0,7.0,4.0,4.0,6.0,5.0,3.0,6.0,9.0,6.0,5.0,6.0,4.0,12.0,5.636363636363637,5.5,4.0,6.0,2.05,10.0
1980.0,7.0,5.0,8.0,7.0,3.0,3.0,3.0,6.0,5.0,7.0,0.0,5.0,3.0,10.0,2.0,6.0,11.0,10.0,5.0,5.0,7.0,2.0,5.454545454545454,5.0,3.0,7.0,2.0,10.0
1981.0,5.0,6.0,4.0,2.0,8.0,0.0,2.0,8.0,5.0,4.0,5.0,7.0,6.0,6.0,3.0,3.0,6.0,8.0,5.0,5.0,7.0,5.0,5.0,5.0,4.0,6.0,2.0,8.0
