Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,28.0,32.0,30.0,NaN,21.0,13.0,19.0,27.0,23.0,31.0,8.0,63.0,32.0,12.0,28.0,16.0,27.0,24.0,22.0,14.0,30.0,38.0,25.61904761904762,27.0,19.0,30.0,12.0,38.0
1951.0,19.0,3.0,56.0,NaN,25.0,20.0,33.0,15.0,9.0,46.0,52.0,25.0,38.0,8.0,24.0,18.0,12.0,14.0,29.0,32.0,23.0,25.0,25.047619047619047,24.0,15.0,32.0,8.0,52.0
1952.0,15.0,22.0,41.0,NaN,46.0,37.0,28.0,23.0,16.0,31.0,38.0,53.0,43.0,43.0,22.0,18.0,19.0,10.0,38.0,24.0,21.0,29.0,29.38095238095238,28.0,21.0,38.0,15.0,46.0
1953.0,30.0,23.0,31.0,NaN,26.0,40.0,28.0,31.0,12.0,11.0,17.0,31.0,31.0,20.0,27.0,20.0,25.0,39.0,18.0,26.0,21.0,44.0,26.238095238095237,26.0,20.0,31.0,12.0,40.0
1954.0,18.0,12.0,20.0,NaN,8.0,23.0,11.0,45.0,15.0,9.0,35.0,42.0,37.0,41.0,35.0,18.0,20.0,47.0,12.0,17.0,24.0,27.0,24.571428571428573,20.0,15.0,35.0,9.0,45.0
1955.0,37.0,36.0,38.0,NaN,12.0,33.0,38.0,34.0,25.0,39.0,28.0,13.0,48.0,22.0,19.0,20.0,38.0,26.0,4.0,30.0,18.0,25.0,27.761904761904763,28.0,20.0,37.0,12.0,39.0
1956.0,30.0,9.0,34.0,NaN,31.0,24.0,16.0,34.0,27.0,54.0,38.0,26.0,17.0,11.0,20.0,35.0,32.0,16.0,18.0,35.0,31.0,32.0,27.142857142857142,30.0,18.0,34.0,11.0,38.0
1957.0,36.0,17.0,26.0,NaN,48.0,34.0,18.0,45.0,13.0,42.0,20.0,19.0,32.0,11.0,40.0,22.0,38.0,28.0,18.0,32.0,34.0,20.0,28.238095238095237,28.0,19.0,36.0,13.0,45.0
1958.0,37.0,24.0,25.0,NaN,30.0,11.0,15.0,35.0,22.0,22.0,5.0,37.0,4.0,13.0,11.0,48.0,15.0,13.0,30.0,18.0,15.0,18.0,21.333333333333332,18.0,13.0,30.0,5.0,37.0
1959.0,18.0,10.0,14.0,NaN,26.0,10.0,25.0,33.0,18.0,20.0,44.0,41.0,24.0,22.0,21.0,21.0,11.0,39.0,24.0,37.0,44.0,12.0,24.476190476190474,22.0,18.0,33.0,10.0,44.0
1960.0,33.0,26.0,28.0,NaN,24.0,24.0,23.0,31.0,20.0,12.0,38.0,12.0,36.0,24.0,17.0,34.0,22.0,18.0,15.0,33.0,35.0,23.0,25.142857142857142,24.0,20.0,33.0,12.0,36.0
