Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,48.0,83.0,60.0,NaN,68.0,51.0,73.0,57.0,59.0,54.0,61.0,71.0,76.0,79.0,56.0,80.0,53.0,72.0,57.0,49.0,66.0,75.0,64.19047619047619,61.0,56.0,73.0,49.0,80.0
1951.0,60.0,93.0,78.0,NaN,90.0,44.0,52.0,71.0,51.0,39.0,63.0,70.0,72.0,38.0,40.0,66.0,82.0,100.0,66.0,57.0,69.0,54.0,64.52380952380952,66.0,52.0,72.0,39.0,93.0
1952.0,40.0,69.0,68.0,NaN,60.0,76.0,75.0,75.0,67.0,57.0,103.0,63.0,75.0,75.0,68.0,96.0,83.0,80.0,67.0,60.0,94.0,73.0,72.57142857142857,73.0,67.0,76.0,57.0,96.0
1953.0,61.0,65.0,52.0,NaN,75.0,75.0,81.0,67.0,80.0,53.0,95.0,75.0,95.0,58.0,54.0,78.0,91.0,77.0,90.0,57.0,81.0,71.0,72.9047619047619,75.0,61.0,81.0,53.0,95.0
1954.0,67.0,90.0,59.0,NaN,76.0,77.0,80.0,92.0,64.0,49.0,80.0,78.0,51.0,62.0,53.0,81.0,96.0,45.0,85.0,60.0,70.0,91.0,71.71428571428571,76.0,60.0,81.0,49.0,92.0
1955.0,72.0,67.0,69.0,NaN,85.0,87.0,73.0,61.0,80.0,75.0,57.0,76.0,84.0,43.0,51.0,75.0,77.0,73.0,83.0,63.0,64.0,86.0,71.47619047619048,73.0,64.0,80.0,51.0,86.0
1956.0,41.0,82.0,58.0,NaN,90.0,77.0,61.0,68.0,61.0,55.0,75.0,103.0,78.0,69.0,63.0,30.0,68.0,62.0,65.0,65.0,56.0,74.0,66.71428571428571,65.0,61.0,75.0,41.0,90.0
1957.0,66.0,69.0,51.0,NaN,61.0,71.0,75.0,89.0,68.0,62.0,92.0,72.0,63.0,88.0,73.0,43.0,58.0,61.0,60.0,40.0,93.0,86.0,68.61904761904762,68.0,61.0,75.0,43.0,92.0
1958.0,59.0,51.0,65.0,NaN,72.0,56.0,61.0,67.0,75.0,87.0,64.0,74.0,54.0,88.0,79.0,46.0,69.0,32.0,69.0,52.0,66.0,68.0,64.47619047619048,66.0,56.0,72.0,46.0,87.0
1959.0,53.0,88.0,68.0,NaN,47.0,41.0,64.0,61.0,98.0,66.0,52.0,72.0,77.0,83.0,62.0,57.0,85.0,68.0,51.0,71.0,61.0,73.0,66.57142857142857,66.0,57.0,73.0,47.0,88.0
