Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,-15.88690185546875,-12.341522216796875,-22.98260498046875,NaN,-12.761199951171875,-24.055496215820312,-26.031524658203125,-13.736236572265625,-11.65924072265625,-13.632843017578125,-14.7852783203125,-7.694122314453125,-22.94403076171875,-24.70855712890625,-31.451736450195312,-12.05950927734375,-13.1392822265625,-12.1436767578125,-15.88232421875,-22.512710571289062,-13.537750244140625,-9.94879150390625,-16.852159045991442,-13.736236572265625,-22.94403076171875,-12.341522216796875,-26.031524658203125,-9.94879150390625
1951.0,-11.249237060546875,-12.9244384765625,-15.11468505859375,NaN,-15.242279052734375,-14.550140380859375,-12.288604736328125,-19.055648803710938,-17.0284423828125,-17.85736083984375,-15.252655029296875,-16.57989501953125,-17.09417724609375,-15.972747802734375,-12.710601806640625,-11.7652587890625,-10.061492919921875,-16.810211181640625,-13.7271728515625,-17.095733642578125,-13.950531005859375,-9.819976806640625,-14.57863289969308,-15.11468505859375,-16.810211181640625,-12.710601806640625,-17.85736083984375,-10.061492919921875
1952.0,-7.95806884765625,-10.829620361328125,-21.444107055664062,NaN,-8.94500732421875,-16.4366455078125,-18.108154296875,-33.552703857421875,-17.740463256835938,-13.279754638671875,-13.505096435546875,-18.32818603515625,-18.866317749023438,-22.019485473632812,-21.187271118164062,-11.893218994140625,-9.82733154296875,-18.04571533203125,-13.083160400390625,-14.311798095703125,-14.040496826171875,-10.157196044921875,-15.883799961635045,-14.311798095703125,-18.32818603515625,-11.893218994140625,-22.019485473632812,-8.94500732421875
1953.0,-10.57415771484375,-12.066558837890625,-8.910430908203125,NaN,-9.994781494140625,-12.050689697265625,-23.585281372070312,-25.813980102539062,-22.051010131835938,-11.446746826171875,-18.608963012695312,-21.813934326171875,-14.915802001953125,-15.550506591796875,-12.455108642578125,-12.33502197265625,-11.305023193359375,-16.33837890625,-18.421951293945312,-15.60552978515625,-18.080902099609375,-11.99859619140625,-15.424921671549479,-14.915802001953125,-18.421951293945312,-11.99859619140625,-23.585281372070312,-9.994781494140625
1954.0,-9.502655029296875,-12.130340576171875,-14.04296875,NaN,-12.6424560546875,-23.330108642578125,-17.995758056640625,-20.279769897460938,-18.110748291015625,-17.61688232421875,-15.542022705078125,-14.073883056640625,-10.108154296875,-18.929611206054688,-19.737548828125,-12.78082275390625,-11.305938720703125,-19.170867919921875,-18.814422607421875,-11.237030029296875,-12.760711669921875,-12.323974609375,-15.354127429780506,-14.073883056640625,-18.814422607421875,-12.323974609375,-20.279769897460938,-10.108154296875
1955.0,-20.304534912109375,-15.494476318359375,-23.8170166015625,NaN,-12.49322509765625,-17.491180419921875,-16.41900634765625,-19.22125244140625,-13.119781494140625,-13.786468505859375,-14.365875244140625,-10.51263427734375,-27.32635498046875,-22.75299072265625,-13.173828125,-14.281890869140625,-9.8514404296875,-21.490707397460938,-15.61309814453125,-10.09918212890625,-12.690948486328125,-13.108673095703125,-16.067360287620907,-14.365875244140625,-19.22125244140625,-13.108673095703125,-23.8170166015625,-10.09918212890625
1956.0,-11.1990966796875,-14.693634033203125,-15.853851318359375,NaN,-13.977813720703125,-14.38916015625,-20.910003662109375,-13.37982177734375,-15.35614013671875,-12.6158447265625,-16.768646240234375,-12.090423583984375,-13.558258056640625,-22.732070922851562,-14.301910400390625,-13.543670654296875,-9.65960693359375,-19.771835327148438,-16.8961181640625,-20.286102294921875,-14.8193359375,-15.190673828125,-15.333048502604166,-14.693634033203125,-16.768646240234375,-13.543670654296875,-20.910003662109375,-11.1990966796875
1957.0,-14.766815185546875,-11.827392578125,-23.662933349609375,NaN,-14.747100830078125,-29.027252197265625,-8.292633056640625,-19.032562255859375,-19.600112915039062,-15.6866455078125,-12.9453125,-14.734405517578125,-8.008514404296875,-12.930816650390625,-11.778778076171875,-11.71240234375,-9.9019775390625,-16.561309814453125,-16.624969482421875,-11.247955322265625,-11.147430419921875,-18.839630126953125,-14.908426193963914,-14.734405517578125,-16.624969482421875,-11.71240234375,-23.662933349609375,-8.292633056640625
1958.0,-13.623321533203125,-11.231414794921875,-22.606353759765625,NaN,-13.24749755859375,-14.9625244140625,-15.462646484375,-30.353607177734375,-14.835601806640625,-18.894851684570312,-16.635284423828125,-20.6434326171875,-13.654632568359375,-12.964935302734375,-10.1121826171875,-11.933685302734375,-11.52325439453125,-14.6005859375,-14.99359130859375,-12.438201904296875,-14.125732421875,-11.545623779296875,-15.256617228190104,-14.125732421875,-15.462646484375,-12.438201904296875,-22.606353759765625,-11.231414794921875
1959.0,-19.595672607421875,-11.902587890625,-19.873336791992188,NaN,-12.812713623046875,-19.408401489257812,-20.736618041992188,-15.81146240234375,-14.614593505859375,-11.3492431640625,-10.972076416015625,-9.26373291015625,-11.2200927734375,-23.3365478515625,-10.45306396484375,-12.821533203125,-10.995880126953125,-14.213958740234375,-15.513214111328125,-18.261001586914062,-11.04864501953125,-10.0692138671875,-14.489218575613839,-12.821533203125,-18.261001586914062,-11.04864501953125,-20.736618041992188,-10.0692138671875
1960.0,-10.65008544921875,-10.997222900390625,-23.50732421875,NaN,-15.167388916015625,-19.009689331054688,-19.554672241210938,-21.654541015625,-18.255584716796875,-11.469635009765625,-19.408782958984375,-16.150909423828125,-14.348876953125,-16.955841064453125,-12.663299560546875,-16.133148193359375,-9.24200439453125,-16.983642578125,-17.029632568359375,-35.35295104980469,-12.259765625,-8.01513671875,-16.419530232747395,-16.150909423828125,-19.009689331054688,-12.259765625,-23.50732421875,-9.24200439453125
1961.0,-14.309478759765625,-11.076629638671875,-25.813674926757812,NaN,-16.641876220703125,-13.506805419921875,-19.23504638671875,-25.463088989257812,-18.594039916992188,-13.053497314453125,-22.705780029296875,-6.551513671875,-12.17120361328125,-20.735244750976562,-17.330291748046875,-11.35113525390625,-14.832733154296875,-10.92144775390625,-17.895782470703125,-23.593795776367188,-12.5621337890625,-11.81011962890625,-16.197872343517485,-14.832733154296875,-19.23504638671875,-12.17120361328125,-25.463088989257812,-10.92144775390625
1962.0,-10.46551513671875,-13.729461669921875,-20.965255737304688,NaN,-8.665283203125,-14.255859375,-15.626617431640625,-11.56005859375,-19.240524291992188,-13.94854736328125,-16.599090576171875,-8.55157470703125,-7.928314208984375,-16.706939697265625,-10.33050537109375,-14.4154052734375,-14.021514892578125,-18.158615112304688,-13.776397705078125,-28.098052978515625,-13.299560546875,-10.205352783203125,-14.311830793108259,-13.94854736328125,-16.599090576171875,-10.46551513671875,-20.965255737304688,-8.55157470703125
1963.0,-14.427947998046875,-13.78717041015625,-9.424652099609375,NaN,-15.098480224609375,-20.988082885742188,-12.914276123046875,-38.73783874511719,-17.293701171875,-13.847869873046875,-15.446380615234375,-11.36724853515625,-11.971343994140625,-13.085174560546875,-22.445526123046875,-13.02093505859375,-20.990982055664062,-15.9351806640625,-14.96649169921875,-18.453903198242188,-11.233306884765625,-8.609893798828125,-15.906970796130953,-14.427947998046875,-17.293701171875,-12.914276123046875,-22.445526123046875,-9.424652099609375
