Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,19.0,15.0,10.0,5.0,7.0,12.0,9.0,5.0,13.0,8.0,23.0,18.0,30.0,22.0,11.0,8.0,23.0,10.0,20.0,13.0,11.0,14.0,13.909090909090908,12.5,9.25,18.75,5.1,23.0
1951.0,14.0,12.0,7.0,4.0,12.0,11.0,4.0,4.0,13.0,18.0,15.0,11.0,22.0,16.0,14.0,9.0,32.0,2.0,5.0,7.0,14.0,12.0,11.727272727272727,12.0,7.0,14.0,4.0,21.799999999999997
1952.0,15.0,16.0,3.0,19.0,6.0,3.0,9.0,13.0,20.0,25.0,23.0,21.0,13.0,17.0,9.0,6.0,30.0,6.0,10.0,7.0,8.0,13.0,13.272727272727273,13.0,7.25,18.5,3.1500000000000004,24.9
1953.0,13.0,5.0,9.0,9.0,10.0,13.0,7.0,6.0,12.0,11.0,12.0,25.0,11.0,11.0,4.0,5.0,10.0,11.0,6.0,6.0,8.0,11.0,9.772727272727273,10.0,6.25,11.0,5.0,13.0
1954.0,11.0,6.0,19.0,14.0,7.0,8.0,13.0,7.0,12.0,19.0,11.0,10.0,15.0,11.0,12.0,10.0,13.0,9.0,5.0,10.0,9.0,3.0,10.636363636363637,10.5,8.25,12.75,5.05,18.799999999999997
1955.0,17.0,6.0,9.0,10.0,9.0,10.0,5.0,7.0,15.0,9.0,11.0,9.0,12.0,17.0,9.0,15.0,21.0,6.0,8.0,12.0,11.0,11.0,10.863636363636363,10.0,9.0,12.0,6.0,17.0
1956.0,8.0,15.0,8.0,11.0,10.0,12.0,13.0,6.0,13.0,12.0,10.0,5.0,15.0,10.0,4.0,13.0,25.0,6.0,5.0,1.0,2.0,14.0,9.909090909090908,10.0,6.0,13.0,2.1,15.0
1957.0,9.0,13.0,4.0,16.0,18.0,11.0,19.0,13.0,16.0,9.0,14.0,5.0,10.0,14.0,0.0,10.0,16.0,16.0,9.0,8.0,10.0,11.0,11.409090909090908,11.0,9.0,15.5,4.05,17.9
1958.0,26.0,5.0,8.0,13.0,7.0,16.0,6.0,4.0,10.0,14.0,18.0,17.0,16.0,13.0,7.0,9.0,9.0,7.0,17.0,9.0,12.0,5.0,11.272727272727273,9.5,7.0,15.5,5.0,17.95
1959.0,19.0,16.0,9.0,10.0,5.0,7.0,8.0,2.0,17.0,20.0,9.0,39.0,7.0,16.0,4.0,4.0,15.0,1.0,10.0,6.0,1.0,10.0,10.681818181818182,9.0,5.25,15.75,1.05,19.95
1960.0,5.0,11.0,3.0,3.0,5.0,11.0,7.0,7.0,21.0,18.0,19.0,24.0,9.0,9.0,8.0,10.0,17.0,10.0,7.0,5.0,6.0,6.0,10.045454545454545,8.5,6.0,11.0,3.1,20.9
1961.0,21.0,13.0,12.0,7.0,8.0,15.0,11.0,14.0,23.0,17.0,10.0,23.0,25.0,12.0,20.0,15.0,6.0,7.0,8.0,4.0,19.0,5.0,13.409090909090908,12.5,8.0,18.5,5.05,23.0
1962.0,5.0,20.0,7.0,4.0,17.0,10.0,5.0,1.0,18.0,11.0,10.0,16.0,21.0,19.0,4.0,18.0,17.0,14.0,19.0,2.0,18.0,10.0,12.090909090909092,12.5,5.5,18.0,2.1,19.95
1963.0,8.0,15.0,11.0,8.0,0.0,7.0,12.0,9.0,13.0,5.0,19.0,11.0,7.0,18.0,12.0,4.0,21.0,12.0,18.0,7.0,13.0,8.0,10.818181818181818,11.0,7.25,13.0,4.05,18.95
1964.0,10.0,18.0,5.0,1.0,7.0,5.0,11.0,8.0,15.0,8.0,9.0,20.0,14.0,16.0,8.0,5.0,17.0,8.0,20.0,15.0,18.0,6.0,11.090909090909092,9.5,7.25,15.75,5.0,19.9
1965.0,9.0,15.0,4.0,4.0,7.0,14.0,7.0,3.0,24.0,15.0,15.0,10.0,21.0,9.0,6.0,4.0,8.0,3.0,16.0,2.0,28.0,13.0,10.772727272727273,9.0,4.5,15.0,3.0,23.849999999999998
1966.0,17.0,13.0,5.0,7.0,7.0,14.0,5.0,17.0,14.0,14.0,16.0,16.0,16.0,27.0,0.0,10.0,12.0,2.0,14.0,8.0,10.0,8.0,11.454545454545455,12.5,7.25,15.5,2.1500000000000004,17.0
1967.0,4.0,15.0,11.0,3.0,26.0,17.0,9.0,3.0,17.0,10.0,12.0,23.0,12.0,13.0,12.0,13.0,20.0,5.0,11.0,6.0,7.0,8.0,11.681818181818182,11.5,7.25,14.5,3.05,22.849999999999998
1968.0,8.0,10.0,4.0,19.0,10.0,17.0,6.0,10.0,16.0,10.0,20.0,20.0,23.0,20.0,12.0,4.0,18.0,5.0,10.0,7.0,7.0,5.0,11.863636363636363,10.0,7.0,17.75,4.05,20.0
1969.0,2.0,19.0,9.0,12.0,2.0,7.0,6.0,11.0,17.0,11.0,11.0,11.0,14.0,10.0,4.0,8.0,33.0,2.0,9.0,12.0,5.0,7.0,10.090909090909092,9.5,6.25,11.75,2.0,18.9
1970.0,5.0,15.0,5.0,11.0,11.0,10.0,13.0,11.0,18.0,5.0,12.0,9.0,13.0,16.0,5.0,12.0,5.0,8.0,14.0,14.0,12.0,10.0,10.636363636363637,11.0,8.25,13.0,5.0,15.95
1971.0,10.0,11.0,8.0,8.0,4.0,19.0,6.0,9.0,14.0,8.0,24.0,18.0,14.0,7.0,15.0,16.0,20.0,14.0,7.0,7.0,8.0,12.0,11.772727272727273,10.5,8.0,14.75,6.05,19.95
1972.0,15.0,6.0,5.0,8.0,11.0,7.0,11.0,10.0,20.0,5.0,8.0,15.0,24.0,17.0,3.0,6.0,7.0,5.0,17.0,9.0,11.0,7.0,10.318181818181818,8.5,6.25,14.0,5.0,19.849999999999998
1973.0,10.0,15.0,14.0,13.0,18.0,19.0,10.0,6.0,18.0,17.0,14.0,3.0,12.0,7.0,5.0,15.0,15.0,8.0,15.0,15.0,11.0,10.0,12.272727272727273,13.5,10.0,15.0,5.05,18.0
1974.0,6.0,7.0,12.0,4.0,8.0,17.0,8.0,3.0,11.0,10.0,15.0,30.0,6.0,5.0,4.0,9.0,19.0,4.0,3.0,13.0,17.0,15.0,10.272727272727273,8.5,5.25,14.5,3.05,18.9
1975.0,20.0,20.0,7.0,11.0,9.0,2.0,9.0,13.0,15.0,10.0,8.0,18.0,14.0,16.0,3.0,7.0,23.0,6.0,16.0,7.0,12.0,12.0,11.727272727272727,11.5,7.25,15.75,3.1500000000000004,20.0
1976.0,11.0,21.0,15.0,17.0,10.0,16.0,11.0,8.0,9.0,10.0,15.0,7.0,19.0,4.0,13.0,13.0,18.0,15.0,12.0,5.0,9.0,12.0,12.272727272727273,12.0,9.25,15.0,5.1,18.95
1977.0,2.0,20.0,5.0,12.0,6.0,3.0,14.0,5.0,5.0,12.0,23.0,24.0,20.0,13.0,10.0,5.0,13.0,15.0,20.0,13.0,21.0,10.0,12.318181818181818,12.5,5.25,18.75,3.1,22.9
1978.0,7.0,7.0,6.0,6.0,3.0,14.0,9.0,10.0,12.0,9.0,15.0,9.0,20.0,18.0,1.0,4.0,20.0,13.0,19.0,9.0,11.0,11.0,10.590909090909092,9.5,7.0,13.75,3.05,19.95
1979.0,18.0,10.0,4.0,12.0,14.0,11.0,4.0,4.0,21.0,17.0,11.0,14.0,20.0,18.0,17.0,9.0,23.0,3.0,15.0,6.0,21.0,11.0,12.863636363636363,13.0,9.25,17.75,4.0,21.0
1980.0,5.0,9.0,18.0,8.0,16.0,11.0,14.0,6.0,14.0,5.0,11.0,8.0,13.0,18.0,2.0,9.0,22.0,11.0,9.0,8.0,13.0,7.0,10.772727272727273,10.0,8.0,13.75,5.0,18.0
1981.0,5.0,7.0,9.0,4.0,13.0,9.0,7.0,8.0,13.0,10.0,23.0,21.0,13.0,9.0,12.0,7.0,4.0,4.0,13.0,6.0,16.0,7.0,10.0,9.0,7.0,13.0,4.0,20.749999999999996
1982.0,22.0,8.0,9.0,5.0,13.0,3.0,15.0,1.0,16.0,9.0,12.0,22.0,31.0,22.0,6.0,11.0,6.0,10.0,19.0,6.0,11.0,11.0,12.181818181818182,11.0,6.5,15.75,3.1,22.0
1983.0,14.0,4.0,5.0,8.0,14.0,11.0,9.0,9.0,13.0,11.0,11.0,3.0,19.0,16.0,2.0,14.0,23.0,14.0,9.0,2.0,5.0,3.0,9.954545454545455,10.0,5.0,14.0,2.05,18.849999999999998
1984.0,12.0,6.0,9.0,11.0,21.0,23.0,7.0,5.0,12.0,9.0,10.0,24.0,8.0,15.0,10.0,15.0,30.0,12.0,13.0,8.0,15.0,12.0,13.045454545454545,12.0,9.0,15.0,6.05,23.95
1985.0,22.0,20.0,3.0,9.0,10.0,13.0,12.0,19.0,13.0,7.0,10.0,9.0,24.0,23.0,7.0,11.0,11.0,4.0,9.0,11.0,21.0,13.0,12.772727272727273,11.0,9.0,17.5,4.15,22.95
1986.0,0.0,10.0,3.0,4.0,8.0,9.0,10.0,8.0,24.0,14.0,15.0,13.0,9.0,13.0,9.0,6.0,20.0,8.0,9.0,8.0,16.0,6.0,10.090909090909092,9.0,8.0,13.0,3.05,19.799999999999997
1987.0,8.0,13.0,10.0,5.0,7.0,9.0,6.0,5.0,14.0,11.0,9.0,18.0,17.0,9.0,6.0,16.0,8.0,9.0,5.0,6.0,16.0,7.0,9.727272727272727,9.0,6.25,12.5,5.0,16.95
1988.0,16.0,10.0,11.0,11.0,9.0,10.0,14.0,11.0,13.0,13.0,11.0,10.0,20.0,13.0,6.0,8.0,17.0,14.0,12.0,3.0,30.0,12.0,12.454545454545455,11.5,10.0,13.75,6.1,19.849999999999998
1989.0,19.0,14.0,14.0,8.0,6.0,10.0,2.0,8.0,13.0,19.0,18.0,13.0,3.0,27.0,7.0,12.0,13.0,16.0,2.0,6.0,8.0,11.0,11.318181818181818,11.5,7.25,14.0,2.05,19.0
1990.0,14.0,10.0,10.0,4.0,3.0,4.0,4.0,6.0,15.0,19.0,15.0,11.0,18.0,9.0,7.0,10.0,13.0,21.0,3.0,17.0,15.0,13.0,10.954545454545455,10.5,6.25,15.0,3.05,18.95
1991.0,13.0,12.0,4.0,11.0,8.0,8.0,8.0,8.0,26.0,11.0,11.0,15.0,25.0,14.0,9.0,8.0,12.0,7.0,10.0,14.0,7.0,7.0,11.272727272727273,10.5,8.0,12.75,7.0,24.499999999999993
1992.0,16.0,9.0,14.0,8.0,8.0,11.0,18.0,4.0,17.0,10.0,9.0,16.0,10.0,25.0,5.0,12.0,21.0,14.0,10.0,7.0,13.0,8.0,12.045454545454545,10.5,8.25,15.5,5.1,20.849999999999998
1993.0,18.0,12.0,2.0,6.0,19.0,9.0,7.0,17.0,17.0,12.0,25.0,7.0,16.0,24.0,10.0,27.0,11.0,13.0,7.0,8.0,11.0,12.0,13.181818181818182,12.0,8.25,17.0,6.05,24.95
1994.0,6.0,7.0,6.0,15.0,9.0,11.0,5.0,11.0,21.0,9.0,10.0,16.0,10.0,13.0,6.0,9.0,13.0,8.0,2.0,5.0,15.0,11.0,9.909090909090908,9.5,6.25,12.5,5.0,15.95
1995.0,13.0,17.0,15.0,8.0,10.0,5.0,2.0,7.0,19.0,5.0,15.0,8.0,8.0,29.0,2.0,9.0,16.0,12.0,11.0,2.0,7.0,26.0,11.181818181818182,9.5,7.0,15.0,2.0,25.649999999999995
1996.0,18.0,18.0,5.0,5.0,12.0,12.0,12.0,5.0,9.0,5.0,15.0,7.0,7.0,19.0,10.0,7.0,18.0,4.0,15.0,11.0,13.0,10.0,10.772727272727273,10.5,7.0,14.5,5.0,18.0
1997.0,25.0,22.0,11.0,20.0,14.0,5.0,10.0,9.0,19.0,10.0,20.0,14.0,20.0,11.0,1.0,6.0,5.0,11.0,13.0,12.0,15.0,4.0,12.590909090909092,11.5,9.25,18.0,4.05,21.9
1998.0,13.0,15.0,8.0,8.0,11.0,4.0,14.0,9.0,9.0,5.0,7.0,26.0,14.0,10.0,9.0,14.0,23.0,13.0,12.0,13.0,7.0,5.0,11.318181818181818,10.5,8.0,13.75,5.0,22.599999999999994
1999.0,10.0,14.0,5.0,8.0,4.0,17.0,11.0,5.0,13.0,6.0,18.0,4.0,3.0,22.0,15.0,14.0,23.0,17.0,18.0,16.0,22.0,10.0,12.5,13.5,6.5,17.0,4.0,22.0
2000.0,2.0,7.0,13.0,5.0,8.0,11.0,25.0,16.0,14.0,2.0,12.0,8.0,19.0,4.0,18.0,11.0,15.0,4.0,9.0,15.0,25.0,6.0,11.318181818181818,11.0,6.25,15.0,2.1,24.699999999999996
2001.0,13.0,15.0,10.0,9.0,9.0,7.0,10.0,12.0,14.0,24.0,16.0,9.0,11.0,10.0,17.0,4.0,17.0,6.0,17.0,11.0,7.0,14.0,11.909090909090908,11.0,9.0,14.75,6.05,17.0
2002.0,18.0,12.0,11.0,9.0,8.0,10.0,10.0,5.0,23.0,7.0,12.0,12.0,12.0,21.0,15.0,11.0,22.0,7.0,10.0,10.0,4.0,3.0,11.454545454545455,10.5,8.25,12.0,4.05,21.95
2003.0,23.0,12.0,7.0,11.0,7.0,15.0,9.0,0.0,20.0,17.0,9.0,5.0,23.0,14.0,10.0,14.0,19.0,15.0,5.0,11.0,14.0,12.0,12.363636363636363,12.0,9.0,15.0,5.0,22.849999999999998
2004.0,19.0,8.0,4.0,7.0,8.0,13.0,19.0,1.0,12.0,4.0,8.0,4.0,7.0,5.0,10.0,23.0,15.0,9.0,7.0,11.0,17.0,8.0,9.954545454545455,8.0,7.0,12.75,4.0,19.0
2005.0,13.0,9.0,15.0,14.0,13.0,7.0,8.0,5.0,16.0,7.0,11.0,12.0,26.0,27.0,4.0,13.0,9.0,14.0,15.0,5.0,12.0,7.0,11.909090909090908,12.0,7.25,14.0,5.0,25.499999999999993
2006.0,5.0,9.0,12.0,10.0,11.0,14.0,3.0,10.0,16.0,2.0,24.0,18.0,14.0,8.0,25.0,11.0,14.0,3.0,10.0,6.0,6.0,12.0,11.045454545454545,10.5,6.5,14.0,3.0,23.699999999999996
2007.0,12.0,11.0,7.0,13.0,12.0,11.0,10.0,1.0,17.0,6.0,15.0,14.0,28.0,11.0,2.0,7.0,13.0,5.0,5.0,9.0,14.0,6.0,10.409090909090908,11.0,6.25,13.0,2.1500000000000004,16.9
2008.0,7.0,13.0,11.0,2.0,8.0,3.0,15.0,5.0,17.0,7.0,14.0,15.0,14.0,6.0,8.0,14.0,34.0,8.0,7.0,16.0,8.0,6.0,10.818181818181818,8.0,7.0,14.0,3.1,16.95
2009.0,7.0,6.0,9.0,7.0,11.0,12.0,8.0,8.0,12.0,2.0,6.0,13.0,6.0,11.0,17.0,8.0,18.0,1.0,25.0,6.0,17.0,10.0,10.0,8.5,6.25,12.0,2.2,17.95
2010.0,4.0,14.0,7.0,8.0,10.0,16.0,7.0,5.0,17.0,7.0,17.0,17.0,4.0,10.0,14.0,2.0,6.0,12.0,5.0,5.0,16.0,5.0,9.454545454545455,7.5,5.0,14.0,4.0,17.0
2011.0,16.0,14.0,13.0,15.0,14.0,18.0,4.0,13.0,20.0,17.0,20.0,8.0,5.0,11.0,15.0,7.0,23.0,9.0,15.0,1.0,15.0,10.0,12.863636363636363,14.0,9.25,15.75,4.05,20.0
2012.0,7.0,12.0,10.0,10.0,15.0,5.0,9.0,12.0,15.0,16.0,13.0,11.0,15.0,10.0,6.0,17.0,13.0,11.0,12.0,9.0,14.0,14.0,11.636363636363637,12.0,10.0,14.0,6.05,15.95
2013.0,7.0,8.0,11.0,9.0,9.0,15.0,4.0,15.0,28.0,10.0,23.0,17.0,17.0,9.0,11.0,10.0,25.0,11.0,6.0,13.0,22.0,7.0,13.045454545454545,11.0,9.0,16.5,6.05,24.9
2014.0,18.0,11.0,5.0,14.0,4.0,11.0,17.0,5.0,16.0,8.0,19.0,26.0,14.0,19.0,9.0,2.0,6.0,11.0,14.0,14.0,15.0,4.0,11.909090909090908,12.5,6.5,15.75,4.0,19.0
2015.0,16.0,15.0,10.0,13.0,2.0,5.0,3.0,9.0,27.0,7.0,14.0,24.0,14.0,22.0,14.0,8.0,2.0,6.0,8.0,4.0,11.0,14.0,11.272727272727273,10.5,6.25,14.0,2.05,23.9
2016.0,7.0,12.0,7.0,6.0,10.0,8.0,6.0,6.0,20.0,6.0,10.0,9.0,14.0,20.0,15.0,14.0,13.0,11.0,13.0,7.0,15.0,5.0,10.636363636363637,10.0,7.0,13.75,6.0,19.749999999999996
2017.0,4.0,9.0,5.0,7.0,7.0,14.0,9.0,16.0,15.0,9.0,17.0,12.0,26.0,17.0,12.0,9.0,16.0,11.0,16.0,6.0,6.0,12.0,11.590909090909092,11.5,7.5,15.75,5.05,17.0
2018.0,14.0,11.0,5.0,6.0,9.0,8.0,8.0,10.0,12.0,14.0,13.0,12.0,9.0,22.0,13.0,8.0,13.0,10.0,8.0,13.0,17.0,11.0,11.181818181818182,11.0,8.25,13.0,6.1,16.849999999999998
