Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,17.0,7.0,6.0,NaN,47.0,14.0,23.0,27.0,32.0,26.0,19.0,27.0,12.0,14.0,6.0,43.0,9.0,42.0,19.0,44.0,58.0,34.0,25.047619047619047,23.0,14.0,34.0,6.0,47.0
1951.0,37.0,19.0,35.0,NaN,4.0,27.0,36.0,40.0,61.0,15.0,21.0,1.0,4.0,2.0,41.0,4.0,4.0,14.0,53.0,41.0,17.0,14.0,23.333333333333332,19.0,4.0,37.0,2.0,53.0
1952.0,18.0,33.0,22.0,NaN,11.0,75.0,8.0,16.0,17.0,11.0,18.0,11.0,28.0,12.0,31.0,27.0,20.0,25.0,29.0,42.0,32.0,45.0,25.285714285714285,22.0,16.0,31.0,11.0,45.0
1953.0,3.0,37.0,13.0,NaN,2.0,19.0,27.0,29.0,54.0,21.0,31.0,0.0,20.0,4.0,23.0,30.0,33.0,21.0,28.0,51.0,17.0,14.0,22.714285714285715,21.0,14.0,30.0,2.0,51.0
1954.0,20.0,22.0,20.0,NaN,19.0,46.0,17.0,13.0,32.0,15.0,38.0,22.0,34.0,24.0,18.0,54.0,12.0,21.0,20.0,40.0,52.0,40.0,27.571428571428573,22.0,19.0,38.0,13.0,52.0
1955.0,5.0,36.0,30.0,NaN,5.0,33.0,50.0,11.0,47.0,14.0,24.0,25.0,40.0,0.0,18.0,19.0,26.0,6.0,39.0,22.0,28.0,27.0,24.047619047619047,25.0,14.0,33.0,5.0,47.0
1956.0,12.0,6.0,24.0,NaN,8.0,26.0,20.0,10.0,28.0,27.0,13.0,62.0,46.0,23.0,30.0,18.0,11.0,34.0,19.0,60.0,35.0,16.0,25.142857142857142,23.0,13.0,30.0,8.0,60.0
1957.0,14.0,19.0,19.0,NaN,12.0,7.0,15.0,17.0,19.0,31.0,22.0,33.0,57.0,2.0,32.0,13.0,29.0,8.0,22.0,47.0,21.0,14.0,21.571428571428573,19.0,14.0,29.0,7.0,47.0
1958.0,6.0,22.0,22.0,NaN,8.0,19.0,12.0,34.0,64.0,18.0,14.0,21.0,29.0,14.0,34.0,21.0,27.0,24.0,23.0,0.0,19.0,38.0,22.333333333333332,21.0,14.0,27.0,6.0,38.0
1959.0,2.0,35.0,14.0,NaN,36.0,49.0,11.0,34.0,54.0,13.0,36.0,4.0,52.0,9.0,34.0,39.0,13.0,31.0,29.0,22.0,59.0,30.0,28.857142857142858,31.0,13.0,36.0,4.0,54.0
1960.0,21.0,32.0,30.0,NaN,10.0,51.0,1.0,13.0,36.0,8.0,13.0,6.0,6.0,70.0,29.0,34.0,28.0,39.0,44.0,52.0,34.0,50.0,28.904761904761905,30.0,13.0,39.0,6.0,52.0
1961.0,19.0,23.0,7.0,NaN,7.0,30.0,19.0,10.0,52.0,0.0,37.0,41.0,19.0,44.0,24.0,29.0,33.0,32.0,16.0,42.0,32.0,23.0,25.666666666666668,24.0,19.0,33.0,7.0,44.0
1962.0,30.0,22.0,29.0,NaN,2.0,57.0,50.0,27.0,33.0,24.0,30.0,14.0,5.0,8.0,38.0,8.0,19.0,22.0,12.0,50.0,5.0,24.0,24.238095238095237,24.0,12.0,30.0,5.0,50.0
1963.0,39.0,19.0,43.0,NaN,37.0,26.0,11.0,9.0,24.0,36.0,11.0,53.0,61.0,15.0,25.0,61.0,20.0,20.0,10.0,24.0,14.0,37.0,28.333333333333332,24.0,15.0,37.0,10.0,61.0
1964.0,42.0,5.0,17.0,NaN,28.0,20.0,9.0,8.0,48.0,13.0,31.0,11.0,26.0,21.0,22.0,40.0,9.0,23.0,10.0,2.0,5.0,20.0,19.523809523809526,20.0,9.0,26.0,5.0,42.0
1965.0,15.0,4.0,20.0,NaN,12.0,33.0,38.0,14.0,3.0,27.0,8.0,38.0,23.0,12.0,15.0,58.0,20.0,39.0,13.0,42.0,6.0,14.0,21.61904761904762,15.0,12.0,33.0,4.0,42.0
1966.0,19.0,10.0,10.0,NaN,17.0,40.0,27.0,9.0,19.0,20.0,18.0,25.0,30.0,11.0,20.0,40.0,23.0,40.0,29.0,36.0,18.0,28.0,23.285714285714285,20.0,18.0,29.0,10.0,40.0
1967.0,33.0,20.0,25.0,NaN,4.0,33.0,26.0,23.0,35.0,48.0,20.0,10.0,46.0,8.0,21.0,26.0,19.0,24.0,34.0,62.0,39.0,11.0,27.0,25.0,20.0,34.0,8.0,48.0
1968.0,32.0,24.0,45.0,NaN,7.0,12.0,30.0,8.0,21.0,11.0,12.0,20.0,14.0,7.0,28.0,43.0,9.0,30.0,37.0,45.0,24.0,19.0,22.761904761904763,21.0,12.0,30.0,7.0,45.0
1969.0,27.0,7.0,33.0,NaN,47.0,45.0,41.0,11.0,14.0,21.0,11.0,47.0,32.0,34.0,31.0,38.0,1.0,26.0,27.0,25.0,36.0,18.0,27.238095238095237,27.0,18.0,36.0,7.0,47.0
1970.0,44.0,7.0,39.0,NaN,24.0,40.0,29.0,28.0,29.0,31.0,20.0,22.0,18.0,19.0,27.0,22.0,48.0,25.0,9.0,16.0,10.0,26.0,25.38095238095238,25.0,19.0,29.0,9.0,44.0
1971.0,1.0,9.0,40.0,NaN,26.0,33.0,21.0,5.0,22.0,50.0,10.0,0.0,20.0,20.0,21.0,39.0,5.0,25.0,45.0,35.0,16.0,10.0,21.571428571428573,21.0,10.0,33.0,1.0,45.0
1972.0,8.0,43.0,36.0,NaN,44.0,30.0,20.0,16.0,15.0,13.0,25.0,3.0,36.0,31.0,15.0,34.0,17.0,32.0,2.0,36.0,17.0,13.0,23.142857142857142,20.0,15.0,34.0,3.0,43.0
1973.0,16.0,24.0,15.0,NaN,0.0,20.0,19.0,34.0,28.0,10.0,56.0,44.0,30.0,32.0,23.0,31.0,12.0,16.0,15.0,34.0,45.0,13.0,24.61904761904762,23.0,15.0,32.0,10.0,45.0
1974.0,37.0,37.0,7.0,NaN,34.0,5.0,12.0,7.0,54.0,24.0,24.0,27.0,48.0,9.0,17.0,26.0,22.0,40.0,45.0,15.0,21.0,27.0,25.61904761904762,24.0,15.0,37.0,7.0,48.0
1975.0,8.0,17.0,12.0,NaN,38.0,63.0,45.0,2.0,47.0,17.0,39.0,19.0,21.0,15.0,25.0,29.0,3.0,20.0,15.0,19.0,8.0,33.0,23.571428571428573,19.0,15.0,33.0,3.0,47.0
1976.0,22.0,8.0,20.0,NaN,25.0,23.0,13.0,24.0,48.0,32.0,21.0,23.0,13.0,23.0,31.0,28.0,9.0,15.0,12.0,59.0,22.0,7.0,22.761904761904763,22.0,13.0,25.0,8.0,48.0
1977.0,43.0,28.0,28.0,NaN,24.0,47.0,10.0,13.0,60.0,22.0,8.0,24.0,11.0,28.0,24.0,27.0,14.0,18.0,14.0,8.0,10.0,11.0,22.476190476190474,22.0,11.0,28.0,8.0,47.0
1978.0,53.0,19.0,20.0,NaN,55.0,21.0,17.0,21.0,29.0,10.0,19.0,43.0,53.0,19.0,30.0,79.0,1.0,21.0,20.0,11.0,16.0,20.0,27.476190476190474,20.0,19.0,30.0,10.0,55.0
1979.0,25.0,27.0,19.0,NaN,17.0,27.0,44.0,32.0,27.0,37.0,32.0,26.0,15.0,39.0,5.0,39.0,4.0,17.0,22.0,27.0,21.0,43.0,25.952380952380953,27.0,19.0,32.0,5.0,43.0
1980.0,32.0,33.0,10.0,NaN,22.0,31.0,4.0,18.0,21.0,33.0,19.0,36.0,50.0,7.0,43.0,35.0,14.0,46.0,48.0,18.0,6.0,48.0,27.333333333333332,31.0,18.0,36.0,6.0,48.0
1981.0,45.0,41.0,21.0,NaN,6.0,48.0,31.0,15.0,19.0,16.0,18.0,20.0,30.0,14.0,50.0,49.0,9.0,28.0,32.0,27.0,17.0,36.0,27.238095238095237,27.0,17.0,36.0,9.0,49.0
1982.0,11.0,10.0,19.0,NaN,6.0,49.0,31.0,6.0,25.0,36.0,17.0,5.0,1.0,25.0,36.0,36.0,49.0,22.0,21.0,40.0,21.0,23.0,23.285714285714285,22.0,11.0,36.0,5.0,49.0
1983.0,25.0,22.0,41.0,NaN,8.0,46.0,6.0,9.0,16.0,14.0,28.0,8.0,0.0,2.0,17.0,37.0,14.0,39.0,11.0,45.0,15.0,5.0,19.428571428571427,15.0,8.0,28.0,2.0,45.0
1984.0,33.0,29.0,46.0,NaN,7.0,7.0,27.0,14.0,64.0,37.0,40.0,5.0,43.0,13.0,15.0,18.0,11.0,9.0,16.0,33.0,42.0,20.0,25.19047619047619,20.0,13.0,37.0,7.0,46.0
1985.0,14.0,46.0,17.0,NaN,15.0,16.0,23.0,2.0,52.0,25.0,9.0,29.0,7.0,13.0,32.0,41.0,26.0,32.0,24.0,17.0,10.0,16.0,22.19047619047619,17.0,14.0,29.0,7.0,46.0
1986.0,36.0,25.0,68.0,NaN,30.0,23.0,19.0,6.0,36.0,2.0,17.0,45.0,13.0,8.0,31.0,41.0,37.0,35.0,34.0,35.0,22.0,40.0,28.714285714285715,31.0,19.0,36.0,6.0,45.0
1987.0,40.0,17.0,24.0,NaN,41.0,30.0,35.0,15.0,42.0,15.0,40.0,23.0,12.0,23.0,37.0,41.0,37.0,34.0,56.0,58.0,27.0,40.0,32.714285714285715,35.0,23.0,40.0,15.0,56.0
1988.0,33.0,19.0,15.0,NaN,27.0,50.0,14.0,19.0,48.0,30.0,37.0,18.0,10.0,19.0,42.0,22.0,12.0,21.0,18.0,62.0,1.0,29.0,26.0,21.0,18.0,33.0,10.0,50.0
1989.0,13.0,9.0,36.0,NaN,41.0,21.0,50.0,28.0,34.0,15.0,11.0,44.0,42.0,4.0,40.0,25.0,16.0,21.0,28.0,14.0,25.0,38.0,26.428571428571427,25.0,15.0,38.0,9.0,44.0
1990.0,27.0,14.0,23.0,NaN,50.0,27.0,42.0,39.0,62.0,10.0,43.0,59.0,44.0,32.0,38.0,37.0,30.0,18.0,31.0,22.0,30.0,26.0,33.523809523809526,31.0,26.0,42.0,14.0,59.0
1991.0,43.0,35.0,47.0,NaN,23.0,41.0,32.0,8.0,14.0,21.0,27.0,23.0,14.0,11.0,47.0,42.0,49.0,29.0,52.0,40.0,33.0,45.0,32.19047619047619,33.0,23.0,43.0,11.0,49.0
1992.0,9.0,19.0,23.0,NaN,10.0,28.0,10.0,15.0,24.0,10.0,35.0,8.0,44.0,7.0,25.0,26.0,10.0,11.0,20.0,23.0,36.0,16.0,19.476190476190474,19.0,10.0,25.0,8.0,36.0
1993.0,22.0,21.0,24.0,NaN,0.0,30.0,27.0,0.0,18.0,19.0,20.0,26.0,58.0,7.0,28.0,1.0,36.0,32.0,34.0,26.0,12.0,14.0,21.666666666666668,22.0,14.0,28.0,0.0,36.0
1994.0,24.0,27.0,37.0,NaN,40.0,23.0,28.0,15.0,34.0,8.0,38.0,7.0,72.0,7.0,8.0,41.0,8.0,22.0,48.0,41.0,20.0,50.0,28.476190476190474,27.0,15.0,40.0,7.0,50.0
1995.0,19.0,17.0,37.0,NaN,28.0,36.0,39.0,38.0,37.0,38.0,53.0,33.0,51.0,20.0,33.0,37.0,13.0,54.0,29.0,57.0,21.0,40.0,34.76190476190476,37.0,28.0,39.0,17.0,54.0
1996.0,33.0,8.0,61.0,NaN,36.0,37.0,18.0,36.0,35.0,51.0,26.0,30.0,45.0,28.0,17.0,24.0,14.0,37.0,20.0,40.0,25.0,24.0,30.714285714285715,30.0,24.0,37.0,14.0,51.0
1997.0,25.0,20.0,5.0,NaN,10.0,9.0,15.0,41.0,43.0,17.0,13.0,33.0,24.0,25.0,57.0,39.0,73.0,20.0,23.0,24.0,23.0,59.0,28.476190476190474,24.0,17.0,39.0,9.0,59.0
1998.0,19.0,36.0,31.0,NaN,36.0,48.0,12.0,38.0,18.0,36.0,39.0,6.0,14.0,66.0,14.0,37.0,22.0,21.0,46.0,31.0,39.0,47.0,31.238095238095237,36.0,19.0,39.0,12.0,48.0
1999.0,41.0,34.0,30.0,NaN,56.0,21.0,33.0,20.0,57.0,54.0,45.0,61.0,64.0,21.0,32.0,19.0,24.0,7.0,7.0,19.0,36.0,38.0,34.23809523809524,33.0,21.0,45.0,7.0,61.0
2000.0,57.0,31.0,37.0,NaN,52.0,48.0,0.0,19.0,33.0,59.0,44.0,52.0,7.0,59.0,17.0,43.0,31.0,27.0,44.0,15.0,18.0,18.0,33.857142857142854,33.0,18.0,48.0,7.0,59.0
2001.0,25.0,45.0,33.0,NaN,37.0,62.0,46.0,17.0,27.0,17.0,42.0,30.0,31.0,51.0,44.0,47.0,69.0,51.0,17.0,25.0,53.0,33.0,38.19047619047619,37.0,27.0,47.0,17.0,62.0
2002.0,49.0,36.0,33.0,NaN,22.0,35.0,16.0,22.0,15.0,46.0,56.0,32.0,31.0,21.0,19.0,58.0,23.0,48.0,22.0,46.0,43.0,28.0,33.38095238095238,32.0,22.0,46.0,16.0,56.0
