Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,1.0,2.0,4.0,NaN,4.0,3.0,8.0,8.0,1.0,11.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,6.0,2.0,10.0,2.0,3.761904761904762,3.0,1.0,6.0,0.0,10.0
1951.0,1.0,1.0,8.0,NaN,1.0,2.0,6.0,9.0,3.0,7.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,9.0,3.5238095238095237,2.0,1.0,6.0,0.0,9.0
1952.0,3.0,1.0,2.0,NaN,8.0,7.0,1.0,9.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,3.0,2.9523809523809526,1.0,0.0,6.0,0.0,8.0
1953.0,1.0,5.0,0.0,NaN,1.0,4.0,5.0,8.0,1.0,8.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,10.0,2.0,0.0,2.0,2.9047619047619047,2.0,0.0,5.0,0.0,8.0
1954.0,3.0,0.0,6.0,NaN,0.0,3.0,1.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,4.0,14.0,2.0,6.0,1.0,2.761904761904762,1.0,1.0,4.0,0.0,7.0
1955.0,0.0,1.0,7.0,NaN,1.0,4.0,14.0,6.0,3.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,1.0,5.0,3.857142857142857,3.0,1.0,6.0,0.0,11.0
1956.0,0.0,0.0,2.0,NaN,0.0,3.0,3.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,3.0,8.0,4.0,1.0,3.0,2.142857142857143,1.0,0.0,3.0,0.0,8.0
1957.0,3.0,0.0,2.0,NaN,1.0,0.0,4.0,7.0,0.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,6.0,3.0,1.0,2.619047619047619,1.0,0.0,3.0,0.0,7.0
1958.0,2.0,2.0,7.0,NaN,0.0,1.0,2.0,9.0,3.0,10.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.4761904761904763,2.0,0.0,3.0,0.0,9.0
1959.0,2.0,5.0,7.0,NaN,8.0,9.0,1.0,19.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,10.0,2.0,1.0,3.0,4.095238095238095,3.0,1.0,6.0,0.0,10.0
1960.0,1.0,5.0,1.0,NaN,1.0,9.0,0.0,8.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,11.0,3.0,0.0,10.0,3.3333333333333335,2.0,0.0,6.0,0.0,10.0
1961.0,2.0,4.0,2.0,NaN,0.0,5.0,2.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,1.0,12.0,2.8095238095238093,2.0,0.0,4.0,0.0,11.0
1962.0,3.0,0.0,4.0,NaN,0.0,4.0,11.0,11.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,5.0,3.0,0.0,4.0,3.5714285714285716,3.0,0.0,5.0,0.0,11.0
1963.0,4.0,2.0,2.0,NaN,2.0,1.0,4.0,4.0,1.0,14.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,8.0,2.7142857142857144,2.0,1.0,4.0,0.0,8.0
1964.0,3.0,1.0,6.0,NaN,3.0,3.0,0.0,9.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,2.1904761904761907,1.0,0.0,3.0,0.0,6.0
1965.0,1.0,1.0,2.0,NaN,2.0,11.0,9.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,1.0,2.4761904761904763,1.0,0.0,2.0,0.0,10.0
1966.0,1.0,3.0,0.0,NaN,3.0,6.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,6.0
