years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,25.0,25.0,24.0,15.0,11.0,18.0,14.0,17.0,21.0,17.0,27.0,23.0,34.0,28.0,20.0,22.0,28.0,23.0,27.0,22.0,25.0,20.0,22.09090909090909,22.5,18.5,25.0
1951.0,22.0,32.0,22.0,26.0,14.0,27.0,17.0,15.0,22.0,12.0,28.0,24.0,31.0,25.0,11.0,16.0,14.0,16.0,25.0,18.0,47.0,28.0,22.363636363636363,22.0,16.0,26.75
1952.0,35.0,19.0,24.0,18.0,23.0,12.0,13.0,14.0,30.0,16.0,30.0,13.0,19.0,30.0,20.0,15.0,17.0,15.0,34.0,26.0,19.0,19.0,20.954545454545453,19.0,15.25,25.5
1953.0,20.0,24.0,15.0,15.0,14.0,14.0,22.0,23.0,21.0,23.0,22.0,22.0,21.0,36.0,24.0,8.0,17.0,21.0,28.0,10.0,19.0,23.0,20.09090909090909,21.0,15.5,23.0
1954.0,26.0,9.0,35.0,28.0,20.0,22.0,28.0,28.0,22.0,19.0,24.0,30.0,8.0,27.0,27.0,21.0,22.0,17.0,18.0,17.0,22.0,20.0,22.272727272727273,22.0,19.25,27.0
1955.0,32.0,17.0,11.0,13.0,21.0,25.0,21.0,11.0,14.0,11.0,27.0,28.0,38.0,34.0,39.0,22.0,14.0,16.0,18.0,19.0,30.0,21.0,21.90909090909091,21.0,14.5,27.75
1956.0,24.0,12.0,14.0,24.0,10.0,14.0,16.0,18.0,25.0,7.0,30.0,12.0,41.0,24.0,21.0,31.0,27.0,11.0,19.0,17.0,22.0,18.0,19.863636363636363,18.5,14.0,24.0
1957.0,16.0,18.0,28.0,9.0,8.0,18.0,17.0,25.0,23.0,13.0,24.0,18.0,34.0,35.0,17.0,19.0,26.0,16.0,23.0,25.0,18.0,11.0,20.045454545454547,18.0,16.25,24.75
1958.0,24.0,25.0,20.0,15.0,11.0,12.0,22.0,16.0,13.0,23.0,28.0,21.0,17.0,37.0,21.0,13.0,9.0,15.0,24.0,32.0,20.0,11.0,19.5,20.0,13.5,23.75
1959.0,23.0,17.0,21.0,25.0,14.0,14.0,15.0,19.0,23.0,14.0,38.0,19.0,18.0,14.0,21.0,15.0,29.0,20.0,22.0,24.0,25.0,15.0,20.227272727272727,19.5,15.0,23.0
1960.0,22.0,12.0,25.0,17.0,18.0,16.0,14.0,26.0,28.0,16.0,15.0,18.0,8.0,19.0,19.0,18.0,26.0,19.0,30.0,10.0,13.0,21.0,18.636363636363637,18.0,15.25,21.75
1961.0,28.0,15.0,17.0,23.0,21.0,21.0,19.0,16.0,15.0,14.0,26.0,14.0,21.0,24.0,14.0,16.0,33.0,14.0,18.0,21.0,16.0,23.0,19.5,18.5,15.25,22.5
1962.0,24.0,28.0,27.0,22.0,23.0,20.0,17.0,22.0,21.0,18.0,26.0,32.0,33.0,34.0,22.0,15.0,14.0,19.0,37.0,17.0,22.0,23.0,23.454545454545453,22.0,19.25,26.75
1963.0,23.0,27.0,14.0,18.0,20.0,17.0,17.0,10.0,24.0,26.0,35.0,29.0,20.0,36.0,17.0,24.0,21.0,21.0,8.0,19.0,22.0,22.0,21.363636363636363,21.0,17.25,24.0
1964.0,29.0,12.0,22.0,27.0,18.0,21.0,20.0,16.0,23.0,15.0,19.0,9.0,20.0,29.0,25.0,16.0,22.0,17.0,32.0,17.0,19.0,20.0,20.363636363636363,20.0,17.0,22.75
1965.0,24.0,29.0,11.0,9.0,18.0,19.0,13.0,21.0,19.0,14.0,27.0,20.0,19.0,35.0,25.0,17.0,18.0,25.0,18.0,18.0,26.0,24.0,20.40909090909091,19.0,18.0,24.75
1966.0,40.0,28.0,29.0,17.0,11.0,15.0,18.0,14.0,27.0,19.0,15.0,24.0,12.0,29.0,21.0,16.0,30.0,18.0,30.0,17.0,40.0,20.0,22.272727272727273,19.5,16.25,28.75
1967.0,21.0,8.0,27.0,16.0,23.0,27.0,17.0,18.0,22.0,21.0,29.0,24.0,28.0,29.0,18.0,22.0,17.0,8.0,18.0,15.0,11.0,17.0,19.818181818181817,19.5,17.0,23.75
1968.0,24.0,21.0,17.0,6.0,21.0,25.0,23.0,16.0,23.0,22.0,26.0,25.0,23.0,27.0,30.0,16.0,25.0,10.0,30.0,8.0,17.0,12.0,20.318181818181817,22.5,16.25,25.0
1969.0,29.0,32.0,21.0,16.0,13.0,21.0,20.0,8.0,28.0,17.0,27.0,21.0,29.0,20.0,25.0,19.0,25.0,17.0,28.0,20.0,24.0,22.0,21.90909090909091,21.0,19.25,26.5
1970.0,29.0,23.0,28.0,29.0,9.0,19.0,28.0,14.0,34.0,15.0,12.0,16.0,23.0,23.0,24.0,17.0,34.0,24.0,8.0,18.0,31.0,19.0,21.681818181818183,23.0,16.25,28.0
1971.0,23.0,11.0,20.0,24.0,8.0,27.0,16.0,16.0,23.0,20.0,21.0,10.0,28.0,28.0,22.0,17.0,10.0,27.0,24.0,21.0,27.0,7.0,19.545454545454547,21.0,16.0,24.0
1972.0,26.0,17.0,17.0,20.0,16.0,19.0,16.0,14.0,33.0,18.0,29.0,27.0,24.0,31.0,24.0,21.0,15.0,13.0,31.0,31.0,25.0,23.0,22.272727272727273,22.0,17.0,26.75
1973.0,34.0,28.0,22.0,14.0,27.0,25.0,15.0,14.0,22.0,17.0,29.0,21.0,20.0,20.0,16.0,18.0,25.0,18.0,25.0,26.0,32.0,16.0,22.0,21.5,17.25,25.75
1974.0,21.0,15.0,28.0,22.0,14.0,16.0,19.0,14.0,23.0,13.0,26.0,15.0,16.0,24.0,19.0,20.0,23.0,18.0,19.0,25.0,20.0,25.0,19.772727272727273,19.5,16.0,23.0
1975.0,20.0,20.0,17.0,16.0,17.0,11.0,17.0,26.0,21.0,16.0,13.0,24.0,33.0,30.0,23.0,16.0,28.0,18.0,23.0,20.0,21.0,26.0,20.727272727272727,20.0,17.0,23.75
1976.0,29.0,14.0,23.0,25.0,14.0,16.0,16.0,13.0,25.0,14.0,27.0,24.0,33.0,26.0,16.0,16.0,30.0,19.0,18.0,19.0,24.0,24.0,21.136363636363637,21.0,16.0,25.0
1977.0,16.0,23.0,20.0,20.0,18.0,11.0,24.0,26.0,30.0,24.0,22.0,18.0,32.0,16.0,22.0,24.0,20.0,17.0,28.0,10.0,26.0,22.0,21.318181818181817,22.0,18.0,24.0
1978.0,28.0,14.0,22.0,19.0,20.0,16.0,17.0,13.0,33.0,20.0,12.0,13.0,35.0,26.0,19.0,20.0,24.0,17.0,23.0,16.0,24.0,20.0,20.5,20.0,16.25,23.75
1979.0,18.0,14.0,17.0,21.0,13.0,17.0,21.0,22.0,36.0,15.0,25.0,23.0,26.0,24.0,20.0,15.0,25.0,19.0,14.0,20.0,16.0,22.0,20.136363636363637,20.0,16.25,22.75
1980.0,20.0,22.0,17.0,20.0,12.0,22.0,19.0,19.0,25.0,8.0,30.0,30.0,31.0,35.0,29.0,12.0,22.0,17.0,22.0,19.0,34.0,12.0,21.681818181818183,21.0,17.5,28.0
1981.0,21.0,20.0,32.0,12.0,14.0,26.0,14.0,24.0,25.0,15.0,31.0,19.0,23.0,32.0,20.0,11.0,12.0,22.0,19.0,15.0,27.0,18.0,20.545454545454547,20.0,15.0,24.75
1982.0,31.0,14.0,14.0,15.0,15.0,14.0,14.0,28.0,38.0,17.0,11.0,21.0,46.0,14.0,21.0,20.0,13.0,14.0,20.0,19.0,26.0,27.0,20.545454545454547,18.0,14.0,24.75
1983.0,23.0,18.0,28.0,18.0,20.0,17.0,15.0,22.0,31.0,10.0,18.0,22.0,36.0,35.0,18.0,25.0,8.0,20.0,17.0,19.0,30.0,17.0,21.227272727272727,19.5,17.25,24.5
1984.0,27.0,20.0,23.0,12.0,19.0,15.0,15.0,10.0,22.0,17.0,20.0,18.0,8.0,15.0,32.0,22.0,19.0,14.0,27.0,20.0,18.0,13.0,18.454545454545453,18.5,15.0,21.5
1985.0,34.0,10.0,15.0,15.0,23.0,16.0,17.0,14.0,26.0,20.0,22.0,34.0,13.0,13.0,22.0,25.0,31.0,21.0,16.0,25.0,17.0,9.0,19.90909090909091,18.5,15.0,24.5
