years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,16.0,9.0,7.0,5.0,4.0,5.0,9.0,5.0,7.0,7.0,18.0,9.0,27.0,18.0,8.0,6.0,16.0,8.0,14.0,12.0,8.0,11.0,10.409090909090908,8.5,7.0,13.5
1951.0,11.0,9.0,4.0,4.0,9.0,7.0,2.0,3.0,9.0,13.0,10.0,8.0,13.0,8.0,9.0,7.0,22.0,2.0,3.0,6.0,6.0,10.0,7.954545454545454,8.0,4.5,9.75
1952.0,13.0,9.0,3.0,15.0,5.0,2.0,6.0,10.0,16.0,17.0,17.0,20.0,8.0,14.0,6.0,4.0,21.0,5.0,4.0,5.0,5.0,9.0,9.727272727272727,8.5,5.0,14.75
1953.0,10.0,5.0,7.0,7.0,7.0,9.0,4.0,6.0,11.0,10.0,10.0,23.0,8.0,10.0,3.0,5.0,8.0,10.0,4.0,6.0,7.0,7.0,8.045454545454545,7.0,6.0,10.0
1954.0,7.0,5.0,17.0,11.0,6.0,4.0,8.0,6.0,7.0,18.0,5.0,6.0,13.0,7.0,8.0,7.0,10.0,9.0,4.0,9.0,8.0,1.0,8.0,7.0,6.0,9.0
1955.0,12.0,3.0,7.0,8.0,4.0,7.0,4.0,5.0,11.0,7.0,6.0,7.0,8.0,13.0,6.0,11.0,13.0,5.0,4.0,9.0,7.0,6.0,7.409090909090909,7.0,5.25,8.75
1956.0,5.0,10.0,5.0,10.0,9.0,5.0,10.0,4.0,9.0,10.0,8.0,3.0,9.0,9.0,3.0,12.0,15.0,4.0,3.0,1.0,1.0,12.0,7.136363636363637,8.5,4.0,10.0
1957.0,8.0,12.0,3.0,14.0,17.0,5.0,16.0,10.0,12.0,4.0,12.0,4.0,5.0,12.0,0.0,8.0,11.0,15.0,7.0,8.0,6.0,8.0,8.954545454545455,8.0,5.25,12.0
1958.0,22.0,3.0,6.0,10.0,4.0,13.0,6.0,4.0,5.0,12.0,11.0,12.0,10.0,8.0,7.0,9.0,6.0,5.0,12.0,9.0,5.0,3.0,8.272727272727273,7.5,5.0,10.75
1959.0,12.0,12.0,8.0,8.0,3.0,3.0,8.0,2.0,15.0,16.0,9.0,31.0,3.0,12.0,3.0,3.0,10.0,0.0,6.0,4.0,1.0,6.0,7.954545454545454,7.0,3.0,11.5
