years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,4.0,3.0,0.0,9.0,3.0,5.0,5.0,3.0,6.0,2.0,10.0,5.0,3.0,1.0,7.0,1.0,6.0,3.0,10.0,8.0,4.0,4.0,4.636363636363637,4.0,3.0,6.0
1951.0,8.0,2.0,3.0,8.0,2.0,6.0,11.0,3.0,3.0,1.0,2.0,9.0,1.0,7.0,1.0,7.0,6.0,5.0,3.0,5.0,4.0,10.0,4.863636363636363,4.5,2.25,7.0
1952.0,8.0,8.0,5.0,7.0,10.0,4.0,1.0,5.0,2.0,2.0,7.0,2.0,2.0,4.0,4.0,1.0,0.0,5.0,4.0,5.0,3.0,7.0,4.363636363636363,4.0,2.0,6.5
1953.0,1.0,5.0,1.0,2.0,8.0,6.0,3.0,6.0,3.0,5.0,7.0,7.0,1.0,2.0,5.0,0.0,7.0,6.0,4.0,2.0,3.0,8.0,4.181818181818182,4.5,2.0,6.0
1954.0,8.0,5.0,6.0,2.0,4.0,2.0,5.0,8.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0,1.0,4.0,1.0,3.0,9.0,6.0,3.0,3.8636363636363638,3.5,2.0,5.0
1955.0,3.0,1.0,6.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,7.0,2.0,6.0,6.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,3.727272727272727,4.0,2.0,5.0
1956.0,2.0,6.0,7.0,1.0,5.0,11.0,4.0,1.0,9.0,8.0,2.0,4.0,7.0,2.0,6.0,2.0,11.0,11.0,1.0,2.0,2.0,5.0,4.954545454545454,4.5,2.0,7.0
1957.0,5.0,2.0,8.0,6.0,6.0,6.0,3.0,5.0,6.0,2.0,5.0,4.0,8.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,2.0,3.9545454545454546,3.5,2.0,5.75
1958.0,3.0,13.0,4.0,4.0,2.0,6.0,5.0,4.0,4.0,4.0,7.0,2.0,9.0,7.0,11.0,6.0,1.0,3.0,9.0,3.0,8.0,9.0,5.636363636363637,4.5,3.25,7.75
1959.0,7.0,3.0,3.0,9.0,3.0,5.0,5.0,6.0,3.0,4.0,9.0,5.0,3.0,1.0,8.0,0.0,8.0,4.0,3.0,1.0,4.0,9.0,4.681818181818182,4.0,3.0,6.75
1960.0,5.0,3.0,5.0,5.0,2.0,6.0,6.0,3.0,1.0,2.0,2.0,2.0,4.0,10.0,4.0,2.0,11.0,5.0,10.0,1.0,4.0,2.0,4.318181818181818,4.0,2.0,5.0
1961.0,7.0,3.0,2.0,2.0,3.0,3.0,9.0,4.0,4.0,5.0,1.0,4.0,7.0,3.0,7.0,5.0,5.0,7.0,6.0,2.0,2.0,6.0,4.409090909090909,4.0,3.0,6.0
1962.0,5.0,13.0,2.0,0.0,5.0,6.0,2.0,4.0,5.0,4.0,5.0,15.0,6.0,2.0,5.0,3.0,2.0,8.0,7.0,8.0,6.0,9.0,5.545454545454546,5.0,3.25,6.75
1963.0,2.0,8.0,4.0,4.0,3.0,6.0,11.0,4.0,8.0,2.0,7.0,4.0,9.0,8.0,11.0,5.0,0.0,5.0,7.0,6.0,3.0,4.0,5.5,5.0,4.0,7.75
1964.0,3.0,2.0,4.0,7.0,0.0,6.0,4.0,6.0,2.0,2.0,2.0,1.0,6.0,4.0,2.0,2.0,3.0,8.0,6.0,1.0,4.0,4.0,3.590909090909091,3.5,2.0,5.5
1965.0,4.0,2.0,1.0,5.0,7.0,2.0,5.0,5.0,7.0,1.0,6.0,5.0,5.0,7.0,2.0,1.0,9.0,2.0,0.0,4.0,8.0,3.0,4.136363636363637,4.5,2.0,5.75
1966.0,3.0,0.0,5.0,7.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,3.0,6.0,6.0,6.0,2.0,3.5,3.0,2.0,5.0
1967.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,7.0,4.0,7.0,3.0,4.0,6.0,2.0,2.0,0.0,2.0,10.0,0.0,3.6818181818181817,3.5,2.0,4.0
