years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,3.0,1.0,3.0,4.0,3.0,0.0,2.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,1.9545454545454546,2.0,1.0,3.0
1951.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,2.0,5.0,2.409090909090909,2.0,1.0,3.75
1952.0,9.0,0.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,5.0,5.0,0.0,1.0,3.0,3.0,3.0,4.0,1.0,0.0,2.590909090909091,2.0,1.0,3.75
1953.0,2.0,3.0,7.0,1.0,3.0,8.0,1.0,3.0,1.0,1.0,8.0,9.0,4.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,5.0,3.3636363636363638,3.0,1.0,4.0
1954.0,3.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,7.0,6.0,4.0,2.0454545454545454,1.5,1.0,3.0
1955.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,5.0,2.0,3.0,1.9545454545454546,2.0,1.0,3.0
1956.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,7.0,0.0,3.0,7.0,11.0,3.0,1.0,2.0,12.0,3.0,0.0,2.0,1.0,1.0,3.0454545454545454,2.0,1.0,3.0
1957.0,2.0,0.0,2.0,5.0,5.0,2.0,1.0,2.0,4.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,3.0,2.1818181818181817,2.0,1.0,3.0
1958.0,2.0,5.0,2.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0,7.0,0.0,6.0,6.0,3.0,7.0,0.0,0.0,3.0,4.0,6.0,4.0,3.1363636363636362,3.0,1.0,4.75
1959.0,0.0,0.0,1.0,7.0,3.0,2.0,0.0,1.0,4.0,12.0,6.0,4.0,5.0,2.0,2.0,0.0,5.0,0.0,2.0,2.0,0.0,6.0,2.909090909090909,2.0,0.25,4.75
1960.0,2.0,1.0,4.0,5.0,1.0,7.0,5.0,1.0,2.0,0.0,0.0,8.0,2.0,1.0,4.0,4.0,7.0,2.0,5.0,2.0,3.0,5.0,3.227272727272727,2.5,1.25,5.0
1961.0,3.0,0.0,4.0,2.0,1.0,3.0,4.0,0.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,0.0,5.0,0.0,0.0,6.0,2.272727272727273,2.0,1.0,3.75
1962.0,5.0,5.0,3.0,1.0,6.0,5.0,1.0,2.0,3.0,3.0,1.0,11.0,3.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,11.0,3.8181818181818183,3.0,2.0,5.0
