years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,4.0,2.0,12.0,nan,15.0,6.0,13.0,50.0,18.0,0.0,11.0,13.0,5.0,7.0,23.0,11.0,22.0,29.0,4.0,34.0,28.0,13.0,15.238095238095237,13.0,6.0,22.0
1951.0,11.0,10.0,23.0,nan,20.0,14.0,10.0,24.0,26.0,7.0,11.0,10.0,0.0,6.0,5.0,0.0,26.0,7.0,22.0,12.0,18.0,20.0,13.428571428571429,11.0,7.0,20.0
1952.0,1.0,6.0,20.0,nan,11.0,20.0,2.0,12.0,8.0,9.0,2.0,11.0,14.0,3.0,4.0,10.0,24.0,24.0,0.0,5.0,18.0,25.0,10.904761904761905,10.0,4.0,18.0
1953.0,12.0,14.0,41.0,nan,8.0,30.0,2.0,33.0,3.0,28.0,23.0,15.0,16.0,0.0,25.0,23.0,29.0,7.0,13.0,50.0,13.0,16.0,19.095238095238095,16.0,12.0,28.0
1954.0,12.0,47.0,21.0,nan,11.0,10.0,10.0,13.0,33.0,7.0,8.0,17.0,22.0,16.0,32.0,1.0,10.0,17.0,18.0,45.0,20.0,11.0,18.142857142857142,16.0,10.0,21.0
1955.0,0.0,13.0,17.0,nan,26.0,4.0,25.0,21.0,1.0,51.0,5.0,28.0,12.0,2.0,5.0,3.0,12.0,7.0,39.0,8.0,11.0,11.0,14.333333333333334,11.0,5.0,21.0
1956.0,2.0,9.0,21.0,nan,6.0,5.0,9.0,9.0,16.0,38.0,6.0,20.0,9.0,56.0,18.0,19.0,17.0,38.0,24.0,1.0,7.0,34.0,17.333333333333332,16.0,7.0,21.0
1957.0,6.0,6.0,9.0,nan,13.0,3.0,16.0,4.0,3.0,40.0,9.0,23.0,16.0,16.0,12.0,16.0,0.0,25.0,20.0,27.0,19.0,7.0,13.80952380952381,13.0,6.0,19.0
1958.0,15.0,12.0,17.0,nan,11.0,4.0,0.0,55.0,36.0,25.0,9.0,12.0,30.0,0.0,19.0,28.0,20.0,50.0,25.0,0.0,17.0,7.0,18.666666666666668,17.0,9.0,25.0
1959.0,26.0,3.0,8.0,nan,15.0,48.0,2.0,18.0,13.0,57.0,7.0,19.0,9.0,4.0,11.0,40.0,17.0,39.0,7.0,0.0,26.0,46.0,19.761904761904763,15.0,7.0,26.0
1960.0,12.0,37.0,12.0,nan,1.0,48.0,2.0,0.0,21.0,14.0,24.0,1.0,31.0,34.0,38.0,1.0,29.0,5.0,19.0,58.0,6.0,26.0,19.952380952380953,19.0,5.0,31.0
