years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,31.0,24.0,22.0,nan,14.0,18.0,29.0,22.0,25.0,54.0,36.0,51.0,42.0,14.0,31.0,14.0,37.0,16.0,23.0,18.0,27.0,35.0,27.761904761904763,25.0,18.0,35.0
1951.0,35.0,9.0,45.0,nan,21.0,14.0,19.0,10.0,14.0,38.0,42.0,49.0,37.0,17.0,17.0,25.0,16.0,31.0,23.0,40.0,36.0,17.0,26.428571428571427,23.0,17.0,37.0
1952.0,23.0,20.0,35.0,nan,32.0,38.0,36.0,34.0,24.0,39.0,32.0,53.0,43.0,29.0,26.0,18.0,17.0,45.0,36.0,31.0,27.0,25.0,31.571428571428573,32.0,25.0,36.0
1953.0,31.0,22.0,26.0,nan,24.0,30.0,28.0,15.0,23.0,20.0,10.0,40.0,35.0,19.0,26.0,21.0,23.0,28.0,23.0,29.0,21.0,39.0,25.38095238095238,24.0,21.0,29.0
1954.0,23.0,17.0,15.0,nan,8.0,14.0,21.0,42.0,18.0,15.0,47.0,23.0,12.0,36.0,38.0,18.0,17.0,57.0,13.0,27.0,18.0,23.0,23.904761904761905,18.0,15.0,27.0
1955.0,52.0,43.0,21.0,nan,20.0,17.0,33.0,42.0,25.0,31.0,16.0,11.0,59.0,25.0,18.0,24.0,38.0,32.0,4.0,23.0,18.0,31.0,27.761904761904763,25.0,18.0,33.0
1956.0,40.0,21.0,25.0,nan,25.0,39.0,20.0,35.0,23.0,41.0,37.0,24.0,18.0,16.0,29.0,43.0,32.0,33.0,15.0,37.0,34.0,23.0,29.047619047619047,29.0,23.0,37.0
1957.0,48.0,23.0,37.0,nan,37.0,31.0,24.0,35.0,22.0,41.0,28.0,32.0,44.0,14.0,30.0,28.0,55.0,27.0,16.0,42.0,16.0,17.0,30.80952380952381,30.0,23.0,37.0
1958.0,39.0,32.0,30.0,nan,41.0,16.0,38.0,22.0,17.0,21.0,21.0,32.0,22.0,11.0,23.0,45.0,22.0,11.0,20.0,31.0,12.0,19.0,25.0,22.0,19.0,32.0
1959.0,19.0,6.0,26.0,nan,19.0,14.0,21.0,31.0,26.0,17.0,24.0,37.0,32.0,23.0,14.0,29.0,17.0,35.0,18.0,30.0,36.0,15.0,23.285714285714285,23.0,17.0,30.0
1960.0,32.0,22.0,21.0,nan,21.0,19.0,26.0,22.0,20.0,20.0,28.0,19.0,39.0,20.0,16.0,49.0,17.0,28.0,12.0,25.0,46.0,24.0,25.047619047619047,22.0,20.0,28.0
1961.0,37.0,1.0,29.0,nan,25.0,33.0,21.0,32.0,25.0,32.0,31.0,26.0,32.0,10.0,17.0,25.0,33.0,18.0,33.0,18.0,20.0,24.0,24.857142857142858,25.0,20.0,32.0
1962.0,30.0,26.0,42.0,nan,28.0,13.0,35.0,9.0,17.0,33.0,9.0,15.0,40.0,26.0,21.0,31.0,23.0,43.0,30.0,23.0,10.0,20.0,24.952380952380953,26.0,17.0,31.0
1963.0,43.0,35.0,25.0,nan,28.0,18.0,6.0,17.0,19.0,17.0,35.0,22.0,10.0,8.0,29.0,41.0,21.0,23.0,26.0,31.0,29.0,19.0,23.904761904761905,23.0,18.0,29.0
1964.0,21.0,25.0,18.0,nan,17.0,25.0,17.0,15.0,19.0,20.0,27.0,15.0,24.0,18.0,18.0,18.0,21.0,14.0,19.0,37.0,22.0,32.0,21.047619047619047,19.0,18.0,24.0
1965.0,14.0,5.0,30.0,nan,21.0,15.0,22.0,18.0,23.0,15.0,12.0,30.0,16.0,17.0,31.0,27.0,20.0,26.0,42.0,16.0,27.0,20.0,21.285714285714285,20.0,16.0,27.0
1966.0,27.0,8.0,30.0,nan,15.0,10.0,14.0,36.0,22.0,28.0,15.0,13.0,23.0,10.0,36.0,31.0,27.0,44.0,12.0,27.0,20.0,17.0,22.142857142857142,22.0,14.0,28.0
1967.0,18.0,28.0,34.0,nan,26.0,24.0,19.0,17.0,14.0,20.0,13.0,40.0,45.0,34.0,22.0,22.0,21.0,58.0,16.0,25.0,18.0,23.0,25.571428571428573,22.0,18.0,28.0
1968.0,29.0,23.0,26.0,nan,38.0,1.0,25.0,38.0,22.0,23.0,23.0,21.0,39.0,12.0,23.0,11.0,19.0,51.0,13.0,29.0,9.0,29.0,24.0,23.0,19.0,29.0
1969.0,9.0,27.0,35.0,nan,32.0,20.0,18.0,26.0,16.0,16.0,44.0,8.0,28.0,10.0,23.0,28.0,23.0,12.0,18.0,28.0,16.0,26.0,22.047619047619047,23.0,16.0,28.0
