years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,11.0,3.0,13.0,nan,10.0,10.0,9.0,7.0,4.0,24.0,14.0,29.0,9.0,3.0,13.0,5.0,18.0,2.0,5.0,6.0,17.0,6.0,10.380952380952381,9.0,5.0,13.0
1951.0,5.0,3.0,25.0,nan,2.0,3.0,5.0,3.0,3.0,29.0,13.0,0.0,15.0,13.0,1.0,7.0,1.0,12.0,6.0,24.0,7.0,12.0,9.0,6.0,3.0,13.0
1952.0,3.0,6.0,18.0,nan,22.0,46.0,28.0,9.0,16.0,18.0,18.0,12.0,15.0,8.0,6.0,9.0,10.0,18.0,5.0,12.0,7.0,7.0,13.952380952380953,12.0,7.0,18.0
1953.0,6.0,26.0,10.0,nan,0.0,17.0,4.0,7.0,12.0,6.0,3.0,36.0,27.0,10.0,10.0,4.0,8.0,4.0,13.0,23.0,6.0,14.0,11.714285714285714,10.0,6.0,14.0
1954.0,14.0,11.0,9.0,nan,3.0,4.0,4.0,23.0,15.0,4.0,21.0,5.0,14.0,16.0,16.0,8.0,4.0,33.0,7.0,16.0,0.0,8.0,11.19047619047619,9.0,4.0,16.0
1955.0,11.0,21.0,12.0,nan,2.0,9.0,8.0,30.0,7.0,27.0,7.0,9.0,26.0,1.0,3.0,9.0,23.0,13.0,8.0,11.0,9.0,11.0,12.238095238095237,9.0,8.0,13.0
1956.0,18.0,14.0,19.0,nan,2.0,13.0,9.0,15.0,11.0,24.0,9.0,5.0,2.0,5.0,7.0,20.0,11.0,22.0,12.0,15.0,18.0,19.0,12.857142857142858,13.0,9.0,18.0
1957.0,11.0,9.0,19.0,nan,30.0,11.0,1.0,26.0,13.0,25.0,9.0,8.0,2.0,8.0,19.0,16.0,34.0,18.0,4.0,37.0,9.0,9.0,15.142857142857142,11.0,9.0,19.0
1958.0,13.0,26.0,4.0,nan,17.0,2.0,17.0,18.0,10.0,9.0,7.0,9.0,9.0,0.0,2.0,10.0,15.0,2.0,11.0,19.0,11.0,6.0,10.333333333333334,10.0,6.0,15.0
1959.0,4.0,0.0,7.0,nan,11.0,1.0,2.0,41.0,17.0,10.0,10.0,35.0,23.0,10.0,0.0,14.0,6.0,6.0,8.0,9.0,13.0,7.0,11.142857142857142,9.0,6.0,13.0
1960.0,11.0,4.0,9.0,nan,3.0,10.0,2.0,10.0,9.0,2.0,18.0,6.0,37.0,14.0,4.0,21.0,4.0,17.0,4.0,11.0,17.0,5.0,10.380952380952381,9.0,4.0,14.0
1961.0,25.0,1.0,15.0,nan,9.0,27.0,1.0,17.0,15.0,9.0,13.0,16.0,8.0,3.0,9.0,10.0,20.0,4.0,15.0,22.0,16.0,21.0,13.142857142857142,15.0,9.0,17.0
1962.0,20.0,16.0,16.0,nan,7.0,2.0,7.0,1.0,7.0,9.0,3.0,5.0,19.0,10.0,4.0,23.0,5.0,10.0,8.0,17.0,10.0,16.0,10.238095238095237,9.0,5.0,16.0
1963.0,4.0,2.0,11.0,nan,3.0,3.0,0.0,8.0,5.0,8.0,0.0,4.0,5.0,7.0,1.0,22.0,4.0,3.0,11.0,10.0,25.0,5.0,6.714285714285714,5.0,3.0,8.0
1964.0,2.0,16.0,16.0,nan,9.0,2.0,6.0,4.0,0.0,4.0,21.0,9.0,8.0,10.0,2.0,9.0,6.0,3.0,2.0,15.0,2.0,14.0,7.619047619047619,6.0,2.0,10.0
1965.0,5.0,1.0,18.0,nan,8.0,4.0,14.0,4.0,12.0,8.0,9.0,3.0,5.0,9.0,6.0,10.0,6.0,8.0,9.0,7.0,28.0,15.0,9.0,8.0,5.0,10.0
1966.0,6.0,3.0,12.0,nan,2.0,0.0,3.0,3.0,6.0,12.0,4.0,1.0,11.0,1.0,10.0,11.0,20.0,27.0,1.0,13.0,9.0,6.0,7.666666666666667,6.0,3.0,11.0
1967.0,1.0,8.0,18.0,nan,11.0,4.0,7.0,9.0,12.0,0.0,4.0,10.0,8.0,7.0,3.0,12.0,2.0,18.0,14.0,12.0,14.0,12.0,8.857142857142858,9.0,4.0,12.0
1968.0,5.0,15.0,4.0,nan,10.0,3.0,5.0,5.0,5.0,6.0,1.0,4.0,18.0,3.0,2.0,5.0,0.0,22.0,9.0,18.0,1.0,10.0,7.190476190476191,5.0,3.0,10.0
1969.0,5.0,7.0,20.0,nan,2.0,4.0,8.0,0.0,13.0,12.0,14.0,1.0,14.0,5.0,8.0,14.0,8.0,4.0,7.0,18.0,4.0,9.0,8.428571428571429,8.0,4.0,13.0
1970.0,13.0,0.0,11.0,nan,8.0,6.0,5.0,10.0,6.0,3.0,3.0,32.0,18.0,6.0,2.0,1.0,14.0,4.0,3.0,6.0,8.0,12.0,8.142857142857142,6.0,3.0,11.0
1971.0,12.0,11.0,24.0,nan,0.0,8.0,9.0,9.0,27.0,15.0,1.0,13.0,3.0,6.0,12.0,19.0,10.0,10.0,10.0,10.0,5.0,8.0,10.571428571428571,10.0,8.0,12.0
1972.0,3.0,5.0,6.0,nan,21.0,17.0,10.0,16.0,14.0,8.0,10.0,17.0,17.0,1.0,17.0,20.0,8.0,15.0,1.0,10.0,14.0,17.0,11.761904761904763,14.0,8.0,17.0
1973.0,13.0,6.0,21.0,nan,0.0,3.0,10.0,22.0,4.0,20.0,18.0,14.0,20.0,4.0,11.0,10.0,9.0,9.0,1.0,7.0,7.0,12.0,10.523809523809524,10.0,6.0,14.0
1974.0,7.0,3.0,17.0,nan,19.0,2.0,8.0,2.0,15.0,15.0,3.0,17.0,16.0,3.0,2.0,18.0,7.0,6.0,6.0,5.0,7.0,15.0,9.19047619047619,7.0,3.0,15.0
1975.0,8.0,6.0,15.0,nan,0.0,27.0,4.0,21.0,7.0,6.0,3.0,14.0,44.0,4.0,37.0,13.0,18.0,15.0,3.0,9.0,6.0,13.0,13.0,9.0,6.0,15.0
1976.0,5.0,18.0,6.0,nan,24.0,13.0,4.0,17.0,15.0,19.0,6.0,29.0,0.0,13.0,2.0,3.0,10.0,10.0,0.0,9.0,4.0,23.0,10.952380952380953,10.0,4.0,17.0
1977.0,9.0,14.0,25.0,nan,33.0,10.0,2.0,23.0,11.0,6.0,17.0,35.0,24.0,11.0,19.0,17.0,15.0,5.0,10.0,19.0,13.0,7.0,15.476190476190476,14.0,10.0,19.0
1978.0,23.0,18.0,34.0,nan,9.0,6.0,1.0,16.0,11.0,14.0,16.0,12.0,21.0,3.0,12.0,9.0,12.0,6.0,12.0,21.0,15.0,16.0,13.666666666666666,12.0,9.0,16.0
1979.0,16.0,19.0,10.0,nan,0.0,1.0,16.0,2.0,10.0,5.0,17.0,12.0,6.0,17.0,9.0,10.0,6.0,20.0,4.0,17.0,12.0,21.0,10.952380952380953,10.0,6.0,17.0
1980.0,22.0,6.0,20.0,nan,3.0,10.0,13.0,10.0,12.0,17.0,2.0,11.0,22.0,2.0,10.0,8.0,16.0,16.0,17.0,15.0,8.0,4.0,11.619047619047619,11.0,8.0,16.0
1981.0,32.0,0.0,22.0,nan,5.0,10.0,25.0,6.0,6.0,7.0,20.0,13.0,40.0,1.0,13.0,26.0,26.0,24.0,10.0,13.0,15.0,14.0,15.619047619047619,13.0,7.0,24.0
1982.0,1.0,2.0,8.0,nan,7.0,15.0,19.0,26.0,13.0,8.0,2.0,6.0,15.0,10.0,18.0,14.0,9.0,8.0,10.0,9.0,4.0,9.0,10.142857142857142,9.0,7.0,14.0
1983.0,4.0,28.0,7.0,nan,5.0,6.0,8.0,0.0,2.0,11.0,0.0,8.0,3.0,1.0,5.0,11.0,9.0,0.0,5.0,11.0,25.0,21.0,8.095238095238095,6.0,3.0,11.0
1984.0,29.0,10.0,2.0,nan,12.0,28.0,15.0,6.0,0.0,15.0,6.0,7.0,13.0,12.0,13.0,7.0,5.0,10.0,9.0,6.0,18.0,3.0,10.761904761904763,10.0,6.0,13.0
1985.0,6.0,9.0,14.0,nan,1.0,2.0,15.0,3.0,9.0,15.0,12.0,4.0,8.0,5.0,10.0,13.0,23.0,18.0,28.0,16.0,17.0,13.0,11.476190476190476,12.0,6.0,15.0
1986.0,24.0,11.0,7.0,nan,20.0,19.0,7.0,7.0,8.0,15.0,8.0,13.0,11.0,1.0,12.0,5.0,10.0,4.0,10.0,21.0,14.0,19.0,11.714285714285714,11.0,7.0,15.0
1987.0,0.0,12.0,8.0,nan,8.0,35.0,2.0,6.0,7.0,20.0,4.0,14.0,10.0,6.0,20.0,4.0,13.0,19.0,18.0,12.0,4.0,18.0,11.428571428571429,10.0,6.0,18.0
1988.0,6.0,8.0,25.0,nan,18.0,20.0,12.0,17.0,17.0,9.0,18.0,26.0,1.0,17.0,10.0,19.0,17.0,25.0,25.0,18.0,20.0,26.0,16.857142857142858,18.0,12.0,20.0
1989.0,4.0,9.0,20.0,nan,37.0,12.0,10.0,6.0,9.0,10.0,8.0,11.0,33.0,7.0,11.0,13.0,6.0,7.0,11.0,24.0,26.0,24.0,14.19047619047619,11.0,8.0,20.0
1990.0,14.0,4.0,23.0,nan,18.0,20.0,11.0,21.0,13.0,16.0,3.0,0.0,6.0,25.0,10.0,21.0,29.0,16.0,17.0,16.0,11.0,13.0,14.619047619047619,16.0,11.0,20.0
1991.0,17.0,7.0,9.0,nan,12.0,3.0,18.0,1.0,20.0,13.0,22.0,36.0,21.0,4.0,1.0,6.0,21.0,11.0,8.0,11.0,9.0,6.0,12.19047619047619,11.0,6.0,18.0
1992.0,12.0,7.0,6.0,nan,0.0,14.0,2.0,1.0,13.0,10.0,3.0,10.0,0.0,5.0,4.0,10.0,5.0,2.0,6.0,7.0,20.0,13.0,7.142857142857143,6.0,3.0,10.0
1993.0,13.0,21.0,14.0,nan,2.0,32.0,7.0,6.0,15.0,5.0,7.0,12.0,4.0,13.0,9.0,18.0,2.0,2.0,12.0,8.0,10.0,28.0,11.428571428571429,10.0,6.0,14.0
