years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,7.0,0.0,0.0,nan,12.0,1.0,11.0,0.0,21.0,18.0,2.0,15.0,2.0,7.0,1.0,20.0,2.0,23.0,6.0,32.0,39.0,23.0,11.523809523809524,7.0,2.0,20.0
1951.0,5.0,10.0,9.0,nan,0.0,9.0,13.0,14.0,28.0,4.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,11.0,30.0,24.0,4.0,7.0,9.19047619047619,7.0,0.0,13.0
1952.0,4.0,11.0,6.0,nan,0.0,39.0,1.0,8.0,8.0,5.0,6.0,4.0,12.0,4.0,14.0,6.0,2.0,11.0,7.0,19.0,7.0,27.0,9.571428571428571,7.0,4.0,11.0
1953.0,0.0,13.0,4.0,nan,0.0,2.0,15.0,4.0,30.0,9.0,17.0,0.0,4.0,0.0,7.0,9.0,16.0,11.0,17.0,23.0,4.0,7.0,9.142857142857142,7.0,4.0,15.0
1954.0,8.0,4.0,7.0,nan,6.0,24.0,8.0,6.0,18.0,2.0,18.0,15.0,14.0,12.0,11.0,27.0,1.0,8.0,7.0,15.0,29.0,18.0,12.285714285714286,11.0,7.0,18.0
1955.0,3.0,17.0,16.0,nan,3.0,13.0,32.0,2.0,34.0,4.0,6.0,15.0,22.0,0.0,5.0,6.0,16.0,2.0,20.0,8.0,11.0,10.0,11.666666666666666,10.0,4.0,16.0
1956.0,2.0,0.0,5.0,nan,4.0,15.0,2.0,1.0,14.0,9.0,3.0,41.0,29.0,13.0,9.0,6.0,1.0,9.0,7.0,30.0,18.0,3.0,10.523809523809524,7.0,3.0,14.0
1957.0,0.0,4.0,3.0,nan,3.0,2.0,4.0,7.0,7.0,15.0,13.0,11.0,34.0,0.0,20.0,7.0,17.0,0.0,12.0,30.0,5.0,4.0,9.428571428571429,7.0,3.0,13.0
1958.0,1.0,9.0,10.0,nan,1.0,5.0,2.0,17.0,33.0,7.0,4.0,9.0,12.0,1.0,15.0,12.0,14.0,7.0,6.0,0.0,3.0,13.0,8.619047619047619,7.0,3.0,12.0
1959.0,0.0,7.0,6.0,nan,18.0,25.0,1.0,5.0,30.0,1.0,20.0,0.0,32.0,0.0,11.0,20.0,4.0,13.0,13.0,5.0,30.0,12.0,12.047619047619047,11.0,4.0,20.0
1960.0,1.0,16.0,20.0,nan,0.0,26.0,0.0,9.0,16.0,1.0,1.0,2.0,0.0,24.0,13.0,14.0,11.0,16.0,28.0,24.0,18.0,29.0,12.80952380952381,14.0,1.0,20.0
1961.0,0.0,10.0,0.0,nan,0.0,11.0,9.0,2.0,35.0,0.0,16.0,22.0,7.0,19.0,7.0,13.0,11.0,8.0,8.0,23.0,20.0,10.0,11.0,10.0,7.0,16.0
1962.0,11.0,10.0,11.0,nan,0.0,25.0,34.0,6.0,15.0,5.0,19.0,2.0,0.0,5.0,16.0,1.0,7.0,13.0,4.0,30.0,1.0,13.0,10.857142857142858,10.0,4.0,15.0
1963.0,12.0,12.0,21.0,nan,15.0,8.0,4.0,5.0,5.0,15.0,4.0,25.0,37.0,5.0,9.0,36.0,12.0,4.0,0.0,15.0,10.0,21.0,13.095238095238095,12.0,5.0,15.0
1964.0,17.0,3.0,0.0,nan,6.0,3.0,2.0,0.0,31.0,1.0,14.0,2.0,6.0,7.0,5.0,22.0,2.0,17.0,1.0,0.0,1.0,5.0,6.904761904761905,3.0,1.0,7.0
