years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,56.0,106.0,67.0,nan,87.0,70.0,84.0,70.0,73.0,65.0,84.0,81.0,113.0,83.0,63.0,85.0,68.0,78.0,79.0,65.0,73.0,83.0,77.76190476190476,78.0,68.0,84.0
1951.0,63.0,110.0,72.0,nan,105.0,54.0,66.0,82.0,57.0,66.0,78.0,94.0,82.0,53.0,48.0,84.0,91.0,96.0,84.0,79.0,81.0,59.0,76.38095238095238,79.0,63.0,84.0
1952.0,46.0,90.0,78.0,nan,87.0,82.0,95.0,93.0,85.0,76.0,112.0,76.0,91.0,92.0,64.0,105.0,91.0,88.0,89.0,77.0,107.0,87.0,86.23809523809524,88.0,78.0,92.0
1953.0,78.0,80.0,42.0,nan,83.0,88.0,100.0,81.0,85.0,68.0,96.0,79.0,108.0,83.0,57.0,91.0,104.0,82.0,96.0,64.0,102.0,76.0,83.0,83.0,78.0,96.0
1954.0,78.0,104.0,57.0,nan,97.0,89.0,94.0,99.0,79.0,64.0,100.0,96.0,71.0,75.0,62.0,87.0,107.0,71.0,84.0,74.0,81.0,95.0,84.0,84.0,74.0,96.0
1955.0,89.0,90.0,77.0,nan,100.0,100.0,89.0,74.0,88.0,81.0,71.0,91.0,100.0,56.0,52.0,91.0,100.0,83.0,85.0,79.0,83.0,100.0,84.71428571428571,88.0,79.0,91.0
1956.0,49.0,104.0,60.0,nan,107.0,98.0,80.0,89.0,70.0,73.0,84.0,118.0,99.0,87.0,70.0,47.0,80.0,73.0,73.0,84.0,86.0,78.0,81.38095238095238,80.0,73.0,89.0
1957.0,76.0,91.0,53.0,nan,88.0,88.0,94.0,107.0,72.0,72.0,103.0,85.0,76.0,91.0,83.0,53.0,75.0,82.0,69.0,62.0,111.0,93.0,82.0952380952381,83.0,72.0,91.0
1958.0,75.0,71.0,67.0,nan,87.0,62.0,79.0,87.0,77.0,91.0,70.0,90.0,66.0,87.0,84.0,55.0,86.0,59.0,80.0,69.0,79.0,73.0,75.9047619047619,77.0,69.0,86.0
1959.0,65.0,102.0,76.0,nan,61.0,55.0,80.0,76.0,109.0,78.0,67.0,100.0,93.0,90.0,75.0,67.0,97.0,75.0,68.0,87.0,72.0,82.0,79.76190476190476,76.0,68.0,90.0
1960.0,56.0,87.0,65.0,nan,95.0,60.0,61.0,75.0,98.0,90.0,93.0,99.0,64.0,78.0,62.0,75.0,85.0,90.0,57.0,60.0,98.0,85.0,77.76190476190476,78.0,62.0,90.0
1961.0,44.0,92.0,55.0,nan,84.0,45.0,80.0,84.0,83.0,87.0,76.0,91.0,64.0,72.0,59.0,79.0,80.0,93.0,73.0,87.0,107.0,71.0,76.47619047619048,80.0,71.0,87.0
1962.0,62.0,80.0,52.0,nan,90.0,80.0,78.0,83.0,84.0,67.0,79.0,101.0,99.0,77.0,59.0,87.0,75.0,82.0,84.0,67.0,94.0,94.0,79.71428571428571,80.0,75.0,87.0
1963.0,52.0,102.0,55.0,nan,70.0,66.0,82.0,102.0,67.0,70.0,100.0,95.0,110.0,70.0,59.0,96.0,62.0,73.0,76.0,76.0,98.0,84.0,79.28571428571429,76.0,67.0,96.0
1964.0,59.0,89.0,55.0,nan,93.0,58.0,89.0,103.0,93.0,84.0,91.0,84.0,93.0,58.0,100.0,91.0,97.0,80.0,93.0,57.0,95.0,71.0,82.52380952380952,89.0,71.0,93.0
1965.0,73.0,105.0,61.0,nan,73.0,66.0,85.0,89.0,85.0,84.0,77.0,107.0,112.0,63.0,65.0,95.0,78.0,72.0,101.0,69.0,101.0,79.0,82.85714285714286,79.0,72.0,95.0
1966.0,73.0,86.0,46.0,nan,96.0,92.0,101.0,87.0,104.0,70.0,95.0,105.0,77.0,87.0,85.0,101.0,86.0,88.0,63.0,56.0,74.0,91.0,83.95238095238095,87.0,74.0,95.0
1967.0,64.0,96.0,82.0,nan,97.0,92.0,84.0,88.0,68.0,82.0,93.0,104.0,90.0,102.0,42.0,84.0,107.0,75.0,95.0,81.0,66.0,82.0,84.47619047619048,84.0,81.0,95.0
1968.0,68.0,91.0,58.0,nan,96.0,87.0,100.0,58.0,73.0,69.0,82.0,109.0,115.0,71.0,89.0,108.0,115.0,77.0,70.0,102.0,101.0,95.0,87.33333333333333,89.0,71.0,101.0
1969.0,78.0,97.0,75.0,nan,63.0,77.0,87.0,96.0,91.0,81.0,103.0,77.0,101.0,66.0,52.0,103.0,91.0,78.0,93.0,89.0,98.0,65.0,83.85714285714286,87.0,77.0,96.0
1970.0,68.0,93.0,75.0,nan,97.0,71.0,97.0,82.0,90.0,63.0,72.0,77.0,100.0,80.0,93.0,96.0,106.0,68.0,100.0,75.0,68.0,81.0,83.42857142857143,81.0,72.0,96.0
1971.0,70.0,110.0,53.0,nan,90.0,52.0,84.0,79.0,71.0,78.0,81.0,104.0,76.0,75.0,60.0,77.0,77.0,79.0,74.0,66.0,101.0,99.0,78.85714285714286,77.0,71.0,84.0
1972.0,48.0,109.0,67.0,nan,89.0,75.0,78.0,88.0,71.0,82.0,71.0,93.0,85.0,82.0,50.0,86.0,78.0,69.0,97.0,90.0,87.0,80.0,79.76190476190476,82.0,71.0,88.0
1973.0,71.0,92.0,78.0,nan,83.0,58.0,93.0,100.0,72.0,89.0,99.0,107.0,94.0,59.0,60.0,77.0,78.0,63.0,89.0,91.0,89.0,88.0,82.38095238095238,88.0,72.0,92.0
1974.0,63.0,82.0,85.0,nan,97.0,91.0,78.0,62.0,59.0,83.0,89.0,95.0,91.0,85.0,60.0,83.0,89.0,104.0,81.0,53.0,91.0,74.0,80.71428571428571,83.0,74.0,91.0
1975.0,52.0,106.0,47.0,nan,84.0,66.0,92.0,62.0,74.0,75.0,72.0,118.0,85.0,79.0,87.0,59.0,61.0,73.0,76.0,68.0,81.0,80.0,76.04761904761905,75.0,66.0,84.0
1976.0,37.0,86.0,67.0,nan,90.0,60.0,95.0,90.0,61.0,106.0,81.0,83.0,84.0,78.0,55.0,90.0,93.0,61.0,76.0,86.0,86.0,99.0,79.23809523809524,84.0,67.0,90.0
1977.0,63.0,84.0,47.0,nan,87.0,87.0,80.0,72.0,66.0,78.0,77.0,88.0,120.0,79.0,76.0,68.0,88.0,70.0,99.0,84.0,84.0,86.0,80.14285714285714,80.0,72.0,87.0
1978.0,54.0,99.0,46.0,nan,87.0,68.0,102.0,104.0,50.0,79.0,103.0,97.0,91.0,93.0,79.0,72.0,76.0,85.0,80.0,78.0,98.0,84.0,82.14285714285714,84.0,76.0,97.0
1979.0,48.0,99.0,43.0,nan,93.0,77.0,67.0,82.0,59.0,55.0,78.0,99.0,88.0,68.0,67.0,90.0,79.0,76.0,91.0,91.0,96.0,86.0,77.71428571428571,79.0,67.0,91.0
1980.0,72.0,83.0,61.0,nan,98.0,80.0,79.0,67.0,66.0,63.0,59.0,82.0,99.0,81.0,68.0,53.0,104.0,62.0,79.0,77.0,85.0,93.0,76.71428571428571,79.0,66.0,83.0
1981.0,74.0,101.0,45.0,nan,95.0,85.0,77.0,80.0,90.0,90.0,76.0,106.0,76.0,78.0,63.0,94.0,73.0,68.0,85.0,81.0,87.0,87.0,81.47619047619048,81.0,76.0,90.0
1982.0,86.0,108.0,63.0,nan,75.0,93.0,85.0,96.0,65.0,66.0,89.0,85.0,88.0,76.0,39.0,70.0,66.0,67.0,62.0,86.0,68.0,80.0,76.80952380952381,76.0,66.0,86.0
1983.0,59.0,87.0,63.0,nan,103.0,54.0,89.0,100.0,77.0,84.0,83.0,104.0,91.0,83.0,51.0,98.0,86.0,83.0,69.0,78.0,88.0,87.0,81.76190476190476,84.0,77.0,89.0
1984.0,69.0,103.0,73.0,nan,85.0,61.0,96.0,108.0,63.0,76.0,52.0,107.0,92.0,110.0,84.0,85.0,89.0,77.0,65.0,84.0,93.0,82.0,83.52380952380952,84.0,73.0,93.0
1985.0,67.0,91.0,62.0,nan,97.0,76.0,86.0,67.0,87.0,80.0,88.0,99.0,87.0,81.0,56.0,66.0,85.0,47.0,67.0,64.0,87.0,83.0,77.28571428571429,81.0,67.0,87.0
1986.0,57.0,84.0,85.0,nan,90.0,75.0,55.0,92.0,63.0,91.0,72.0,78.0,86.0,58.0,52.0,90.0,90.0,59.0,68.0,48.0,95.0,96.0,75.42857142857143,78.0,59.0,90.0
1987.0,63.0,87.0,53.0,nan,84.0,59.0,72.0,94.0,83.0,73.0,87.0,81.0,99.0,61.0,58.0,65.0,94.0,76.0,86.0,86.0,85.0,59.0,76.42857142857143,81.0,63.0,86.0
1988.0,62.0,92.0,35.0,nan,92.0,89.0,70.0,82.0,90.0,80.0,77.0,97.0,84.0,79.0,79.0,84.0,95.0,66.0,64.0,75.0,90.0,102.0,80.19047619047619,82.0,75.0,90.0
1989.0,78.0,106.0,75.0,nan,82.0,76.0,73.0,86.0,84.0,61.0,93.0,76.0,101.0,86.0,48.0,75.0,112.0,75.0,102.0,81.0,78.0,91.0,82.80952380952381,81.0,75.0,91.0
1990.0,76.0,103.0,65.0,nan,79.0,83.0,83.0,91.0,47.0,80.0,79.0,68.0,68.0,83.0,65.0,85.0,66.0,84.0,95.0,88.0,106.0,63.0,78.9047619047619,80.0,68.0,85.0
1991.0,68.0,116.0,86.0,nan,102.0,75.0,69.0,77.0,70.0,54.0,84.0,92.0,64.0,64.0,54.0,93.0,61.0,89.0,93.0,74.0,78.0,75.0,78.0,75.0,68.0,89.0
1992.0,54.0,102.0,65.0,nan,95.0,65.0,56.0,89.0,73.0,78.0,83.0,94.0,82.0,76.0,67.0,89.0,56.0,95.0,67.0,66.0,87.0,82.0,77.19047619047619,78.0,66.0,89.0
1993.0,72.0,84.0,75.0,nan,107.0,83.0,76.0,63.0,56.0,100.0,75.0,74.0,88.0,66.0,35.0,74.0,57.0,95.0,107.0,51.0,90.0,87.0,76.9047619047619,75.0,66.0,88.0
1994.0,81.0,92.0,55.0,nan,84.0,74.0,93.0,62.0,57.0,87.0,65.0,73.0,81.0,82.0,78.0,72.0,100.0,74.0,69.0,57.0,77.0,74.0,75.57142857142857,74.0,69.0,82.0
1995.0,69.0,67.0,83.0,nan,85.0,86.0,77.0,68.0,67.0,90.0,56.0,83.0,75.0,85.0,71.0,85.0,79.0,92.0,78.0,68.0,88.0,72.0,77.33333333333333,78.0,69.0,85.0
1996.0,93.0,58.0,61.0,nan,104.0,99.0,80.0,92.0,93.0,72.0,80.0,90.0,77.0,60.0,79.0,94.0,75.0,79.0,65.0,86.0,91.0,72.0,80.95238095238095,80.0,72.0,92.0
1997.0,44.0,73.0,53.0,nan,101.0,48.0,88.0,58.0,77.0,89.0,73.0,85.0,53.0,77.0,50.0,69.0,79.0,80.0,72.0,71.0,98.0,72.0,71.9047619047619,73.0,58.0,80.0
1998.0,61.0,74.0,47.0,nan,88.0,88.0,80.0,87.0,46.0,82.0,99.0,87.0,58.0,85.0,35.0,81.0,42.0,77.0,90.0,69.0,54.0,83.0,72.04761904761905,80.0,58.0,87.0
1999.0,55.0,66.0,41.0,nan,57.0,91.0,76.0,74.0,65.0,83.0,81.0,82.0,89.0,73.0,52.0,58.0,83.0,73.0,54.0,81.0,73.0,75.0,70.57142857142857,73.0,58.0,81.0
2000.0,48.0,87.0,39.0,nan,74.0,81.0,69.0,84.0,75.0,86.0,65.0,89.0,99.0,79.0,60.0,52.0,59.0,67.0,85.0,62.0,73.0,76.0,71.85714285714286,74.0,62.0,84.0
2001.0,54.0,90.0,79.0,nan,83.0,63.0,92.0,90.0,85.0,59.0,62.0,90.0,61.0,53.0,70.0,69.0,61.0,91.0,71.0,70.0,71.0,54.0,72.28571428571429,70.0,61.0,85.0
2002.0,73.0,76.0,56.0,nan,79.0,68.0,63.0,78.0,71.0,76.0,74.0,90.0,85.0,60.0,44.0,64.0,55.0,63.0,77.0,84.0,98.0,84.0,72.28571428571429,74.0,63.0,79.0
2003.0,69.0,62.0,55.0,nan,74.0,70.0,80.0,69.0,50.0,99.0,87.0,90.0,107.0,76.0,55.0,74.0,85.0,72.0,73.0,92.0,81.0,71.0,75.76190476190476,74.0,69.0,85.0
2004.0,41.0,69.0,51.0,nan,85.0,92.0,54.0,85.0,103.0,86.0,73.0,76.0,87.0,70.0,65.0,66.0,56.0,78.0,67.0,75.0,76.0,51.0,71.71428571428571,73.0,65.0,85.0
2005.0,51.0,76.0,50.0,nan,84.0,60.0,81.0,82.0,69.0,63.0,68.0,79.0,75.0,41.0,75.0,59.0,24.0,78.0,61.0,50.0,102.0,52.0,65.71428571428571,68.0,52.0,78.0
2006.0,67.0,85.0,71.0,nan,73.0,67.0,58.0,86.0,68.0,53.0,71.0,86.0,78.0,76.0,44.0,70.0,71.0,69.0,54.0,53.0,74.0,59.0,68.23809523809524,70.0,59.0,74.0
2007.0,52.0,100.0,46.0,nan,69.0,93.0,61.0,72.0,45.0,75.0,74.0,79.0,82.0,62.0,59.0,75.0,85.0,63.0,85.0,71.0,71.0,59.0,70.38095238095238,71.0,61.0,79.0
2008.0,63.0,77.0,52.0,nan,54.0,71.0,58.0,66.0,93.0,67.0,64.0,75.0,62.0,74.0,52.0,81.0,89.0,77.0,88.0,57.0,72.0,83.0,70.23809523809524,71.0,62.0,77.0
2009.0,31.0,93.0,41.0,nan,82.0,95.0,69.0,70.0,69.0,53.0,75.0,62.0,67.0,66.0,50.0,59.0,83.0,82.0,71.0,69.0,58.0,69.0,67.33333333333333,69.0,59.0,75.0
2010.0,73.0,95.0,47.0,nan,47.0,80.0,72.0,64.0,70.0,76.0,58.0,72.0,46.0,44.0,35.0,58.0,65.0,67.0,75.0,75.0,80.0,51.0,64.28571428571429,67.0,51.0,75.0
2011.0,63.0,85.0,65.0,nan,76.0,79.0,71.0,39.0,55.0,53.0,84.0,92.0,63.0,36.0,67.0,54.0,63.0,70.0,58.0,72.0,70.0,67.0,65.80952380952381,67.0,58.0,72.0
2012.0,64.0,84.0,50.0,nan,74.0,73.0,55.0,63.0,73.0,69.0,69.0,89.0,82.0,65.0,56.0,84.0,68.0,65.0,87.0,88.0,85.0,76.0,72.33333333333333,73.0,65.0,84.0
2013.0,49.0,90.0,57.0,nan,102.0,77.0,67.0,64.0,66.0,55.0,66.0,79.0,81.0,77.0,76.0,89.0,82.0,88.0,72.0,53.0,93.0,75.0,74.19047619047619,76.0,66.0,82.0
2014.0,82.0,94.0,63.0,nan,78.0,50.0,58.0,55.0,54.0,82.0,69.0,107.0,79.0,58.0,63.0,47.0,50.0,65.0,89.0,57.0,84.0,88.0,70.0952380952381,65.0,57.0,82.0
2015.0,73.0,71.0,54.0,nan,74.0,53.0,63.0,69.0,83.0,92.0,70.0,78.0,73.0,70.0,28.0,68.0,54.0,59.0,57.0,75.0,70.0,47.0,65.76190476190476,70.0,57.0,73.0
2016.0,63.0,81.0,46.0,nan,109.0,73.0,70.0,72.0,77.0,93.0,79.0,82.0,83.0,69.0,43.0,74.0,82.0,69.0,65.0,61.0,70.0,82.0,73.47619047619048,73.0,69.0,82.0
2017.0,44.0,102.0,55.0,nan,84.0,47.0,72.0,95.0,63.0,58.0,62.0,79.0,76.0,87.0,61.0,73.0,68.0,69.0,59.0,57.0,66.0,78.0,69.28571428571429,68.0,59.0,78.0
2018.0,51.0,55.0,58.0,nan,82.0,64.0,57.0,56.0,73.0,78.0,77.0,77.0,84.0,77.0,86.0,89.0,70.0,63.0,81.0,69.0,85.0,74.0,71.71428571428571,74.0,63.0,81.0
2019.0,51.0,70.0,52.0,nan,83.0,56.0,59.0,42.0,59.0,86.0,64.0,99.0,71.0,76.0,52.0,58.0,52.0,74.0,65.0,66.0,53.0,54.0,63.904761904761905,59.0,53.0,71.0
2020.0,59.0,105.0,39.0,nan,78.0,58.0,72.0,32.0,58.0,63.0,72.0,86.0,75.0,56.0,47.0,68.0,45.0,37.0,74.0,74.0,58.0,60.0,62.666666666666664,60.0,56.0,74.0
2021.0,59.0,93.0,57.0,nan,87.0,71.0,55.0,54.0,50.0,73.0,52.0,71.0,89.0,63.0,40.0,81.0,67.0,64.0,75.0,75.0,85.0,60.0,67.66666666666667,67.0,57.0,75.0
2022.0,47.0,67.0,63.0,nan,89.0,90.0,81.0,63.0,67.0,61.0,85.0,86.0,60.0,63.0,55.0,51.0,58.0,50.0,73.0,66.0,79.0,73.0,67.95238095238095,66.0,60.0,79.0
2023.0,65.0,55.0,38.0,nan,70.0,94.0,60.0,47.0,46.0,56.0,79.0,103.0,52.0,51.0,34.0,78.0,81.0,64.0,72.0,76.0,80.0,70.0,65.28571428571429,65.0,52.0,78.0
2024.0,37.0,79.0,46.0,nan,78.0,72.0,82.0,42.0,54.0,55.0,66.0,54.0,53.0,51.0,55.0,82.0,52.0,70.0,35.0,57.0,98.0,79.0,61.76190476190476,55.0,52.0,78.0
2025.0,28.0,89.0,54.0,nan,68.0,60.0,61.0,44.0,61.0,62.0,91.0,67.0,55.0,51.0,69.0,45.0,40.0,59.0,93.0,42.0,92.0,81.0,62.476190476190474,61.0,51.0,69.0
2026.0,64.0,104.0,41.0,nan,84.0,72.0,79.0,56.0,52.0,80.0,58.0,64.0,59.0,55.0,27.0,77.0,63.0,63.0,74.0,52.0,89.0,85.0,66.57142857142857,64.0,56.0,79.0
2027.0,58.0,64.0,43.0,nan,86.0,52.0,60.0,53.0,48.0,58.0,70.0,85.0,78.0,78.0,37.0,63.0,76.0,62.0,73.0,61.0,76.0,85.0,65.04761904761905,63.0,58.0,76.0
2028.0,53.0,75.0,54.0,nan,77.0,55.0,79.0,47.0,55.0,64.0,62.0,70.0,81.0,67.0,63.0,73.0,83.0,47.0,61.0,65.0,65.0,61.0,64.61904761904762,64.0,55.0,73.0
2029.0,42.0,85.0,50.0,nan,81.0,79.0,60.0,52.0,55.0,50.0,75.0,75.0,67.0,67.0,61.0,56.0,38.0,69.0,68.0,58.0,48.0,52.0,61.333333333333336,60.0,52.0,69.0
2030.0,51.0,68.0,51.0,nan,105.0,66.0,49.0,59.0,49.0,77.0,64.0,49.0,73.0,48.0,66.0,74.0,37.0,63.0,74.0,60.0,78.0,57.0,62.76190476190476,63.0,51.0,73.0
2031.0,43.0,82.0,48.0,nan,68.0,47.0,38.0,53.0,54.0,67.0,53.0,60.0,82.0,51.0,49.0,78.0,82.0,52.0,62.0,52.0,83.0,47.0,59.57142857142857,53.0,49.0,68.0
2032.0,21.0,86.0,39.0,nan,62.0,75.0,48.0,48.0,57.0,71.0,59.0,94.0,53.0,70.0,31.0,61.0,61.0,59.0,37.0,79.0,73.0,58.0,59.142857142857146,59.0,48.0,71.0
2033.0,45.0,76.0,49.0,nan,65.0,63.0,50.0,41.0,79.0,74.0,73.0,69.0,60.0,48.0,48.0,61.0,65.0,48.0,50.0,56.0,55.0,83.0,59.904761904761905,60.0,49.0,69.0
