years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,2.0,3.0,0.0,nan,0.0,0.0,1.0,3.0,3.0,3.0,1.0,6.0,0.0,5.0,1.0,4.0,0.0,11.0,1.0,4.0,6.0,16.0,3.3333333333333335,3.0,1.0,4.0
1951.0,0.0,9.0,2.0,nan,3.0,0.0,3.0,0.0,2.0,9.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,2.0,10.0,3.0,2.0,0.0,4.0
1952.0,0.0,0.0,11.0,nan,4.0,0.0,1.0,0.0,7.0,3.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,2.0,10.0,0.0,18.0,3.4761904761904763,1.0,0.0,7.0
1953.0,2.0,3.0,12.0,nan,12.0,0.0,0.0,1.0,4.0,3.0,3.0,8.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,6.0,0.0,15.0,3.619047619047619,2.0,0.0,4.0
1954.0,3.0,5.0,1.0,nan,6.0,1.0,0.0,2.0,3.0,11.0,0.0,2.0,7.0,10.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,12.0,3.5238095238095237,2.0,1.0,6.0
1955.0,0.0,0.0,7.0,nan,1.0,0.0,0.0,3.0,0.0,10.0,8.0,6.0,8.0,3.0,0.0,4.0,0.0,4.0,3.0,18.0,1.0,15.0,4.333333333333333,3.0,0.0,7.0
1956.0,9.0,6.0,3.0,nan,8.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,2.0,11.0,1.0,4.0,3.0,2.0,1.0,5.0
1957.0,0.0,0.0,4.0,nan,4.0,2.0,0.0,0.0,2.0,19.0,5.0,8.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,2.0,11.0,4.0476190476190474,2.0,0.0,5.0
1958.0,1.0,4.0,9.0,nan,4.0,4.0,3.0,0.0,6.0,12.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,10.0,5.0,11.0,0.0,0.0,4.095238095238095,4.0,0.0,6.0
1959.0,7.0,3.0,5.0,nan,6.0,2.0,1.0,1.0,3.0,2.0,1.0,8.0,7.0,0.0,5.0,1.0,0.0,4.0,6.0,3.0,0.0,10.0,3.5714285714285716,3.0,1.0,6.0
1960.0,0.0,3.0,3.0,nan,0.0,2.0,1.0,12.0,0.0,16.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,1.0,7.0,3.4285714285714284,2.0,0.0,6.0
1961.0,0.0,1.0,9.0,nan,9.0,6.0,1.0,9.0,0.0,9.0,7.0,9.0,7.0,0.0,0.0,4.0,0.0,10.0,7.0,3.0,1.0,14.0,5.0476190476190474,6.0,1.0,9.0
1962.0,1.0,0.0,4.0,nan,3.0,0.0,1.0,7.0,0.0,3.0,1.0,15.0,3.0,3.0,0.0,0.0,0.0,9.0,3.0,4.0,2.0,9.0,3.238095238095238,3.0,0.0,4.0
1963.0,8.0,1.0,7.0,nan,9.0,4.0,0.0,1.0,5.0,16.0,5.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,10.0,15.0,2.0,7.0,4.9523809523809526,4.0,2.0,7.0
1964.0,0.0,0.0,3.0,nan,0.0,0.0,1.0,1.0,13.0,4.0,3.0,9.0,4.0,2.0,0.0,1.0,0.0,4.0,0.0,7.0,3.0,11.0,3.142857142857143,2.0,0.0,4.0
