years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,38.0,42.0,36.0,nan,45.0,33.0,28.0,57.0,38.0,72.0,33.0,35.0,33.0,25.0,21.0,25.0,38.0,41.0,35.0,43.0,40.0,50.0,38.476190476190474,38.0,33.0,42.0
1951.0,24.0,40.0,54.0,nan,27.0,34.0,42.0,31.0,31.0,48.0,47.0,42.0,62.0,23.0,57.0,40.0,35.0,48.0,44.0,60.0,60.0,31.0,41.904761904761905,42.0,31.0,48.0
1952.0,44.0,51.0,38.0,nan,31.0,32.0,23.0,43.0,35.0,58.0,59.0,40.0,56.0,48.0,42.0,29.0,38.0,37.0,51.0,37.0,35.0,38.0,41.19047619047619,38.0,35.0,48.0
1953.0,33.0,36.0,46.0,nan,59.0,44.0,31.0,36.0,35.0,21.0,49.0,44.0,45.0,27.0,26.0,30.0,43.0,37.0,42.0,44.0,43.0,57.0,39.42857142857143,42.0,33.0,44.0
1954.0,31.0,26.0,28.0,nan,41.0,40.0,37.0,64.0,33.0,28.0,41.0,58.0,18.0,38.0,26.0,39.0,40.0,63.0,29.0,54.0,49.0,39.0,39.142857142857146,39.0,29.0,41.0
1955.0,55.0,46.0,40.0,nan,43.0,42.0,38.0,42.0,43.0,71.0,47.0,49.0,48.0,30.0,46.0,48.0,32.0,48.0,18.0,52.0,60.0,42.0,44.76190476190476,46.0,42.0,48.0
1956.0,56.0,41.0,29.0,nan,51.0,38.0,34.0,55.0,45.0,54.0,42.0,36.0,30.0,33.0,23.0,38.0,53.0,55.0,45.0,62.0,47.0,55.0,43.904761904761905,45.0,36.0,54.0
1957.0,56.0,40.0,42.0,nan,37.0,39.0,25.0,56.0,37.0,61.0,41.0,49.0,89.0,31.0,29.0,59.0,65.0,51.0,26.0,44.0,45.0,27.0,45.19047619047619,42.0,37.0,56.0
1958.0,46.0,37.0,40.0,nan,66.0,32.0,36.0,38.0,27.0,39.0,43.0,64.0,45.0,33.0,34.0,52.0,30.0,33.0,34.0,54.0,46.0,36.0,41.19047619047619,38.0,34.0,46.0
1959.0,34.0,37.0,32.0,nan,39.0,40.0,37.0,46.0,41.0,37.0,50.0,31.0,47.0,35.0,33.0,30.0,28.0,54.0,36.0,55.0,67.0,39.0,40.38095238095238,37.0,34.0,46.0
1960.0,40.0,49.0,42.0,nan,29.0,39.0,35.0,39.0,27.0,41.0,52.0,56.0,53.0,39.0,17.0,36.0,22.0,42.0,29.0,40.0,61.0,45.0,39.666666666666664,40.0,35.0,45.0
1961.0,43.0,36.0,42.0,nan,48.0,26.0,39.0,47.0,35.0,55.0,48.0,29.0,61.0,28.0,26.0,38.0,57.0,31.0,44.0,42.0,32.0,43.0,40.476190476190474,42.0,32.0,47.0
1962.0,40.0,30.0,49.0,nan,39.0,30.0,42.0,36.0,36.0,43.0,30.0,43.0,38.0,51.0,36.0,42.0,32.0,44.0,54.0,41.0,23.0,33.0,38.666666666666664,39.0,33.0,43.0
1963.0,59.0,29.0,28.0,nan,57.0,42.0,29.0,42.0,29.0,40.0,51.0,38.0,63.0,21.0,26.0,41.0,26.0,33.0,29.0,43.0,47.0,34.0,38.42857142857143,38.0,29.0,43.0
1964.0,39.0,40.0,40.0,nan,25.0,51.0,31.0,33.0,39.0,36.0,41.0,65.0,35.0,37.0,22.0,35.0,25.0,33.0,35.0,63.0,36.0,49.0,38.57142857142857,36.0,33.0,40.0
1965.0,32.0,45.0,49.0,nan,47.0,36.0,24.0,41.0,33.0,39.0,24.0,44.0,35.0,24.0,34.0,31.0,38.0,53.0,42.0,42.0,39.0,36.0,37.523809523809526,38.0,33.0,42.0
1966.0,47.0,45.0,38.0,nan,32.0,29.0,50.0,30.0,30.0,47.0,55.0,50.0,44.0,47.0,38.0,30.0,42.0,59.0,22.0,56.0,46.0,32.0,41.38095238095238,44.0,32.0,47.0
1967.0,57.0,42.0,50.0,nan,45.0,48.0,35.0,42.0,25.0,46.0,44.0,56.0,37.0,33.0,40.0,33.0,37.0,45.0,32.0,50.0,42.0,24.0,41.095238095238095,42.0,35.0,46.0
1968.0,54.0,33.0,38.0,nan,50.0,36.0,39.0,50.0,37.0,39.0,27.0,42.0,50.0,27.0,26.0,30.0,26.0,65.0,33.0,47.0,24.0,39.0,38.666666666666664,38.0,30.0,47.0
1969.0,33.0,45.0,41.0,nan,41.0,29.0,34.0,35.0,11.0,53.0,68.0,42.0,51.0,29.0,22.0,44.0,33.0,35.0,25.0,45.0,34.0,46.0,37.904761904761905,35.0,33.0,45.0
1970.0,38.0,50.0,43.0,nan,33.0,31.0,35.0,31.0,34.0,49.0,42.0,26.0,39.0,18.0,31.0,28.0,40.0,24.0,37.0,33.0,37.0,40.0,35.19047619047619,35.0,31.0,40.0
1971.0,41.0,18.0,42.0,nan,43.0,30.0,45.0,33.0,49.0,41.0,29.0,46.0,46.0,34.0,31.0,46.0,30.0,29.0,31.0,50.0,40.0,30.0,37.333333333333336,40.0,30.0,45.0
1972.0,45.0,30.0,34.0,nan,43.0,28.0,34.0,42.0,36.0,71.0,43.0,38.0,48.0,37.0,29.0,38.0,42.0,49.0,43.0,48.0,49.0,45.0,41.523809523809526,42.0,36.0,45.0
1973.0,53.0,32.0,40.0,nan,35.0,53.0,35.0,48.0,27.0,60.0,46.0,55.0,43.0,31.0,50.0,37.0,25.0,39.0,26.0,46.0,31.0,44.0,40.76190476190476,40.0,32.0,48.0
1974.0,41.0,32.0,31.0,nan,42.0,34.0,45.0,37.0,48.0,55.0,55.0,39.0,42.0,29.0,50.0,45.0,25.0,41.0,32.0,43.0,36.0,30.0,39.61904761904762,41.0,32.0,45.0
1975.0,63.0,31.0,35.0,nan,34.0,44.0,24.0,63.0,44.0,53.0,45.0,31.0,47.0,47.0,31.0,37.0,44.0,35.0,47.0,41.0,46.0,50.0,42.476190476190474,44.0,35.0,47.0
1976.0,50.0,33.0,34.0,nan,40.0,28.0,21.0,45.0,33.0,45.0,41.0,29.0,57.0,23.0,48.0,31.0,38.0,39.0,46.0,37.0,34.0,45.0,37.95238095238095,38.0,33.0,45.0
1977.0,43.0,30.0,31.0,nan,50.0,48.0,40.0,33.0,46.0,41.0,55.0,44.0,38.0,19.0,35.0,50.0,42.0,45.0,34.0,40.0,22.0,40.0,39.333333333333336,40.0,34.0,45.0
